
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,2,1,-1,1,-2,-6,96,78,59,1030,1026,1024,16,11,4,26,6,32,4.32,8,Rain,46<br />
2015-1-2,5,4,2,4,3,1,93,89,85,1025,1022,1014,16,7,3,27,10,31,24.13,8,Rain,81<br />
2015-1-3,8,7,4,6,4,2,100,88,76,1017,1012,1008,16,13,3,27,14,35,11.68,8,Rain,245<br />
2015-1-4,6,0,-6,2,-8,-13,85,63,41,1041,1031,1018,16,16,16,45,20,56,T,4,,308<br />
2015-1-5,6,-1,-7,-7,-11,-13,84,55,25,1042,1035,1027,16,16,16,21,7,29,0.00,0,,74<br />
2015-1-6,13,4,-4,-3,-5,-7,81,55,28,1033,1030,1028,16,16,16,19,8,26,0.00,0,,287<br />
2015-1-7,1,-4,-10,-4,-14,-21,78,52,26,1048,1042,1031,16,16,16,40,21,50,0.00,2,,352<br />
2015-1-8,2,-5,-13,-11,-16,-18,73,48,23,1045,1033,1025,16,16,16,26,8,35,0.00,0,,211<br />
2015-1-9,1,-3,-8,-9,-14,-18,68,47,25,1037,1034,1029,16,16,16,35,12,45,0.00,3,,321<br />
2015-1-10,3,-3,-10,-11,-12,-14,80,55,29,1036,1032,1028,16,16,16,16,9,23,0.00,5,,86<br />
2015-1-11,2,1,-1,1,-1,-10,100,70,40,1028,1024,1020,16,11,3,27,14,32,4.32,8,Rain,83<br />
2015-1-12,6,3,0,3,1,-4,100,85,69,1034,1027,1023,16,11,3,27,13,32,0.00,7,,313<br />
2015-1-13,6,1,-3,-4,-7,-13,78,52,25,1034,1032,1030,16,16,16,16,6,21,0.00,0,,34<br />
2015-1-14,6,0,-6,-4,-6,-8,88,62,36,1031,1028,1025,16,16,16,13,5,16,0.00,3,,246<br />
2015-1-15,10,4,-1,-3,-4,-7,78,56,34,1027,1025,1024,16,16,16,23,10,27,T,3,,258<br />
2015-1-16,15,5,-6,0,-3,-7,92,62,31,1026,1023,1019,16,16,11,13,3,16,0.00,0,,65<br />
2015-1-17,18,8,-1,2,0,-3,85,60,34,1021,1017,1012,16,16,16,35,12,42,0.00,0,,350<br />
2015-1-18,19,9,-1,-2,-4,-7,78,47,16,1024,1021,1017,16,16,16,34,11,45,0.00,0,,243<br />
2015-1-19,19,10,1,1,-1,-3,82,53,24,1017,1015,1013,16,16,16,16,3,23,0.00,0,,275<br />
2015-1-20,17,8,-1,2,-1,-5,89,55,21,1022,1018,1014,16,16,16,34,7,40,0.00,0,,51<br />
2015-1-21,15,7,-1,3,0,-3,96,66,35,1026,1024,1022,16,16,13,19,9,23,0.00,2,,289<br />
2015-1-22,10,7,4,4,2,-2,93,71,49,1031,1028,1026,16,15,8,26,5,35,10.41,7,Rain,58<br />
