
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-5,-9,-7,-11,-14,67,60,53,1020,1017,1013,16,16,13,39,24,48,T,7,Snow,238<br />
2015-1-2,2,-1,-4,-6,-7,-8,81,64,47,1027,1024,1019,16,16,14,23,9,27,0.00,4,,238<br />
2015-1-3,1,-1,-3,1,-2,-6,100,85,69,1023,1014,1007,16,5,2,16,6,26,17.02,7,Rain-Snow,109<br />
2015-1-4,1,-4,-9,0,-4,-13,96,85,73,1027,1013,1003,16,4,1,42,18,53,1.52,8,Snow,307<br />
2015-1-5,-9,-12,-15,-13,-17,-19,80,75,69,1035,1031,1026,16,7,1,37,21,52,0.25,8,Snow,263<br />
2015-1-6,-8,-11,-14,-12,-14,-17,88,81,73,1030,1024,1019,14,4,1,35,17,45,T,8,Snow,240<br />
2015-1-7,-8,-12,-15,-11,-17,-21,84,70,55,1038,1029,1019,16,6,1,47,25,60,0.25,6,Snow,316<br />
2015-1-8,-9,-16,-22,-12,-19,-25,86,74,62,1035,1020,1005,16,7,1,45,27,53,T,6,Snow,207<br />
2015-1-9,-8,-11,-14,-11,-14,-18,84,75,66,1028,1019,1006,5,2,0,48,22,64,0.25,8,Snow,269<br />
2015-1-10,-8,-12,-17,-14,-17,-20,87,73,58,1032,1029,1026,16,9,2,35,22,50,T,7,Snow,205<br />
2015-1-11,-1,-4,-8,-4,-7,-13,92,73,53,1027,1026,1024,16,9,1,29,17,37,1.27,8,Fog-Snow,202<br />
2015-1-12,-2,-7,-12,-4,-8,-17,92,75,57,1039,1028,1023,16,11,2,34,17,40,0.51,7,Snow,313<br />
2015-1-13,-9,-14,-21,-16,-19,-24,79,66,53,1043,1039,1034,16,16,10,19,6,26,0.00,0,,60<br />
2015-1-14,-8,-16,-24,-12,-21,-27,88,78,67,1033,1028,1024,16,8,0,21,8,23,T,5,Fog-Snow,184<br />
2015-1-15,-1,-8,-14,-5,-11,-17,88,75,62,1025,1018,1014,14,11,6,27,16,39,0.00,5,,207<br />
2015-1-16,0,-3,-6,-3,-7,-11,85,69,53,1023,1019,1014,16,15,10,26,12,34,T,6,,313<br />
2015-1-17,7,1,-7,0,-4,-11,84,69,53,1021,1011,1003,16,14,6,39,21,50,T,2,Rain,181<br />
2015-1-18,3,2,1,1,-2,-3,82,76,70,1015,1008,1003,16,14,5,29,16,40,0.76,8,Rain-Snow,257<br />
2015-1-19,3,0,-4,-1,-3,-4,92,76,59,1017,1015,1014,16,14,6,14,7,19,0.00,6,,299<br />
2015-1-20,1,0,-1,-2,-3,-4,92,82,72,1017,1014,1011,16,9,2,14,7,19,1.02,8,Snow,88<br />
2015-1-21,-1,-2,-3,-2,-3,-6,92,85,78,1024,1017,1014,11,5,2,14,7,18,0.76,8,Rain-Snow,95<br />
2015-1-22,-1,-2,-3,-5,-6,-7,84,74,63,1031,1028,1023,16,12,6,19,7,23,0.00,8,,305<br />
2015-1-23,-1,-2,-3,-5,-6,-6,81,75,69,1029,1020,1010,16,15,11,26,17,34,0.00,8,,230<br />
2015-1-24,3,1,-3,-1,-3,-6,89,80,70,1010,1006,1003,16,13,6,24,11,32,T,8,Rain,241<br />
2015-1-25,2,-3,-8,0,-6,-13,89,72,55,1016,1010,1005,16,10,1,26,14,37,T,7,Snow,53<br />
2015-1-26,-4,-9,-14,-13,-14,-16,92,66,40,1016,1015,1014,16,16,16,16,4,23,0.00,3,,68<br />
2015-1-27,-2,-6,-11,-11,-12,-13,80,63,46,1026,1021,1015,16,16,14,19,7,21,0.00,3,,27<br />
2015-1-28,-1,-7,-13,-9,-13,-16,84,63,42,1028,1024,1016,16,16,13,26,10,43,0.00,0,,162<br />
2015-1-29,1,-1,-3,-1,-4,-8,89,74,58,1023,1013,1006,16,11,1,47,19,56,0.51,7,Fog-Rain-Snow,314<br />
2015-1-30,-3,-6,-9,-7,-12,-13,73,62,50,1033,1029,1022,16,15,2,47,18,55,T,6,Snow,325<br />
2015-1-31,2,-4,-10,-3,-7,-12,88,72,56,1029,1025,1021,16,14,2,26,10,31,0.25,3,Snow,222<br />
2015-2-1,-1,-6,-10,-3,-8,-13,92,85,77,1023,1014,1006,3,1,0,35,17,48,11.68,8,Fog-Snow,51<br />
2015-2-2,-7,-11,-16,-12,-15,-21,84,62,40,1023,1016,1008,16,11,2,37,19,52,T,5,Snow,338<br />
