
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,16,9,3,7,5,3,97,80,55,1029,1027,1025,16,13,5,16,7,21,0.00,1,,45<br />
2015-1-2,16,13,9,14,11,5,100,84,71,1026,1025,1023,16,14,3,19,10,27,T,7,,95<br />
2015-1-3,24,19,14,19,17,13,100,93,73,1024,1021,1019,16,10,0,27,14,35,T,7,Fog,145<br />
2015-1-4,22,16,9,20,16,4,100,88,68,1028,1021,1018,16,13,2,39,18,50,19.81,6,Rain-Thunderstorm,253<br />
2015-1-5,14,9,3,4,2,1,89,71,42,1035,1032,1031,16,16,16,24,11,29,0.00,0,,359<br />
2015-1-6,16,9,1,2,0,-2,93,63,30,1032,1029,1026,16,16,16,21,8,29,0.00,0,,300<br />
2015-1-7,13,5,-4,1,-4,-16,82,53,33,1036,1029,1025,16,15,8,42,22,58,0.00,0,,337<br />
2015-1-8,3,-3,-9,-7,-13,-17,84,49,28,1037,1034,1029,16,16,16,35,11,50,0.00,0,,50<br />
2015-1-9,5,1,-4,-3,-6,-8,77,61,43,1031,1030,1028,16,16,16,19,8,26,T,6,Rain,331<br />
2015-1-10,11,5,-1,-4,-8,-10,61,44,23,1034,1032,1031,16,16,16,23,11,29,0.00,0,,40<br />
2015-1-11,17,11,4,9,3,-4,86,65,51,1032,1030,1026,16,16,16,26,14,34,0.00,5,,74<br />
2015-1-12,15,12,9,13,11,9,100,95,82,1026,1023,1022,16,5,0,21,6,23,T,7,Fog-Rain,81<br />
2015-1-13,16,13,11,11,11,8,100,89,75,1025,1024,1022,16,12,1,21,10,26,0.00,8,,3<br />
2015-1-14,12,9,6,8,6,5,93,82,66,1026,1024,1023,16,16,14,19,10,23,0.00,7,,2<br />
2015-1-15,8,7,6,7,6,4,100,94,87,1025,1023,1021,16,12,3,16,5,21,6.35,7,Rain,24<br />
2015-1-16,15,9,3,6,3,1,100,81,41,1026,1024,1023,16,13,6,24,9,29,0.00,3,,333<br />
2015-1-17,16,9,2,4,3,0,86,70,39,1026,1024,1021,16,16,16,19,6,27,0.00,0,,104<br />
2015-1-18,19,12,4,8,2,-4,93,64,22,1023,1022,1020,16,16,10,35,13,45,0.00,1,,289<br />
2015-1-19,21,11,1,2,-2,-6,82,48,16,1025,1022,1019,16,16,16,23,7,27,0.00,0,,227<br />
2015-1-20,21,11,2,10,6,1,96,73,47,1020,1018,1016,16,16,16,19,3,26,0.00,2,,229<br />
2015-1-21,22,14,7,12,8,2,100,86,39,1022,1019,1017,16,6,0,19,7,24,0.00,1,Fog,345<br />
2015-1-22,17,13,8,7,1,-1,77,47,32,1026,1023,1020,16,16,6,27,14,35,2.03,4,Rain,52<br />
2015-1-23,16,13,9,16,12,8,100,96,93,1020,1013,1009,16,8,1,35,16,47,46.74,8,Fog-Rain,107<br />
2015-1-24,12,8,3,8,2,-2,100,72,37,1018,1015,1010,16,15,8,39,21,47,T,4,Rain,289<br />
2015-1-25,18,9,-1,8,3,-1,92,67,32,1019,1014,1011,16,16,16,39,15,48,0.00,0,,227<br />
2015-1-26,11,7,3,7,2,1,80,68,54,1017,1015,1011,16,16,16,42,20,50,0.00,2,,294<br />
2015-1-27,17,9,2,3,1,-1,86,63,35,1021,1017,1015,16,16,16,37,14,45,0.00,0,,307<br />
2015-1-28,14,7,1,2,0,-1,89,66,39,1027,1025,1022,16,16,16,16,6,,0.00,0,,69<br />
2015-1-29,19,10,1,11,5,0,93,69,42,1028,1025,1022,16,15,11,26,13,34,0.00,0,,187<br />
2015-1-30,16,11,6,11,1,-4,96,57,30,1028,1026,1022,16,16,14,37,17,47,0.00,0,,342<br />
2015-1-31,16,8,-1,0,-3,-5,75,48,27,1030,1027,1025,16,16,16,21,9,29,0.00,0,,75<br />
2015-2-1,19,13,6,16,11,-1,100,83,56,1024,1018,1011,16,14,3,34,17,42,9.40,6,Rain,157<br />
2015-2-2,18,9,0,17,6,-3,94,76,48,1026,1017,1010,16,15,4,48,24,58,3.56,4,Rain,307<br />
2015-2-3,11,5,-1,2,-2,-4,82,63,37,1029,1027,1026,16,16,16,21,7,24,0.00,0,,38<br />
2015-2-4,8,7,6,7,4,-1,100,85,60,1026,1022,1017,16,11,4,21,8,24,12.45,7,Rain,64<br />
2015-2-5,16,9,2,7,3,-7,100,69,44,1027,1021,1017,16,14,4,32,17,39,0.00,2,Rain,350<br />
2015-2-6,15,7,-2,1,-4,-8,79,52,23,1031,1028,1027,16,16,16,23,6,27,0.00,0,,73<br />
