
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,17,12,7,8,7,6,86,73,60,1029,1027,1024,16,16,16,16,6,21,0.00,7,,51<br />
2015-1-2,20,16,12,16,12,8,93,83,72,1027,1025,1023,16,16,16,16,8,23,0.00,8,,82<br />
2015-1-3,26,21,16,22,18,15,100,85,69,1025,1023,1021,16,13,1,29,12,40,T,7,Rain,165<br />
2015-1-4,23,18,13,21,19,9,100,90,80,1027,1022,1020,16,10,0,26,9,37,0.00,8,Rain,200<br />
2015-1-5,15,10,4,8,4,1,93,68,39,1034,1031,1027,16,16,16,23,8,,0.00,1,Rain,6<br />
2015-1-6,17,9,2,6,3,1,100,67,34,1031,1028,1025,16,15,10,13,2,26,0.00,0,,175<br />
2015-1-7,17,9,1,3,-1,-9,92,62,32,1032,1026,1022,16,16,16,32,6,47,0.00,0,,330<br />
2015-1-8,5,0,-5,-7,-12,-15,54,40,25,1036,1033,1029,16,16,16,39,15,48,0.00,2,,35<br />
2015-1-9,11,7,2,2,-2,-8,76,60,44,1031,1029,1027,16,16,16,23,4,29,0.00,6,,25<br />
2015-1-10,13,8,2,3,-6,-8,76,50,24,1033,1031,1029,16,16,16,27,10,35,0.00,2,,34<br />
2015-1-11,17,12,7,11,7,1,93,77,60,1032,1030,1027,16,16,13,21,11,27,T,6,Rain,50<br />
2015-1-12,18,14,11,18,14,11,100,97,93,1027,1024,1020,16,6,0,21,3,23,0.00,8,Fog-Rain,68<br />
2015-1-13,17,15,13,16,14,12,100,92,84,1025,1023,1021,16,11,4,19,8,23,T,8,Rain,17<br />
2015-1-14,13,11,8,12,9,6,100,93,86,1025,1023,1022,16,9,1,23,12,26,0.00,8,Fog,22<br />
2015-1-15,8,7,5,7,6,4,100,93,86,1025,1023,1020,16,12,6,14,5,18,5.08,8,Rain,51<br />
2015-1-16,14,8,2,7,4,1,96,72,47,1025,1022,1020,16,14,6,19,4,24,0.25,3,,4<br />
2015-1-17,18,9,0,10,6,0,100,79,57,1027,1024,1021,16,12,5,14,3,19,0.00,1,,82<br />
2015-1-18,19,11,3,9,5,1,100,67,34,1023,1020,1019,16,10,2,19,3,34,0.00,1,,307<br />
2015-1-19,21,11,0,5,0,-5,96,58,20,1025,1022,1020,16,16,16,10,2,18,0.00,0,,181<br />
2015-1-20,20,11,1,10,5,1,100,69,37,1021,1019,1016,16,16,16,13,1,18,0.00,2,,170<br />
2015-1-21,23,15,7,13,9,6,100,72,44,1022,1019,1018,16,15,8,13,1,21,0.00,1,,-1<br />
2015-1-22,22,16,9,9,4,-1,93,61,28,1026,1023,1021,16,16,11,16,9,26,0.00,4,,50<br />
2015-1-23,19,16,13,19,14,6,100,77,53,1021,1014,1008,16,9,3,27,15,40,49.02,8,Rain-Thunderstorm,133<br />
2015-1-24,19,11,3,19,9,1,100,75,50,1017,1012,1006,16,16,8,19,7,40,1.78,5,Rain,286<br />
