
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,0,-4,-8,-10,-12,-16,61,52,43,1025,1022,1019,16,16,16,29,17,37,0.00,0,,242<br />
2015-1-2,3,-2,-7,-1,-7,-11,77,59,40,1027,1024,1019,16,15,4,19,4,24,0.25,3,Rain,143<br />
2015-1-3,3,2,1,2,1,-1,92,87,82,1020,1012,1008,14,4,1,14,5,19,16.00,8,Rain,62<br />
2015-1-4,2,-6,-14,-1,-9,-21,89,74,58,1039,1022,1009,16,8,1,37,21,55,2.79,7,Rain-Snow,300<br />
2015-1-5,-11,-13,-16,-13,-17,-22,84,71,58,1042,1034,1027,16,8,0,23,11,32,11.18,5,Snow,162<br />
2015-1-6,-9,-12,-14,-13,-16,-17,83,71,59,1034,1030,1026,16,15,6,34,13,43,0.51,5,Snow,323<br />
2015-1-7,-11,-16,-21,-16,-22,-26,80,66,51,1047,1041,1031,16,14,1,29,17,50,0.25,2,Snow,311<br />
2015-1-8,-4,-13,-22,-10,-17,-26,78,65,51,1042,1023,1013,16,10,3,50,27,77,T,6,Snow,235<br />
2015-1-9,-10,-13,-17,-15,-20,-22,75,66,57,1035,1030,1020,16,15,5,37,19,52,T,3,Snow,288<br />
2015-1-10,-2,-11,-19,-11,-16,-22,79,65,50,1035,1030,1026,16,16,16,39,17,50,0.00,4,,195<br />
2015-1-11,1,-1,-3,-2,-5,-10,92,73,54,1027,1025,1024,16,10,2,21,11,26,4.32,8,Rain-Snow,120<br />
2015-1-12,-1,-7,-14,-3,-10,-19,85,67,49,1041,1031,1024,16,12,1,27,13,42,3.30,4,Fog-Snow,360<br />
2015-1-13,-7,-12,-17,-13,-16,-21,86,69,51,1041,1038,1033,16,16,11,23,9,27,1.52,3,,49<br />
2015-1-14,-6,-13,-19,-10,-14,-22,83,75,67,1032,1029,1024,16,15,6,16,7,19,0.00,5,,189<br />
2015-1-15,4,-3,-11,-4,-8,-13,88,71,54,1023,1021,1018,16,13,6,21,11,24,0.00,0,,228<br />
2015-1-16,4,-1,-7,-1,-4,-9,100,82,64,1023,1021,1015,16,9,1,27,9,34,0.00,0,,194<br />
2015-1-17,9,6,1,1,-1,-2,82,69,56,1014,1009,1005,16,16,13,39,21,48,0.00,3,,231<br />
2015-1-18,8,3,-1,0,-2,-3,78,66,53,1017,1013,1009,16,16,16,27,13,42,T,1,,274<br />
2015-1-19,8,2,-4,2,-1,-6,85,74,62,1017,1015,1012,16,14,5,16,5,19,3.56,3,Rain,120<br />
2015-1-20,5,2,-1,1,1,-2,92,84,76,1017,1014,1011,16,9,1,21,7,26,T,6,Rain,265<br />
2015-1-21,3,2,0,1,-1,-2,92,84,75,1026,1020,1014,16,10,1,24,14,32,T,8,,280<br />
2015-1-22,3,2,1,1,-1,-3,96,83,70,1032,1029,1026,16,8,0,11,4,14,T,8,Fog,329<br />
2015-1-23,3,1,-2,-3,-4,-5,78,69,59,1029,1021,1012,16,16,14,21,10,26,0.00,5,,229<br />
2015-1-24,9,4,-2,2,-1,-5,92,77,61,1011,1008,1004,16,15,10,23,11,29,0.00,1,,245<br />
2015-1-25,4,0,-5,1,-2,-9,92,80,68,1017,1008,1002,16,10,2,37,16,53,4.57,7,Rain-Snow,37<br />
2015-1-26,1,-3,-7,-1,-6,-10,92,82,71,1018,1014,1011,16,8,1,21,8,24,2.54,7,Fog-Snow,198<br />
2015-1-27,2,1,-1,-1,-3,-4,92,82,72,1026,1021,1013,16,12,5,16,8,26,0.00,8,,24<br />
2015-1-28,6,1,-3,0,-3,-8,81,72,63,1025,1019,1007,16,15,8,37,22,50,T,2,,159<br />
2015-1-29,6,3,0,1,-2,-7,82,69,56,1030,1019,1005,16,15,8,34,20,58,T,7,,306<br />
2015-1-30,2,-1,-5,-7,-8,-9,74,59,44,1035,1032,1029,16,16,16,23,8,37,0.00,0,,292<br />
2015-1-31,4,0,-4,1,-2,-7,96,75,54,1029,1024,1019,16,10,2,21,11,24,7.11,7,Rain-Snow,192<br />
2015-2-1,2,-4,-10,1,-4,-13,100,87,73,1019,1010,1004,10,3,0,35,17,53,26.16,8,Fog-Snow,50<br />
2015-2-2,-8,-11,-13,-13,-16,-17,80,68,56,1027,1024,1018,16,16,14,27,11,48,T,2,,296<br />
2015-2-3,2,-4,-11,-2,-7,-14,88,77,66,1024,1020,1016,16,16,14,26,13,31,0.00,4,,196<br />
2015-2-4,1,-7,-14,-3,-9,-18,85,74,62,1033,1024,1017,16,7,0,23,11,35,5.33,4,Fog-Snow,340<br />
2015-2-5,-9,-14,-21,-13,-18,-23,79,69,59,1035,1032,1028,16,16,16,23,9,27,0.00,2,,216<br />
