
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,15,11,7,10,7,6,94,78,59,1028,1027,1025,16,16,8,21,6,,0.00,8,,23<br />
2015-1-2,20,16,11,15,12,10,94,80,68,1027,1026,1024,16,15,8,14,5,,0.00,8,,52<br />
2015-1-3,26,20,15,20,17,11,94,83,65,1026,1024,1022,16,16,16,19,10,27,0.00,6,,116<br />
2015-1-4,26,21,17,20,18,15,94,85,65,1024,1022,1020,16,15,1,24,10,60,0.00,6,,209<br />
2015-1-5,17,11,6,15,5,3,93,65,42,1032,1029,1024,16,16,8,23,10,40,0.00,0,,317<br />
2015-1-6,19,11,3,8,3,-1,100,67,28,1030,1026,1023,16,14,2,23,5,32,0.00,0,,271<br />
2015-1-7,17,10,3,2,-2,-11,76,47,23,1030,1023,1020,16,16,16,24,11,42,0.00,0,,294<br />
2015-1-8,3,0,-2,-5,-9,-15,65,49,32,1036,1033,1029,16,16,16,24,16,37,0.00,4,,7<br />
2015-1-9,12,7,2,0,-3,-7,75,51,33,1029,1027,1025,16,16,16,21,8,34,0.00,6,,296<br />
2015-1-10,13,8,4,5,-2,-8,71,51,34,1033,1031,1027,16,16,16,24,10,34,0.00,5,,17<br />
2015-1-11,15,11,8,13,8,2,94,80,66,1032,1030,1027,16,14,5,16,11,29,0.00,8,,28<br />
2015-1-12,18,16,14,17,14,13,100,92,88,1027,1023,1020,16,9,0,14,2,,0.00,8,Thunderstorm,343<br />
2015-1-13,16,13,10,15,13,8,100,94,87,1024,1022,1020,16,8,1,21,5,34,0.00,8,,38<br />
2015-1-14,10,8,6,8,6,4,100,90,82,1025,1023,1022,16,12,2,16,10,27,0.00,8,,360<br />
2015-1-15,7,6,5,6,4,3,93,89,81,1024,1022,1021,16,15,8,11,5,,0.00,8,,335<br />
2015-1-16,14,8,3,6,4,2,100,81,47,1024,1021,1020,16,13,1,16,3,,0.00,4,,316<br />
2015-1-17,17,9,1,10,6,1,100,82,55,1026,1024,1021,16,12,1,19,3,,0.00,4,,32<br />
2015-1-18,20,13,7,12,6,0,100,68,30,1021,1019,1016,16,12,0,27,6,47,0.00,2,,276<br />
2015-1-19,20,10,1,3,1,-6,93,60,17,1024,1021,1019,16,16,16,19,3,,0.00,0,,246<br />
2015-1-20,21,12,3,8,3,0,93,65,26,1021,1018,1016,16,16,16,14,6,,0.00,1,,218<br />
2015-1-21,23,16,8,11,9,6,94,72,33,1021,1018,1017,16,14,1,19,5,26,0.00,2,,283<br />
2015-1-22,21,13,6,12,6,0,94,74,25,1026,1023,1021,16,14,0,14,3,,0.00,1,,51<br />
2015-1-23,20,17,13,18,14,11,94,91,83,1023,1016,1008,16,13,5,32,14,58,0.00,8,,114<br />
2015-1-24,21,13,6,18,9,2,94,74,47,1016,1010,1004,16,16,11,39,23,61,0.00,5,,251<br />
2015-1-25,17,10,3,7,3,-1,87,64,31,1018,1015,1011,16,16,16,23,10,29,0.00,0,,233<br />
2015-1-26,15,11,6,8,4,0,87,64,44,1013,1010,1008,16,16,16,37,19,55,0.00,4,,260<br />
2015-1-27,15,9,3,2,1,-1,81,61,36,1019,1014,1012,16,16,16,27,14,42,0.00,1,,282<br />
2015-1-28,13,7,1,1,-2,-8,93,64,26,1028,1024,1019,16,16,2,16,6,26,0.00,0,,326<br />
2015-1-29,17,8,0,9,4,-1,100,78,48,1029,1026,1022,16,15,2,19,3,,0.00,0,,164<br />
2015-1-30,17,11,5,10,3,-3,88,56,26,1026,1022,1019,16,16,16,24,11,37,0.00,1,,282<br />
2015-1-31,13,8,2,2,0,-3,93,62,33,1030,1028,1026,16,16,16,24,6,29,0.00,0,,41<br />
2015-2-1,21,11,2,12,7,1,100,71,43,1027,1022,1015,16,15,2,26,6,42,0.00,1,,164<br />
2015-2-2,18,12,6,16,8,-1,94,65,34,1022,1014,1010,16,15,8,37,21,58,0.00,4,,250<br />
2015-2-3,12,6,1,4,0,-3,87,66,47,1029,1026,1022,16,16,11,19,8,26,0.00,0,,24<br />
2015-2-4,13,9,6,10,7,3,94,84,67,1027,1023,1017,16,15,6,13,3,,0.00,6,,31<br />
