
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,17,9,1,7,3,0,100,73,46,1029,1027,1025,16,11,3,13,4,,0.00,0,,32<br />
2015-1-2,17,13,8,12,8,6,86,74,62,1027,1025,1024,16,16,16,16,7,40,0.00,6,,59<br />
2015-1-3,24,19,14,19,16,11,100,87,74,1025,1023,1020,16,14,3,27,11,37,0.25,6,Rain,146<br />
2015-1-4,22,17,11,20,17,5,100,83,66,1028,1022,1019,16,14,1,37,13,52,18.80,6,Rain-Thunderstorm,233<br />
2015-1-5,14,8,3,4,2,-2,93,68,35,1034,1032,1029,16,16,14,19,10,34,0.00,0,,341<br />
2015-1-6,17,8,-1,3,1,-2,92,60,27,1031,1028,1025,16,15,11,24,5,29,0.00,0,Snow,284<br />
2015-1-7,15,7,-2,1,-3,-14,89,60,30,1035,1027,1023,16,16,16,45,16,56,0.00,0,,329<br />
2015-1-8,3,-2,-8,-8,-14,-18,68,46,24,1037,1034,1030,16,16,16,27,11,45,0.00,0,,36<br />
2015-1-9,8,2,-4,-5,-7,-9,81,55,28,1031,1029,1027,16,16,14,24,6,32,T,5,Snow,304<br />
2015-1-10,12,6,-1,-2,-7,-10,70,46,22,1034,1032,1030,16,16,16,21,8,35,0.00,0,,27<br />
2015-1-11,16,11,6,9,3,-4,93,69,45,1032,1030,1028,16,14,2,24,15,27,1.52,8,,54<br />
2015-1-12,11,9,8,11,9,7,100,97,93,1027,1024,1022,6,2,0,16,6,23,0.00,8,Fog,44<br />
2015-1-13,14,12,10,11,10,9,100,93,86,1026,1023,1021,14,6,0,14,6,23,0.00,8,Fog,12<br />
2015-1-14,11,9,7,11,7,4,100,86,71,1026,1024,1023,16,10,2,19,8,24,0.00,8,,30<br />
2015-1-15,7,7,6,6,5,4,92,88,83,1025,1023,1021,14,9,4,14,4,16,4.57,8,Rain,10<br />
2015-1-16,15,9,2,6,3,1,100,70,40,1025,1023,1022,16,11,1,21,6,26,0.00,2,,322<br />
2015-1-17,17,8,-1,8,3,-1,96,72,47,1027,1024,1022,16,15,11,16,3,23,0.00,0,,117<br />
2015-1-18,19,11,2,8,3,-3,96,60,24,1023,1021,1019,16,13,3,27,7,39,0.00,1,,291<br />
2015-1-19,20,9,-1,2,-1,-6,92,55,17,1025,1022,1020,16,16,16,23,5,26,0.00,0,,216<br />
2015-1-20,20,10,0,8,4,-1,89,66,42,1020,1018,1016,16,16,16,21,3,24,0.00,1,,238<br />
2015-1-21,23,14,5,11,6,4,100,69,37,1022,1019,1017,16,9,0,16,3,29,0.00,3,Fog,338<br />
2015-1-22,19,12,6,6,2,0,82,56,30,1026,1024,1021,16,16,13,26,9,34,0.00,2,,43<br />
2015-1-23,18,14,11,17,13,6,100,79,57,1021,1014,1007,16,6,0,32,10,39,58.17,8,Fog-Rain,52<br />
2015-1-24,16,9,2,15,4,-3,93,63,32,1017,1013,1007,16,15,6,32,17,47,0.51,5,Rain,283<br />
2015-1-25,17,8,-1,8,2,-2,92,62,32,1019,1015,1011,16,16,16,34,11,40,0.00,0,,211<br />
2015-1-26,11,6,1,8,3,-1,93,74,54,1016,1013,1010,16,16,16,39,14,52,0.00,3,,291<br />
2015-1-27,16,8,-1,2,1,-1,96,64,32,1020,1016,1014,16,16,16,29,9,40,0.00,1,,292<br />
2015-1-28,13,6,-1,2,-1,-2,92,68,37,1027,1025,1021,16,16,14,16,5,,0.00,0,,20<br />
