
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-2,-8,-14,-7,-11,-17,84,76,68,1022,1016,1011,16,16,16,37,24,45,0.00,6,,272<br />
2015-1-2,-4,-10,-16,-8,-12,-17,88,78,68,1026,1023,1019,16,16,16,26,13,29,0.00,5,,183<br />
2015-1-3,-2,-6,-10,-3,-6,-12,92,84,75,1018,1013,1009,14,6,0,48,18,56,0.25,7,Fog-Snow,204<br />
2015-1-4,-10,-16,-22,-13,-21,-26,88,74,59,1036,1025,1014,16,6,1,53,33,64,1.78,3,Snow,325<br />
2015-1-5,-17,-21,-26,-19,-23,-29,87,76,64,1038,1031,1025,16,9,1,26,15,31,2.29,3,Fog-Snow,170<br />
2015-1-6,-16,-19,-23,-19,-22,-25,92,80,68,1035,1030,1025,16,13,6,50,25,61,0.00,2,,292<br />
2015-1-7,-18,-21,-23,-23,-26,-28,79,68,57,1048,1043,1033,16,15,8,45,28,53,0.00,0,,299<br />
2015-1-8,-9,-16,-23,-11,-18,-27,88,77,65,1034,1013,1003,16,3,0,61,40,77,2.79,6,Fog-Snow,274<br />
2015-1-9,-17,-18,-21,-21,-22,-24,79,72,65,1030,1026,1018,16,12,2,47,29,58,T,4,Snow,284<br />
2015-1-10,-7,-14,-23,-11,-17,-25,92,78,64,1028,1023,1018,16,16,14,37,20,45,0.00,4,,209<br />
2015-1-11,-7,-12,-17,-14,-16,-18,95,75,54,1030,1026,1022,16,15,11,29,13,34,T,3,,348<br />
2015-1-12,-12,-17,-22,-16,-21,-23,91,80,68,1045,1040,1031,16,16,14,32,15,37,0.00,0,,341<br />
2015-1-13,-10,-18,-27,-13,-20,-29,91,82,73,1044,1038,1029,16,15,11,34,14,40,0.00,1,,185<br />
2015-1-14,-6,-8,-10,-8,-10,-12,91,83,74,1028,1023,1018,16,9,2,34,18,39,0.25,8,Snow,222<br />
2015-1-15,-1,-4,-7,-3,-6,-9,91,82,72,1020,1017,1015,16,13,5,34,21,39,0.00,3,,260<br />
2015-1-16,0,-5,-10,-3,-7,-12,92,85,78,1019,1016,1007,16,5,0,35,18,48,0.00,3,Fog,153<br />
2015-1-17,3,0,-3,-1,-2,-5,92,84,75,1006,1003,1001,16,14,8,48,26,60,0.00,4,,262<br />
2015-1-18,2,-2,-6,-2,-4,-7,92,84,75,1016,1012,1005,16,16,11,34,17,40,0.00,0,,280<br />
2015-1-19,1,-4,-9,-2,-6,-10,100,91,82,1017,1013,1009,16,8,0,34,15,40,0.25,5,Fog-Snow,155<br />
2015-1-20,-1,-1,-2,-2,-2,-3,92,89,85,1016,1013,1008,10,3,0,21,11,23,3.05,8,Fog-Snow,76<br />
2015-1-21,-1,-3,-5,-2,-4,-7,92,87,81,1028,1019,1013,14,6,2,24,15,27,1.02,8,Snow,2<br />
2015-1-22,-3,-4,-6,-5,-6,-8,92,87,81,1032,1028,1025,16,14,10,45,20,55,0.00,8,,256<br />
2015-1-23,0,-3,-6,-3,-5,-7,92,84,75,1025,1016,1011,16,13,10,45,28,58,0.00,2,,229<br />
2015-1-24,2,-2,-6,-1,-2,-6,100,91,82,1010,1006,1002,14,8,0,23,13,27,0.00,4,Fog,261<br />
2015-1-25,1,-2,-5,-1,-6,-9,92,80,68,1019,1013,1004,16,15,6,32,17,40,T,8,Snow,19<br />
2015-1-26,3,-1,-5,0,-3,-7,92,84,76,1016,1010,1006,16,12,1,34,23,42,0.76,7,Snow,235<br />
2015-1-27,1,-1,-3,-1,-4,-4,92,85,78,1023,1021,1016,16,15,11,32,15,37,0.00,8,,88<br />
2015-1-28,1,-2,-4,-2,-3,-6,92,85,78,1022,1014,1008,13,5,0,40,25,52,T,8,Fog,144<br />
2015-1-29,1,-5,-11,-1,-5,-14,100,84,67,1034,1020,1009,16,11,2,52,36,63,T,7,Rain,331<br />
2015-1-30,-5,-9,-14,-9,-13,-17,91,79,67,1036,1032,1024,16,16,16,26,15,31,0.00,0,,199<br />
2015-1-31,-1,-4,-7,-4,-6,-9,88,81,74,1024,1022,1019,16,10,1,29,17,37,3.30,6,Snow,45<br />
2015-2-1,-4,-10,-16,-6,-12,-19,92,77,61,1025,1020,1017,16,5,0,45,32,55,5.08,6,Fog-Snow,30<br />
2015-2-2,-13,-17,-22,-18,-21,-25,79,68,57,1026,1023,1018,16,16,16,26,16,31,0.00,1,,234<br />
2015-2-3,-10,-14,-18,-12,-14,-19,95,86,76,1021,1017,1014,16,9,0,21,9,23,3.30,6,Fog-Snow,154<br />
2015-2-4,-11,-17,-24,-13,-16,-26,91,79,66,1033,1025,1017,16,9,3,35,20,42,T,5,Snow,310<br />
2015-2-5,-12,-19,-27,-17,-21,-29,86,76,66,1033,1027,1022,16,15,6,52,23,60,0.00,1,,208<br />
2015-2-6,-2,-8,-13,-8,-11,-16,84,76,68,1021,1017,1012,16,14,10,23,15,27,0.00,2,,166<br />
2015-2-7,2,-3,-8,-1,-5,-9,92,84,75,1011,1005,1001,11,6,3,27,14,35,0.00,0,,150<br />
2015-2-8,-1,-2,-4,-2,-4,-7,92,84,75,1022,1011,1002,16,8,3,27,19,34,0.51,7,Rain,12<br />
2015-2-9,-2,-6,-11,-8,-9,-12,88,76,63,1027,1025,1021,16,16,11,19,9,21,0.00,5,,50<br />
2015-2-10,1,-4,-11,-1,-6,-12,96,84,71,1025,1015,1011,16,6,0,52,26,63,2.29,7,Fog-Rain-Snow,173<br />
2015-2-11,1,-8,-17,-1,-12,-21,92,80,67,1031,1022,1012,16,10,2,56,42,66,T,7,Rain-Snow,311<br />
2015-2-12,-14,-17,-21,-18,-21,-24,82,74,65,1038,1034,1029,16,16,16,40,18,53,0.00,0,,294<br />
2015-2-13,-2,-11,-19,-6,-11,-19,87,81,74,1027,1019,1013,16,16,14,42,28,52,0.00,7,,255<br />
2015-2-14,-11,-15,-20,-15,-24,-27,76,63,49,1038,1030,1017,16,15,11,60,31,71,0.00,1,,347<br />
2015-2-15,-13,-17,-20,-19,-23,-27,69,60,51,1038,1034,1028,16,16,16,24,16,29,0.00,7,,130<br />
2015-2-16,-7,-11,-14,-9,-14,-19,84,74,63,1027,1019,1014,16,8,2,35,19,42,0.25,7,Snow,238<br />
2015-2-17,-13,-16,-18,-18,-19,-22,87,78,69,1018,1015,1011,16,11,1,45,27,53,T,5,Fog-Snow,307<br />
2015-2-18,-18,-21,-23,-24,-25,-27,75,67,58,1029,1024,1013,16,14,10,42,30,50,0.00,2,,313<br />
2015-2-19,-16,-21,-27,-21,-24,-28,81,72,62,1032,1029,1024,16,16,11,24,12,29,0.00,1,,230<br />
2015-2-20,-4,-10,-16,-7,-14,-21,88,78,68,1023,1014,1009,16,8,2,42,24,50,0.51,8,Snow,184<br />
2015-2-21,-5,-11,-17,-7,-11,-21,92,79,66,1029,1017,1009,16,10,3,35,20,42,T,6,Snow,328<br />
2015-2-22,-17,-20,-23,-22,-25,-27,75,64,53,1044,1038,1030,16,15,6,39,25,43,0.00,1,,318<br />
2015-2-23,-9,-18,-27,-16,-22,-29,79,70,61,1044,1033,1015,16,16,16,52,25,63,0.00,0,,230<br />
2015-2-24,0,-6,-13,-4,-11,-18,75,59,43,1014,1008,1004,16,13,1,63,38,72,T,5,Snow,288<br />
2015-2-25,-11,-14,-17,-14,-17,-22,83,72,61,1025,1017,1011,16,8,0,26,15,31,4.57,6,Fog-Snow,33<br />
2015-2-26,-15,-19,-23,-21,-23,-26,83,71,59,1035,1031,1025,16,16,14,32,20,37,0.00,0,,323<br />
2015-2-27,-14,-20,-27,-19,-23,-28,87,78,69,1038,1037,1032,16,16,16,19,14,21,0.00,0,,243<br />
2015-2-28,-12,-19,-26,-16,-20,-28,92,78,63,1038,1034,1027,16,14,6,29,20,39,T,3,Snow,176<br />
2015-3-1,-6,-11,-15,-11,-13,-16,92,77,62,1030,1026,1024,16,10,2,37,24,45,T,4,,237<br />
2015-3-2,-7,-12,-17,-11,-13,-17,100,81,61,1035,1029,1020,16,15,5,37,15,42,0.00,3,,216<br />
2015-3-3,-2,-8,-14,-5,-8,-18,92,80,68,1018,1009,1004,16,9,2,47,30,60,1.02,7,Rain-Snow,254<br />
2015-3-4,-12,-16,-21,-17,-21,-24,76,70,63,1032,1025,1018,16,15,3,40,25,52,0.00,2,Snow,305<br />
2015-3-5,-13,-18,-24,-18,-22,-27,86,74,62,1036,1033,1029,16,16,16,24,15,29,0.00,0,,245<br />
2015-3-6,2,-7,-17,-3,-11,-21,84,74,64,1028,1021,1017,16,16,16,39,23,47,0.00,1,,221<br />
2015-3-7,4,-1,-6,-2,-4,-7,88,74,59,1022,1019,1014,16,16,16,40,23,50,0.00,2,,285<br />
2015-3-8,7,2,-3,2,-1,-4,96,79,62,1023,1021,1019,16,16,16,29,16,35,0.00,3,,245<br />
2015-3-9,9,5,0,4,0,-2,89,78,66,1020,1018,1015,16,16,16,35,20,43,0.00,0,,208<br />
2015-3-10,15,8,2,8,3,-1,89,75,61,1020,1014,1012,16,14,10,27,20,32,0.00,0,,232<br />
2015-3-11,12,6,0,2,-2,-4,82,60,38,1028,1026,1021,16,16,16,24,11,31,0.00,0,,85<br />
2015-3-12,14,9,3,7,2,-2,82,69,55,1028,1025,1021,16,14,10,42,29,53,0.00,0,,170<br />
2015-3-13,17,10,3,8,6,2,89,70,51,1021,1020,1018,16,12,5,37,26,45,0.00,0,,263<br />
2015-3-14,14,7,0,4,1,-1,89,66,43,1023,1022,1021,16,15,11,34,18,42,0.00,0,,305<br />
