
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-5,-9,-8,-11,-14,72,63,49,1026,1023,1021,16,16,16,32,24,40,0.00,0,,240<br />
2015-1-2,2,-2,-7,0,-5,-9,96,75,52,1028,1025,1019,16,15,4,24,11,32,0.00,3,,187<br />
2015-1-3,2,1,0,2,1,0,100,99,93,1021,1013,1008,16,3,0,19,11,,19.56,8,Fog-Rain,92<br />
2015-1-4,1,-7,-14,1,-6,-18,100,89,67,1038,1019,1007,16,7,1,42,19,58,1.02,7,Rain-Snow,296<br />
2015-1-5,-11,-14,-17,-12,-16,-22,92,80,63,1043,1035,1026,16,9,1,27,19,,0.00,5,Fog-Snow,201<br />
2015-1-6,-11,-12,-14,-12,-14,-17,92,83,70,1034,1029,1024,16,13,3,37,14,40,0.00,4,Snow,339<br />
2015-1-7,-12,-17,-21,-16,-21,-25,79,72,63,1048,1040,1029,16,11,3,47,35,61,0.00,2,Snow,308<br />
2015-1-8,-5,-13,-22,-8,-16,-26,86,74,58,1044,1023,1013,16,11,1,53,31,80,0.00,4,Snow,244<br />
2015-1-9,-11,-14,-17,-13,-17,-21,87,75,56,1036,1026,1018,16,8,2,50,32,58,0.00,5,Snow,290<br />
2015-1-10,-4,-11,-19,-10,-15,-22,83,70,60,1036,1032,1028,16,16,16,47,21,55,0.00,3,,209<br />
2015-1-11,0,-2,-4,0,-3,-9,100,87,66,1028,1026,1024,16,10,2,24,14,,0.51,8,Rain-Snow,196<br />
2015-1-12,-1,-7,-14,-1,-7,-17,100,87,68,1041,1030,1024,16,9,1,34,16,42,0.00,5,Snow,352<br />
2015-1-13,-10,-13,-16,-13,-16,-18,92,82,73,1042,1039,1034,16,16,14,23,16,,0.00,2,Snow,34<br />
2015-1-14,-8,-13,-19,-10,-17,-22,92,87,77,1033,1030,1026,16,9,0,19,3,,0.00,2,Fog,208<br />
2015-1-15,0,-6,-11,-3,-7,-12,92,82,70,1025,1022,1020,16,15,13,24,18,,0.00,0,,233<br />
2015-1-16,1,-3,-8,-1,-4,-8,100,94,82,1025,1022,1017,16,9,0,27,11,,0.00,0,Fog,204<br />
2015-1-17,6,3,-1,3,1,-2,92,80,70,1016,1010,1006,16,16,11,39,27,50,0.00,2,,222<br />
2015-1-18,6,2,-2,1,0,-2,96,84,68,1018,1013,1008,16,16,16,32,23,40,0.00,1,Rain,260<br />
2015-1-19,6,1,-3,3,1,-4,100,89,74,1018,1016,1013,16,15,8,16,8,,0.76,1,Rain,143<br />
2015-1-20,4,2,0,2,1,-1,100,93,86,1017,1015,1012,16,11,4,23,13,,0.00,6,,263<br />
2015-1-21,2,1,-1,1,1,-1,100,96,86,1027,1021,1014,16,7,1,24,11,32,0.00,7,Fog-Rain,278<br />
2015-1-22,1,0,-1,0,-1,-3,100,92,79,1033,1030,1025,16,9,2,11,6,,0.00,8,,335<br />
2015-1-23,1,-1,-3,-3,-3,-4,89,81,70,1030,1022,1013,16,16,16,16,11,,0.00,5,,234<br />
2015-1-24,7,2,-2,3,-1,-3,93,86,73,1012,1009,1005,16,15,11,26,18,,0.00,1,,248<br />
2015-1-25,2,-1,-4,1,-1,-6,100,95,84,1017,1008,1003,16,9,2,48,21,60,4.06,7,Rain-Snow,43<br />
2015-1-26,-1,-4,-7,-1,-4,-9,100,92,80,1018,1014,1011,16,7,1,23,14,,0.00,6,Fog-Rain-Snow,229<br />
2015-1-27,1,-1,-2,-1,-2,-4,100,92,79,1027,1020,1012,16,9,4,23,11,,0.00,8,,17<br />
2015-1-28,3,-1,-6,0,-3,-8,93,81,67,1027,1021,1010,16,15,6,47,21,58,0.00,0,Rain,158<br />
2015-1-29,4,2,0,2,-1,-4,89,83,73,1029,1019,1006,16,14,5,40,29,50,0.00,6,,299<br />
2015-1-30,0,-3,-6,-5,-7,-8,92,74,57,1036,1033,1030,16,16,16,32,18,39,0.00,1,,298<br />
2015-1-31,3,-1,-4,1,-2,-6,100,89,70,1030,1025,1020,16,9,2,21,16,,4.32,6,Rain-Snow,210<br />
2015-2-1,1,-4,-10,1,-3,-12,100,97,86,1020,1012,1003,10,2,0,37,18,55,12.19,8,Fog-Snow,87<br />
2015-2-2,-9,-11,-14,-12,-14,-17,92,79,68,1028,1023,1013,16,13,2,37,23,52,0.00,4,Snow,325<br />
2015-2-3,1,-6,-13,-1,-7,-14,92,84,78,1026,1022,1017,16,16,16,34,11,42,0.00,2,,207<br />
2015-2-4,1,-6,-13,-2,-8,-16,96,86,73,1033,1024,1017,16,9,0,27,19,,0.00,4,Fog-Snow,333<br />
2015-2-5,-8,-13,-18,-12,-17,-21,83,75,65,1036,1033,1029,16,16,16,23,8,,0.00,1,,228<br />
2015-2-6,1,-4,-9,-3,-7,-13,96,80,71,1028,1023,1017,16,16,16,27,16,,0.00,0,,196<br />
2015-2-7,5,1,-3,3,1,-4,96,88,82,1016,1010,1005,16,16,16,29,21,,0.00,0,,200<br />
2015-2-8,7,3,-1,4,2,-1,100,94,80,1016,1010,1003,16,7,0,27,21,,0.00,5,Fog,349<br />
2015-2-9,-1,-3,-4,-1,-4,-6,100,94,81,1026,1021,1014,16,9,3,26,23,34,0.00,8,Snow,2<br />
2015-2-10,1,-2,-4,-2,-4,-7,89,82,70,1027,1024,1019,16,16,16,26,14,,0.00,5,,115<br />
2015-2-11,1,-3,-7,1,-4,-11,100,82,74,1024,1021,1017,16,14,2,40,23,50,0.00,6,,284<br />
2015-2-12,-8,-10,-12,-11,-15,-17,85,69,54,1035,1031,1022,16,14,4,40,31,58,0.00,3,Snow,338<br />
2015-2-13,-1,-7,-13,-6,-11,-16,84,73,66,1033,1025,1016,16,16,16,32,14,,0.00,4,,215<br />
2015-2-14,-2,-9,-16,-4,-14,-22,85,61,43,1036,1023,1013,16,16,16,52,31,69,0.00,2,Snow,322<br />
2015-2-15,-9,-13,-17,-15,-19,-23,65,58,47,1038,1035,1031,16,16,16,24,18,,0.00,4,,56<br />
2015-2-16,-8,-10,-13,-15,-17,-21,80,58,39,1030,1024,1020,16,16,16,21,13,,0.00,3,,53<br />
2015-2-17,-4,-7,-10,-9,-12,-15,86,70,51,1019,1016,1013,16,14,2,34,18,39,0.00,5,Snow,288<br />
2015-2-18,-11,-13,-17,-13,-18,-22,85,69,48,1029,1019,1012,16,12,1,42,26,50,0.00,4,Snow,311<br />
2015-2-19,-13,-17,-20,-22,-24,-26,72,57,38,1034,1032,1029,16,16,16,26,19,,0.00,0,,339<br />
2015-2-20,-3,-10,-17,-9,-16,-22,89,62,37,1032,1023,1014,16,15,8,48,26,58,0.00,4,Snow,173<br />
2015-2-21,2,-3,-8,-3,-6,-9,96,88,67,1024,1016,1012,16,10,2,21,11,,0.00,6,Snow,214<br />
2015-2-22,-3,-9,-15,-6,-14,-21,81,65,44,1042,1033,1025,16,16,16,35,23,39,0.00,2,,328<br />
2015-2-23,-9,-13,-18,-18,-22,-23,76,57,31,1044,1040,1029,16,16,16,23,18,,0.00,0,,308<br />
2015-2-24,1,-8,-17,-6,-13,-21,78,63,44,1029,1017,1011,16,16,16,39,24,53,0.00,1,,243<br />
2015-2-25,1,-3,-8,-4,-8,-13,100,73,36,1017,1014,1012,16,10,2,29,18,,0.00,4,Snow,60<br />
2015-2-26,-6,-9,-14,-7,-11,-18,93,86,69,1034,1022,1015,16,7,1,27,23,,0.00,7,Snow,10<br />
2015-2-27,-8,-14,-21,-17,-19,-24,83,69,49,1042,1040,1035,16,16,16,14,10,,0.00,0,,289<br />
2015-2-28,-4,-10,-16,-8,-11,-19,93,81,55,1043,1036,1031,16,9,1,23,8,,0.00,5,Snow,140<br />
2015-3-1,-3,-5,-8,-6,-7,-10,100,91,78,1033,1029,1027,16,7,1,21,5,,0.00,7,Fog-Snow,246<br />
2015-3-2,-2,-7,-11,-7,-9,-12,88,78,66,1036,1033,1025,16,16,11,21,13,,0.00,0,,125<br />
2015-3-3,3,0,-3,3,-1,-7,100,94,75,1023,1012,1006,16,7,1,39,24,50,6.10,7,Fog-Rain-Snow,218<br />
2015-3-4,-1,-6,-11,-3,-12,-16,89,69,57,1031,1023,1014,16,16,16,35,24,40,0.00,1,,323<br />
2015-3-5,-9,-13,-17,-16,-17,-19,83,66,54,1039,1036,1031,16,16,16,21,16,,0.00,0,,332<br />
2015-3-6,-2,-10,-18,-6,-12,-21,83,76,66,1037,1031,1024,16,16,16,45,19,52,0.00,0,,196<br />
2015-3-7,10,4,-2,3,-1,-6,86,74,56,1024,1022,1019,16,16,16,35,26,42,0.00,0,,257<br />
2015-3-8,8,3,-1,3,1,-2,96,81,70,1026,1023,1022,16,16,14,19,10,,0.00,1,,175<br />
2015-3-9,11,6,-1,6,3,-1,100,90,63,1024,1022,1020,16,9,1,27,14,,0.00,4,Fog,145<br />
2015-3-10,13,8,2,8,4,3,100,96,62,1021,1017,1015,16,4,0,21,13,,0.00,5,Fog-Rain,187<br />
2015-3-11,15,8,1,11,6,-1,100,83,62,1031,1025,1020,16,14,5,23,14,,0.00,0,,341<br />
2015-3-12,14,6,-2,7,2,-2,96,78,57,1033,1030,1027,16,14,4,27,18,40,0.00,0,,111<br />
2015-3-13,14,8,3,9,7,2,100,87,67,1025,1020,1017,16,11,0,14,10,,0.00,2,Fog-Rain,152<br />
2015-3-14,16,11,6,8,6,2,100,82,42,1023,1018,1016,16,10,0,27,14,32,0.00,2,Fog,303<br />
2015-3-15,18,9,0,6,3,-1,96,64,38,1027,1023,1019,16,16,16,29,16,39,0.00,0,,232<br />
2015-3-16,24,16,8,13,8,2,71,59,43,1019,1015,1010,16,16,16,29,23,47,0.00,0,,233<br />
