
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,12,6,-1,-3,-5,-8,64,46,28,1022,1020,1018,16,16,16,13,5,16,0.00,0,,129<br />
2015-1-2,11,6,-1,1,-2,-4,78,57,35,1024,1022,1020,16,16,16,14,3,16,0.00,1,,306<br />
2015-1-3,13,6,-1,2,-1,-2,85,63,41,1027,1025,1023,16,16,16,13,4,16,0.00,1,,173<br />
2015-1-4,13,7,1,3,2,0,89,68,47,1030,1029,1027,16,16,13,16,4,24,0.00,3,,296<br />
2015-1-5,16,9,2,4,2,1,92,68,43,1029,1027,1024,16,14,11,14,1,16,0.00,4,,172<br />
2015-1-6,17,11,4,5,4,2,85,62,39,1026,1023,1022,16,14,11,10,1,13,0.00,1,,246<br />
2015-1-7,21,12,3,7,4,2,92,63,33,1024,1021,1019,16,16,13,11,2,13,0.00,2,,119<br />
2015-1-8,16,12,7,7,6,5,89,72,55,1019,1017,1016,16,15,13,11,2,16,0.00,5,,118<br />
2015-1-9,18,14,9,10,8,6,89,69,48,1017,1016,1014,16,14,11,14,2,16,0.00,5,,290<br />
2015-1-10,16,12,8,10,8,7,100,80,60,1017,1016,1014,16,13,8,14,3,16,0.00,4,,293<br />
2015-1-11,13,10,7,10,8,6,100,92,83,1022,1019,1016,14,6,0,19,4,23,0.00,6,Fog,292<br />
2015-1-12,16,11,5,10,7,4,100,80,60,1025,1023,1022,16,14,10,14,4,21,0.25,2,,281<br />
2015-1-13,18,12,6,9,6,2,100,67,34,1023,1022,1019,16,8,0,26,6,32,0.00,3,Fog,203<br />
2015-1-14,17,11,4,7,4,1,86,66,46,1026,1023,1022,16,15,11,16,4,19,0.00,4,,63<br />
