
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-11,-20,-4,-8,-19,100,77,53,1025,1014,1009,16,8,1,19,7,24,3.56,6,Fog-Snow,133<br />
2015-1-2,-1,-12,-23,-10,-16,-22,100,68,36,1028,1023,1019,16,16,16,14,6,19,0.00,0,,344<br />
2015-1-3,-6,-12,-18,-11,-14,-18,100,84,67,1033,1018,1011,16,6,0,19,6,23,T,4,Fog-Snow,81<br />
2015-1-4,-1,-9,-19,-8,-13,-20,95,77,58,1041,1038,1033,16,16,16,16,7,19,0.00,0,,46<br />
2015-1-5,3,-6,-15,-7,-11,-16,92,70,48,1043,1038,1035,16,16,16,14,6,16,0.00,0,,38<br />
2015-1-6,8,-1,-10,-3,-7,-11,96,71,45,1040,1036,1032,16,16,16,13,4,13,0.00,0,,29<br />
2015-1-7,12,3,-7,-1,-4,-8,96,70,44,1039,1034,1030,16,16,16,19,7,21,0.00,0,,40<br />
2015-1-8,9,2,-6,-1,-3,-7,96,75,53,1029,1026,1022,16,16,16,14,6,18,0.00,0,,21<br />
2015-1-9,8,2,-4,-2,-4,-6,92,69,45,1028,1025,1023,16,16,16,14,7,19,0.00,0,,50<br />
2015-1-10,8,1,-6,-1,-4,-7,92,73,53,1025,1022,1018,16,16,16,14,7,21,0.00,2,,28<br />
2015-1-11,5,2,-2,1,-1,-3,100,87,73,1025,1021,1018,16,9,1,29,6,39,2.29,6,Fog-Snow,107<br />
2015-1-12,6,1,-4,0,-2,-4,100,77,53,1028,1023,1021,16,7,0,16,6,23,5.33,7,Fog-Rain-Snow,72<br />
2015-1-13,1,1,-1,1,-1,-1,100,95,89,1021,1019,1017,16,7,0,16,8,23,13.46,8,Fog-Snow,77<br />
2015-1-14,2,-1,-5,1,-1,-5,100,91,82,1028,1022,1019,16,9,0,19,6,21,0.25,7,Fog-Snow,239<br />
2015-1-15,3,-3,-8,-4,-5,-8,100,82,64,1036,1031,1025,16,13,0,19,7,21,0.00,5,Fog,12<br />
2015-1-16,4,-4,-14,-3,-7,-14,100,77,54,1035,1029,1023,16,12,0,19,5,19,0.00,1,Fog,3<br />
2015-1-17,-1,-6,-12,-3,-7,-12,96,89,81,1036,1029,1023,16,7,0,16,6,19,0.00,5,Fog,61<br />
2015-1-18,3,-4,-12,-4,-9,-14,92,73,54,1037,1033,1029,16,11,0,19,6,21,0.00,2,Fog,33<br />
2015-1-19,6,-2,-11,-2,-6,-12,92,73,53,1032,1028,1022,16,16,16,13,6,14,0.00,1,,51<br />
2015-1-20,5,-2,-8,-2,-5,-9,100,80,60,1026,1023,1021,16,11,0,21,5,23,0.00,3,Fog,65<br />
2015-1-21,4,-1,-6,-3,-4,-7,92,73,54,1020,1018,1015,16,16,16,23,7,34,0.00,3,,75<br />
2015-1-22,1,-4,-9,-8,-10,-12,80,62,43,1031,1026,1017,16,16,16,27,13,42,T,3,Snow,162<br />
2015-1-23,3,-4,-12,-8,-11,-14,92,66,40,1032,1030,1028,16,16,16,14,5,16,0.00,0,,6<br />
2015-1-24,3,-3,-10,-7,-9,-12,88,66,44,1033,1030,1024,16,16,16,21,6,24,0.00,0,,34<br />
2015-1-25,9,0,-9,-4,-7,-11,92,65,38,1032,1029,1025,16,16,16,19,5,19,0.00,0,,32<br />
2015-1-26,14,4,-7,-2,-5,-7,92,59,26,1033,1030,1025,16,16,16,21,5,27,0.00,0,,32<br />
2015-1-27,11,4,-3,-2,-3,-5,85,61,36,1031,1027,1025,16,16,16,23,6,24,T,3,,63<br />
2015-1-28,10,4,-2,0,-2,-4,92,67,42,1028,1025,1022,16,16,16,26,8,32,0.00,1,,358<br />
2015-1-29,8,3,-2,1,-1,-3,92,71,49,1031,1028,1026,16,16,14,16,5,21,0.76,6,Rain,72<br />
2015-1-30,2,1,-1,1,-1,-2,100,91,82,1027,1021,1015,16,6,1,19,9,23,14.48,8,Fog-Rain-Snow,77<br />
2015-1-31,3,1,-1,1,0,-1,100,93,85,1016,1013,1011,16,7,0,19,5,23,3.30,8,Fog-Snow,94<br />
2015-2-1,4,1,-3,0,-2,-4,100,80,59,1026,1020,1015,16,11,0,19,5,21,0.00,5,Fog,326<br />
2015-2-2,9,2,-6,-1,-3,-6,100,75,50,1027,1024,1020,16,16,16,21,7,26,0.00,0,,73<br />
2015-2-3,11,4,-4,1,-2,-5,92,71,50,1025,1022,1019,16,16,16,26,7,34,0.00,0,,65<br />
2015-2-4,13,5,-3,2,-3,-6,92,61,29,1025,1022,1018,16,16,16,32,9,43,0.00,0,,340<br />
2015-2-5,11,4,-3,-1,-3,-6,85,62,38,1030,1027,1023,16,16,16,14,6,19,0.00,0,,71<br />
2015-2-6,15,5,-5,-3,-6,-8,96,59,21,1030,1027,1024,16,16,16,21,7,27,0.00,0,,28<br />
2015-2-7,14,5,-5,-2,-6,-8,88,55,21,1026,1022,1018,16,16,16,47,13,61,0.00,0,,23<br />
2015-2-8,15,6,-4,-1,-3,-6,88,59,30,1028,1024,1021,16,16,16,21,7,27,0.00,0,,77<br />
2015-2-9,16,6,-4,0,-3,-6,92,61,30,1028,1023,1020,16,16,16,26,8,32,0.00,0,,14<br />
2015-2-10,14,5,-5,-3,-6,-7,84,55,26,1022,1018,1014,16,16,16,29,8,40,0.00,0,,222<br />
2015-2-11,11,4,-3,1,-3,-6,92,62,32,1032,1025,1016,16,16,10,24,10,31,0.25,4,Rain-Snow,109<br />
2015-2-12,10,2,-6,-2,-4,-7,96,66,36,1034,1030,1026,16,16,16,19,5,27,0.00,0,,17<br />
2015-2-13,15,5,-6,-2,-4,-6,88,59,30,1030,1027,1025,16,16,16,21,8,26,0.00,0,,2<br />
2015-2-14,16,5,-6,-3,-4,-7,88,56,24,1029,1024,1020,16,16,16,21,7,29,0.00,0,,7<br />
2015-2-15,16,6,-4,-2,-7,-13,84,52,19,1020,1015,1009,16,16,16,50,15,63,0.00,0,,308<br />
2015-2-16,8,2,-6,-7,-11,-16,75,46,17,1019,1015,1011,16,16,16,61,18,77,0.00,1,,294<br />
2015-2-17,8,-2,-12,-12,-16,-20,73,43,13,1026,1023,1019,16,16,16,39,11,48,0.00,0,,256<br />
2015-2-18,13,1,-11,-10,-13,-14,73,45,17,1027,1025,1022,16,16,16,23,8,31,0.00,0,,68<br />
2015-2-19,15,3,-8,-8,-9,-11,80,49,18,1027,1022,1017,16,16,16,34,10,40,0.00,0,,264<br />
2015-2-20,14,3,-8,-6,-10,-15,84,52,20,1017,1013,1008,16,16,16,56,14,72,0.00,0,,355<br />
2015-2-21,7,1,-6,-2,-9,-13,55,40,24,1015,1013,1010,16,13,1,37,12,47,1.02,5,Snow,238<br />
2015-2-22,1,0,-2,1,-2,-4,100,89,78,1018,1013,1011,16,5,0,19,7,23,10.41,8,Fog-Snow,57<br />
2015-2-23,0,-2,-4,-2,-3,-5,100,89,78,1024,1018,1015,16,4,0,21,9,27,18.03,8,Fog-Snow,107<br />
2015-2-24,6,1,-4,-1,-3,-5,100,75,49,1021,1017,1013,16,16,11,29,10,39,T,7,Snow,195<br />
2015-2-25,3,-1,-4,-2,-4,-7,100,82,63,1020,1017,1014,16,9,0,23,7,24,0.00,6,Fog,235<br />
2015-2-26,2,-4,-11,-3,-6,-12,100,78,56,1021,1014,1010,16,9,1,21,6,27,2.29,5,Fog-Snow,38<br />
2015-2-27,-1,-7,-12,-3,-5,-11,100,89,78,1014,1010,1008,16,8,0,14,6,18,1.27,7,Fog-Snow,83<br />
2015-2-28,-1,-2,-4,-1,-3,-5,100,93,85,1017,1011,1008,16,5,0,16,7,19,6.35,8,Fog-Snow,86<br />
2015-3-1,3,1,-2,1,-1,-3,100,95,89,1022,1019,1015,16,6,0,14,5,16,5.08,8,Fog-Rain-Snow,63<br />
2015-3-2,7,3,-1,1,0,-2,100,77,53,1020,1015,1009,16,13,2,48,13,74,5.84,8,Snow,64<br />
2015-3-3,2,-2,-5,-1,-3,-7,100,82,64,1014,1012,1009,16,12,1,35,11,43,1.02,6,Fog-Snow,245<br />
2015-3-4,3,-3,-10,-7,-11,-16,92,62,32,1028,1018,1011,16,16,16,42,14,53,T,1,,316<br />
2015-3-5,4,-4,-13,-8,-12,-16,80,56,32,1034,1032,1028,16,16,16,21,5,27,0.00,0,,48<br />
2015-3-6,8,-1,-11,-6,-8,-12,92,62,31,1035,1031,1029,16,16,16,16,6,18,0.00,0,,37<br />
2015-3-7,12,2,-8,-4,-8,-12,88,54,20,1030,1026,1021,16,16,16,21,6,23,0.00,0,,29<br />
