
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-6,-10,-13,-8,-12,-17,100,89,73,1019,1012,1008,16,14,2,27,21,39,0.00,4,Snow,257<br />
2015-1-2,-7,-12,-18,-12,-17,-22,78,65,45,1024,1021,1019,16,16,16,14,10,,0.00,1,,331<br />
2015-1-3,-2,-6,-8,-3,-5,-12,100,96,73,1019,1013,1010,16,9,2,14,8,,0.00,8,Snow,74<br />
2015-1-4,-3,-13,-24,-3,-16,-28,100,82,60,1029,1018,1010,16,10,2,37,23,50,0.00,3,Snow,318<br />
2015-1-5,-18,-22,-27,-21,-26,-30,85,73,65,1031,1028,1025,16,16,8,23,13,,0.00,2,Snow,253<br />
2015-1-6,-16,-19,-23,-19,-22,-25,92,78,66,1026,1023,1020,16,16,11,32,16,47,0.00,1,Snow,274<br />
2015-1-7,-19,-21,-24,-23,-27,-29,77,68,59,1039,1033,1026,16,16,16,34,24,47,0.00,0,,281<br />
2015-1-8,-15,-19,-23,-16,-21,-26,92,83,71,1029,1014,1002,16,12,1,34,19,48,0.00,3,Snow,234<br />
2015-1-9,-16,-18,-21,-19,-22,-26,85,73,60,1023,1019,1011,16,14,4,37,27,55,0.00,1,Snow,276<br />
2015-1-10,-9,-16,-23,-12,-19,-24,92,79,62,1023,1021,1017,16,16,16,19,13,,0.00,4,,211<br />
2015-1-11,-7,-10,-13,-11,-13,-18,93,78,45,1025,1022,1019,16,16,11,23,6,,0.00,7,Snow,298<br />
2015-1-12,-12,-17,-22,-16,-19,-23,92,79,62,1041,1034,1026,16,16,16,19,13,,0.00,0,,347<br />
2015-1-13,-9,-17,-24,-14,-20,-26,100,87,68,1041,1035,1027,16,16,16,16,5,,0.00,0,,177<br />
2015-1-14,-7,-11,-15,-8,-12,-16,100,94,92,1026,1022,1016,16,16,11,16,10,,0.00,6,Snow,211<br />
2015-1-15,0,-4,-8,-3,-6,-8,100,93,80,1016,1013,1010,16,14,5,23,14,34,0.00,5,Snow,247<br />
2015-1-16,-5,-7,-9,-8,-11,-13,93,73,63,1021,1016,1011,16,16,16,23,14,34,0.00,8,,66<br />
2015-1-17,2,-3,-7,1,-3,-8,100,92,80,1010,1001,996,16,14,3,40,18,55,0.00,7,,200<br />
2015-1-18,1,0,-2,-2,-3,-6,93,81,69,1015,1007,1000,16,16,16,29,19,55,0.00,8,,295<br />
2015-1-19,-2,-4,-6,-3,-6,-7,100,88,69,1016,1014,1011,16,11,2,14,8,,0.00,8,Snow,68<br />
2015-1-20,-4,-6,-7,-5,-6,-7,100,94,86,1016,1014,1011,16,13,5,16,11,,0.00,8,Snow,87<br />
2015-1-21,-3,-6,-7,-4,-5,-7,100,98,93,1024,1019,1015,16,11,2,11,5,,0.00,8,Snow,36<br />
2015-1-22,-2,-4,-7,-4,-6,-8,100,88,74,1029,1025,1022,16,16,16,26,13,40,0.00,6,,267<br />
2015-1-23,0,-2,-5,-2,-4,-5,100,91,80,1022,1014,1006,16,16,16,35,23,45,0.00,7,,237<br />
2015-1-24,2,0,-1,1,-1,-2,100,94,87,1006,1004,1001,16,15,8,24,11,35,0.00,8,,271<br />
2015-1-25,-1,-6,-12,-3,-10,-14,93,78,58,1018,1013,1006,16,16,11,27,18,29,0.00,5,Snow,82<br />
2015-1-26,-6,-9,-12,-6,-10,-15,100,93,79,1016,1012,1008,16,13,2,16,8,,0.00,6,Snow,131<br />
2015-1-27,-4,-6,-6,-5,-6,-6,100,98,86,1023,1020,1013,16,13,3,10,5,,0.00,8,Fog-Snow,107<br />
2015-1-28,-2,-3,-5,-3,-6,-6,100,88,80,1022,1016,1009,16,15,8,23,10,32,0.00,7,,137<br />
2015-1-29,0,-4,-8,-2,-6,-13,100,86,60,1029,1017,1008,16,10,2,39,11,53,0.00,8,Snow,320<br />
2015-1-30,-8,-11,-14,-12,-14,-17,85,71,63,1032,1029,1023,16,16,16,23,13,27,0.00,5,,292<br />
2015-1-31,-3,-6,-8,-6,-10,-13,86,77,68,1023,1021,1020,16,16,16,26,11,29,0.00,8,,353<br />
2015-2-1,-8,-12,-15,-11,-16,-18,86,73,62,1024,1021,1019,16,14,5,34,24,47,0.00,5,Snow,36<br />
2015-2-2,-12,-17,-21,-17,-19,-22,92,74,57,1021,1019,1016,16,16,16,21,11,,0.00,1,,271<br />
2015-2-3,-9,-14,-19,-12,-16,-21,100,85,62,1017,1016,1014,16,14,2,14,8,,0.00,3,Snow,248<br />
2015-2-4,-11,-14,-18,-12,-17,-23,92,74,48,1026,1021,1015,16,15,8,32,13,45,0.00,4,Snow,302<br />
2015-2-5,-9,-17,-24,-17,-21,-27,84,66,38,1028,1023,1017,16,16,11,35,14,47,0.00,1,,244<br />
2015-2-6,-4,-9,-14,-9,-13,-17,85,76,59,1018,1016,1012,16,16,16,16,11,,0.00,2,,189<br />
2015-2-7,-2,-6,-8,-3,-7,-10,100,88,74,1012,1007,1003,16,12,1,19,6,,0.00,4,Fog,77<br />
