
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-3,-6,-6,-7,-10,84,71,57,1018,1016,1013,16,16,16,35,19,43,0.00,7,,277<br />
2015-1-2,3,-3,-8,-3,-6,-11,81,70,59,1017,1010,1003,16,16,6,35,19,43,T,4,Snow,219<br />
2015-1-3,0,-9,-19,-3,-19,-23,80,68,56,1035,1022,1004,16,8,1,42,23,52,T,8,Snow,344<br />
2015-1-4,-18,-22,-27,-23,-26,-31,75,66,57,1040,1036,1028,16,14,4,39,22,45,T,3,Snow,296<br />
2015-1-5,-17,-21,-26,-21,-23,-29,79,71,63,1035,1023,1012,16,9,0,32,19,37,0.76,4,Snow,109<br />
2015-1-6,-15,-19,-23,-19,-21,-26,79,71,62,1052,1038,1031,16,12,1,45,28,53,T,5,Snow,309<br />
2015-1-7,-9,-18,-26,-14,-23,-29,74,65,56,1054,1041,1015,16,16,16,42,21,48,0.00,1,,228<br />
2015-1-8,-6,-12,-18,-10,-16,-23,80,73,65,1035,1022,1010,16,4,0,66,46,87,T,6,Snow,310<br />
2015-1-9,-14,-18,-22,-22,-24,-27,72,61,49,1035,1030,1017,16,16,16,47,26,56,0.00,0,,258<br />
2015-1-10,-10,-13,-17,-17,-18,-22,76,66,55,1021,1019,1014,16,16,16,29,14,39,0.00,4,,309<br />
2015-1-11,-11,-17,-23,-15,-18,-26,80,69,58,1038,1026,1015,16,12,2,27,14,32,0.51,4,Snow,348<br />
2015-1-12,-13,-20,-27,-19,-23,-30,79,71,62,1042,1038,1031,16,16,16,39,18,45,0.00,0,,174<br />
2015-1-13,-6,-12,-18,-9,-13,-22,86,77,67,1030,1026,1021,16,12,1,48,23,56,T,4,Snow,268<br />
2015-1-14,2,-3,-7,-6,-8,-12,74,65,56,1025,1020,1017,16,16,16,48,25,58,0.00,1,,265<br />
2015-1-15,4,-1,-6,-3,-6,-9,77,68,59,1021,1017,1013,16,16,16,34,20,39,0.00,0,,258<br />
2015-1-16,6,1,-5,-1,-5,-9,74,62,50,1012,1007,1002,16,16,16,60,22,72,T,1,Rain,250<br />
