
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,6,1,-5,-7,-11,-14,63,47,30,1024,1021,1018,16,16,16,39,17,52,0.00,0,,229<br />
2015-1-2,6,2,-3,-6,-7,-8,75,57,39,1031,1025,1019,16,16,14,29,9,37,0.00,0,,260<br />
2015-1-3,6,1,-4,6,1,-6,100,82,64,1035,1027,1018,16,7,2,24,10,29,14.48,7,Rain,54<br />
2015-1-4,17,11,5,13,7,0,100,86,71,1018,1013,1006,16,8,0,52,15,66,8.38,7,Fog-Rain,227<br />
2015-1-5,9,3,-4,-1,-9,-16,56,43,29,1032,1024,1013,16,16,16,58,28,69,T,3,,302<br />
2015-1-6,-3,-7,-10,-7,-9,-17,92,67,41,1031,1025,1019,16,6,0,21,6,26,3.81,6,Fog-Snow,291<br />
2015-1-7,-4,-8,-11,-10,-15,-23,88,62,36,1029,1021,1016,16,14,5,50,24,66,T,1,,292<br />
2015-1-8,-7,-10,-13,-16,-19,-23,55,45,35,1034,1030,1024,16,16,16,47,18,58,0.00,0,,255<br />
2015-1-9,2,-2,-7,-11,-13,-15,55,45,35,1026,1020,1017,16,16,13,39,19,55,0.25,3,Snow,251<br />
2015-1-10,-5,-8,-12,-16,-18,-20,66,51,35,1037,1034,1027,16,16,16,35,15,43,0.00,0,,289<br />
2015-1-11,5,-3,-12,-3,-10,-16,83,58,33,1040,1037,1033,16,16,13,24,8,31,0.00,1,,191<br />
2015-1-12,3,2,1,2,0,-7,100,76,52,1033,1025,1020,16,6,2,16,5,23,18.03,8,Rain,277<br />
2015-1-13,3,-1,-5,1,-9,-14,85,61,36,1036,1032,1025,16,16,16,37,20,48,T,3,,11<br />
2015-1-14,1,-3,-6,-6,-9,-14,69,58,46,1034,1028,1023,16,16,16,24,16,31,0.00,8,,18<br />
2015-1-15,3,0,-3,-5,-7,-9,75,58,40,1023,1020,1016,16,15,13,24,11,31,0.00,4,,284<br />
2015-1-16,7,2,-4,-4,-7,-13,85,62,39,1025,1016,1013,16,15,11,45,20,55,0.00,1,,285<br />
2015-1-17,0,-4,-8,-4,-13,-18,69,49,28,1031,1028,1023,16,16,16,26,13,34,0.00,0,,116<br />
2015-1-18,6,2,-3,5,1,-4,100,89,78,1023,1013,1006,16,7,1,26,8,34,42.42,7,Rain,25<br />
2015-1-19,7,3,-1,0,-3,-5,92,67,41,1014,1013,1010,16,14,3,39,16,50,T,5,,266<br />
2015-1-20,8,3,-3,-1,-3,-6,92,71,49,1019,1015,1013,16,14,6,21,8,26,0.00,2,,295<br />
2015-1-21,1,-1,-4,-1,-4,-10,100,74,47,1022,1021,1019,16,7,1,23,7,26,2.03,6,Fog-Snow,48<br />
2015-1-22,5,2,-2,1,-2,-3,92,78,64,1029,1025,1022,16,10,3,29,10,35,0.25,7,Snow,278<br />
2015-1-23,5,1,-4,0,-3,-6,85,70,54,1029,1023,1014,16,11,2,21,8,26,5.84,3,Rain-Snow,221<br />
2015-1-24,3,2,1,1,0,-4,100,82,64,1013,1002,994,16,8,2,35,18,45,16.51,7,Rain,360<br />
