
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,-2,-7,-5,-8,-12,67,57,47,1027,1024,1021,16,16,16,35,19,42,0.00,4,,242<br />
2015-1-2,5,2,-1,2,-1,-5,100,82,64,1026,1022,1017,16,12,3,19,7,23,0.25,8,Rain,148<br />
2015-1-3,4,3,2,3,2,1,100,96,92,1017,1011,1009,16,7,0,23,8,27,10.67,8,Fog-Rain,341<br />
2015-1-4,2,-4,-12,1,-11,-16,100,76,51,1040,1028,1012,16,14,8,45,26,53,0.51,5,Rain-Snow,304<br />
2015-1-5,-3,-8,-12,-10,-14,-17,73,61,49,1042,1034,1024,16,16,16,24,12,34,0.00,2,,200<br />
2015-1-6,-2,-4,-7,-8,-11,-13,68,57,46,1034,1031,1024,16,16,8,35,19,47,T,3,Snow,311<br />
2015-1-7,-7,-12,-17,-10,-18,-22,77,62,46,1049,1044,1033,16,15,4,45,25,53,0.25,3,Snow,325<br />
2015-1-8,-1,-9,-18,-8,-17,-21,87,58,28,1042,1028,1019,16,16,16,52,25,64,0.00,3,,225<br />
2015-1-9,-6,-9,-13,-12,-17,-21,67,53,39,1036,1033,1025,16,16,16,47,23,58,0.00,1,,295<br />
2015-1-10,3,-6,-15,-12,-16,-18,87,57,26,1035,1030,1026,16,16,16,32,16,37,0.00,1,,177<br />
2015-1-11,3,1,-2,1,-3,-12,100,69,38,1026,1024,1022,16,8,1,24,12,29,1.02,8,Fog-Rain,157<br />
2015-1-12,1,-5,-11,1,-6,-15,96,73,50,1039,1030,1024,16,14,3,35,23,42,0.76,5,Rain,7<br />
2015-1-13,-2,-8,-14,-11,-13,-17,88,72,55,1040,1036,1032,16,16,16,23,12,27,0.00,0,,39<br />
2015-1-14,0,-5,-10,-8,-10,-12,88,67,45,1032,1028,1024,16,16,16,16,7,19,0.00,6,,204<br />
2015-1-15,8,1,-7,-4,-7,-11,77,59,41,1024,1022,1021,16,16,16,24,13,31,0.00,0,,243<br />
2015-1-16,14,5,-4,-1,-3,-6,85,59,33,1023,1020,1014,16,16,3,23,15,31,0.00,0,,209<br />
2015-1-17,12,8,3,1,-1,-4,70,58,45,1015,1011,1008,16,16,16,40,23,55,0.00,0,,237<br />
2015-1-18,16,9,2,-3,-4,-6,70,48,26,1018,1015,1014,16,16,16,26,15,32,0.00,0,,262<br />
2015-1-19,16,8,1,-2,-3,-5,70,49,28,1015,1013,1011,16,16,16,16,9,19,0.00,0,,96<br />
2015-1-20,8,4,0,1,-1,-3,82,70,58,1019,1016,1013,16,16,16,21,12,24,0.00,0,,270<br />
2015-1-21,8,4,-1,-1,-3,-4,78,64,49,1027,1023,1019,16,16,16,34,15,45,0.00,1,,295<br />
2015-1-22,4,1,-3,-3,-4,-5,92,76,59,1034,1031,1027,16,16,14,24,11,29,0.00,5,,3<br />
2015-1-23,5,0,-6,-3,-5,-7,96,73,50,1029,1022,1015,16,15,10,19,9,24,0.00,1,,269<br />
2015-1-24,13,6,-2,1,-2,-5,78,60,41,1014,1010,1005,16,16,16,29,16,39,0.00,1,,248<br />
2015-1-25,11,6,-1,7,3,-3,100,76,52,1019,1008,1002,16,13,3,42,22,53,3.56,8,Rain,306<br />
2015-1-26,11,4,-2,2,-1,-4,92,73,54,1019,1015,1011,16,16,11,39,16,52,0.00,4,,268<br />
2015-1-27,11,6,0,2,0,-1,92,71,50,1022,1020,1015,16,16,16,19,10,26,0.00,0,,6<br />
2015-1-28,16,8,-1,4,1,-2,92,67,42,1022,1015,1008,16,15,11,39,27,50,0.00,0,,153<br />
2015-1-29,13,6,-1,4,-1,-6,76,68,59,1033,1024,1008,16,16,16,56,30,72,0.00,7,,312<br />
2015-1-30,4,-1,-6,-6,-7,-9,88,64,40,1035,1033,1029,16,16,16,24,9,29,0.00,0,,37<br />
2015-1-31,4,1,-2,3,-2,-7,100,80,59,1028,1022,1014,16,14,3,27,11,34,6.86,7,Rain,144<br />
2015-2-1,3,-2,-7,3,-1,-10,100,91,82,1021,1010,1005,16,5,0,45,20,56,11.94,8,Fog-Rain-Snow,4<br />
2015-2-2,-5,-8,-12,-9,-12,-14,88,77,65,1029,1026,1022,16,15,5,40,13,50,0.25,4,Snow,271<br />
2015-2-3,8,1,-7,-2,-5,-10,84,67,49,1024,1020,1017,16,16,16,34,15,43,0.00,0,,199<br />
2015-2-4,3,-4,-12,-3,-7,-14,92,78,64,1034,1025,1016,16,11,2,37,20,47,0.51,5,Rain-Snow,353<br />
2015-2-5,-3,-9,-15,-11,-14,-18,83,61,38,1035,1032,1027,16,16,16,21,10,24,0.00,0,,119<br />
2015-2-6,13,3,-6,2,-3,-11,75,61,46,1026,1020,1015,16,16,16,37,17,47,0.00,0,,198<br />
2015-2-7,21,11,1,6,3,-1,92,64,36,1015,1009,1005,16,16,13,39,20,48,0.00,0,,206<br />
2015-2-8,18,11,3,7,5,1,82,63,44,1016,1009,1004,16,14,8,32,19,39,0.00,2,,303<br />
2015-2-9,4,1,-3,1,-2,-5,89,77,64,1024,1022,1016,16,14,6,29,17,35,0.00,7,,11<br />
2015-2-10,6,1,-6,-2,-4,-7,96,75,53,1024,1021,1017,16,13,8,24,12,31,0.00,2,,104<br />
2015-2-11,4,1,-3,-1,-4,-7,85,70,54,1028,1024,1019,16,16,13,39,19,48,0.00,5,,318<br />
2015-2-12,-2,-6,-11,-7,-14,-17,69,57,45,1037,1033,1027,16,16,16,52,18,63,T,4,Snow,8<br />
2015-2-13,7,0,-8,-6,-8,-13,92,63,33,1030,1025,1020,16,12,2,23,13,27,1.52,4,Snow,192<br />
2015-2-14,3,-3,-11,-1,-10,-18,75,56,37,1033,1025,1018,16,16,16,45,22,55,0.00,4,,351<br />
2015-2-15,-7,-9,-12,-12,-16,-19,80,60,39,1033,1029,1025,16,12,1,27,19,35,4.32,6,Fog-Snow,78<br />
2015-2-16,-6,-8,-11,-11,-12,-13,92,80,67,1026,1022,1019,16,10,2,21,12,23,3.30,7,Snow,21<br />
2015-2-17,1,-4,-9,-6,-9,-14,88,70,51,1020,1018,1016,16,13,1,40,13,48,0.25,7,Snow,288<br />
2015-2-18,-7,-11,-14,-13,-18,-21,67,57,46,1031,1025,1017,16,16,16,48,21,58,0.00,0,,304<br />
2015-2-19,-7,-12,-17,-15,-19,-21,75,57,39,1033,1030,1026,16,16,16,16,8,19,0.00,4,,360<br />
2015-2-20,-1,-5,-9,-4,-8,-16,92,73,54,1026,1017,1012,16,13,5,35,17,42,0.51,7,Rain-Snow,148<br />
2015-2-21,5,1,-3,2,-2,-6,100,85,70,1026,1015,1011,16,10,4,32,12,35,3.81,6,Rain-Snow,338<br />
2015-2-22,-2,-7,-12,-6,-13,-18,81,61,41,1042,1034,1026,16,16,16,37,24,43,0.00,4,,1<br />
2015-2-23,-7,-11,-15,-17,-19,-21,76,58,39,1043,1038,1030,16,16,16,27,12,34,0.00,0,,19<br />
2015-2-24,5,-4,-13,-6,-11,-17,80,59,37,1029,1018,1014,16,16,16,39,18,50,0.00,0,,231<br />
2015-2-25,9,2,-7,-3,-6,-8,84,58,31,1014,1011,1008,16,16,16,24,9,34,T,2,,156<br />
2015-2-26,2,-6,-14,-3,-12,-18,91,69,46,1036,1025,1013,16,13,5,47,26,56,T,6,Rain-Snow,350<br />
2015-2-27,-6,-11,-17,-16,-18,-20,87,64,41,1040,1037,1035,16,16,16,23,10,27,0.00,3,,29<br />
2015-2-28,-4,-7,-9,-6,-8,-16,96,78,59,1037,1032,1028,16,5,0,24,12,29,9.40,8,Fog-Snow,114<br />
2015-3-1,-1,-4,-8,-5,-6,-9,96,83,69,1034,1029,1027,16,8,1,19,8,23,1.78,7,Fog-Snow,321<br />
2015-3-2,2,-4,-10,-6,-8,-11,100,74,47,1035,1030,1019,16,9,0,29,13,35,T,2,Fog,126<br />
2015-3-3,7,4,0,4,1,-6,100,81,61,1017,1011,1007,16,12,3,39,18,53,T,8,Rain,251<br />
2015-3-4,1,-3,-8,-2,-11,-16,84,63,42,1030,1023,1015,16,14,1,42,20,52,1.02,7,Snow,2<br />
2015-3-5,-2,-6,-11,-12,-13,-14,76,59,42,1036,1034,1029,16,16,16,24,12,29,T,1,,348<br />
2015-3-6,13,2,-9,-2,-6,-13,73,54,35,1034,1028,1024,16,16,16,40,21,52,0.00,0,,205<br />
2015-3-7,17,10,3,2,-1,-3,64,49,34,1025,1023,1021,16,16,16,29,17,39,0.00,0,,242<br />
2015-3-8,19,11,2,2,0,-2,82,55,28,1023,1020,1017,16,16,16,26,11,32,0.00,0,,170<br />
2015-3-9,16,7,-2,3,1,-4,92,66,39,1021,1019,1016,16,15,10,19,9,24,T,1,,150<br />
2015-3-10,17,11,5,9,7,5,100,74,48,1020,1016,1015,16,10,0,14,5,21,3.81,6,Fog-Rain,54<br />
2015-3-11,23,14,5,8,5,1,100,63,25,1027,1023,1020,16,13,0,24,10,29,0.00,0,Fog,184<br />
2015-3-12,21,14,7,9,6,3,100,67,33,1028,1026,1023,16,10,1,27,13,35,1.27,1,Rain,104<br />
2015-3-13,17,13,10,12,11,9,96,84,72,1022,1020,1017,16,9,2,21,10,24,T,7,Rain,58<br />
2015-3-14,17,13,8,10,5,-2,93,64,35,1024,1020,1017,16,13,2,29,16,40,0.00,0,,354<br />
2015-3-15,22,13,3,3,0,-3,70,45,20,1027,1024,1021,16,16,16,27,14,42,0.00,0,,222<br />
