
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-5,-9,-9,-13,-15,67,55,42,1022,1019,1015,16,16,16,48,27,58,0.00,2,,236<br />
2015-1-2,2,-2,-6,-6,-8,-9,88,72,56,1028,1025,1021,16,16,13,21,9,26,0.00,4,,237<br />
2015-1-3,2,-1,-4,2,-1,-7,100,88,75,1026,1014,1007,16,5,1,19,7,23,21.84,8,Fog-Rain,85<br />
2015-1-4,3,-2,-6,2,-2,-9,100,87,74,1024,1011,1003,16,9,0,45,21,61,5.33,8,Fog-Rain-Snow,270<br />
2015-1-5,-6,-10,-14,-11,-16,-19,76,69,61,1036,1031,1024,16,12,1,47,23,60,T,6,Fog-Snow,268<br />
2015-1-6,-9,-13,-17,-13,-16,-17,88,78,67,1030,1025,1020,16,9,1,37,17,50,3.30,6,Snow,256<br />
2015-1-7,-11,-14,-17,-13,-18,-22,80,65,50,1038,1029,1020,16,12,2,37,21,50,0.51,5,Snow,288<br />
2015-1-8,-9,-15,-21,-12,-18,-25,87,73,59,1036,1020,1009,16,9,1,40,24,53,2.54,5,Fog-Snow,218<br />
2015-1-9,-8,-12,-17,-10,-14,-22,84,75,66,1030,1017,1008,16,9,0,47,33,63,0.51,5,Fog-Snow,252<br />
2015-1-10,-8,-13,-19,-15,-19,-22,79,69,58,1034,1032,1029,16,16,16,40,17,50,0.00,2,,218<br />
2015-1-11,-1,-4,-8,-3,-7,-14,92,73,53,1030,1027,1026,16,9,1,24,13,32,4.32,8,Snow,203<br />
2015-1-12,-1,-6,-11,-3,-5,-15,92,80,67,1037,1027,1024,16,6,0,29,10,37,4.83,8,Fog-Snow,336<br />
