
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,0,-6,-11,-6,-10,-16,75,67,58,1022,1017,1013,16,16,16,29,13,37,0.00,6,,247<br />
2015-1-2,0,-6,-12,-8,-12,-17,68,56,43,1028,1024,1020,16,16,16,14,6,18,0.00,1,,71<br />
2015-1-3,1,-2,-5,-2,-4,-8,92,78,63,1019,1014,1010,16,8,1,26,8,31,1.78,7,Snow,131<br />
2015-1-4,-1,-11,-20,-7,-17,-25,85,67,49,1037,1024,1013,16,10,2,40,26,53,3.30,5,Snow,321<br />
2015-1-5,-16,-19,-23,-19,-23,-28,79,65,51,1040,1034,1028,16,11,2,24,12,32,3.05,4,Snow,210<br />
2015-1-6,-10,-17,-23,-18,-22,-26,87,66,44,1034,1030,1027,16,16,5,40,15,52,T,1,Snow,283<br />
2015-1-7,-16,-19,-22,-24,-26,-27,71,61,51,1048,1044,1036,16,16,16,40,24,48,0.00,0,,300<br />
2015-1-8,-8,-15,-22,-12,-18,-26,86,74,61,1037,1015,1005,16,7,1,53,27,71,2.54,7,Snow,213<br />
2015-1-9,-13,-16,-19,-21,-22,-24,72,61,49,1031,1027,1019,16,15,4,45,20,53,T,4,,286<br />
2015-1-10,-6,-13,-21,-12,-18,-23,82,67,51,1030,1025,1021,16,16,16,26,15,34,0.00,4,,171<br />
2015-1-11,-6,-11,-17,-12,-14,-17,88,69,49,1030,1026,1023,16,16,14,26,9,31,T,3,,329<br />
2015-1-12,-8,-16,-23,-15,-19,-23,86,70,53,1046,1040,1031,16,16,16,24,13,29,0.00,0,,340<br />
2015-1-13,-7,-16,-25,-14,-20,-28,88,73,58,1046,1041,1031,16,16,8,23,6,24,0.00,0,,161<br />
2015-1-14,-4,-8,-12,-8,-11,-15,80,74,68,1030,1025,1019,16,14,2,16,10,23,T,8,Snow,176<br />
2015-1-15,3,-1,-6,-3,-6,-8,88,74,59,1020,1017,1013,16,16,11,32,11,39,0.00,4,,237<br />
2015-1-16,3,-1,-5,-3,-4,-6,88,76,63,1021,1017,1009,16,16,14,26,13,39,0.00,6,,133<br />
2015-1-17,6,1,-3,-1,-2,-4,92,77,62,1008,1003,1000,16,15,10,42,16,55,0.00,5,,257<br />
2015-1-18,5,1,-3,-1,-3,-4,92,76,59,1017,1011,1005,16,16,16,21,10,26,0.00,4,,284<br />
2015-1-19,2,-2,-6,-1,-3,-7,96,86,75,1017,1014,1010,16,15,4,14,8,19,0.25,5,Snow,142<br />
2015-1-20,2,1,-1,-1,-2,-3,92,84,75,1016,1014,1010,16,10,2,13,8,16,1.27,8,Snow,92<br />
2015-1-21,1,-1,-2,-1,-2,-4,92,85,78,1027,1019,1014,16,7,1,14,7,16,2.54,8,Snow,27<br />
2015-1-22,-1,-2,-3,-5,-6,-6,85,77,69,1032,1030,1026,16,16,14,32,11,39,0.00,8,,245<br />
