
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-6,-12,-7,-11,-14,76,63,49,1022,1018,1014,16,16,16,39,23,48,0.00,3,,258<br />
2015-1-2,0,-5,-11,-6,-7,-12,88,76,63,1026,1024,1020,16,16,14,16,8,21,T,2,,202<br />
2015-1-3,0,-1,-3,-1,-2,-5,100,88,75,1019,1013,1009,10,4,0,26,9,31,0.25,8,Fog-Snow,75<br />
2015-1-4,-1,-11,-21,-3,-13,-24,92,71,50,1037,1020,1009,16,9,1,45,29,53,1.27,6,Snow,328<br />
2015-1-5,-16,-19,-23,-18,-21,-26,86,72,57,1039,1031,1025,16,8,1,26,14,31,5.59,4,Fog-Snow,184<br />
2015-1-6,-14,-18,-23,-18,-20,-24,95,84,72,1032,1029,1025,16,11,3,42,19,55,0.25,4,Snow,328<br />
2015-1-7,-16,-21,-25,-21,-25,-27,78,67,56,1046,1041,1030,16,15,10,42,25,52,0.00,1,,311<br />
2015-1-8,-8,-17,-26,-10,-18,-28,87,79,71,1038,1015,1006,16,6,0,58,32,71,1.02,6,Fog-Snow,227<br />
2015-1-9,-14,-17,-21,-19,-22,-23,79,71,62,1032,1028,1021,16,15,6,47,25,66,0.00,4,,284<br />
2015-1-10,-6,-14,-23,-11,-18,-26,83,72,61,1031,1026,1021,16,16,16,39,19,45,0.00,3,,197<br />
2015-1-11,-2,-8,-13,-9,-12,-16,80,69,57,1027,1024,1023,16,16,16,16,9,19,0.00,1,,220<br />
2015-1-12,-7,-12,-17,-12,-17,-21,73,56,39,1043,1036,1025,16,15,3,29,19,37,0.00,1,,15<br />
2015-1-13,-8,-14,-20,-14,-19,-22,95,78,61,1043,1038,1031,16,15,11,23,9,24,0.00,2,,105<br />
2015-1-14,-6,-12,-19,-9,-12,-21,95,83,71,1031,1026,1021,14,12,10,23,13,26,T,7,,212<br />
2015-1-15,1,-3,-8,-4,-7,-10,96,83,69,1021,1018,1015,16,12,6,29,17,35,0.00,1,,248<br />
2015-1-16,2,-3,-9,-3,-6,-10,92,81,69,1022,1018,1010,16,8,0,35,16,47,0.00,0,Fog,173<br />
2015-1-17,4,2,-1,0,-1,-2,92,81,70,1009,1004,1002,16,16,11,40,26,55,0.00,5,,250<br />
2015-1-18,4,1,-3,-1,-3,-5,89,77,64,1017,1012,1005,16,16,16,32,17,39,0.00,0,,289<br />
2015-1-19,2,-1,-5,-1,-3,-6,100,85,70,1017,1014,1009,16,14,3,24,11,31,0.00,3,,153<br />
2015-1-20,1,-2,-4,0,-1,-4,100,95,89,1016,1013,1008,13,4,0,24,11,27,0.25,7,Fog-Rain,32<br />
2015-1-21,0,-1,-2,-1,-2,-3,100,93,85,1026,1019,1013,14,6,1,26,9,31,2.79,8,Fog-Snow,79<br />
2015-1-22,-1,-2,-3,-2,-4,-6,92,84,75,1032,1029,1025,16,11,3,27,13,34,T,8,Snow,295<br />
2015-1-23,2,-1,-4,-2,-4,-6,88,79,70,1028,1019,1010,16,14,8,34,21,42,0.00,5,,228<br />
2015-1-24,6,0,-6,2,-2,-6,100,88,76,1010,1007,1003,16,9,0,23,9,26,0.00,3,Fog,263<br />
2015-1-25,2,-4,-9,-1,-6,-12,92,80,67,1020,1010,1002,16,11,1,45,24,56,1.52,6,Fog-Snow,44<br />
