
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-4,-6,-8,-6,-8,-10,88,83,77,1025,1021,1017,16,16,16,13,4,14,0.00,8,,319<br />
2015-1-2,1,-3,-6,-2,-4,-7,100,83,66,1022,1016,1012,16,6,0,23,9,29,5.59,8,Fog-Snow,24<br />
2015-1-3,8,-1,-10,0,-6,-11,100,77,53,1024,1013,1009,16,10,0,24,9,27,0.51,2,Fog-Snow,157<br />
2015-1-4,4,-2,-8,-3,-6,-9,92,73,53,1035,1031,1025,16,15,6,26,11,32,0.00,1,,139<br />
2015-1-5,5,1,-4,-1,-3,-5,100,83,65,1032,1029,1026,16,5,0,23,9,27,0.00,4,Fog,168<br />
2015-1-6,14,5,-4,1,-2,-5,92,66,39,1031,1028,1026,16,14,8,29,11,35,0.00,0,,331<br />
2015-1-7,2,-2,-5,-1,-5,-7,96,86,75,1045,1040,1027,16,11,5,45,17,52,0.00,6,,25<br />
2015-1-8,3,-2,-7,-2,-5,-8,96,80,64,1038,1027,1018,16,15,6,27,13,37,0.00,4,,183<br />
2015-1-9,4,0,-4,-3,-4,-6,75,67,59,1034,1030,1024,16,16,16,34,12,42,0.00,6,,110<br />
2015-1-10,6,0,-6,-2,-4,-7,92,73,53,1027,1021,1017,16,15,8,27,14,34,0.00,2,,168<br />
2015-1-11,18,7,-4,4,-2,-4,100,67,33,1020,1017,1013,16,8,0,29,8,39,0.00,2,Fog,275<br />
2015-1-12,6,3,-1,-1,-2,-3,92,78,64,1030,1027,1018,16,12,3,29,14,35,0.25,7,Snow,41<br />
2015-1-13,0,-1,-1,-1,-2,-3,92,89,85,1029,1026,1024,16,6,2,21,11,26,T,8,Rain,154<br />
2015-1-14,4,1,-3,0,-2,-4,92,84,76,1027,1025,1023,16,9,3,11,4,13,0.25,8,Snow,300<br />
2015-1-15,14,4,-7,-2,-5,-8,92,57,22,1029,1027,1024,16,16,14,24,9,29,0.00,0,,328<br />
2015-1-16,17,5,-7,-3,-6,-9,84,54,23,1026,1021,1017,16,16,16,26,10,32,0.00,0,,165<br />
2015-1-17,18,7,-6,-3,-6,-8,81,50,18,1027,1021,1015,16,16,16,39,11,48,0.00,0,,36<br />
2015-1-18,22,8,-5,-1,-4,-7,81,49,17,1027,1022,1016,16,16,16,23,7,27,0.00,0,,210<br />
2015-1-19,25,12,-1,-2,-4,-7,70,41,11,1019,1015,1011,16,16,16,37,13,47,0.00,0,,291<br />
2015-1-20,18,10,2,-1,-3,-4,62,43,18,1019,1015,1011,16,16,16,32,11,,0.00,0,,22<br />
2015-1-21,6,3,0,2,0,-3,92,76,60,1021,1019,1016,16,13,4,26,8,29,2.79,7,Rain,7<br />
2015-1-22,2,-3,-8,0,-2,-9,100,92,84,1030,1027,1021,16,4,0,32,18,37,10.41,8,Fog-Snow,11<br />
2015-1-23,3,-6,-14,-4,-9,-16,92,76,59,1029,1027,1025,16,14,1,14,4,16,0.00,0,Fog,320<br />
2015-1-24,11,1,-9,2,-4,-10,100,73,45,1028,1024,1019,16,16,16,19,6,23,0.00,0,,285<br />
2015-1-25,14,6,-3,-1,-2,-4,85,59,32,1026,1023,1020,16,16,16,24,10,29,0.00,0,,252<br />
2015-1-26,17,8,-2,3,-1,-4,85,59,32,1027,1024,1022,16,16,16,21,6,23,0.00,0,,289<br />
2015-1-27,22,10,-2,3,1,-3,92,57,22,1026,1021,1018,16,16,16,14,7,19,0.00,0,,291<br />
2015-1-28,24,13,1,6,3,1,92,59,25,1020,1017,1014,16,16,16,21,7,26,0.00,0,,311<br />
2015-1-29,14,11,7,3,-1,-3,76,55,33,1030,1026,1017,16,16,16,37,16,47,0.00,3,,32<br />
2015-1-30,7,5,3,2,0,-2,92,73,53,1029,1024,1019,16,14,6,21,8,26,4.83,8,Rain,147<br />
