
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,2,1,3,1,-1,100,91,82,1029,1025,1022,13,5,2,23,13,26,5.59,8,Rain-Snow-Thunderstorm,5<br />
2015-1-2,5,4,3,4,3,2,100,96,92,1023,1019,1015,16,7,3,26,15,31,6.10,8,Rain-Snow-Thunderstorm,350<br />
2015-1-3,14,8,2,6,3,1,100,72,43,1020,1015,1011,16,15,6,26,12,31,8.64,5,Rain-Thunderstorm,266<br />
2015-1-4,7,2,-4,2,-3,-6,88,67,45,1040,1032,1021,16,16,16,39,21,50,0.00,0,,338<br />
2015-1-5,9,2,-6,-1,-5,-8,88,62,36,1040,1035,1029,16,16,16,23,11,27,0.00,0,,203<br />
2015-1-6,16,8,-1,4,1,-2,85,68,37,1031,1028,1026,16,16,16,23,9,27,0.00,0,,170<br />
2015-1-7,8,2,-4,2,-6,-15,85,59,33,1044,1037,1028,16,16,16,53,30,64,0.00,0,,358<br />
2015-1-8,4,-2,-8,-7,-11,-14,67,51,35,1044,1033,1026,16,16,16,34,14,40,0.00,0,,180<br />
2015-1-9,2,1,0,-2,-6,-9,75,60,44,1035,1032,1027,16,16,16,32,14,39,0.76,8,Rain-Snow,7<br />
2015-1-10,2,1,-1,1,-4,-11,96,69,41,1034,1030,1027,16,11,4,23,8,27,7.87,8,Rain,55<br />
2015-1-11,7,4,1,6,3,0,100,91,82,1026,1023,1019,16,12,5,14,7,18,9.14,8,Rain,137<br />
2015-1-12,7,5,2,6,4,1,100,85,70,1031,1027,1021,16,10,2,32,19,40,T,8,Rain,21<br />
2015-1-13,4,3,1,1,0,-1,92,84,76,1033,1031,1029,14,11,8,26,16,32,0.00,8,,358<br />
2015-1-14,6,4,2,2,1,-1,92,81,70,1030,1027,1025,16,12,3,16,11,21,T,8,Rain,359<br />
2015-1-15,13,7,-1,2,1,-2,96,70,43,1029,1027,1025,16,13,3,23,10,29,0.00,2,,320<br />
2015-1-16,18,8,-3,4,1,-3,100,67,34,1028,1025,1021,16,16,13,23,11,29,0.00,0,,201<br />
2015-1-17,23,13,3,7,3,-1,92,59,26,1025,1019,1015,16,16,10,37,18,45,0.00,0,,237<br />
2015-1-18,21,9,-2,1,-1,-3,92,57,21,1029,1024,1021,16,16,8,26,13,32,0.00,0,,217<br />
2015-1-19,22,12,1,8,3,-2,86,59,31,1020,1016,1013,16,16,16,21,10,31,0.00,0,,155<br />
2015-1-20,17,9,0,10,5,0,100,80,60,1018,1014,1012,16,9,1,21,7,23,0.00,0,Fog,17<br />
2015-1-21,13,10,7,8,5,2,93,74,54,1022,1020,1017,16,15,6,26,15,32,6.10,7,Rain,22<br />
2015-1-22,9,7,5,7,6,3,93,90,86,1025,1021,1017,16,11,4,50,28,61,33.27,8,Rain,23<br />
2015-1-23,11,6,1,4,2,-1,92,71,50,1025,1024,1022,16,16,14,34,18,40,0.25,6,Rain,329<br />
2015-1-24,18,8,-1,3,1,-2,100,66,32,1024,1021,1016,16,16,14,19,10,23,0.00,0,,241<br />
2015-1-25,20,11,1,4,0,-4,92,56,20,1023,1018,1015,16,16,16,45,18,55,0.00,0,,299<br />
2015-1-26,23,11,-1,4,1,-3,92,59,25,1025,1022,1019,16,16,16,23,10,29,0.00,0,,244<br />
2015-1-27,26,14,3,7,4,2,92,59,26,1023,1020,1019,16,16,16,19,6,23,0.00,0,,219<br />
2015-1-28,27,16,4,8,6,3,100,64,28,1021,1019,1016,16,16,16,34,14,39,0.00,0,,170<br />
2015-1-29,22,14,6,9,5,1,93,63,33,1031,1024,1019,16,16,16,35,18,45,0.00,2,,4<br />
2015-1-30,13,9,6,3,1,0,71,59,46,1032,1029,1025,16,16,16,24,12,32,0.00,2,,41<br />
2015-1-31,14,11,7,13,7,1,100,78,56,1025,1018,1012,16,11,2,32,13,42,10.67,7,Rain,129<br />
2015-2-1,19,12,4,16,9,-3,100,76,51,1026,1015,1010,16,14,6,42,22,50,T,4,Rain,292<br />
2015-2-2,7,2,-3,-2,-5,-8,70,58,45,1031,1028,1026,16,16,16,37,14,47,0.00,0,,19<br />
2015-2-3,9,6,1,3,-1,-3,86,66,46,1027,1025,1022,16,16,14,32,14,39,0.00,4,,167<br />
2015-2-4,14,9,5,9,6,3,96,84,71,1024,1020,1016,16,14,6,37,15,47,T,8,Rain,176<br />
2015-2-5,6,3,1,4,-1,-2,93,82,70,1032,1030,1025,16,15,11,37,18,50,0.00,8,,3<br />
2015-2-6,14,8,2,5,2,-2,82,67,51,1030,1027,1022,16,15,11,24,14,32,0.00,3,,182<br />
