
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-7,-16,-7,-11,-17,96,75,54,1024,1021,1019,16,16,16,21,6,24,0.00,1,,272<br />
2015-1-2,-1,-7,-14,-5,-11,-16,92,82,72,1026,1022,1016,16,13,1,19,8,24,0.00,1,Fog,126<br />
2015-1-3,-1,-7,-13,-6,-12,-17,88,79,69,1025,1017,1009,16,7,1,53,24,64,2.54,3,Snow,346<br />
2015-1-4,-13,-17,-21,-17,-21,-25,83,71,59,1041,1033,1023,16,10,2,58,26,69,T,5,Snow,318<br />
2015-1-5,-9,-14,-20,-13,-17,-23,83,75,67,1042,1030,1021,16,10,0,35,17,45,3.30,7,Fog-Snow,136<br />
2015-1-6,-10,-14,-19,-13,-18,-22,95,78,61,1043,1036,1031,16,12,2,56,24,64,T,4,Snow,316<br />
2015-1-7,-15,-19,-23,-19,-23,-26,76,67,57,1055,1045,955,16,14,3,50,24,60,T,1,,323<br />
2015-1-8,-1,-9,-17,-7,-13,-21,74,66,58,1034,1021,1012,16,7,0,71,38,95,0.25,6,Fog-Snow,309<br />
2015-1-9,-11,-16,-21,-19,-21,-23,79,66,53,1036,1033,1029,16,15,6,52,22,66,T,1,Snow,312<br />
2015-1-10,1,-10,-22,-4,-13,-24,83,72,60,1029,1022,1017,16,16,16,37,18,50,0.00,0,,240<br />
2015-1-11,-6,-10,-15,-12,-14,-16,88,75,62,1033,1026,1022,16,16,16,24,12,29,0.00,2,,20<br />
2015-1-12,-8,-16,-23,-13,-19,-24,87,70,52,1045,1042,1033,16,16,16,29,14,35,0.00,0,,359<br />
2015-1-13,-4,-14,-25,-11,-19,-27,92,73,54,1044,1037,1029,16,16,8,23,12,27,0.00,4,,157<br />
2015-1-14,1,-4,-9,-4,-8,-12,91,73,55,1028,1025,1021,16,16,16,24,8,31,0.00,3,,262<br />
2015-1-15,4,-2,-9,-2,-6,-11,92,76,59,1023,1021,1019,16,16,16,39,11,47,0.00,0,,296<br />
2015-1-16,8,2,-5,0,-3,-7,89,71,53,1020,1012,1004,16,16,16,21,10,27,0.00,0,,132<br />
2015-1-17,8,5,1,0,-1,-3,76,67,58,1013,1009,1004,16,16,16,60,23,72,T,2,Rain,297<br />
2015-1-18,10,3,-4,-1,-3,-6,85,64,42,1015,1014,1012,16,16,16,23,7,27,0.00,1,,220<br />
2015-1-19,12,4,-3,2,-1,-4,92,69,46,1014,1013,1012,16,16,16,29,10,35,T,2,,276<br />
2015-1-20,8,3,-3,0,-2,-4,89,74,58,1018,1016,1014,16,14,3,40,19,52,T,5,Rain-Snow,301<br />
2015-1-21,2,1,-1,-1,-2,-4,89,82,75,1030,1023,1018,16,14,3,34,11,40,0.25,8,Snow,338<br />
2015-1-22,4,1,-2,-3,-4,-5,85,72,59,1033,1030,1026,16,16,16,26,14,32,0.00,5,,225<br />
2015-1-23,9,2,-6,-1,-4,-7,92,69,45,1025,1018,1015,16,16,16,29,13,37,0.00,1,,235<br />
2015-1-24,10,3,-3,5,1,-3,96,73,50,1015,1007,1002,16,15,8,37,12,47,0.76,5,Rain,277<br />
2015-1-25,5,2,-1,3,1,-2,96,88,79,1019,1013,1002,16,14,4,42,19,53,1.52,8,Rain-Snow,331<br />
2015-1-26,13,6,-2,4,1,-3,92,72,51,1019,1014,1011,16,16,14,39,17,47,0.00,0,,293<br />
2015-1-27,9,3,-4,2,-2,-5,100,81,61,1022,1019,1015,16,10,0,26,13,32,0.00,1,Fog,126<br />
2015-1-28,11,6,-1,3,1,-2,92,73,54,1016,1011,1005,16,16,13,66,21,85,T,2,Snow,124<br />
2015-1-29,3,-1,-5,-1,-4,-8,82,73,63,1036,1028,1017,16,16,16,56,32,72,T,7,,340<br />
2015-1-30,5,-2,-9,-3,-6,-10,92,76,59,1036,1031,1023,16,16,16,27,13,37,0.00,0,,146<br />
2015-1-31,3,0,-3,2,-1,-4,96,91,85,1023,1017,1013,16,7,1,32,13,45,7.62,7,Rain-Snow,106<br />
2015-2-1,-1,-9,-18,-3,-13,-21,92,82,72,1030,1022,1013,16,5,1,56,36,68,4.32,7,Fog-Snow,354<br />
2015-2-2,-8,-16,-25,-13,-19,-26,90,79,67,1030,1024,1017,16,16,16,32,11,35,0.00,1,,176<br />
2015-2-3,-4,-10,-17,-9,-12,-17,91,80,68,1022,1019,1013,16,16,16,24,10,26,0.00,2,,346<br />
2015-2-4,-7,-14,-21,-9,-14,-23,84,74,63,1036,1029,1020,16,11,3,40,22,47,0.25,5,Snow,331<br />
2015-2-5,-6,-14,-24,-11,-17,-27,82,71,59,1035,1027,1020,16,16,14,39,17,45,0.00,0,,150<br />
2015-2-6,3,-3,-9,-1,-6,-12,85,79,72,1019,1014,1009,16,14,6,23,14,29,0.00,0,,121<br />
2015-2-7,10,3,-4,2,-1,-5,92,77,61,1009,1004,1001,16,10,5,23,10,32,0.00,0,,116<br />
2015-2-8,7,4,0,2,1,-2,92,81,70,1022,1015,1003,16,10,5,32,13,35,T,7,Rain,9<br />
2015-2-9,1,1,0,-1,-1,-2,92,87,82,1026,1023,1020,16,7,1,27,12,37,0.00,8,Fog,113<br />
2015-2-10,7,3,0,3,1,-4,96,86,76,1022,1016,1012,16,9,2,53,24,63,T,8,Rain,179<br />
2015-2-11,0,-6,-12,-6,-11,-19,74,64,53,1037,1029,1021,16,16,14,56,40,69,T,6,Snow,332<br />
2015-2-12,-7,-11,-15,-12,-17,-20,76,65,53,1040,1035,1026,16,16,14,35,15,43,T,3,,154<br />
2015-2-13,8,-1,-9,-1,-6,-12,88,67,46,1026,1022,1019,16,16,16,34,14,40,0.00,2,,309<br />
2015-2-14,2,-4,-11,-2,-16,-22,75,56,36,1035,1031,1021,16,16,16,48,23,63,0.00,6,,34<br />
