
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-3,-6,-2,-4,-7,100,92,84,1030,1024,1021,16,9,3,37,8,45,1.02,8,Rain,29<br />
2015-1-2,1,0,-1,-1,-2,-2,100,96,92,1024,1020,1011,16,8,2,37,12,42,10.67,8,Rain,356<br />
2015-1-3,12,6,1,4,1,-1,100,73,46,1022,1014,1011,16,14,2,42,16,58,T,5,Rain,253<br />
2015-1-4,3,-1,-4,-1,-6,-9,82,65,47,1038,1033,1023,16,16,16,48,19,58,0.00,1,,4<br />
2015-1-5,11,3,-6,1,-4,-8,84,65,46,1038,1032,1026,16,16,16,37,19,43,0.00,0,,175<br />
2015-1-6,14,8,2,3,1,-1,82,65,47,1030,1028,1025,16,16,16,26,12,34,0.00,0,,312<br />
2015-1-7,2,-2,-7,-1,-9,-16,92,63,33,1046,1040,1030,16,16,11,48,23,68,0.00,1,,6<br />
2015-1-8,4,-2,-9,-5,-12,-16,67,48,29,1043,1030,1022,16,16,16,35,16,47,0.00,0,,202<br />
2015-1-9,3,1,-1,-4,-10,-15,69,50,30,1036,1033,1024,16,16,16,34,15,45,T,6,,35<br />
2015-1-10,2,1,-1,-1,-7,-13,92,64,36,1033,1028,1023,16,16,16,29,13,34,0.25,7,Rain,165<br />
2015-1-11,13,7,1,4,2,-1,92,72,51,1023,1019,1015,16,16,16,32,17,39,0.00,4,,182<br />
2015-1-12,8,4,-1,4,0,-6,100,85,69,1033,1028,1018,16,10,0,35,20,42,0.25,7,Fog-Rain,11<br />
2015-1-13,3,1,-2,-5,-7,-9,69,61,52,1033,1030,1028,16,16,16,24,12,31,0.00,7,,10<br />
2015-1-14,2,1,-1,-1,-3,-7,89,74,59,1029,1027,1025,16,15,11,14,7,16,0.00,8,,358<br />
2015-1-15,14,7,-1,1,-1,-2,92,67,41,1028,1027,1025,16,15,10,26,9,34,0.00,3,,284<br />
2015-1-16,19,9,-1,2,-2,-4,82,53,23,1027,1023,1017,16,16,16,34,13,39,0.00,0,,194<br />
2015-1-17,21,12,3,2,-1,-4,70,45,19,1027,1019,1014,16,16,16,52,22,66,0.00,0,,272<br />
2015-1-18,21,11,-1,-2,-4,-7,72,44,15,1027,1023,1018,16,16,16,39,18,50,0.00,0,,199<br />
2015-1-19,21,13,5,0,-2,-3,58,40,22,1017,1015,1013,16,16,16,29,13,39,0.00,0,,249<br />
2015-1-20,21,12,3,3,-1,-2,76,50,24,1020,1015,1012,16,16,16,29,14,39,0.00,0,,350<br />
2015-1-21,9,5,1,7,3,-2,100,75,49,1022,1020,1018,16,13,4,29,12,39,15.24,6,Rain,51<br />
2015-1-22,7,4,1,7,2,1,100,96,92,1027,1025,1020,16,13,6,37,22,50,9.91,8,Rain,23<br />
2015-1-23,9,5,1,2,0,-2,92,75,58,1027,1025,1023,16,16,8,27,15,34,T,5,Snow,312<br />
2015-1-24,14,7,0,2,-1,-4,82,61,40,1025,1021,1016,16,16,16,21,12,26,0.00,0,,267<br />
2015-1-25,18,11,3,1,-1,-3,79,52,25,1024,1021,1016,16,16,16,39,18,45,0.00,0,,300<br />
2015-1-26,23,12,1,2,0,-2,75,49,22,1025,1022,1020,16,16,16,34,11,43,0.00,0,,246<br />
2015-1-27,26,15,4,4,2,0,79,50,21,1023,1021,1019,16,16,16,19,8,23,0.00,0,,185<br />
2015-1-28,27,18,8,7,4,3,66,46,26,1019,1016,1014,16,16,16,34,17,42,0.00,0,,203<br />
2015-1-29,17,13,8,7,2,-2,74,54,34,1032,1026,1017,16,16,16,37,18,48,0.00,1,,12<br />
2015-1-30,11,8,6,1,-1,-2,62,53,44,1032,1028,1023,16,16,16,29,14,35,0.00,5,,90<br />
2015-1-31,12,9,7,11,7,1,100,79,58,1023,1015,1011,16,14,4,34,19,40,7.62,8,Rain,165<br />
2015-2-1,13,7,1,11,4,-6,96,71,46,1028,1017,1010,16,16,13,47,23,56,0.00,5,,332<br />
2015-2-2,10,3,-5,-3,-7,-11,74,54,34,1030,1026,1023,16,16,16,26,12,31,0.00,0,,79<br />
2015-2-3,14,8,2,5,1,-4,76,63,50,1023,1020,1017,16,16,16,37,20,48,0.00,0,,179<br />
2015-2-4,18,9,-1,7,4,-3,96,72,48,1029,1018,1013,16,15,6,56,25,68,0.00,6,,235<br />
2015-2-5,3,1,-3,-3,-4,-6,85,72,59,1032,1030,1027,16,16,13,35,15,45,0.00,6,,4<br />
2015-2-6,18,8,-2,6,2,-4,92,70,47,1029,1024,1018,16,16,16,34,18,43,0.00,0,,189<br />
2015-2-7,24,16,6,8,7,4,96,65,33,1017,1013,1009,16,15,10,47,28,60,0.00,0,,202<br />
2015-2-8,25,17,8,8,3,-1,83,52,20,1017,1012,1006,16,16,14,47,20,56,0.00,0,,299<br />
2015-2-9,26,15,4,4,2,1,79,50,20,1022,1019,1016,16,16,16,16,8,23,0.00,0,,172<br />
2015-2-10,28,19,10,6,3,2,51,37,22,1015,1012,1008,16,16,16,48,22,63,0.00,0,,185<br />
2015-2-11,19,13,7,6,3,-3,82,57,32,1028,1019,1010,16,16,13,42,21,55,0.00,3,,9<br />
2015-2-12,13,8,3,-3,-5,-8,55,41,26,1032,1029,1027,16,16,16,32,15,42,0.00,3,,48<br />
2015-2-13,22,12,3,6,1,-3,64,47,29,1028,1024,1021,16,16,16,27,12,37,0.00,0,,207<br />
2015-2-14,25,16,6,8,5,3,83,54,25,1024,1021,1018,16,16,16,24,9,35,0.00,0,,196<br />
2015-2-15,22,11,1,13,8,-4,78,68,57,1017,1014,1009,16,16,16,42,24,56,0.00,5,,198<br />
2015-2-16,6,1,-4,-2,-4,-9,92,69,46,1023,1020,1016,16,14,5,50,24,60,T,5,Rain-Snow,358<br />
2015-2-17,12,6,-1,-1,-3,-5,75,55,35,1025,1024,1021,16,16,16,29,11,37,T,5,,317<br />
2015-2-18,17,8,-2,-1,-3,-4,92,58,23,1026,1024,1022,16,16,16,27,13,37,0.00,0,,171<br />
2015-2-19,22,13,3,5,1,-3,70,48,26,1025,1019,1012,16,16,16,42,23,48,0.00,0,,171<br />
2015-2-20,27,19,12,10,8,6,83,55,26,1011,1006,1001,16,16,16,50,32,63,0.00,0,,195<br />
2015-2-21,18,13,8,9,5,3,86,66,46,1016,1012,1004,16,15,11,50,20,56,0.00,3,,5<br />
2015-2-22,8,2,-4,5,1,-6,100,86,71,1033,1024,1015,16,9,1,48,23,58,28.70,8,Rain-Snow-Thunderstorm,25<br />
2015-2-23,-4,-5,-6,-6,-7,-8,96,90,84,1036,1033,1030,16,7,1,35,21,47,2.79,8,Rain-Snow,3<br />
2015-2-24,3,-1,-6,-1,-4,-7,96,83,69,1030,1023,1015,16,15,10,16,8,27,0.51,6,Rain,300<br />
2015-2-25,17,9,1,2,0,-2,96,63,29,1014,1011,1008,16,15,6,27,11,35,5.33,3,Rain,260<br />
2015-2-26,7,2,-4,2,-4,-12,92,74,55,1030,1024,1012,16,9,1,42,22,55,2.03,8,Snow,13<br />
2015-2-27,-3,-5,-7,-7,-8,-11,92,71,50,1032,1029,1027,16,5,1,23,14,31,4.83,8,Snow,49<br />
2015-2-28,-2,-4,-7,-3,-6,-7,100,93,85,1029,1026,1024,14,5,2,14,8,16,T,8,Rain,66<br />
2015-3-1,0,-1,-2,-1,-2,-3,100,96,92,1031,1027,1024,16,5,2,21,12,24,T,8,Rain,12<br />
2015-3-2,3,1,-1,2,-1,-3,92,89,85,1030,1026,1019,16,7,3,23,10,26,0.25,8,Rain,19<br />
2015-3-3,14,9,3,9,7,2,100,86,72,1019,1013,1009,16,14,2,37,11,45,T,7,,205<br />
2015-3-4,11,3,-5,10,1,-7,100,92,84,1030,1019,1009,16,7,0,48,26,58,10.92,8,Fog-Rain-Snow,8<br />
2015-3-5,6,-1,-7,-5,-7,-9,91,66,40,1038,1035,1031,16,16,16,39,13,48,T,1,,13<br />
2015-3-6,13,5,-3,-2,-5,-8,75,53,30,1035,1032,1029,16,16,16,24,14,31,0.00,0,,178<br />
2015-3-7,15,8,1,2,-2,-4,76,52,28,1030,1027,1023,16,16,16,26,13,31,0.00,4,,154<br />
2015-3-8,16,12,7,10,6,0,83,69,54,1022,1018,1014,16,16,16,26,15,31,0.76,4,Rain,160<br />
2015-3-9,11,10,8,10,8,8,100,97,93,1016,1015,1013,16,7,1,26,12,29,13.72,8,Fog-Rain,43<br />
2015-3-10,17,12,7,9,8,7,93,75,56,1022,1017,1014,16,14,10,19,10,24,0.00,6,,345<br />
2015-3-11,21,12,2,10,5,2,100,68,35,1027,1023,1022,16,7,0,24,8,31,0.00,3,Fog,77<br />
2015-3-12,21,12,3,8,6,2,92,64,36,1023,1020,1016,16,16,16,21,6,29,0.00,0,,30<br />
2015-3-13,22,13,4,8,5,3,92,62,31,1019,1017,1015,16,16,16,32,12,42,0.00,1,,348<br />
2015-3-14,21,14,7,9,4,-2,83,54,24,1024,1021,1018,16,16,16,40,15,50,T,3,,354<br />
2015-3-15,21,13,4,6,3,1,85,59,33,1027,1025,1023,16,16,16,19,6,23,0.00,0,,292<br />
2015-3-16,26,17,8,11,7,4,82,55,27,1024,1022,1018,16,16,16,26,15,34,0.00,0,,178<br />
2015-3-17,23,18,12,13,11,6,80,67,53,1021,1019,1017,16,16,6,26,12,34,0.25,4,Rain,349<br />
2015-3-18,20,15,9,12,9,5,86,71,55,1019,1016,1012,16,16,16,23,11,27,1.78,6,,283<br />
2015-3-19,27,20,13,15,13,11,90,68,45,1016,1012,1010,16,15,8,37,19,45,T,5,Rain,195<br />
2015-3-20,13,11,9,13,9,8,100,92,83,1024,1021,1016,16,11,3,32,14,35,5.59,7,Rain,357<br />
2015-3-21,13,12,10,11,9,8,93,85,77,1022,1020,1016,16,12,3,14,5,18,7.11,7,Rain,339<br />
2015-3-22,23,17,11,13,11,11,93,71,49,1019,1016,1014,16,13,5,16,6,19,0.25,5,Rain,26<br />
2015-3-23,28,20,11,13,12,11,93,65,37,1017,1015,1011,16,16,16,35,22,43,0.00,0,,167<br />
