
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-7,-14,-7,-12,-18,92,73,54,1027,1023,1019,16,16,16,21,11,24,0.00,0,,263<br />
2015-1-2,-1,-7,-14,-6,-11,-16,92,78,63,1025,1021,1013,16,16,16,21,7,23,0.00,0,,222<br />
2015-1-3,1,-7,-15,-3,-13,-18,88,79,69,1029,1018,1010,16,8,0,66,32,76,0.76,5,Fog-Snow,335<br />
2015-1-4,-13,-16,-20,-16,-21,-25,83,66,49,1042,1034,1025,16,10,1,56,19,63,T,4,Fog-Snow,326<br />
2015-1-5,-3,-9,-16,-8,-14,-18,80,72,63,1043,1030,1018,16,16,11,52,22,63,T,5,,209<br />
2015-1-6,-6,-11,-16,-12,-15,-19,83,70,56,1045,1037,1029,16,15,6,53,19,63,T,5,Snow,325<br />
2015-1-7,-11,-15,-19,-17,-21,-23,72,61,50,1055,1033,956,16,16,11,50,26,61,T,3,,326<br />
2015-1-8,4,-5,-14,-2,-12,-19,75,67,59,1035,1025,1017,16,16,16,64,38,76,0.00,3,,294<br />
2015-1-9,-7,-11,-16,-17,-19,-21,76,61,45,1039,1036,1031,16,16,16,52,20,66,0.00,0,,284<br />
2015-1-10,3,-6,-15,-4,-9,-17,92,74,56,1030,1022,1018,16,16,16,45,19,56,0.00,0,,205<br />
2015-1-11,-3,-8,-14,-8,-12,-16,92,80,67,1033,1025,1018,16,16,11,34,15,39,0.00,2,,17<br />
2015-1-12,-8,-13,-18,-13,-17,-20,86,66,46,1044,1041,1034,16,16,14,37,18,42,0.00,1,,18<br />
2015-1-13,-4,-11,-18,-13,-17,-20,87,66,44,1042,1036,1030,16,16,16,24,13,29,0.00,6,,180<br />
2015-1-14,4,-4,-12,-6,-9,-13,92,68,44,1030,1027,1022,16,16,14,23,13,27,0.00,0,,267<br />
2015-1-15,9,1,-7,-3,-6,-9,85,64,42,1026,1024,1021,16,16,14,27,14,35,0.00,0,,275<br />
2015-1-16,12,5,-2,-1,-3,-5,78,60,41,1022,1014,1008,16,16,16,34,18,39,0.00,0,,230<br />
2015-1-17,11,6,-1,-1,-3,-7,66,49,31,1019,1014,1007,16,16,16,66,29,80,0.00,0,,296<br />
2015-1-18,12,3,-7,-3,-4,-8,85,59,32,1017,1016,1012,16,16,16,29,12,35,0.00,0,,267<br />
2015-1-19,15,6,-3,2,-3,-6,85,59,32,1019,1016,1013,16,16,16,40,16,48,0.00,0,,292<br />
2015-1-20,10,4,-3,-3,-4,-6,85,59,33,1022,1020,1018,16,16,16,35,18,47,0.00,0,,293<br />
2015-1-21,7,1,-4,-3,-4,-6,84,67,49,1031,1027,1021,16,16,16,34,19,42,0.00,5,,318<br />
2015-1-22,6,0,-6,-4,-6,-8,88,66,44,1034,1030,1027,16,16,16,26,14,32,0.00,3,,251<br />
2015-1-23,10,2,-7,-2,-6,-9,82,60,37,1026,1020,1015,16,16,16,34,18,40,0.00,1,,280<br />
2015-1-24,12,5,-2,4,-1,-4,85,60,35,1019,1012,1007,16,16,16,48,23,64,T,3,Rain,277<br />
2015-1-25,7,2,-4,2,-1,-6,85,73,60,1021,1017,1008,16,16,16,64,26,80,T,7,,326<br />
2015-1-26,17,8,-1,2,-1,-3,85,59,32,1020,1017,1015,16,16,16,39,17,45,0.00,0,,283<br />
2015-1-27,18,7,-3,1,-1,-4,92,63,34,1020,1017,1013,16,16,16,23,14,31,0.00,0,,157<br />
2015-1-28,20,8,-4,2,-1,-5,100,64,27,1020,1012,1007,16,16,11,63,20,79,0.00,2,,323<br />
2015-1-29,8,1,-7,-1,-4,-8,76,58,40,1036,1030,1022,16,16,14,63,28,84,0.00,5,,340<br />
2015-1-30,7,0,-8,0,-4,-8,92,69,45,1036,1030,1025,16,15,11,40,19,48,0.00,3,,179<br />
2015-1-31,3,1,-2,0,-1,-2,100,91,82,1024,1016,1010,16,5,1,34,15,40,11.18,8,Fog-Rain-Snow,133<br />
2015-2-1,-2,-10,-19,-3,-14,-21,92,84,75,1033,1022,1011,16,4,0,60,40,72,3.81,7,Fog-Snow,338<br />
2015-2-2,-3,-13,-23,-8,-15,-24,92,80,67,1032,1024,1016,16,15,11,39,17,48,0.00,0,,222<br />
2015-2-3,7,-3,-13,1,-6,-13,96,80,64,1022,1017,1012,16,15,6,27,13,34,0.00,2,,187<br />
2015-2-4,-4,-13,-22,-7,-13,-23,92,76,59,1037,1029,1019,16,8,0,50,24,63,10.41,4,Fog-Snow,357<br />
2015-2-5,1,-11,-22,-4,-12,-22,87,74,61,1035,1027,1019,16,16,10,40,22,53,0.00,0,,192<br />
2015-2-6,12,6,0,1,-1,-3,79,63,46,1017,1014,1010,16,16,16,34,15,43,0.00,0,,233<br />
2015-2-7,15,8,2,4,1,-2,76,59,42,1008,1005,1003,16,16,16,39,19,47,0.00,0,,259<br />
2015-2-8,18,9,-1,4,2,-2,92,66,39,1022,1013,1005,16,15,6,32,17,39,0.00,0,,305<br />
2015-2-9,4,2,-2,4,1,-3,100,96,92,1025,1021,1018,5,1,0,35,15,48,0.00,7,Fog,133<br />
2015-2-10,13,7,1,5,2,1,100,80,59,1023,1017,1014,16,6,0,32,18,40,0.00,6,Fog,194<br />
2015-2-11,5,1,-4,0,-7,-11,81,63,44,1036,1030,1022,16,16,16,50,27,58,0.00,5,,348<br />
2015-2-12,-4,-9,-13,-10,-15,-18,74,60,45,1040,1034,1024,16,16,16,35,18,43,T,2,,109<br />
2015-2-13,15,4,-7,-1,-5,-12,74,55,36,1025,1023,1020,16,16,16,34,16,42,0.00,1,,272<br />
2015-2-14,5,-2,-9,-1,-12,-20,85,60,34,1032,1028,1020,16,16,16,40,21,52,0.00,3,,45<br />
2015-2-15,-6,-8,-11,-13,-16,-17,67,58,49,1031,1027,1023,16,16,16,23,11,29,0.00,6,,137<br />
2015-2-16,4,-2,-9,-4,-8,-14,81,66,50,1025,1022,1019,16,16,14,29,10,35,T,6,,309<br />
2015-2-17,-1,-8,-16,-4,-11,-19,92,73,53,1025,1021,1018,16,9,0,52,20,60,3.30,4,Fog-Snow,327<br />
2015-2-18,-8,-12,-17,-15,-18,-21,79,64,49,1032,1030,1025,16,16,16,39,18,45,0.00,2,,318<br />
2015-2-19,-5,-8,-11,-11,-14,-17,80,71,61,1031,1025,1019,16,16,16,32,18,42,0.00,5,,152<br />
2015-2-20,8,-2,-12,1,-5,-13,89,71,53,1018,1013,1010,16,16,16,21,8,24,0.25,5,,229<br />
2015-2-21,5,-2,-8,-1,-6,-13,92,74,56,1031,1021,1013,16,16,13,39,21,48,0.00,5,,345<br />
2015-2-22,-7,-12,-17,-13,-19,-22,68,51,33,1046,1041,1033,16,16,8,37,23,45,T,3,Snow,10<br />
