
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-4,-9,-7,-11,-13,75,58,41,1027,1023,1021,16,16,16,37,17,43,0.00,0,,240<br />
2015-1-2,4,0,-5,1,-3,-8,92,72,52,1027,1024,1019,16,15,6,24,9,27,0.51,6,Rain,167<br />
2015-1-3,4,3,2,2,2,1,100,96,92,1019,1012,1008,16,6,1,21,7,23,12.70,8,Rain,350<br />
2015-1-4,2,-5,-12,1,-7,-18,100,81,61,1039,1021,1009,16,11,1,42,26,58,0.25,6,Fog-Rain-Snow,288<br />
2015-1-5,-7,-11,-14,-11,-15,-20,84,73,61,1042,1035,1026,16,9,1,27,13,32,2.29,6,Fog-Snow,145<br />
2015-1-6,-6,-8,-11,-9,-13,-15,84,73,62,1033,1030,1025,16,15,6,37,16,48,T,5,Snow,314<br />
2015-1-7,-8,-14,-20,-14,-20,-24,69,62,54,1048,1041,1031,16,14,2,47,25,60,T,4,Snow,316<br />
2015-1-8,-2,-12,-21,-8,-16,-24,79,62,45,1043,1025,1017,16,13,2,50,24,69,T,5,Snow,232<br />
2015-1-9,-7,-12,-17,-13,-17,-22,79,65,50,1035,1030,1021,16,15,5,42,23,58,0.51,3,Snow,289<br />
2015-1-10,-2,-9,-17,-11,-14,-20,83,63,42,1035,1031,1027,16,16,16,37,20,52,0.00,2,,194<br />
2015-1-11,2,0,-2,0,-4,-11,96,73,50,1027,1025,1024,16,10,1,26,12,31,1.52,8,Rain,183<br />
2015-1-12,1,-6,-13,0,-6,-17,92,74,56,1040,1029,1024,16,9,1,35,21,43,7.37,5,Rain-Snow,351<br />
2015-1-13,-7,-12,-17,-12,-15,-18,88,75,62,1041,1037,1033,16,16,16,26,12,31,0.00,2,,26<br />
2015-1-14,-4,-11,-18,-9,-14,-21,92,80,67,1032,1029,1024,16,16,13,13,4,16,0.00,3,,208<br />
2015-1-15,4,-2,-9,-2,-6,-11,80,72,63,1024,1021,1019,16,16,14,21,13,26,0.00,0,,233<br />
2015-1-16,8,1,-6,1,-2,-7,96,78,60,1024,1021,1016,16,15,11,27,13,35,0.00,0,,195<br />
2015-1-17,11,7,3,3,1,-1,79,69,59,1015,1010,1006,16,16,16,37,24,52,0.00,2,,213<br />
2015-1-18,8,2,-3,0,-2,-4,85,72,58,1017,1014,1011,16,16,16,34,16,42,T,0,,256<br />
2015-1-19,10,3,-5,2,-2,-7,88,67,46,1017,1015,1012,16,16,16,23,6,26,T,2,,112<br />
2015-1-20,9,4,-2,2,0,-3,92,79,65,1017,1015,1012,16,16,11,23,10,,0.00,3,,284<br />
2015-1-21,4,2,0,0,-2,-2,82,76,70,1026,1021,1016,16,16,16,34,16,43,0.00,6,,269<br />
2015-1-22,2,1,0,-2,-2,-3,82,76,70,1033,1030,1026,16,15,13,16,6,21,0.00,8,,314<br />
2015-1-23,2,-1,-4,-2,-4,-6,85,75,64,1029,1022,1013,16,16,16,21,8,29,0.00,5,,233<br />
2015-1-24,10,4,-2,3,-1,-4,85,74,62,1012,1009,1004,16,16,16,29,15,34,0.00,0,,241<br />
2015-1-25,7,2,-3,4,0,-7,100,84,67,1017,1007,1002,16,15,8,40,19,55,3.81,8,Rain,18<br />
2015-1-26,1,-3,-7,-1,-4,-9,89,82,74,1018,1014,1011,16,11,0,23,11,27,1.02,6,Fog-Snow,218<br />
2015-1-27,2,0,-3,0,-3,-5,92,82,72,1025,1021,1013,16,14,8,23,11,29,0.00,7,,17<br />
2015-1-28,6,1,-4,1,-3,-7,88,75,62,1025,1019,1009,16,15,11,45,26,55,0.25,0,Rain,151<br />
2015-1-29,8,4,1,3,-1,-6,82,76,69,1030,1019,1007,16,15,10,42,30,58,T,7,,298<br />
2015-1-30,3,-1,-4,-5,-7,-8,81,64,47,1035,1032,1029,16,16,16,34,10,42,0.00,2,,310<br />
2015-1-31,4,0,-4,1,-2,-7,92,76,59,1029,1024,1019,16,13,6,21,11,24,5.33,6,Rain,185<br />
2015-2-1,2,-3,-9,1,-2,-12,96,87,78,1017,1009,1003,16,5,1,45,20,58,10.16,8,Fog-Snow,75<br />
2015-2-2,-7,-9,-12,-11,-13,-15,80,66,51,1027,1024,1015,16,15,6,40,15,55,T,2,Snow,289<br />
2015-2-3,4,-2,-8,-2,-6,-12,84,74,63,1025,1021,1016,16,16,16,34,20,45,0.00,1,,192<br />
2015-2-4,3,-4,-12,-2,-8,-17,84,73,61,1032,1023,1016,16,9,1,32,18,40,1.78,5,Fog-Snow,335<br />
2015-2-5,-6,-12,-17,-12,-16,-20,87,72,56,1036,1032,1027,16,16,16,24,10,34,0.00,0,,224<br />
2015-2-6,5,-2,-8,-1,-6,-13,82,71,60,1027,1022,1016,16,16,16,29,17,35,0.00,0,,188<br />
2015-2-7,14,8,2,6,2,-2,76,67,57,1015,1009,1005,16,16,16,37,22,45,0.00,0,,191<br />
2015-2-8,14,7,1,7,3,-1,89,72,55,1015,1008,1004,16,12,4,29,17,37,T,3,,295<br />
2015-2-9,1,-1,-3,-1,-4,-6,92,84,75,1026,1022,1015,16,13,6,27,18,35,0.00,8,,359<br />
2015-2-10,3,0,-3,-4,-5,-7,81,70,59,1025,1022,1018,16,16,16,29,11,35,T,6,,104<br />
2015-2-11,3,-1,-4,-1,-4,-9,85,74,63,1024,1021,1017,16,16,14,40,19,53,0.00,5,,288<br />
2015-2-12,-4,-8,-12,-10,-14,-16,73,59,45,1035,1031,1024,16,16,10,50,20,64,T,3,Snow,330<br />
2015-2-13,2,-5,-12,-6,-10,-14,84,66,47,1032,1024,1017,16,16,16,27,14,37,0.00,4,,200<br />
2015-2-14,1,-6,-14,-4,-13,-22,75,52,29,1035,1023,1015,16,14,2,58,27,79,0.51,4,Snow,326<br />
2015-2-15,-8,-11,-14,-11,-17,-23,80,60,40,1036,1032,1027,16,11,2,24,13,27,0.76,7,Snow,78<br />
2015-2-16,-4,-9,-14,-11,-13,-16,80,63,46,1028,1023,1019,16,11,2,24,12,31,1.52,4,Snow,46<br />
2015-2-17,-1,-6,-11,-8,-10,-13,84,67,49,1019,1016,1014,16,10,1,40,16,55,1.78,7,Snow,294<br />
2015-2-18,-8,-12,-17,-14,-19,-21,75,64,52,1029,1021,1014,16,13,1,47,23,60,0.25,4,Snow,305<br />
2015-2-19,-9,-14,-19,-19,-21,-24,69,58,46,1033,1030,1028,16,16,16,27,10,37,0.00,1,,298<br />
2015-2-20,-4,-9,-15,-7,-12,-20,84,67,50,1030,1019,1013,16,10,0,45,25,56,14.22,7,Fog-Snow,160<br />
2015-2-21,3,-1,-6,-2,-6,-8,92,78,64,1024,1015,1012,16,8,1,24,5,31,4.83,7,Snow,74<br />
2015-2-22,0,-7,-14,-6,-14,-21,73,58,43,1042,1033,1025,16,16,16,35,20,40,0.00,2,,339<br />
2015-2-23,-12,-16,-21,-19,-22,-24,71,61,50,1044,1039,1029,16,16,16,19,11,23,0.00,0,,286<br />
2015-2-24,0,-11,-22,-6,-13,-24,75,63,51,1028,1017,1012,16,16,16,47,22,53,0.00,2,,234<br />
2015-2-25,2,-5,-12,-5,-9,-13,84,65,45,1016,1014,1012,16,14,4,21,9,24,T,3,Snow,59<br />
2015-2-26,-2,-9,-16,-4,-9,-21,88,77,66,1034,1021,1014,16,6,2,32,22,39,2.79,8,Snow,360<br />
2015-2-27,-11,-18,-26,-17,-21,-27,86,72,58,1041,1039,1035,16,16,16,16,8,21,0.00,0,,251<br />
2015-2-28,-3,-9,-16,-7,-11,-18,92,71,50,1040,1035,1030,16,7,1,21,11,26,9.14,6,Fog-Snow,109<br />
2015-3-1,-1,-5,-9,-4,-7,-11,92,81,69,1033,1029,1028,16,6,1,21,7,23,7.11,7,Snow,33<br />
2015-3-2,2,-5,-12,-6,-9,-13,96,75,54,1036,1032,1023,16,13,4,24,9,27,T,1,,138<br />
2015-3-3,4,1,-2,3,-1,-6,92,81,69,1022,1012,1008,16,9,2,34,18,43,1.27,8,Rain,209<br />
2015-3-4,1,-4,-9,-3,-12,-16,78,62,45,1030,1023,1014,16,16,16,39,20,50,T,4,,332<br />
2015-3-5,-7,-12,-18,-16,-18,-21,79,63,46,1037,1034,1030,16,16,16,32,12,39,0.00,0,,339<br />
2015-3-6,1,-8,-18,-6,-11,-20,87,70,53,1036,1029,1024,16,16,16,42,22,52,0.00,0,,179<br />
2015-3-7,7,3,-1,1,-2,-4,82,71,59,1024,1022,1021,16,16,16,32,15,40,0.00,0,,244<br />
2015-3-8,10,3,-4,2,-1,-5,92,74,56,1025,1022,1020,16,15,10,27,10,34,0.00,0,,103<br />
