
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-9,-15,-8,-13,-17,88,69,50,1029,1024,1019,16,16,16,16,9,19,0.00,4,,267<br />
2015-1-2,-1,-8,-16,-6,-11,-17,91,77,63,1024,1021,1015,16,16,16,23,11,27,0.00,0,,263<br />
2015-1-3,2,-5,-12,-2,-8,-14,100,82,64,1029,1017,1008,16,7,1,63,20,79,T,7,Fog-Snow,334<br />
2015-1-4,-8,-13,-17,-14,-18,-21,87,62,37,1038,1034,1025,16,16,11,50,15,60,0.00,1,,334<br />
2015-1-5,2,-7,-15,-2,-9,-18,96,86,75,1037,1027,1017,16,14,8,47,20,53,0.00,2,,185<br />
2015-1-6,2,-3,-9,-3,-6,-8,92,81,69,1036,1032,1030,16,16,16,40,12,50,0.00,0,,312<br />
2015-1-7,-1,-7,-13,-5,-14,-18,85,66,47,1052,1045,1033,16,16,8,58,27,66,T,5,Snow,28<br />
2015-1-8,11,0,-12,0,-6,-16,88,65,42,1035,1024,1018,16,16,16,53,28,64,0.00,2,,7<br />
2015-1-9,-3,-5,-7,-9,-12,-17,68,57,45,1038,1034,1028,16,16,16,40,17,48,0.00,8,,320<br />
2015-1-10,7,1,-6,-3,-7,-12,81,65,49,1027,1020,1016,16,16,16,50,27,64,0.00,0,,188<br />
2015-1-11,7,-1,-8,-2,-6,-9,92,71,49,1027,1019,1014,16,16,10,37,11,45,0.00,0,,151<br />
2015-1-12,-4,-7,-10,-7,-12,-17,92,66,40,1039,1034,1027,16,14,2,39,22,48,T,6,Snow,42<br />
2015-1-13,-1,-4,-9,-9,-11,-13,92,71,49,1036,1032,1025,16,14,2,24,13,31,T,6,Snow,144<br />
2015-1-14,5,-1,-6,-6,-8,-10,88,66,44,1030,1027,1024,16,16,16,23,9,27,0.00,4,,301<br />
2015-1-15,12,2,-8,-4,-7,-9,92,59,26,1028,1026,1024,16,16,16,34,16,39,0.00,0,,299<br />
2015-1-16,18,7,-5,-3,-6,-7,81,50,19,1024,1016,1009,16,16,16,32,15,37,0.00,0,,226<br />
2015-1-17,12,5,-3,-3,-5,-7,72,49,26,1025,1018,1007,16,16,16,56,26,69,0.00,0,,329<br />
2015-1-18,18,7,-4,-3,-7,-12,75,44,12,1022,1018,1015,16,16,16,29,15,37,0.00,0,,287<br />
2015-1-19,21,9,-2,-1,-4,-8,75,45,14,1018,1017,1014,16,16,16,37,15,45,0.00,0,,344<br />
2015-1-20,7,3,-2,3,1,-3,92,81,70,1024,1022,1016,16,16,11,29,15,37,1.27,6,Rain,309<br />
2015-1-21,4,1,-3,-2,-4,-6,92,72,52,1029,1026,1024,16,16,16,23,13,31,0.00,7,,23<br />
2015-1-22,4,-2,-9,-4,-7,-9,96,68,40,1034,1031,1027,16,16,16,26,10,32,0.00,0,,319<br />
2015-1-23,12,1,-11,-3,-8,-12,96,59,21,1027,1023,1017,16,16,16,35,18,45,0.00,1,,297<br />
2015-1-24,16,6,-3,1,-3,-5,92,59,25,1022,1017,1012,16,16,16,47,20,58,T,2,Rain,287<br />
2015-1-25,14,7,0,-2,-5,-9,59,39,19,1022,1019,1014,16,16,16,61,28,76,0.00,0,,338<br />
2015-1-26,22,11,0,-1,-2,-3,82,51,19,1022,1020,1018,16,16,16,39,21,48,0.00,0,,308<br />
2015-1-27,26,13,0,1,-2,-5,82,48,13,1021,1017,1013,16,16,16,34,16,42,0.00,0,,237<br />
2015-1-28,22,12,2,1,-1,-4,89,54,18,1020,1014,1010,16,16,16,50,27,61,0.00,0,,311<br />
2015-1-29,9,3,-4,1,-4,-8,82,58,34,1035,1031,1020,16,16,16,42,22,55,0.00,0,,6<br />
2015-1-30,7,0,-7,1,-3,-8,100,75,49,1034,1027,1021,16,12,1,35,21,43,5.08,6,Rain-Snow,182<br />
2015-1-31,4,2,0,4,2,-1,100,95,89,1021,1012,1008,16,14,8,42,24,52,3.30,8,Rain-Snow,224<br />
2015-2-1,1,-6,-13,1,-9,-15,100,75,50,1031,1020,1010,16,16,16,64,39,79,0.00,3,,345<br />
2015-2-2,8,-3,-14,-2,-8,-16,91,70,49,1031,1023,1017,16,16,16,39,16,47,0.00,0,,193<br />
2015-2-3,17,6,-5,1,-2,-6,96,62,27,1019,1015,1012,16,16,16,24,13,32,0.00,0,,203<br />
2015-2-4,3,-4,-11,-1,-6,-13,100,86,71,1034,1022,1010,16,9,0,64,26,79,T,5,Fog-Rain-Snow,39<br />
2015-2-5,11,0,-11,-1,-6,-12,92,67,42,1034,1026,1021,16,16,16,35,20,42,0.00,1,,200<br />
2015-2-6,24,11,-4,-1,-3,-9,92,51,10,1020,1015,1010,16,16,16,26,14,32,0.00,0,,228<br />
2015-2-7,26,13,1,-1,-4,-9,59,34,9,1009,1007,1004,16,16,16,24,15,31,0.00,0,,333<br />
2015-2-8,22,12,2,-1,-3,-6,64,40,16,1020,1015,1009,16,16,16,47,20,56,0.00,0,,347<br />
2015-2-9,20,9,-3,3,-1,-4,85,54,22,1023,1019,1013,16,16,16,39,19,50,0.00,0,,206<br />
2015-2-10,20,8,-3,3,-1,-4,100,61,22,1018,1014,1011,16,13,1,35,15,43,0.00,0,,5<br />
2015-2-11,9,3,-3,3,-3,-8,85,57,29,1032,1027,1019,16,16,16,56,26,66,T,3,Rain,22<br />
2015-2-12,12,3,-7,-4,-6,-8,91,62,33,1034,1028,1023,16,16,16,34,20,42,0.00,0,,161<br />
2015-2-13,18,9,-1,-2,-3,-5,75,51,27,1025,1023,1021,16,16,16,32,15,47,0.00,0,,319<br />
2015-2-14,18,7,-6,-1,-3,-9,75,51,26,1023,1021,1019,16,16,16,45,22,53,0.00,0,,34<br />
2015-2-15,-5,-7,-10,-8,-13,-16,92,69,45,1025,1022,1019,16,13,1,29,20,37,1.02,6,Snow,29<br />
2015-2-16,6,-1,-7,1,-3,-8,100,78,55,1023,1021,1019,16,11,1,32,12,35,1.78,5,Snow,341<br />
2015-2-17,6,-1,-8,-4,-8,-11,100,67,33,1024,1022,1020,16,16,14,52,20,66,T,3,,319<br />
2015-2-18,7,-1,-8,-7,-9,-11,84,59,33,1028,1025,1021,16,16,16,23,11,26,0.00,2,,29<br />
2015-2-19,16,4,-7,-1,-5,-10,84,58,31,1026,1018,1013,16,16,16,37,22,47,0.00,0,,166<br />
2015-2-20,12,3,-5,1,-3,-6,96,70,44,1012,1009,1005,16,16,13,42,15,52,0.51,2,Rain,81<br />
2015-2-21,8,1,-6,2,-2,-6,100,75,49,1024,1017,1013,16,13,1,50,15,61,4.06,5,Fog-Rain-Snow,28<br />
2015-2-22,-3,-7,-11,-4,-11,-13,100,90,80,1041,1032,1023,14,3,0,50,25,60,0.25,8,Fog-Snow,43<br />
2015-2-23,-9,-12,-16,-12,-14,-16,96,85,73,1042,1034,1027,16,10,1,21,9,23,0.25,7,Snow,123<br />
2015-2-24,3,-7,-17,-2,-9,-18,100,82,64,1028,1022,1014,16,16,16,32,18,37,0.00,0,,301<br />
2015-2-25,9,1,-8,3,-4,-9,100,78,56,1024,1014,1009,16,16,16,52,28,63,0.00,2,,339<br />
2015-2-26,-6,-8,-11,-10,-14,-18,84,66,47,1033,1029,1024,16,16,16,47,25,56,0.00,6,,39<br />
2015-2-27,-9,-11,-13,-13,-14,-17,92,72,51,1033,1029,1025,16,6,1,32,20,39,0.76,8,Fog-Snow,145<br />
2015-2-28,-7,-9,-13,-9,-12,-14,92,85,77,1029,1024,1020,16,9,1,34,20,37,1.27,8,Snow,151<br />
2015-3-1,-2,-4,-7,-6,-7,-8,100,85,69,1032,1027,1022,16,10,3,16,6,21,0.00,7,,54<br />
2015-3-2,1,-3,-8,-1,-4,-8,100,89,78,1032,1020,1007,13,11,6,53,27,68,0.00,4,,167<br />
2015-3-3,6,1,-3,1,-2,-9,96,79,61,1017,1010,1004,16,15,10,52,25,72,0.00,4,,18<br />
2015-3-4,-1,-5,-9,-10,-12,-16,84,59,34,1032,1025,1017,16,15,10,37,21,45,T,6,,27<br />
2015-3-5,8,-2,-11,-7,-11,-14,92,56,20,1033,1030,1026,16,16,16,24,13,31,0.00,0,,236<br />
