
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,2,1,2,1,-3,100,82,64,1029,1026,1023,16,7,2,14,7,19,30.48,8,Rain,51<br />
2015-1-2,6,4,2,6,4,2,100,96,92,1024,1021,1013,16,5,1,16,10,26,17.78,8,Rain,50<br />
2015-1-3,9,6,3,8,6,3,100,92,83,1018,1013,1010,16,11,2,35,11,48,21.84,8,Rain-Thunderstorm,264<br />
2015-1-4,6,2,-2,5,-1,-8,100,72,44,1038,1028,1019,16,14,10,39,15,47,0.00,4,,312<br />
2015-1-5,6,1,-6,-6,-8,-11,81,56,30,1041,1036,1029,16,16,16,19,8,26,0.00,0,,104<br />
2015-1-6,14,6,-3,2,-1,-5,92,66,40,1031,1029,1027,16,16,16,14,4,18,0.00,0,,76<br />
2015-1-7,7,1,-6,1,-7,-15,96,64,32,1045,1038,1029,16,16,16,34,16,50,0.00,1,,36<br />
2015-1-8,2,-4,-11,-10,-15,-18,64,44,23,1043,1034,1027,16,16,16,23,8,29,0.00,0,,134<br />
2015-1-9,6,1,-6,-7,-9,-12,74,52,29,1035,1032,1028,16,16,16,21,7,29,0.00,0,,7<br />
2015-1-10,3,0,-3,-5,-10,-13,55,44,32,1035,1032,1029,16,16,16,14,7,19,T,7,Rain,105<br />
2015-1-11,4,2,-1,4,1,-6,100,81,61,1029,1023,1021,16,5,1,16,7,26,23.62,8,Rain,43<br />
2015-1-12,7,6,3,6,4,2,100,92,83,1030,1026,1021,16,10,2,23,11,31,0.00,8,,353<br />
2015-1-13,7,2,-2,1,-2,-4,85,69,53,1033,1031,1029,16,16,11,26,11,35,0.00,4,,47<br />
2015-1-14,6,1,-4,-2,-4,-6,92,68,43,1031,1028,1025,16,15,11,14,5,21,0.00,2,,44<br />
2015-1-15,12,7,2,1,-1,-2,76,59,42,1026,1025,1024,16,16,16,21,7,26,T,3,Rain,261<br />
2015-1-16,15,6,-3,1,-1,-3,92,64,36,1027,1024,1021,16,15,10,24,9,29,0.00,0,,205<br />
2015-1-17,19,12,3,5,2,0,82,60,37,1021,1018,1014,16,16,16,29,17,40,0.00,0,,224<br />
2015-1-18,19,11,1,2,-3,-8,82,49,15,1026,1023,1020,16,16,16,23,12,27,0.00,0,,226<br />
2015-1-19,21,13,4,3,0,-4,59,44,29,1020,1016,1014,16,16,16,29,14,39,0.00,0,,208<br />
2015-1-20,19,12,3,7,3,-1,85,60,34,1021,1016,1014,16,16,14,21,8,26,0.00,0,,66<br />
2015-1-21,17,9,1,3,1,-1,92,64,36,1024,1022,1021,16,16,16,19,7,24,T,1,,68<br />
2015-1-22,11,7,3,4,3,0,100,72,44,1029,1025,1022,16,13,5,32,17,45,13.97,8,Rain,49<br />
2015-1-23,10,7,3,2,0,-3,85,66,46,1024,1021,1018,16,16,16,26,13,34,T,5,Rain,346<br />
2015-1-24,16,7,-2,2,-1,-3,85,58,31,1020,1018,1015,16,16,16,24,12,32,0.00,0,,235<br />
2015-1-25,17,11,3,3,1,-1,85,60,35,1019,1014,1011,16,16,16,48,21,64,0.00,1,Rain,276<br />
2015-1-26,17,10,3,2,1,-1,82,58,34,1022,1020,1017,16,16,16,23,13,29,0.00,0,,273<br />
2015-1-27,24,14,4,5,2,-4,85,51,16,1022,1020,1017,16,16,16,11,5,14,0.00,0,,191<br />
2015-1-28,25,15,5,7,5,2,86,59,31,1023,1019,1016,16,16,16,29,14,39,0.00,0,,169<br />
2015-1-29,21,14,7,8,5,0,83,57,31,1031,1023,1017,16,16,16,27,16,39,0.00,0,,302<br />
2015-1-30,12,6,-1,1,-1,-2,89,64,38,1034,1031,1028,16,16,16,26,7,34,0.00,0,,61<br />
2015-1-31,12,8,4,4,0,-2,65,53,41,1028,1022,1014,16,16,16,21,10,27,0.00,4,,119<br />
2015-2-1,14,7,0,14,8,-6,100,78,56,1023,1013,1009,16,11,1,42,24,56,12.70,6,Rain,262<br />
2015-2-2,5,-1,-6,-5,-8,-12,69,54,38,1030,1027,1023,16,16,16,34,9,45,0.00,0,,334<br />
2015-2-3,11,4,-3,-2,-3,-7,85,61,36,1028,1026,1022,16,16,16,21,6,26,0.00,1,,165<br />
2015-2-4,12,8,4,8,4,-1,93,76,59,1023,1021,1018,16,13,3,16,6,21,0.51,7,Rain,161<br />
2015-2-5,9,4,0,8,1,-6,100,73,45,1031,1027,1023,16,13,3,27,10,39,0.00,6,,45<br />
2015-2-6,13,6,-1,4,-1,-6,83,65,47,1030,1027,1023,16,16,16,23,9,27,0.00,4,,169<br />
2015-2-7,20,12,4,9,6,3,96,71,45,1023,1018,1013,16,14,5,34,18,47,0.00,2,,191<br />
2015-2-8,19,15,10,13,12,10,100,82,63,1014,1012,1011,16,15,6,24,11,34,0.00,5,,202<br />
2015-2-9,23,16,7,11,7,2,100,63,25,1019,1016,1014,16,12,0,27,11,37,0.00,0,Fog,322<br />
2015-2-10,15,8,2,3,2,-1,92,68,43,1022,1019,1016,16,14,8,19,9,26,0.00,0,,83<br />
2015-2-11,18,11,3,7,3,1,85,63,40,1024,1020,1017,16,16,14,16,7,26,0.00,0,,55<br />
2015-2-12,14,8,3,3,-3,-9,82,51,20,1031,1028,1024,16,16,14,26,11,35,0.00,0,,34<br />
2015-2-13,13,6,-2,-1,-6,-10,70,50,29,1029,1026,1023,16,16,16,14,6,21,0.00,0,,125<br />
2015-2-14,23,12,-1,3,0,-3,82,53,23,1024,1022,1019,16,15,11,23,8,27,0.00,0,,223<br />
2015-2-15,14,7,0,3,-4,-11,85,61,37,1025,1021,1016,16,16,8,27,14,39,2.29,4,Rain,89<br />
2015-2-16,3,0,-3,1,-1,-6,100,89,78,1023,1016,1012,16,10,3,29,17,42,25.65,8,Rain,11<br />
2015-2-17,6,1,-4,-1,-4,-7,92,71,49,1025,1022,1021,16,15,11,26,6,39,T,2,,297<br />
2015-2-18,10,3,-4,-1,-7,-11,82,56,29,1030,1027,1023,16,16,16,23,10,37,0.00,1,,343<br />
2015-2-19,8,2,-4,-8,-9,-12,55,43,31,1032,1029,1024,16,16,16,26,9,31,0.00,1,,100<br />
2015-2-20,17,9,1,13,3,-8,93,70,47,1023,1015,1009,16,15,11,37,13,52,T,8,Rain,128<br />
2015-2-21,21,13,6,16,11,2,93,82,70,1020,1012,1006,16,16,4,37,21,53,1.27,8,Rain,20<br />
2015-2-22,6,4,1,3,2,-1,100,87,73,1032,1025,1019,16,9,2,34,19,48,30.73,8,Rain,47<br />
2015-2-23,1,-2,-4,-1,-4,-8,92,75,58,1035,1032,1030,16,9,1,32,18,45,5.84,8,Snow,37<br />
2015-2-24,1,-2,-4,-2,-4,-6,92,84,75,1029,1024,1016,16,16,11,16,7,21,0.00,7,,296<br />
2015-2-25,1,-1,-2,1,-1,-2,100,93,85,1016,1013,1010,16,6,0,13,5,16,18.80,6,Fog-Snow,310<br />
2015-2-26,6,1,-4,-1,-3,-7,100,80,59,1031,1019,1013,16,8,0,24,11,32,0.00,3,Fog,330<br />
2015-2-27,0,-2,-4,-6,-9,-11,75,64,53,1034,1033,1030,16,16,11,24,14,35,0.00,5,,58<br />
2015-2-28,4,1,-3,-1,-4,-6,81,70,59,1032,1030,1027,16,16,11,21,11,31,T,8,,62<br />
2015-3-1,6,3,1,6,3,-1,100,91,82,1029,1027,1026,16,5,1,21,10,26,10.67,8,Rain,44<br />
2015-3-2,5,4,2,4,3,2,100,96,92,1030,1026,1022,16,5,1,24,11,34,1.27,8,Rain,65<br />
2015-3-3,19,11,2,17,9,2,100,92,84,1022,1015,1011,16,5,0,26,7,32,1.27,8,Fog-Rain,180<br />
2015-3-4,14,7,0,13,8,0,100,96,92,1024,1014,1010,14,4,0,39,15,56,61.72,8,Fog-Rain-Thunderstorm,14<br />
2015-3-5,5,1,-4,0,-4,-7,100,72,44,1036,1030,1024,16,9,1,35,16,50,6.35,5,Fog-Snow,24<br />
2015-3-6,9,2,-6,-4,-6,-8,100,67,34,1037,1034,1032,16,16,13,11,3,18,0.00,0,,123<br />
2015-3-7,17,7,-3,2,-3,-5,78,51,23,1032,1029,1025,16,16,16,16,7,26,0.00,1,,192<br />
2015-3-8,12,9,7,8,3,-1,61,50,38,1026,1023,1021,16,9,2,21,8,27,18.80,8,Rain,169<br />
2015-3-9,10,9,7,9,9,7,100,97,93,1021,1016,1012,14,5,2,23,10,32,51.82,8,Rain,64<br />
2015-3-10,14,12,9,11,9,9,100,86,72,1021,1015,1011,16,9,0,16,5,21,0.00,8,Fog,324<br />
2015-3-11,19,14,9,11,10,9,100,80,60,1025,1023,1020,16,16,8,16,5,26,0.00,5,,60<br />
2015-3-12,13,12,11,12,12,11,100,97,93,1024,1020,1017,16,7,1,21,12,31,16.00,8,Fog-Rain,55<br />
2015-3-13,18,15,12,17,14,12,100,95,90,1016,1013,1011,16,8,1,21,11,27,8.38,8,Fog-Rain,159<br />
2015-3-14,17,15,13,14,13,13,100,92,84,1021,1016,1013,16,12,1,19,7,21,0.25,8,Rain,208<br />
2015-3-15,18,15,12,14,13,12,100,89,78,1027,1024,1021,16,10,3,16,8,21,0.51,7,Rain,56<br />
2015-3-16,22,16,10,14,12,10,100,77,53,1025,1023,1019,16,9,0,19,6,24,0.00,4,Fog,206<br />
2015-3-17,28,20,12,17,15,12,93,71,49,1021,1018,1017,16,15,10,24,7,31,0.00,1,,205<br />
2015-3-18,18,14,9,14,9,6,100,81,61,1020,1017,1015,16,15,11,23,9,32,3.81,7,Rain,73<br />
2015-3-19,12,10,8,12,10,8,100,97,93,1018,1017,1016,16,4,0,14,8,19,3.30,8,Fog-Rain,66<br />
2015-3-20,17,14,11,14,12,11,100,89,78,1022,1019,1017,16,11,2,21,9,26,20.83,8,Rain,46<br />
2015-3-21,14,12,9,13,11,9,100,89,77,1022,1019,1017,16,13,4,19,8,29,6.35,7,Rain,64<br />
2015-3-22,16,13,9,12,10,9,100,88,75,1019,1016,1015,16,8,2,19,10,23,13.72,8,Rain,28<br />
2015-3-23,23,16,8,11,9,8,100,71,41,1022,1019,1016,16,15,6,14,6,23,0.00,0,,70<br />
2015-3-24,27,20,13,13,12,10,93,66,39,1017,1015,1011,16,16,16,29,18,40,0.00,0,,171<br />
2015-3-25,28,22,15,14,13,12,87,63,39,1016,1013,1009,16,16,14,32,16,42,0.00,1,,169<br />
2015-3-26,20,14,8,16,11,2,100,70,39,1020,1014,1009,16,12,4,34,13,45,3.81,6,Rain-Thunderstorm,6<br />
2015-3-27,19,12,4,4,2,-2,86,57,27,1022,1019,1017,16,16,11,29,10,39,0.00,0,,322<br />
2015-3-28,22,14,5,8,5,1,83,61,38,1022,1020,1017,16,16,16,24,13,39,0.00,1,,123<br />
2015-3-29,29,17,4,13,8,2,85,58,31,1022,1019,1014,16,16,16,32,15,43,0.00,2,,171<br />
2015-3-30,24,19,13,17,14,11,90,74,57,1023,1021,1017,16,16,16,19,9,26,0.00,6,,157<br />
2015-3-31,24,20,16,18,17,16,100,84,68,1017,1015,1013,16,15,10,29,13,35,0.00,5,,196<br />
2015-4-1,27,22,16,18,17,15,100,77,54,1016,1013,1010,16,11,5,35,16,43,T,3,Rain,196<br />
2015-4-2,29,24,19,19,18,17,93,74,55,1014,1012,1010,16,15,11,37,22,50,0.00,5,,193<br />
2015-4-3,27,20,12,19,16,7,93,74,54,1024,1015,1010,16,15,11,37,20,52,0.00,4,,238<br />
2015-4-4,19,14,8,6,3,0,82,56,30,1030,1026,1023,16,16,16,27,11,43,0.00,0,,60<br />
2015-4-5,13,11,8,12,9,3,100,83,66,1023,1019,1016,16,12,4,19,8,26,7.11,7,Rain,97<br />
2015-4-6,27,21,13,19,17,13,100,79,58,1016,1015,1012,16,8,0,29,15,39,1.52,6,Fog-Rain-Thunderstorm,168<br />
2015-4-7,29,24,19,19,18,16,93,69,44,1017,1015,1013,16,15,11,29,16,39,0.00,4,Thunderstorm,182<br />
2015-4-8,29,24,19,19,18,18,93,74,55,1016,1014,1010,16,15,11,34,17,45,T,3,,189<br />
2015-4-9,28,23,18,23,20,17,97,82,67,1015,1011,1009,16,11,1,35,20,48,21.84,5,Rain-Thunderstorm,189<br />
2015-4-10,20,15,9,16,8,6,89,67,45,1023,1020,1015,16,16,16,24,11,34,0.00,0,,77<br />
2015-4-11,24,16,8,9,8,7,100,68,35,1022,1020,1017,16,16,14,24,7,32,0.00,0,,71<br />
2015-4-12,27,19,12,20,16,9,90,76,62,1017,1014,1012,16,16,16,27,10,35,T,4,,150<br />
2015-4-13,22,19,16,21,19,15,100,95,90,1016,1013,1011,16,11,2,26,12,34,5.08,7,Rain,112<br />
2015-4-14,16,15,14,15,14,13,100,92,84,1019,1016,1015,16,11,3,23,11,35,1.27,8,Rain-Thunderstorm,61<br />
2015-4-15,19,15,11,16,14,11,100,84,68,1016,1015,1013,16,10,2,23,9,26,1.52,7,Rain,213<br />
