
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,2,-3,-7,-1,-12,-15,93,52,44,1023,1020,1016,32,19,16,37,23,60,0.00,1,,226<br />
2015-1-2,3,-2,-7,-7,-8,-9,93,64,48,1029,1025,1021,32,19,16,27,18,37,0.00,1,,239<br />
2015-1-3,15,4,-7,12,1,-7,100,86,60,1029,1022,1012,24,15,3,37,8,55,0.00,5,Rain,166<br />
2015-1-4,16,8,1,14,8,-3,100,86,66,1020,1011,1006,16,14,6,40,21,60,6.10,7,Rain-Snow,218<br />
2015-1-5,1,-4,-10,-3,-10,-17,86,68,46,1031,1026,1020,32,16,3,32,23,50,11.43,6,Rain-Snow,267<br />
2015-1-6,-7,-9,-10,-9,-12,-16,100,78,62,1028,1023,1018,16,9,2,27,5,47,9.40,6,Snow,248<br />
2015-1-7,-9,-13,-17,-13,-16,-24,85,70,40,1032,1023,1017,16,12,2,37,24,55,2.79,5,Snow,256<br />
2015-1-8,-7,-12,-18,-11,-19,-22,85,69,49,1033,1028,1014,32,18,4,35,18,50,0.76,3,Snow,225<br />
2015-1-9,-5,-9,-14,-8,-13,-19,93,70,49,1027,1018,1013,16,11,2,47,29,69,40.64,5,Snow,239<br />
2015-1-10,-9,-13,-18,-18,-20,-23,72,64,45,1034,1031,1028,24,17,14,34,16,37,0.00,0,,227<br />
2015-1-11,4,-6,-15,0,-12,-19,100,66,30,1033,1031,1029,24,16,4,23,5,34,4.06,6,Rain-Snow,206<br />
2015-1-12,3,0,-2,3,1,-4,100,98,86,1028,1025,1017,16,8,1,19,10,29,8.13,8,Rain-Snow,238<br />
2015-1-13,-2,-6,-10,-3,-11,-17,93,70,46,1036,1032,1029,32,20,16,23,13,29,0.00,4,Snow,2<br />
2015-1-14,-3,-7,-9,-3,-11,-18,100,69,42,1029,1025,1023,16,15,3,14,5,,0.00,4,Snow,319<br />
2015-1-15,-1,-4,-7,-5,-8,-10,80,74,59,1024,1020,1016,32,18,16,26,8,34,0.00,6,,237<br />
2015-1-16,0,-3,-6,-3,-6,-11,93,77,60,1025,1018,1014,16,15,6,29,24,47,0.00,6,Snow,248<br />
2015-1-17,10,0,-10,-3,-8,-12,93,67,40,1025,1020,1012,24,17,16,27,5,37,0.00,2,,165<br />
2015-1-18,9,4,1,2,-1,-3,93,65,43,1012,1010,1008,24,16,8,35,16,45,0.00,4,Rain-Snow,215<br />
2015-1-19,3,0,-3,0,-1,-4,100,91,60,1016,1014,1012,24,15,3,23,13,,1.52,6,Rain-Snow,247<br />
2015-1-20,2,-1,-3,0,-2,-3,100,97,75,1017,1014,1012,24,12,2,10,0,,0.00,6,Snow,320<br />
2015-1-21,3,1,-1,3,0,-1,100,99,93,1019,1017,1015,16,8,2,27,3,,0.25,7,Rain-Snow,242<br />
2015-1-22,0,-1,-2,0,-2,-5,100,92,75,1030,1025,1019,16,13,5,26,13,,0.00,8,Rain,256<br />
2015-1-23,2,0,-2,0,-3,-5,100,83,65,1029,1022,1010,24,14,1,11,2,,5.33,7,Snow,220<br />
2015-1-24,0,-1,-2,0,-1,-4,100,98,86,1009,1005,1002,16,6,1,23,5,34,4.57,8,Rain-Snow,252<br />
2015-1-25,2,0,-1,1,0,-1,100,100,93,1010,1008,1006,14,6,1,27,18,37,1.27,8,Rain-Snow,225<br />
