
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-4,-8,-6,-11,-13,74,60,46,1014,1011,1008,16,16,10,23,11,34,T,7,Snow,193<br />
2015-1-2,-2,-6,-10,-5,-13,-19,81,62,42,1033,1021,1010,16,16,8,29,11,50,T,4,Snow,307<br />
2015-1-3,-2,-8,-15,-4,-11,-19,88,70,51,1037,1029,1018,16,9,1,37,13,52,1.27,5,Snow,179<br />
2015-1-4,11,4,-2,4,1,-4,93,79,65,1016,1004,997,16,14,3,34,19,56,5.33,7,Rain,168<br />
2015-1-5,3,-6,-16,-6,-18,-24,68,51,33,1028,1019,1005,16,16,16,40,18,69,T,3,,280<br />
2015-1-6,-9,-13,-17,-13,-17,-21,87,70,53,1027,1021,1012,16,16,10,23,7,27,T,6,,192<br />
2015-1-7,-7,-15,-24,-13,-21,-31,76,59,41,1026,1014,1007,16,16,16,34,12,50,T,5,,260<br />
2015-1-8,-8,-17,-25,-16,-23,-31,75,62,49,1026,1021,1013,16,13,3,26,12,39,T,5,Snow,179<br />
2015-1-9,-4,-7,-11,-9,-14,-19,74,57,39,1019,1010,1007,16,12,0,32,15,48,T,6,Fog-Snow,211<br />
2015-1-10,-7,-9,-13,-16,-17,-19,73,59,45,1029,1025,1019,16,16,16,26,8,35,T,5,,218<br />
2015-1-11,-5,-8,-12,-12,-14,-16,76,61,45,1033,1031,1028,16,16,16,24,10,29,0.00,6,,178<br />
2015-1-12,-1,-6,-11,-2,-6,-16,92,74,55,1031,1023,1020,16,7,1,34,9,43,2.03,8,Fog-Snow,306<br />
2015-1-13,-11,-17,-23,-15,-22,-26,83,71,58,1044,1039,1031,16,12,1,35,11,40,T,2,Snow,3<br />
2015-1-14,-7,-16,-24,-14,-19,-25,91,71,51,1038,1031,1025,16,16,13,21,4,26,T,3,,174<br />
2015-1-15,-6,-14,-23,-9,-16,-25,91,79,67,1024,1017,1006,16,16,14,26,7,32,T,2,,173<br />
2015-1-16,-2,-9,-17,-5,-13,-23,69,58,46,1025,1010,1002,16,14,2,35,15,50,T,4,Snow,281<br />
2015-1-17,-6,-14,-23,-16,-21,-26,87,65,43,1031,1025,1015,16,15,3,34,14,45,T,2,Snow,144<br />
2015-1-18,3,-2,-7,1,-4,-15,100,74,47,1015,1009,1004,16,12,1,37,13,43,8.89,4,Rain,163<br />
2015-1-19,4,-2,-8,0,-3,-13,100,81,62,1010,1004,1002,16,9,0,29,8,40,0.51,7,Fog,271<br />
2015-1-20,-4,-8,-12,-13,-16,-18,76,59,41,1020,1014,1010,16,16,16,23,9,32,0.00,0,,265<br />
2015-1-21,-7,-12,-16,-14,-16,-18,86,74,61,1025,1023,1020,16,16,16,13,5,18,0.00,0,,330<br />
2015-1-22,-8,-12,-16,-11,-14,-18,100,84,67,1027,1025,1023,16,14,6,13,4,16,0.00,4,,346<br />
2015-1-23,0,-6,-12,-7,-9,-14,84,69,53,1025,1019,1011,16,16,16,29,12,35,0.00,4,,170<br />
2015-1-24,2,-3,-9,-4,-7,-11,92,72,51,1009,999,992,16,16,11,16,5,23,T,2,Snow,107<br />
2015-1-25,0,-8,-17,-3,-15,-21,78,60,42,1020,1008,992,16,15,4,32,12,47,T,2,Snow,296<br />
2015-1-26,-12,-16,-19,-18,-21,-22,79,69,58,1023,1022,1020,16,16,16,24,11,29,0.00,1,,340<br />
2015-1-27,-11,-13,-16,-15,-18,-21,76,66,55,1019,1016,1015,16,10,1,50,31,61,T,5,Snow,350<br />
2015-1-28,-6,-12,-18,-16,-18,-21,87,59,31,1027,1021,1015,16,14,3,37,13,43,T,3,Snow,1<br />
2015-1-29,1,-9,-20,-6,-14,-22,86,68,49,1028,1019,1010,16,15,4,47,15,63,T,4,Snow,156<br />
2015-1-30,-3,-9,-16,-4,-8,-22,92,74,56,1021,1012,1009,16,8,1,29,15,45,1.27,8,Snow,262<br />
2015-1-31,-10,-16,-22,-18,-24,-27,69,52,34,1024,1022,1021,16,16,16,26,10,35,T,1,,314<br />
2015-2-1,-11,-16,-21,-14,-19,-25,88,73,57,1026,1023,1020,16,15,8,27,13,35,T,3,Snow,1<br />
2015-2-2,-18,-19,-21,-21,-23,-24,82,71,59,1022,1012,1007,16,5,0,32,19,37,0.25,7,Fog-Snow,340<br />
2015-2-3,-9,-19,-28,-13,-20,-31,87,73,58,1022,1020,1017,16,16,3,34,7,39,T,4,,158<br />
2015-2-4,-3,-7,-12,-4,-9,-14,100,84,67,1022,1016,1011,16,10,1,34,14,42,0.76,8,Snow,156<br />
2015-2-5,-4,-14,-24,-6,-18,-27,88,65,42,1024,1019,1012,16,15,5,35,14,42,T,4,Snow,335<br />
2015-2-6,-8,-18,-29,-10,-18,-31,86,75,64,1023,1017,1014,16,13,2,32,8,37,T,7,Snow,162<br />
2015-2-7,-8,-11,-13,-11,-15,-17,88,75,61,1022,1019,1016,16,8,3,23,13,27,T,8,Snow,16<br />
2015-2-8,-13,-14,-17,-16,-18,-19,88,84,79,1021,1019,1017,16,4,1,26,18,31,3.05,8,Fog-Snow,348<br />
2015-2-9,-9,-11,-13,-13,-14,-16,84,80,76,1023,1022,1020,16,13,3,24,10,29,0.25,8,Snow,350<br />
2015-2-10,-8,-14,-20,-12,-14,-21,92,83,73,1025,1024,1022,16,16,13,19,7,23,0.00,6,,31<br />
2015-2-11,-11,-16,-22,-15,-19,-23,91,77,63,1025,1019,1010,16,16,11,27,7,32,0.00,3,,2<br />
2015-2-12,-7,-11,-16,-9,-13,-23,88,73,58,1014,1009,1006,16,10,0,29,11,48,0.25,8,Fog-Snow,358<br />
2015-2-13,-16,-22,-27,-24,-27,-30,81,63,45,1021,1019,1015,16,16,14,27,9,39,T,1,,355<br />
2015-2-14,-8,-18,-27,-11,-17,-29,92,80,67,1018,1007,1003,16,8,2,29,12,37,T,8,Snow,84<br />
2015-2-15,-13,-17,-22,-16,-22,-29,87,66,44,1020,1012,1005,16,8,1,50,29,63,0.25,6,Snow,333<br />
2015-2-16,-11,-18,-26,-23,-27,-31,79,55,31,1021,1020,1019,16,16,16,26,9,37,0.00,0,,285<br />
2015-2-17,-12,-21,-29,-21,-25,-32,81,59,37,1020,1015,1012,16,16,14,11,3,14,0.00,5,,68<br />
2015-2-18,-6,-16,-26,-11,-17,-27,86,66,45,1014,1010,1006,16,12,2,23,8,27,T,4,Snow,17<br />
