
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,14,9,3,-1,-6,-11,57,37,17,1023,1021,1019,16,16,16,16,8,19,0.00,0,,69<br />
2015-1-2,14,9,4,4,1,-3,76,56,35,1024,1022,1021,16,16,16,16,8,21,0.00,0,,84<br />
2015-1-3,14,8,2,6,2,-2,89,72,54,1028,1025,1023,16,16,16,19,6,21,0.00,0,,82<br />
2015-1-4,16,10,4,8,4,2,86,67,47,1030,1029,1028,16,16,16,14,6,21,0.00,0,,90<br />
2015-1-5,21,12,3,7,3,1,85,59,33,1029,1026,1023,16,16,16,21,4,35,0.00,0,,124<br />
2015-1-6,24,16,8,6,3,2,71,48,25,1025,1023,1022,16,16,16,16,4,19,0.00,0,,98<br />
2015-1-7,26,18,9,6,3,0,59,40,20,1024,1021,1020,16,16,16,26,5,48,0.00,0,,96<br />
2015-1-8,20,14,9,8,6,1,77,56,34,1020,1018,1017,16,16,16,16,5,24,0.00,0,,102<br />
2015-1-9,18,14,10,12,8,4,89,69,48,1018,1017,1015,16,16,16,19,5,24,0.00,1,,112<br />
2015-1-10,18,13,8,11,9,6,89,73,56,1018,1017,1015,16,16,14,16,5,27,0.00,1,,147<br />
2015-1-11,14,12,8,11,9,7,100,89,77,1023,1020,1016,16,11,0,16,6,27,0.00,4,Fog,233<br />
2015-1-12,15,11,7,11,9,6,93,80,67,1026,1024,1023,16,16,11,23,6,45,0.00,3,,161<br />
2015-1-13,19,13,7,9,7,4,100,70,40,1024,1022,1021,16,13,0,16,6,21,0.00,3,Fog,84<br />
2015-1-14,18,13,7,8,5,2,82,64,46,1027,1024,1022,16,16,16,19,5,45,0.00,0,,99<br />
2015-1-15,20,13,7,11,6,1,86,58,29,1028,1026,1025,16,16,14,19,6,21,0.00,2,,25<br />
2015-1-16,19,13,8,12,8,3,89,69,48,1027,1025,1024,16,16,16,19,4,37,0.00,1,,87<br />
2015-1-17,19,14,9,13,10,7,93,77,60,1026,1025,1023,16,16,13,16,5,19,0.00,0,,111<br />
2015-1-18,18,14,10,13,12,9,93,80,67,1027,1025,1024,16,11,1,19,7,21,0.00,3,,312<br />
2015-1-19,18,14,10,12,11,8,96,82,67,1026,1024,1022,16,11,0,14,5,19,0.00,2,Fog,70<br />
2015-1-20,17,12,8,10,8,6,93,73,52,1022,1020,1018,16,16,14,13,5,,0.00,1,,253<br />
2015-1-21,19,12,5,9,6,4,89,65,40,1023,1021,1019,16,16,16,19,8,26,0.25,0,,55<br />
2015-1-22,19,12,4,8,4,2,83,63,43,1028,1025,1022,16,16,16,14,6,19,0.00,0,,98<br />
2015-1-23,22,13,4,8,4,2,89,60,31,1028,1026,1025,16,16,16,16,5,21,0.00,0,,79<br />
2015-1-24,24,16,6,7,3,-2,76,50,23,1024,1022,1020,16,16,16,23,9,29,0.00,0,,78<br />
2015-1-25,27,19,11,4,-2,-6,41,26,11,1020,1019,1016,16,16,16,19,6,34,0.00,0,,66<br />
2015-1-26,20,15,10,6,2,-2,55,45,34,1018,1017,1016,16,16,16,16,3,16,0.00,0,,95<br />
2015-1-27,19,14,9,11,7,4,83,64,45,1026,1023,1019,16,16,16,19,4,23,0.00,5,,82<br />
