
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,14,7,-1,3,-1,-7,85,64,43,1021,1020,1017,16,16,16,16,4,23,0.00,0,,125<br />
2015-1-2,16,8,1,7,3,-2,89,67,44,1021,1020,1018,16,16,16,16,3,24,0.00,0,,254<br />
2015-1-3,16,9,3,8,5,2,92,72,51,1026,1023,1021,16,16,13,14,3,19,0.00,1,,187<br />
2015-1-4,17,11,3,10,7,3,92,76,60,1028,1026,1025,16,16,16,19,5,23,0.00,1,,287<br />
2015-1-5,24,14,4,6,3,1,89,56,23,1025,1023,1021,16,16,16,13,4,16,0.00,0,,265<br />
2015-1-6,28,17,5,6,3,-1,83,50,16,1022,1021,1019,16,16,16,16,3,21,0.00,0,,258<br />
2015-1-7,26,16,6,13,6,2,84,54,23,1021,1019,1017,16,16,16,21,6,24,0.00,0,,284<br />
2015-1-8,20,14,9,13,9,6,86,70,53,1018,1016,1015,16,16,16,16,6,21,0.00,1,,125<br />
2015-1-9,19,14,9,14,11,8,96,84,72,1017,1015,1015,16,15,10,16,3,24,0.00,2,,205<br />
2015-1-10,16,13,10,14,13,9,100,89,78,1016,1015,1014,16,6,2,16,6,23,16.76,7,Rain,76<br />
2015-1-11,18,14,10,14,13,9,100,86,72,1020,1016,1015,16,10,3,19,6,23,14.73,6,Rain,33<br />
2015-1-12,17,12,7,14,11,7,96,87,78,1022,1020,1019,16,14,3,16,5,23,0.00,2,,100<br />
2015-1-13,19,13,7,13,9,6,96,76,56,1021,1019,1017,16,16,11,14,5,18,0.00,1,,301<br />
2015-1-14,19,12,5,10,7,5,96,72,48,1024,1021,1020,16,16,16,14,3,18,0.00,0,,269<br />
2015-1-15,21,13,6,9,5,2,89,61,32,1025,1023,1022,16,16,16,21,5,26,0.00,0,,261<br />
2015-1-16,21,13,4,13,7,3,93,67,40,1023,1021,1019,16,16,14,13,3,16,0.00,0,,146<br />
2015-1-17,23,14,6,11,7,3,92,61,29,1023,1021,1019,16,16,16,16,3,19,0.00,0,,175<br />
2015-1-18,20,14,8,14,10,6,100,76,52,1024,1022,1021,16,14,8,19,4,19,0.00,1,,149<br />
2015-1-19,17,13,9,13,11,8,100,92,84,1022,1019,1017,16,6,0,13,4,16,0.00,4,Fog,105<br />
2015-1-20,17,12,7,13,11,7,100,89,78,1017,1015,1013,14,8,0,10,4,,0.00,5,Fog,51<br />
2015-1-21,18,13,7,12,10,6,96,78,60,1020,1016,1014,16,11,2,16,7,24,0.00,3,,3<br />
2015-1-22,22,14,5,11,7,4,89,61,33,1024,1022,1020,16,16,16,19,3,19,0.00,1,,316<br />
2015-1-23,21,13,4,11,4,1,83,55,26,1025,1023,1021,16,16,16,14,4,18,0.00,0,,262<br />
2015-1-24,25,15,4,6,3,1,82,52,21,1021,1019,1016,16,16,16,24,5,31,0.00,0,,267<br />
2015-1-25,26,16,4,7,3,-2,82,49,16,1017,1016,1014,16,16,16,21,5,26,0.00,0,,320<br />
2015-1-26,24,17,10,13,8,3,87,58,29,1019,1016,1014,16,16,13,26,6,32,2.29,4,Rain,103<br />
2015-1-27,19,15,11,13,12,9,93,76,58,1023,1021,1019,16,16,16,16,6,19,T,3,Rain,255<br />
2015-1-28,20,15,9,12,10,9,93,75,56,1022,1020,1018,16,16,16,19,4,21,0.00,4,,257<br />
2015-1-29,24,18,12,13,11,8,89,64,38,1018,1016,1015,16,16,13,21,4,26,0.00,1,,7<br />
2015-1-30,21,14,8,14,11,7,93,73,53,1016,1012,1010,16,16,13,19,4,23,0.00,2,,212<br />
2015-1-31,19,14,8,13,11,8,100,84,67,1016,1013,1010,16,15,10,16,6,21,0.00,1,,57<br />
2015-2-1,21,13,6,14,10,6,100,76,51,1020,1018,1016,16,16,11,14,4,16,0.00,0,,253<br />
2015-2-2,21,14,7,13,10,6,93,76,58,1019,1017,1015,16,16,16,16,5,21,0.00,1,,263<br />
2015-2-3,19,13,7,14,11,7,100,87,73,1019,1017,1016,16,7,0,19,6,23,0.00,5,Fog,66<br />
2015-2-4,18,16,13,13,12,11,100,86,72,1021,1019,1017,10,6,3,19,9,24,0.00,6,,26<br />
2015-2-5,19,14,10,13,11,10,100,82,63,1020,1018,1015,16,10,0,19,8,24,0.00,4,Fog,326<br />
2015-2-6,18,14,9,14,11,8,93,83,72,1021,1019,1017,16,13,6,24,8,27,0.00,4,,80<br />
2015-2-7,17,15,13,16,14,12,97,88,78,1022,1020,1019,16,8,2,29,8,35,14.99,8,Rain,78<br />
2015-2-8,20,18,16,17,15,14,100,87,73,1022,1020,1019,16,14,4,21,7,24,1.02,7,Rain,111<br />
2015-2-9,24,17,11,16,13,9,100,75,49,1022,1020,1016,16,11,0,32,9,39,0.00,2,Fog,284<br />
2015-2-10,23,16,8,11,9,3,96,63,29,1016,1015,1013,16,15,10,21,4,23,0.00,0,,251<br />
2015-2-11,26,17,7,9,7,3,93,59,24,1019,1016,1014,16,16,16,23,5,27,0.00,0,,272<br />
2015-2-12,28,18,8,9,5,1,82,50,17,1020,1019,1017,16,16,16,19,4,23,0.00,0,,310<br />
2015-2-13,28,18,7,10,4,-1,76,46,15,1019,1017,1015,16,16,10,23,6,31,0.00,0,,274<br />
2015-2-14,27,18,8,11,6,2,82,52,21,1018,1016,1015,16,16,16,14,4,19,0.00,0,,278<br />
2015-2-15,19,14,9,14,12,6,100,83,66,1016,1014,1013,16,10,0,16,6,21,0.00,4,Fog,95<br />
2015-2-16,18,15,12,13,13,12,100,86,72,1017,1015,1014,16,9,1,19,9,27,0.00,7,Fog,43<br />
2015-2-17,19,14,10,13,11,9,93,80,67,1021,1019,1017,16,11,2,21,9,26,0.00,4,,65<br />
2015-2-18,18,13,8,13,11,7,93,80,67,1021,1020,1018,13,10,5,16,5,19,0.00,2,,286<br />
2015-2-19,17,13,9,13,11,9,96,87,78,1021,1018,1016,11,6,0,13,5,,0.00,4,Fog,23<br />
2015-2-20,18,14,10,12,12,9,100,84,67,1016,1015,1013,11,8,0,19,7,23,0.00,5,Fog,38<br />
2015-2-21,19,16,13,12,11,11,93,76,58,1015,1013,1011,16,12,6,19,9,24,0.00,8,,273<br />
2015-2-22,18,14,11,12,11,9,93,77,60,1012,1011,1009,16,15,5,23,4,31,2.03,7,Rain,216<br />
2015-2-23,17,11,6,11,6,1,100,73,46,1022,1016,1011,16,16,14,27,8,35,4.83,1,Rain,247<br />
2015-2-24,23,13,4,11,5,1,92,59,26,1025,1023,1021,16,16,16,32,6,39,0.00,0,,314<br />
2015-2-25,19,13,6,12,7,3,86,71,55,1022,1019,1016,16,16,16,13,4,18,0.00,0,,174<br />
2015-2-26,18,12,6,13,9,5,92,78,63,1015,1012,1010,16,16,16,16,5,21,0.00,1,,145<br />
2015-2-27,21,14,8,12,8,6,93,71,48,1011,1009,1007,16,16,16,42,14,68,0.00,1,,284<br />
2015-2-28,17,14,10,9,7,4,89,70,51,1012,1010,1008,16,16,16,32,15,42,0.00,2,,289<br />
2015-3-1,17,13,8,9,7,6,93,75,56,1014,1013,1012,16,15,5,23,8,27,5.08,4,Rain-Thunderstorm,143<br />
2015-3-2,16,12,7,9,7,6,93,78,62,1014,1013,1012,16,16,16,19,6,23,2.29,4,,45<br />
2015-3-3,18,12,6,9,6,4,96,70,43,1015,1014,1012,16,16,16,19,7,31,0.00,0,,209<br />
2015-3-4,21,13,6,9,5,3,86,62,37,1021,1018,1015,16,16,16,16,5,21,0.00,1,,250<br />
2015-3-5,23,14,4,7,3,-1,86,53,20,1025,1023,1021,16,16,16,16,5,21,0.00,0,,246<br />
2015-3-6,26,15,4,12,4,-2,86,52,18,1022,1019,1016,16,16,16,23,5,29,0.00,0,,216<br />
2015-3-7,28,17,5,14,6,-3,93,54,14,1017,1015,1014,16,16,16,24,5,27,T,0,,210<br />
2015-3-8,19,13,7,14,11,6,96,80,63,1017,1015,1013,16,15,11,26,7,52,0.00,0,,131<br />
2015-3-9,18,13,8,13,11,7,93,83,72,1016,1014,1011,16,14,10,23,7,26,0.00,3,,208<br />
2015-3-10,19,16,12,13,13,12,100,86,72,1016,1014,1012,16,7,0,23,9,26,0.00,5,Fog,56<br />
2015-3-11,19,16,11,14,13,9,93,80,67,1020,1018,1015,16,11,6,27,6,42,0.25,4,Rain,226<br />
2015-3-12,27,18,9,14,11,7,83,57,30,1019,1017,1015,16,16,16,24,8,29,0.00,0,,149<br />
2015-3-13,29,19,10,15,10,6,89,57,24,1019,1017,1016,16,16,16,14,6,19,0.00,0,,229<br />
2015-3-14,31,22,12,12,8,1,93,55,16,1018,1016,1015,16,16,16,13,5,18,0.00,0,,153<br />
2015-3-15,29,22,13,16,10,6,87,55,23,1018,1015,1013,16,16,16,19,5,24,0.00,1,,226<br />
2015-3-16,27,20,12,16,12,8,93,63,32,1014,1013,1011,16,16,16,19,5,24,0.00,1,,212<br />
2015-3-17,24,19,13,14,13,10,86,65,44,1015,1013,1012,16,16,16,16,6,19,0.00,4,,128<br />
2015-3-18,22,18,14,15,13,12,93,77,61,1015,1014,1013,16,16,13,19,7,24,0.00,2,,133<br />
2015-3-19,21,16,11,14,13,10,93,81,68,1017,1015,1014,16,13,10,26,8,32,0.00,2,,178<br />
2015-3-20,21,17,13,14,13,11,93,81,68,1019,1017,1016,16,11,6,27,10,34,0.00,4,,105<br />
2015-3-21,21,16,11,14,13,10,93,80,66,1021,1019,1016,16,14,6,24,9,29,0.00,3,,105<br />
2015-3-22,21,16,11,14,12,9,93,80,67,1022,1021,1020,16,15,11,37,8,47,0.00,3,,243<br />
2015-3-23,25,17,9,12,9,6,72,55,38,1022,1020,1017,16,16,16,40,12,61,0.00,0,,297<br />
2015-3-24,29,22,14,7,4,2,57,38,18,1020,1017,1015,16,16,16,45,21,56,0.00,1,,347<br />
2015-3-25,27,21,14,15,9,5,90,59,28,1019,1017,1015,16,16,13,24,9,31,0.00,0,,250<br />
2015-3-26,31,21,11,14,9,2,93,55,16,1019,1017,1016,16,16,14,24,5,32,0.00,0,,249<br />
2015-3-27,26,19,11,15,12,8,93,66,38,1019,1017,1016,16,16,13,19,6,23,0.00,0,,171<br />
2015-3-28,22,17,12,14,13,11,93,73,53,1019,1017,1016,16,16,13,16,7,21,0.00,0,,127<br />
2015-3-29,21,16,12,14,13,11,100,84,68,1018,1016,1014,16,9,0,21,9,24,0.00,4,Fog,105<br />
2015-3-30,19,16,12,13,13,11,100,87,73,1017,1016,1014,16,7,0,26,8,32,0.00,5,Fog,107<br />
2015-3-31,21,17,12,14,12,4,100,70,40,1017,1015,1013,16,12,5,32,10,39,0.00,3,,89<br />
2015-4-1,25,17,9,13,6,-1,78,51,23,1016,1014,1011,16,16,13,39,12,52,0.00,0,,48<br />
2015-4-2,24,17,11,11,3,-3,63,43,22,1017,1015,1013,16,16,16,32,10,35,0.00,0,,128<br />
2015-4-3,27,17,6,9,2,-5,76,46,15,1019,1016,1014,16,16,16,27,8,35,0.00,0,,268<br />
2015-4-4,25,18,10,13,9,5,86,58,29,1014,1012,1010,16,16,13,19,9,24,0.00,0,,157<br />
2015-4-5,21,15,8,11,8,6,86,63,40,1013,1011,1010,16,16,14,39,13,52,0.00,0,,255<br />
2015-4-6,19,13,8,7,4,2,66,51,36,1015,1013,1012,16,16,16,39,14,52,0.00,1,,266<br />
2015-4-7,17,12,7,12,7,3,86,66,46,1018,1016,1015,16,15,4,24,10,31,4.57,4,Rain,167<br />
2015-4-8,21,14,6,8,5,0,77,57,37,1020,1017,1014,16,16,14,27,11,35,0.00,0,,267<br />
2015-4-9,21,14,7,9,7,4,89,61,33,1015,1014,1013,16,16,16,24,7,27,0.00,1,,211<br />
2015-4-10,20,14,7,12,9,5,89,65,40,1017,1015,1014,16,16,16,19,8,24,0.00,1,,144<br />
2015-4-11,19,14,8,12,10,7,93,75,56,1015,1013,1011,16,16,16,24,8,31,0.00,0,,135<br />
2015-4-12,21,16,11,13,12,9,93,74,55,1016,1014,1012,16,15,10,19,9,23,0.00,0,,143<br />
2015-4-13,19,16,11,13,12,11,93,80,67,1019,1017,1016,16,13,10,27,11,32,0.00,3,,127<br />
2015-4-14,21,15,8,13,7,-8,89,52,15,1020,1017,1014,16,16,14,27,10,34,0.00,0,,123<br />
2015-4-15,23,16,8,9,1,-6,72,43,14,1016,1014,1012,16,16,14,21,7,27,0.00,0,,238<br />
2015-4-16,26,17,7,8,2,-4,89,52,15,1017,1015,1013,16,16,16,21,7,26,0.00,0,,239<br />
2015-4-17,23,16,8,11,4,-1,75,51,27,1018,1016,1014,16,16,16,27,9,35,0.00,0,,222<br />
