
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,14,6,-3,3,-2,-8,89,64,20,1021,1020,1019,16,16,16,13,3,,0.00,0,,145<br />
2015-1-2,14,7,-1,7,1,-2,92,72,36,1022,1021,1018,16,16,16,23,5,,0.00,0,,335<br />
2015-1-3,15,7,-1,4,-1,-3,89,69,32,1026,1024,1022,16,16,16,11,5,,0.00,0,,127<br />
2015-1-4,18,9,1,8,2,-1,89,71,33,1029,1027,1026,16,16,16,23,5,,0.00,0,,26<br />
2015-1-5,25,14,4,6,3,0,76,57,23,1026,1024,1021,16,16,16,11,5,,0.00,0,,109<br />
2015-1-6,26,15,4,8,4,2,83,61,28,1023,1021,1020,16,16,16,11,3,,0.00,0,,243<br />
2015-1-7,26,16,5,7,4,2,82,61,24,1022,1019,1017,16,16,16,13,5,,0.00,0,,166<br />
2015-1-8,22,15,8,10,7,4,86,69,35,1018,1017,1015,16,16,16,19,5,,0.00,0,,49<br />
2015-1-9,20,14,8,12,9,7,93,78,47,1017,1016,1014,16,16,16,23,6,,0.00,3,,157<br />
2015-1-10,19,15,11,11,8,6,93,69,42,1016,1015,1013,16,16,13,19,3,,0.25,7,Rain,332<br />
2015-1-11,20,14,9,12,11,8,100,86,59,1021,1018,1015,16,13,1,23,5,,0.25,4,Fog-Rain,311<br />
2015-1-12,20,13,7,11,9,7,100,86,50,1023,1021,1020,16,7,0,21,3,,0.00,2,Fog,356<br />
2015-1-13,21,14,7,10,7,5,90,73,41,1022,1020,1017,16,14,8,16,3,,0.00,0,,63<br />
2015-1-14,21,12,4,8,5,2,93,70,37,1025,1022,1021,16,14,6,19,3,,0.00,0,,291<br />
2015-1-15,21,12,4,7,4,2,89,69,31,1025,1024,1023,16,16,16,21,5,,0.00,0,,51<br />
2015-1-16,22,13,4,11,5,1,86,64,25,1025,1022,1020,16,16,16,27,10,,0.00,0,,329<br />
2015-1-17,25,18,11,11,7,3,86,60,36,1023,1022,1020,16,16,16,27,6,,0.00,1,,207<br />
2015-1-18,23,14,7,13,9,5,97,77,42,1024,1023,1021,16,16,16,16,6,,0.00,1,,353<br />
2015-1-19,24,17,10,13,10,6,90,73,37,1022,1020,1019,16,16,16,27,8,,0.00,0,,316<br />
2015-1-20,21,15,9,10,7,4,83,66,36,1019,1016,1015,16,16,16,24,8,29,0.00,2,,326<br />
2015-1-21,21,14,6,7,5,3,86,62,39,1020,1017,1015,16,16,16,26,8,37,0.00,0,,12<br />
2015-1-22,22,13,4,8,4,2,89,68,31,1026,1023,1021,16,16,16,13,2,,0.00,0,,60<br />
2015-1-23,24,13,2,3,1,-1,83,52,21,1026,1024,1022,16,16,16,27,6,,0.00,0,,25<br />
2015-1-24,26,15,4,7,2,-1,71,50,22,1022,1019,1016,16,16,16,21,6,,0.00,0,,123<br />
2015-1-25,29,17,5,4,2,-1,76,48,15,1018,1017,1014,16,16,16,21,8,,0.00,0,,122<br />
2015-1-26,23,16,8,11,4,2,75,51,32,1019,1016,1014,16,16,16,16,3,,0.25,4,Rain,118<br />
2015-1-27,20,14,9,12,11,8,97,81,49,1023,1022,1020,16,16,16,14,5,,1.02,5,Rain,202<br />
2015-1-28,20,14,8,12,9,7,93,76,50,1023,1021,1019,16,16,10,10,3,,0.00,2,,267<br />
2015-1-29,23,14,7,12,8,6,93,75,38,1019,1017,1015,16,14,8,23,5,,0.00,1,,93<br />
2015-1-30,21,13,5,12,8,4,97,84,42,1016,1013,1011,16,16,11,39,10,53,0.00,1,,342<br />
2015-1-31,23,16,9,11,9,6,100,79,35,1018,1013,1011,16,11,0,23,5,,0.00,3,Fog,41<br />
2015-2-1,23,13,3,11,6,1,93,72,33,1021,1019,1018,16,16,16,26,5,39,0.00,0,,344<br />
2015-2-2,26,16,6,10,7,4,93,73,33,1020,1018,1015,16,16,16,24,5,,0.00,0,,160<br />
2015-2-3,24,15,6,12,8,3,100,84,32,1019,1018,1016,16,9,0,21,5,,0.00,2,Fog,119<br />
2015-2-4,19,12,5,12,8,4,100,93,61,1021,1019,1018,16,7,0,11,5,,0.00,6,Fog,124<br />
2015-2-5,19,12,6,12,10,6,100,88,63,1020,1018,1015,16,11,1,14,5,,0.00,6,,145<br />
2015-2-6,18,13,9,14,11,7,93,77,60,1020,1018,1015,16,15,3,24,10,35,7.37,6,Rain,144<br />
