
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-5,-9,-12,-8,-12,-18,86,74,59,1017,1005,1000,16,4,0,50,34,66,2.03,7,Fog-Snow,291<br />
2015-1-2,-9,-11,-13,-13,-15,-17,85,75,65,1023,1020,1015,16,9,3,29,19,40,0.00,8,Snow,271<br />
2015-1-3,-3,-6,-9,-5,-9,-13,88,79,65,1020,1014,1011,16,13,2,34,13,50,0.00,8,Snow,179<br />
2015-1-4,-9,-14,-21,-12,-19,-24,85,78,69,1025,1019,1013,3,1,0,40,29,53,0.00,8,Snow,329<br />
2015-1-5,-16,-18,-21,-19,-22,-24,79,75,71,1027,1023,1020,8,2,0,35,26,50,0.25,8,Snow,256<br />
2015-1-6,-11,-15,-19,-14,-18,-24,85,76,63,1025,1017,1014,5,1,0,48,29,63,1.78,8,Fog-Snow,297<br />
2015-1-7,-12,-17,-21,-14,-22,-25,85,76,65,1037,1030,1022,2,1,0,61,35,74,0.51,8,Fog-Snow,312<br />
2015-1-8,-11,-14,-18,-13,-18,-22,84,77,63,1023,1008,1000,16,4,0,45,26,53,0.00,8,Fog-Snow,260<br />
2015-1-9,-14,-16,-18,-17,-19,-21,85,78,72,1018,1012,1005,2,1,0,48,35,69,0.00,8,Fog-Snow,307<br />
2015-1-10,-11,-13,-16,-16,-18,-21,84,75,54,1021,1015,1013,16,4,0,34,24,48,0.00,8,Fog-Snow,253<br />
2015-1-11,-10,-13,-16,-13,-14,-19,88,81,67,1026,1021,1017,16,5,0,21,11,,0.00,8,Fog-Snow,284<br />
2015-1-12,-12,-14,-17,-16,-19,-21,85,74,64,1043,1034,1025,16,5,1,26,19,37,0.00,8,Snow,341<br />
2015-1-13,-10,-16,-21,-18,-19,-23,85,72,54,1042,1036,1025,16,15,6,21,11,,0.00,3,Snow,217<br />
2015-1-14,-7,-10,-12,-9,-11,-17,88,81,62,1024,1019,1012,16,8,2,24,16,42,0.00,8,Snow,239<br />
2015-1-15,0,-4,-10,-3,-7,-16,89,80,64,1015,1007,1003,16,8,2,55,31,71,0.25,8,Snow,281<br />
2015-1-16,-9,-12,-14,-14,-16,-18,84,71,59,1025,1019,1014,16,9,1,29,18,37,0.00,6,Snow,21<br />
2015-1-17,-1,-5,-9,-2,-5,-14,93,86,65,1014,998,992,16,8,1,40,18,55,0.25,8,Snow,224<br />
2015-1-18,-2,-6,-8,-3,-7,-13,92,80,71,1017,1005,995,16,10,1,37,26,52,0.51,8,Snow,342<br />
2015-1-19,-7,-9,-11,-9,-12,-14,88,78,68,1020,1016,1013,16,10,2,13,10,,0.00,7,Snow,87<br />
2015-1-20,-6,-10,-14,-8,-11,-15,96,84,71,1019,1016,1013,16,10,2,13,8,,0.00,6,Snow,74<br />
2015-1-21,-4,-8,-11,-5,-7,-13,92,86,78,1024,1020,1016,16,13,4,19,5,,0.00,8,Snow,307<br />
2015-1-22,-1,-4,-8,-8,-9,-11,84,70,50,1027,1023,1014,16,16,16,26,16,45,0.00,5,Snow,258<br />
2015-1-23,2,0,-2,-1,-3,-8,87,76,61,1014,1007,1003,16,14,2,47,31,64,0.76,7,Rain-Snow,265<br />
2015-1-24,2,-4,-9,0,-5,-13,92,83,71,1012,1003,1000,16,14,2,26,21,37,0.25,8,Snow,338<br />
2015-1-25,-8,-13,-17,-13,-16,-19,87,71,59,1021,1018,1013,16,15,5,19,10,,0.00,5,Snow,78<br />
2015-1-26,-5,-9,-13,-8,-11,-16,93,79,68,1016,1011,1007,16,10,2,23,13,,1.02,7,Snow,161<br />
2015-1-27,-4,-8,-11,-8,-9,-13,89,81,69,1023,1021,1015,16,16,16,13,6,,7.37,6,,171<br />
2015-1-28,-1,-3,-6,-6,-7,-8,86,78,69,1023,1017,1010,16,13,1,23,11,,0.00,8,,160<br />
2015-1-29,-1,-7,-12,-3,-8,-16,93,79,67,1030,1015,1007,16,8,2,39,18,55,0.25,8,Rain-Snow,316<br />
2015-1-30,-9,-11,-13,-12,-15,-17,85,75,64,1033,1029,1021,16,7,1,26,14,35,0.25,8,Snow,287<br />
2015-1-31,-6,-11,-16,-9,-14,-19,84,75,65,1030,1023,1017,16,8,2,29,14,35,0.25,8,Snow,352<br />
2015-2-1,-13,-15,-17,-17,-18,-19,84,75,61,1031,1027,1021,16,10,1,16,10,,0.00,7,Snow,28<br />
2015-2-2,-9,-13,-16,-13,-16,-22,85,72,44,1022,1016,1012,16,6,0,34,14,45,0.76,8,Fog-Snow,257<br />
2015-2-3,-10,-11,-12,-13,-14,-16,85,79,67,1017,1014,1011,14,4,1,26,16,37,1.78,8,Fog-Snow,292<br />
2015-2-4,-12,-14,-17,-14,-18,-21,84,74,67,1026,1019,1014,16,3,0,40,24,53,0.51,8,Snow,312<br />
2015-2-5,-6,-12,-18,-9,-18,-22,83,71,38,1027,1020,1010,16,7,1,47,21,64,0.00,7,Snow,265<br />
2015-2-6,-6,-9,-11,-9,-13,-14,80,74,68,1020,1016,1010,16,8,1,42,26,61,0.51,7,Snow,355<br />
2015-2-7,-6,-9,-11,-7,-11,-14,89,85,80,1016,1011,1006,16,6,0,32,18,45,2.54,8,Fog-Snow,91<br />
2015-2-8,-7,-9,-10,-8,-11,-13,93,83,74,1024,1014,1007,16,5,2,26,19,37,0.25,8,Snow,63<br />
2015-2-9,-7,-9,-11,-9,-11,-13,88,79,74,1027,1024,1022,16,9,2,24,10,,0.00,7,Snow,322<br />
2015-2-10,-4,-6,-7,-6,-7,-8,96,89,81,1026,1020,1011,16,8,1,24,8,,2.29,8,Fog-Snow,119<br />
2015-2-11,-4,-9,-15,-6,-12,-18,93,79,62,1026,1014,1008,14,3,0,48,21,64,1.02,8,Fog-Snow,322<br />
2015-2-12,-16,-18,-19,-18,-21,-23,80,73,66,1034,1030,1024,16,4,0,34,24,48,0.00,8,Snow,341<br />
