
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-4,-11,-19,-12,-17,-21,91,71,50,1033,1031,1028,16,16,16,13,3,14,0.00,0,,160<br />
2015-1-2,5,-6,-16,-3,-9,-17,88,71,54,1027,1023,1021,16,16,16,14,4,19,0.00,1,,156<br />
2015-1-3,7,1,-7,-2,-4,-7,96,75,53,1025,1023,1022,16,16,16,13,5,14,0.00,1,,144<br />
2015-1-4,9,3,-3,1,-1,-3,100,75,49,1027,1025,1023,16,16,16,26,7,37,0.00,7,,136<br />
2015-1-5,12,7,3,2,-1,-2,76,63,49,1028,1027,1023,16,16,16,27,8,40,0.00,3,,110<br />
2015-1-6,13,6,-1,4,1,-2,100,74,47,1028,1027,1026,16,16,16,21,7,27,0.00,0,,100<br />
2015-1-7,15,6,-3,3,0,-3,100,72,44,1030,1027,1025,16,16,16,14,4,19,0.00,0,,217<br />
2015-1-8,1,0,-2,0,-1,-1,100,96,92,1027,1025,1024,16,4,0,19,8,21,T,6,Fog-Snow,313<br />
2015-1-9,2,1,-1,1,-1,-2,100,95,89,1026,1021,1017,16,10,0,10,2,11,T,8,Fog,75<br />
2015-1-10,9,3,-2,3,-1,-3,100,83,65,1019,1017,1015,16,10,0,10,1,13,0.00,6,Fog,160<br />
2015-1-11,6,2,-1,3,1,-2,100,87,73,1024,1020,1017,16,9,0,13,5,16,2.54,7,Fog-Rain,309<br />
2015-1-12,4,2,0,3,1,0,100,93,85,1031,1026,1022,16,6,0,13,5,16,T,8,Fog-Snow,311<br />
2015-1-13,7,3,-1,2,1,-1,100,83,65,1033,1030,1028,16,12,2,19,5,23,0.00,6,,323<br />
2015-1-14,4,1,-3,0,-1,-3,100,88,76,1030,1028,1025,16,14,2,16,4,21,0.00,7,,309<br />
2015-1-15,7,2,-3,1,-2,-3,100,81,62,1027,1023,1015,16,11,0,24,9,34,T,7,Fog-Rain,144<br />
2015-1-16,11,5,-1,3,0,-3,89,68,46,1025,1021,1015,16,16,16,27,11,35,T,3,Rain,195<br />
2015-1-17,13,7,0,8,4,-2,86,76,66,1023,1017,1011,16,16,11,39,15,52,2.79,6,Rain,164<br />
2015-1-18,12,4,-3,8,0,-6,93,62,30,1028,1021,1012,16,16,16,39,12,45,1.52,2,Rain,230<br />
2015-1-19,9,3,-3,0,-2,-4,92,69,45,1031,1029,1027,16,16,16,14,4,18,0.00,3,,68<br />
2015-1-20,8,1,-6,-1,-3,-6,100,75,49,1030,1029,1027,16,16,16,14,6,,0.00,2,,201<br />
2015-1-21,10,3,-4,-2,-3,-6,100,96,92,1030,1028,1025,16,8,0,14,3,19,0.00,5,Fog,161<br />
2015-1-22,8,4,-1,0,-2,-4,89,70,47,1032,1029,1026,16,16,16,14,4,23,0.00,4,,79<br />
2015-1-23,11,4,-3,5,1,-3,96,79,59,1034,1032,1030,16,16,16,19,6,24,0.25,3,Rain,105<br />
2015-1-24,19,10,1,6,2,0,92,72,33,1031,1028,1025,16,16,16,23,7,27,0.00,1,,135<br />
2015-1-25,21,11,1,6,3,1,86,60,35,1026,1023,1019,16,16,16,24,11,31,0.00,0,,128<br />
2015-1-26,19,10,1,4,2,-1,96,65,34,1019,1017,1015,16,16,16,23,7,29,0.00,0,,125<br />
2015-1-27,14,6,-2,3,1,-2,100,70,40,1024,1019,1015,16,16,16,21,4,23,0.00,1,,85<br />
2015-1-28,13,6,-3,4,1,-2,100,74,47,1029,1027,1025,16,16,16,14,6,19,0.00,0,,188<br />
2015-1-29,5,2,-1,3,2,-2,100,93,85,1030,1028,1026,16,9,0,14,5,19,0.00,8,Fog,317<br />
2015-1-30,3,2,0,1,1,-1,100,93,85,1029,1027,1024,16,14,5,13,4,16,0.00,8,,56<br />
2015-1-31,4,0,-4,0,-2,-4,100,88,76,1026,1023,1022,16,8,0,19,8,21,0.00,5,Fog,90<br />
2015-2-1,8,3,-2,4,1,-1,100,88,76,1023,1021,1019,16,9,0,14,5,19,T,6,Fog-Rain,106<br />
2015-2-2,14,6,-2,9,2,-2,100,73,46,1021,1017,1014,16,15,5,40,9,53,5.33,2,Rain,68<br />
2015-2-3,6,3,0,4,3,-1,100,91,82,1020,1018,1015,16,14,6,26,6,31,5.08,7,Rain,317<br />
2015-2-4,11,6,2,7,4,2,100,87,74,1019,1015,1009,16,7,0,16,5,19,0.00,3,Fog,308<br />
2015-2-5,13,11,8,5,0,-5,70,53,35,1009,1006,1002,16,16,16,40,17,53,T,3,,178<br />
