
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-9,-15,-7,-13,-22,92,67,42,1023,1020,1015,16,10,0,24,13,29,2.03,5,Fog-Snow,230<br />
2015-1-2,2,-5,-12,-6,-10,-13,96,79,61,1022,1016,1009,16,16,11,27,16,35,0.00,2,,203<br />
2015-1-3,2,-9,-21,-4,-12,-22,92,77,61,1029,1017,1009,16,9,0,52,20,60,2.03,6,Fog-Snow,47<br />
2015-1-4,2,-11,-23,-11,-17,-25,91,65,38,1033,1030,1023,16,16,10,24,11,31,0.00,5,,221<br />
2015-1-5,13,-3,-21,1,-7,-21,95,67,38,1034,1022,1015,16,15,6,60,25,74,0.00,5,,278<br />
2015-1-6,9,2,-7,2,-2,-7,92,73,53,1037,1028,1023,16,12,0,48,15,63,T,6,Fog-Snow,81<br />
2015-1-7,4,-3,-10,-4,-9,-12,96,83,69,1046,1038,1021,16,10,1,35,12,42,T,7,Snow,125<br />
2015-1-8,9,1,-7,-2,-5,-8,92,63,34,1031,1023,1016,16,11,3,37,21,43,T,6,Snow,69<br />
2015-1-9,-2,-6,-9,-4,-8,-11,100,91,81,1031,1025,1015,16,10,0,26,9,32,T,7,Fog-Snow,88<br />
2015-1-10,13,4,-6,1,-3,-6,100,65,30,1017,1014,1011,16,13,0,27,14,32,0.00,5,Fog,206<br />
2015-1-11,4,1,-3,1,-3,-5,85,72,59,1026,1018,1011,16,15,11,27,13,32,T,7,Snow,52<br />
2015-1-12,-2,-4,-6,-4,-6,-7,100,89,78,1030,1026,1022,16,10,0,24,14,27,T,8,Snow,39<br />
2015-1-13,0,-3,-6,-3,-5,-6,96,87,78,1029,1025,1021,16,7,0,19,10,23,T,8,Snow,345<br />
2015-1-14,5,-1,-7,-4,-6,-8,96,74,51,1027,1024,1020,16,16,16,21,9,26,0.00,2,,167<br />
2015-1-15,13,4,-5,-4,-8,-12,74,46,18,1028,1024,1019,16,16,16,29,18,34,0.00,0,,177<br />
2015-1-16,16,7,-1,-8,-12,-14,58,36,13,1021,1013,1007,16,16,16,45,20,53,0.00,6,,235<br />
2015-1-17,12,7,2,-5,-12,-17,50,31,12,1022,1017,1009,16,16,16,60,28,72,0.00,3,,269<br />
2015-1-18,17,10,3,-6,-10,-21,43,27,11,1017,1015,1013,16,16,16,37,17,45,0.00,4,,236<br />
2015-1-19,14,7,-1,-1,-4,-7,76,50,24,1017,1015,1013,16,16,14,32,15,42,T,5,,130<br />
2015-1-20,6,2,-3,-1,-4,-12,100,64,28,1024,1021,1016,16,9,0,26,9,31,0.51,6,Fog-Snow,100<br />
2015-1-21,-1,-5,-9,-4,-6,-9,100,79,58,1031,1025,1022,16,8,0,24,11,29,3.05,7,Fog-Snow,69<br />
2015-1-22,2,-6,-14,-9,-12,-16,100,68,35,1031,1028,1023,16,16,11,27,17,34,0.00,0,,202<br />
2015-1-23,8,-1,-9,-6,-9,-13,73,51,28,1026,1024,1021,16,16,16,29,16,35,0.00,4,,246<br />
2015-1-24,12,6,-1,-2,-7,-11,82,52,21,1022,1017,1013,16,16,16,35,22,42,0.00,4,,244<br />
2015-1-25,16,7,-3,-2,-4,-5,92,59,25,1022,1020,1017,16,16,16,26,14,29,0.00,3,,227<br />
2015-1-26,22,12,2,-2,-4,-8,64,39,14,1023,1020,1018,16,16,16,32,17,37,0.00,0,,206<br />
2015-1-27,24,15,6,1,-4,-10,53,32,11,1019,1014,1011,16,16,16,37,20,42,0.00,2,,221<br />
2015-1-28,16,8,0,0,-5,-8,89,54,19,1026,1016,1010,16,16,16,53,24,66,0.00,4,,300<br />
2015-1-29,8,4,-1,-1,-3,-5,76,59,41,1033,1029,1025,16,16,16,27,15,32,0.00,7,,159<br />
2015-1-30,8,4,-1,-3,-3,-5,78,62,45,1024,1020,1016,16,16,16,27,10,32,0.00,7,,302<br />
2015-1-31,3,1,-2,-1,-2,-4,92,78,64,1015,1011,1009,16,10,1,37,9,47,2.03,7,Snow,336<br />
2015-2-1,-2,-7,-13,-3,-8,-16,92,83,74,1026,1021,1014,16,12,1,39,15,52,1.78,6,Fog-Snow,62<br />
2015-2-2,11,2,-8,-4,-7,-11,84,58,32,1019,1016,1012,16,16,16,35,15,40,0.00,4,,225<br />
2015-2-3,17,9,1,-3,-6,-7,64,42,20,1014,1011,1008,16,16,16,42,15,55,0.00,4,,217<br />
2015-2-4,8,2,-6,-1,-6,-8,96,69,42,1026,1021,1008,16,10,0,56,18,69,2.54,7,Fog-Snow,81<br />
2015-2-5,17,6,-5,-4,-7,-10,88,51,14,1021,1018,1014,16,16,16,40,18,47,0.00,5,,238<br />
2015-2-6,21,14,8,-2,-9,-13,33,21,9,1015,1012,1008,16,16,16,35,19,42,0.00,5,,219<br />
2015-2-7,23,14,5,-6,-9,-12,34,22,9,1012,1008,1003,16,16,16,50,22,64,0.00,2,,256<br />
2015-2-8,19,10,1,-3,-6,-12,70,41,12,1021,1015,1010,16,16,16,53,19,66,0.00,1,,208<br />
2015-2-9,21,11,-1,-3,-6,-10,75,44,12,1020,1014,1009,16,16,16,34,14,42,0.00,1,,209<br />
2015-2-10,15,8,0,-1,-4,-7,70,47,24,1022,1015,1010,16,16,16,34,14,42,0.00,4,,64<br />
2015-2-11,9,4,-1,1,-3,-7,89,63,37,1030,1028,1023,16,16,14,26,10,29,T,4,Snow,81<br />
2015-2-12,17,7,-2,-3,-6,-12,85,50,14,1027,1022,1018,16,16,16,32,17,39,0.00,5,,178<br />
2015-2-13,17,8,-1,-3,-4,-5,66,45,23,1026,1022,1020,16,16,16,26,15,31,0.00,2,,158<br />
2015-2-14,21,10,-1,-1,-4,-12,82,47,11,1021,1016,1012,16,16,16,23,12,29,0.00,4,,221<br />
2015-2-15,2,-1,-3,-2,-3,-4,100,86,72,1022,1019,1013,16,10,2,34,14,42,1.78,7,Snow,3<br />
2015-2-16,-1,-3,-6,-3,-4,-9,100,82,63,1024,1020,1018,16,5,0,34,13,39,9.40,8,Fog-Snow,355<br />
2015-2-17,1,-3,-8,-8,-9,-12,84,61,38,1024,1021,1020,16,16,16,27,15,31,0.00,5,,186<br />
2015-2-18,8,-1,-10,-4,-8,-13,80,56,31,1024,1021,1018,16,16,16,24,15,27,0.00,2,,166<br />
2015-2-19,17,6,-6,-2,-6,-8,81,51,20,1017,1012,1006,16,16,16,32,14,37,0.00,3,,217<br />
2015-2-20,11,5,-2,0,-3,-6,89,61,33,1014,1010,1004,16,12,2,40,15,48,0.25,7,Rain-Snow,354<br />
2015-2-21,1,-4,-10,-1,-4,-11,100,91,82,1028,1016,1012,16,5,0,71,17,137,4.83,8,Fog-Snow,49<br />
2015-2-22,-9,-11,-13,-11,-14,-17,92,83,73,1035,1029,1024,16,5,1,26,14,31,3.81,8,Snow,43<br />
2015-2-23,-6,-10,-14,-14,-14,-16,100,77,54,1035,1028,1023,16,9,0,23,9,27,0.76,5,Fog-Snow,260<br />
2015-2-24,3,-4,-11,-5,-11,-19,68,54,40,1026,1020,1010,16,16,16,29,16,34,0.00,1,,194<br />
2015-2-25,4,-2,-9,-1,-4,-10,100,74,48,1025,1015,1008,16,7,0,47,19,55,4.57,8,Fog-Snow,14<br />
2015-2-26,-8,-12,-16,-11,-13,-16,96,85,73,1027,1022,1018,16,5,0,35,18,40,2.03,7,Fog-Snow,87<br />
2015-2-27,-6,-13,-21,-14,-17,-23,87,72,56,1025,1021,1016,16,13,0,29,14,35,T,5,Fog-Snow,183<br />
