
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-14,-17,-20,-16,-19,-22,92,88,78,1023,1022,1020,16,15,11,14,5,,0.00,2,Snow,327<br />
2015-1-2,-10,-15,-20,-14,-18,-22,92,83,67,1022,1020,1017,16,16,11,13,6,,0.00,2,,332<br />
2015-1-3,-7,-12,-18,-12,-16,-20,92,84,68,1023,1020,1016,16,16,16,14,8,,0.00,2,,326<br />
2015-1-4,-2,-7,-11,-5,-9,-13,92,82,69,1027,1025,1023,16,15,11,16,10,,0.00,6,Snow,314<br />
2015-1-5,4,0,-4,1,-3,-5,100,92,81,1032,1027,1024,16,14,4,14,8,,0.00,5,Snow,320<br />
2015-1-6,7,2,-2,0,-1,-3,100,90,61,1034,1032,1031,16,16,16,23,13,,0.00,1,,318<br />
2015-1-7,8,3,-1,0,-1,-3,100,84,53,1033,1030,1026,16,16,16,23,13,,0.00,0,,311<br />
2015-1-8,4,0,-3,0,-3,-5,93,86,61,1026,1024,1023,16,16,16,16,11,,0.00,1,,317<br />
2015-1-9,3,-1,-4,-2,-6,-7,86,81,60,1024,1021,1019,16,16,16,21,13,,0.00,2,,315<br />
2015-1-10,1,-2,-5,-2,-5,-7,93,82,60,1019,1017,1015,16,16,11,14,10,,0.00,4,,322<br />
2015-1-11,1,-1,-2,0,-2,-4,100,90,80,1021,1018,1016,16,16,11,13,6,,0.00,8,Snow,323<br />
2015-1-12,1,0,-2,1,0,-2,100,97,93,1022,1021,1019,16,8,2,14,5,,0.51,7,Snow,321<br />
2015-1-13,-1,-3,-6,-2,-5,-8,100,90,69,1028,1025,1022,16,14,0,26,14,,0.00,3,Fog,321<br />
2015-1-14,-5,-8,-11,-6,-9,-13,100,91,73,1031,1028,1027,16,12,0,23,13,26,0.00,3,Fog,317<br />
2015-1-15,-3,-9,-15,-4,-10,-16,100,90,74,1031,1029,1025,16,12,1,13,5,,0.00,5,Snow,335<br />
2015-1-16,-1,-4,-7,-2,-3,-8,100,94,86,1025,1022,1019,16,12,1,19,8,14,0.00,6,Snow,323<br />
2015-1-17,1,-4,-8,-1,-7,-12,100,81,55,1029,1026,1023,16,13,2,26,14,35,0.00,4,Snow,312<br />
2015-1-18,5,2,-2,2,-1,-3,100,93,81,1024,1022,1021,16,15,8,16,10,,0.00,6,Rain-Snow,334<br />
2015-1-19,2,-3,-7,-3,-7,-10,93,78,52,1026,1024,1023,16,16,16,21,13,,0.00,1,,315<br />
2015-1-20,0,-4,-9,-8,-11,-13,79,71,47,1027,1026,1025,16,16,16,24,18,26,0.00,1,,308<br />
2015-1-21,-4,-9,-13,-10,-14,-17,86,75,50,1029,1027,1026,16,16,16,23,16,27,0.00,0,,313<br />
2015-1-22,-2,-7,-12,-8,-12,-15,86,79,51,1030,1029,1028,16,16,16,16,11,,0.00,2,,317<br />
2015-1-23,-2,-7,-11,-6,-10,-13,100,87,69,1033,1031,1030,16,13,0,16,6,,0.00,2,Fog,326<br />
2015-1-24,-1,-7,-12,-4,-8,-13,100,90,74,1032,1031,1029,16,16,11,13,6,,0.00,1,,334<br />
2015-1-25,2,-3,-8,-2,-4,-8,100,93,75,1031,1030,1029,16,16,8,23,10,,0.00,1,,346<br />
2015-1-26,11,3,-5,0,-2,-5,100,78,44,1031,1027,1022,16,16,16,24,11,34,0.00,0,,314<br />
