
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,12,6,-1,3,0,-3,92,75,45,1022,1020,1019,16,16,8,11,6,,0.00,0,,121<br />
2015-1-2,12,7,2,7,3,0,93,81,63,1024,1022,1021,16,15,6,19,10,,0.00,3,,74<br />
2015-1-3,12,7,2,7,5,1,100,87,74,1027,1025,1023,16,16,5,11,5,,0.00,3,,62<br />
2015-1-4,13,9,6,8,7,5,96,85,69,1030,1029,1025,16,15,8,14,5,,0.25,5,Rain,108<br />
2015-1-5,14,10,6,9,7,5,97,89,69,1030,1028,1024,16,15,8,11,6,,0.00,0,,80<br />
2015-1-6,18,11,5,9,6,4,100,82,46,1025,1023,1022,16,15,11,11,6,,0.00,0,,83<br />
2015-1-7,22,13,6,8,6,2,96,74,28,1023,1021,1019,16,14,3,13,5,,0.00,0,,63<br />
2015-1-8,17,11,6,10,7,3,93,78,56,1019,1017,1016,16,15,8,16,6,,0.00,0,,92<br />
2015-1-9,13,9,6,12,9,4,100,93,80,1018,1017,1015,16,9,1,16,5,,0.00,3,,284<br />
2015-1-10,12,10,9,11,9,8,100,93,86,1019,1017,1016,16,13,1,19,5,,0.00,7,,346<br />
2015-1-11,12,10,7,9,8,6,93,86,72,1024,1021,1018,16,16,13,10,3,,0.00,7,Rain,99<br />
2015-1-12,13,9,6,12,9,6,100,95,86,1028,1026,1024,16,8,0,13,5,,0.00,6,Fog,329<br />
2015-1-13,16,10,4,10,7,3,100,94,64,1027,1024,1020,16,6,0,11,2,,0.00,0,Fog,109<br />
2015-1-14,15,9,3,9,6,1,90,79,64,1024,1023,1021,16,16,16,14,8,,0.00,1,,74<br />
2015-1-15,17,12,8,9,7,2,89,71,38,1024,1021,1019,16,15,4,34,11,47,6.10,7,Rain,148<br />
2015-1-16,16,13,12,14,12,10,100,95,89,1024,1022,1020,16,7,1,21,8,,12.70,6,Fog-Rain,13<br />
2015-1-17,17,16,14,16,14,12,97,91,84,1023,1021,1020,16,10,2,26,11,39,19.56,8,Rain,165<br />
2015-1-18,14,11,7,14,11,7,100,92,74,1029,1025,1020,16,9,2,26,13,32,13.97,5,Rain,249<br />
2015-1-19,13,8,2,7,4,2,100,87,62,1030,1028,1025,16,13,2,23,3,32,0.00,0,,20<br />
2015-1-20,13,7,2,9,5,1,100,84,59,1024,1023,1021,16,15,4,19,6,,0.00,1,,358<br />
2015-1-21,12,7,2,7,4,1,100,87,66,1024,1022,1022,16,14,5,11,6,,0.00,0,,76<br />
2015-1-22,14,10,6,10,7,5,100,89,65,1030,1027,1023,16,14,8,11,5,,0.00,1,,70<br />
2015-1-23,15,9,4,10,8,4,97,88,69,1031,1030,1027,16,10,4,19,5,,0.00,0,,134<br />
2015-1-24,16,11,6,11,8,5,100,92,72,1029,1024,1021,16,5,0,11,3,,0.00,3,Fog,336<br />
2015-1-25,19,13,8,12,8,6,93,73,43,1020,1018,1016,16,15,4,19,6,,0.00,0,,82<br />
2015-1-26,13,9,6,11,8,5,100,94,77,1018,1016,1015,16,6,0,19,6,,0.00,4,Fog,336<br />
2015-1-27,13,10,7,10,9,7,100,91,75,1025,1020,1016,16,12,2,10,3,,0.00,4,,79<br />
2015-1-28,14,10,6,10,7,5,97,86,64,1026,1025,1025,16,15,11,11,2,,0.00,0,,3<br />
2015-1-29,13,8,4,10,9,6,100,85,80,1025,1023,1021,16,15,13,16,5,,0.00,4,,16<br />
2015-1-30,14,10,4,11,8,4,100,91,77,1022,1020,1017,16,14,5,19,3,,0.00,3,,69<br />
2015-1-31,17,10,4,11,7,3,100,88,54,1021,1018,1016,16,14,6,14,6,,0.00,1,,104<br />
2015-2-1,17,11,6,12,9,6,100,91,67,1024,1021,1019,16,14,0,27,6,42,1.02,5,Fog-Rain,78<br />
2015-2-2,15,13,11,14,13,11,100,99,94,1022,1021,1019,16,6,0,19,6,,41.40,8,Fog-Rain,154<br />
2015-2-3,14,13,12,14,13,12,100,100,96,1021,1019,1017,16,7,1,16,5,,2.29,8,Fog-Rain,168<br />
2015-2-4,14,12,10,13,11,8,100,95,65,1017,1014,1010,16,8,0,26,5,34,0.00,5,Fog,102<br />
2015-2-5,17,14,13,14,12,7,97,82,62,1010,1007,1003,16,14,3,42,21,64,26.16,8,Rain,144<br />
2015-2-6,18,16,14,15,14,12,100,93,78,1003,1001,999,16,11,2,40,19,61,46.48,8,Rain,150<br />
2015-2-7,18,16,13,13,10,8,93,74,52,1014,1011,1002,16,15,4,53,32,74,2.03,7,Rain,164<br />
2015-2-8,19,16,12,12,9,4,89,64,43,1013,1006,1001,16,16,8,53,23,72,2.79,6,Rain,149<br />
2015-2-9,14,11,7,13,10,7,100,90,67,1027,1017,1003,16,12,3,55,27,80,10.16,7,Rain,179<br />
2015-2-10,12,8,4,8,6,4,100,90,71,1027,1024,1022,16,16,10,11,6,,0.00,0,,58<br />
2015-2-11,13,8,4,11,7,4,100,94,80,1024,1023,1022,16,15,8,13,5,,0.00,0,,73<br />
2015-2-12,16,10,4,12,9,4,100,95,78,1025,1023,1022,16,10,0,16,3,,0.00,2,Fog,56<br />
2015-2-13,12,8,4,11,9,4,100,99,93,1023,1022,1020,16,7,0,11,5,,0.00,5,Fog,293<br />
2015-2-14,15,11,7,11,9,7,100,95,77,1024,1022,1020,16,10,3,11,3,,0.00,5,,106<br />
2015-2-15,19,11,4,13,7,4,100,83,39,1020,1017,1016,16,14,3,11,3,,0.00,0,,123<br />
2015-2-16,16,11,6,12,9,5,100,96,60,1017,1016,1015,16,6,0,11,5,,0.00,3,Fog,222<br />
2015-2-17,12,9,7,10,8,7,100,96,83,1024,1020,1017,16,8,0,10,5,,0.00,8,Fog,110<br />
2015-2-18,12,11,11,11,9,8,96,90,82,1025,1024,1023,16,16,14,21,6,,0.00,8,,354<br />
2015-2-19,13,10,6,10,8,6,100,91,83,1024,1022,1021,16,15,10,13,6,,0.00,5,,55<br />
2015-2-20,16,9,3,10,7,3,100,91,64,1022,1020,1018,16,13,0,27,8,,0.00,1,Fog,45<br />
2015-2-21,17,10,3,8,6,1,100,81,52,1018,1016,1013,16,16,13,27,8,,0.00,0,,12<br />
2015-2-22,17,11,6,4,-1,-4,67,47,30,1018,1016,1015,16,16,16,35,14,39,0.00,0,,20<br />
2015-2-23,17,10,2,6,-3,-12,79,49,16,1026,1022,1018,16,16,14,24,8,34,0.00,0,,40<br />
2015-2-24,14,8,1,8,2,-4,97,69,33,1030,1028,1027,16,16,16,26,10,35,0.00,1,,58<br />
2015-2-25,14,8,2,9,6,1,100,87,64,1030,1028,1025,16,16,8,32,8,34,0.00,2,,46<br />
2015-2-26,14,9,4,11,9,4,100,96,64,1025,1020,1016,16,8,0,24,10,,6.86,6,Fog-Rain,337<br />
2015-2-27,12,9,7,10,9,7,100,97,86,1016,1012,1008,16,9,2,29,8,40,7.87,7,Rain,312<br />
2015-2-28,16,10,5,8,6,1,100,84,55,1016,1011,1008,16,16,16,32,5,,0.00,2,,18<br />
2015-3-1,14,8,3,7,4,0,93,75,44,1018,1016,1014,16,16,16,29,8,,0.00,1,,48<br />
2015-3-2,13,8,4,8,6,4,100,83,64,1017,1013,1011,16,16,8,29,8,42,0.00,3,,2<br />
2015-3-3,12,7,1,7,4,1,100,88,64,1020,1019,1018,16,16,11,26,8,,0.00,1,,44<br />
2015-3-4,13,7,1,8,5,1,100,89,64,1024,1022,1019,16,16,13,11,6,,0.00,0,,32<br />
2015-3-5,15,9,3,7,5,3,100,80,53,1029,1027,1024,16,16,11,13,5,,0.00,0,,64<br />
2015-3-6,14,8,2,9,6,2,100,88,67,1028,1027,1026,16,16,13,29,6,,0.00,0,,11<br />
2015-3-7,9,7,4,8,8,4,100,99,93,1026,1022,1020,16,8,0,11,5,,0.00,7,Fog,74<br />
2015-3-8,10,8,6,9,8,6,100,100,93,1021,1020,1019,16,4,0,11,6,,0.00,8,Fog,82<br />
2015-3-9,11,9,8,9,8,8,100,97,89,1022,1018,1014,16,11,1,16,5,,0.00,8,Fog,39<br />
2015-3-10,15,11,8,10,9,8,100,97,67,1015,1013,1011,16,6,0,16,5,,0.00,7,Fog,172<br />
2015-3-11,17,13,11,12,10,8,100,86,60,1026,1019,1015,16,15,5,19,8,,3.81,8,Rain,121<br />
2015-3-12,18,12,7,12,11,7,100,96,72,1028,1026,1023,16,11,0,19,3,,0.00,3,Fog,239<br />
2015-3-13,18,13,9,13,11,9,100,95,63,1023,1021,1019,16,9,0,16,5,34,0.00,4,Fog-Rain,255<br />
2015-3-14,19,15,11,14,11,9,100,87,65,1021,1018,1015,16,16,16,14,6,,0.51,6,Rain,63<br />
2015-3-15,17,13,10,12,11,4,100,93,43,1020,1018,1011,16,9,1,26,8,,14.99,7,Rain,36<br />
2015-3-16,12,11,10,12,11,10,100,99,93,1020,1019,1017,16,7,0,13,3,,0.00,8,Fog,286<br />
2015-3-17,13,10,7,10,9,6,100,90,74,1024,1022,1019,16,15,8,24,5,,0.25,4,,311<br />
