
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-2,-6,-9,-7,-9,-12,88,78,68,1022,1015,1009,16,15,8,37,19,48,T,8,Snow,343<br />
2015-1-2,2,-3,-8,-3,-6,-10,84,74,64,1020,1014,1006,16,16,16,37,18,45,0.00,7,,197<br />
2015-1-3,-4,-14,-23,-6,-19,-27,92,78,64,1036,1019,1004,16,8,1,53,31,68,1.02,5,Snow,354<br />
2015-1-4,-22,-23,-25,-26,-28,-30,79,69,58,1039,1035,1030,16,15,5,42,24,55,T,3,,305<br />
2015-1-5,-18,-22,-26,-22,-25,-29,83,73,63,1037,1028,1020,16,11,1,32,14,39,0.51,4,Snow,235<br />
2015-1-6,-16,-19,-22,-21,-23,-26,83,74,64,1047,1035,1029,16,16,11,48,32,60,0.00,3,,313<br />
2015-1-7,-17,-21,-24,-23,-26,-28,72,64,56,1053,1044,1022,16,16,16,37,23,47,0.00,1,,265<br />
2015-1-8,-10,-14,-18,-13,-17,-23,86,74,62,1030,1016,1006,16,4,0,63,41,79,0.51,8,Fog-Snow,313<br />
2015-1-9,-15,-17,-20,-22,-23,-25,72,64,56,1031,1028,1023,16,16,13,47,27,61,0.00,2,,292<br />
2015-1-10,-13,-18,-24,-21,-23,-27,79,70,60,1025,1021,1017,16,16,16,24,10,29,T,1,,348<br />
2015-1-11,-11,-16,-20,-17,-21,-24,76,67,58,1037,1029,1025,16,16,8,29,13,39,T,4,Snow,303<br />
2015-1-12,-17,-23,-28,-23,-26,-30,81,70,59,1047,1043,1038,16,16,16,23,11,27,0.00,0,,223<br />
2015-1-13,-8,-16,-23,-13,-19,-26,83,75,67,1038,1029,1024,16,16,16,34,19,40,0.00,1,,221<br />
2015-1-14,-1,-6,-11,-5,-9,-13,88,78,68,1024,1019,1012,16,16,6,34,16,39,T,5,Snow,257<br />
2015-1-15,2,-2,-6,-3,-6,-8,96,83,70,1019,1016,1014,16,14,1,34,17,40,0.00,2,Fog,303<br />
2015-1-16,0,-5,-10,-2,-7,-12,100,90,80,1017,1009,1000,16,7,0,34,19,40,T,8,Fog,148<br />
