
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-1,-7,-14,-7,-11,-19,80,67,53,1024,1015,1008,16,16,8,29,17,37,T,5,Snow,297<br />
2015-1-2,-2,-9,-16,-7,-12,-19,84,72,59,1025,1021,1016,16,16,16,26,14,34,0.00,5,,181<br />
2015-1-3,-3,-9,-16,-7,-11,-21,91,80,69,1025,1015,1010,16,14,8,45,21,56,T,4,,359<br />
2015-1-4,-16,-19,-23,-23,-27,-28,72,64,56,1037,1033,1025,16,16,14,40,25,52,0.00,1,,312<br />
2015-1-5,-18,-21,-24,-21,-24,-28,87,73,59,1038,1032,1025,16,12,2,26,12,34,1.02,3,Snow,218<br />
2015-1-6,-14,-18,-23,-19,-22,-27,83,68,53,1040,1031,1025,16,15,5,42,22,56,T,2,,291<br />
2015-1-7,-17,-20,-23,-24,-26,-29,75,66,56,1051,1045,1034,16,16,16,34,20,47,0.00,0,,284<br />
2015-1-8,-11,-16,-21,-13,-18,-24,88,75,62,1032,1012,1003,16,8,1,53,26,68,2.03,6,Fog-Snow,251<br />
2015-1-9,-16,-18,-21,-22,-23,-25,72,67,62,1029,1027,1023,16,16,16,48,21,61,0.00,2,,276<br />
2015-1-10,-10,-17,-24,-17,-21,-26,83,71,58,1026,1022,1018,16,16,16,16,5,21,0.00,1,,168<br />
2015-1-11,-12,-15,-18,-16,-18,-21,91,76,60,1033,1027,1023,16,11,3,14,8,23,0.76,5,Snow,325<br />
2015-1-12,-16,-22,-28,-22,-25,-31,87,69,51,1046,1043,1034,16,16,16,23,8,31,0.00,0,,334<br />
2015-1-13,-11,-20,-30,-13,-20,-33,84,74,63,1046,1034,1024,16,13,2,29,14,37,1.02,4,Snow,182<br />
2015-1-14,-4,-9,-14,-7,-11,-16,92,83,73,1027,1023,1017,16,12,6,19,10,24,T,4,Snow,208<br />
2015-1-15,0,-5,-10,-4,-6,-11,96,84,72,1019,1016,1013,16,16,14,37,13,47,0.00,5,,255<br />
2015-1-16,-2,-4,-7,-4,-8,-12,92,80,67,1020,1014,1007,16,16,14,24,12,32,0.00,8,,94<br />
2015-1-17,2,-1,-4,-1,-3,-5,100,88,75,1006,1002,997,16,11,2,40,18,55,0.51,7,Rain,235<br />
2015-1-18,4,-1,-6,-3,-5,-7,92,76,59,1017,1012,1005,16,16,16,23,9,27,0.00,1,,305<br />
2015-1-19,2,-2,-7,-2,-4,-7,92,84,75,1016,1012,1009,16,15,5,27,10,35,T,7,Snow,99<br />
2015-1-20,-2,-2,-3,-3,-4,-6,92,85,78,1018,1015,1012,16,13,5,19,10,23,0.25,8,Snow,63<br />
2015-1-21,-2,-3,-4,-4,-6,-7,88,82,75,1029,1023,1017,16,16,11,19,9,24,0.00,8,,346<br />
2015-1-22,-1,-6,-11,-4,-8,-12,100,87,73,1031,1027,1021,16,13,1,34,17,42,0.00,6,Fog,215<br />
2015-1-23,7,3,-1,0,-3,-5,92,76,59,1020,1014,1010,16,16,16,32,16,40,T,3,,254<br />
2015-1-24,6,1,-4,-1,-1,-3,100,81,62,1010,1006,1001,16,15,5,26,8,34,0.25,3,,328<br />
2015-1-25,0,-3,-7,-3,-8,-11,85,71,57,1020,1015,1007,16,16,16,26,10,37,0.00,5,,71<br />
2015-1-26,6,1,-4,0,-3,-7,100,82,64,1017,1010,1005,16,15,3,39,17,47,0.25,7,Snow,266<br />
2015-1-27,1,1,-1,-3,-3,-4,85,79,72,1023,1021,1018,16,16,13,26,13,32,0.00,8,,144<br />
2015-1-28,-1,-1,-2,-2,-3,-3,100,93,85,1020,1013,1009,11,5,2,35,18,42,0.00,8,,133<br />
2015-1-29,1,-6,-12,-1,-7,-14,100,78,56,1037,1024,1012,16,14,4,45,23,58,T,5,Snow,318<br />
2015-1-30,-3,-8,-13,-7,-12,-16,84,73,62,1038,1030,1020,16,16,16,27,10,35,0.00,2,,178<br />
