
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,5,1,-4,-2,-8,-12,60,50,40,1028,1025,1023,16,15,8,37,18,42,0.51,7,Rain,250<br />
2015-1-2,5,3,2,2,0,-3,92,76,59,1028,1024,1018,14,10,4,21,9,26,0.76,8,Rain,157<br />
2015-1-3,6,4,3,4,3,1,92,89,86,1018,1012,1008,16,5,1,21,6,24,12.95,8,Rain,65<br />
2015-1-4,4,-2,-9,3,-4,-17,92,71,49,1040,1020,1010,16,12,3,48,23,64,0.25,7,Rain-Snow,293<br />
2015-1-5,-3,-7,-11,-11,-15,-17,61,53,44,1043,1037,1026,16,16,16,27,13,37,0.00,5,,245<br />
2015-1-6,-1,-3,-6,-9,-11,-12,60,55,50,1033,1031,1025,16,14,3,34,18,42,0.51,7,Snow,309<br />
2015-1-7,-6,-11,-16,-9,-17,-22,77,62,46,1049,1041,1031,16,13,3,42,24,53,0.25,5,Snow,317<br />
2015-1-8,0,-8,-16,-8,-18,-23,68,50,31,1045,1029,1020,16,16,14,39,19,56,T,6,Snow,214<br />
2015-1-9,0,-5,-11,-11,-17,-18,59,49,39,1037,1033,1025,16,16,14,40,20,50,T,2,Snow,303<br />
2015-1-10,1,-6,-12,-13,-16,-17,66,47,28,1037,1032,1028,16,16,16,24,13,34,0.00,2,,182<br />
2015-1-11,3,2,0,1,-3,-13,92,64,35,1028,1025,1024,16,9,2,21,9,24,7.37,8,Rain,165<br />
2015-1-12,2,-3,-9,1,-4,-16,92,69,46,1039,1029,1024,16,11,3,35,19,42,0.76,6,Rain-Snow,355<br />
2015-1-13,-2,-6,-11,-10,-13,-15,76,63,50,1040,1037,1032,16,16,14,24,13,27,T,2,Snow,16<br />
2015-1-14,-1,-6,-11,-8,-11,-13,84,66,47,1033,1030,1026,16,16,13,13,5,21,0.00,5,,242<br />
2015-1-15,8,1,-7,-5,-7,-9,77,57,37,1025,1023,1021,16,16,14,26,10,32,0.00,1,,252<br />
2015-1-16,12,4,-4,0,-2,-6,78,60,41,1024,1021,1016,16,16,16,24,9,32,0.00,0,,189<br />
2015-1-17,17,8,-1,1,-1,-3,78,55,32,1015,1012,1007,16,16,16,50,18,69,0.00,4,,216<br />
2015-1-18,14,8,2,-2,-3,-4,70,50,30,1017,1016,1014,16,16,16,32,13,39,0.00,3,,283<br />
2015-1-19,13,6,-1,0,-2,-5,75,55,35,1016,1014,1012,16,16,14,19,6,23,0.00,2,,91<br />
2015-1-20,11,5,-1,2,-1,-4,89,71,52,1018,1016,1012,16,16,13,24,10,29,0.00,5,,277<br />
2015-1-21,9,4,-2,-1,-2,-4,75,62,49,1027,1022,1018,16,16,16,37,15,53,0.00,1,,279<br />
2015-1-22,3,0,-3,-2,-4,-6,85,75,64,1034,1031,1028,16,15,10,16,6,19,0.00,7,,328<br />
2015-1-23,5,2,-2,-4,-4,-6,69,60,51,1029,1022,1015,16,16,14,14,4,19,0.00,5,,269<br />
2015-1-24,13,6,-1,0,-2,-6,72,57,41,1014,1010,1005,16,16,14,26,16,34,0.00,3,,245<br />
2015-1-25,11,6,-1,6,3,-5,86,65,44,1017,1007,1002,16,9,2,35,18,48,4.83,8,Rain-Snow,317<br />
2015-1-26,6,1,-4,-1,-4,-7,81,71,60,1019,1016,1012,16,16,13,29,10,35,T,5,Snow,265<br />
2015-1-27,8,3,-2,1,-1,-4,89,73,57,1025,1021,1014,16,15,11,19,12,,0.00,3,,346<br />
2015-1-28,11,4,-2,2,-2,-4,85,66,46,1025,1019,1009,16,14,8,40,22,53,0.00,4,,149<br />
2015-1-29,12,7,2,4,-1,-5,70,62,54,1031,1022,1008,16,16,13,48,26,63,0.00,7,,297<br />
2015-1-30,5,2,-2,-5,-7,-9,63,50,37,1036,1033,1030,16,16,16,29,10,37,0.00,5,,351<br />
2015-1-31,8,4,0,-1,-5,-7,62,52,41,1030,1025,1017,16,16,14,21,8,40,T,7,Rain,174<br />
2015-2-1,6,0,-6,3,-1,-9,92,72,51,1017,1009,1004,16,8,3,42,18,58,16.76,8,Rain-Snow,279<br />
2015-2-2,-2,-4,-8,-9,-11,-13,74,62,50,1029,1026,1016,16,15,10,35,17,53,T,5,Snow,294<br />
2015-2-3,10,3,-5,-3,-7,-9,68,51,33,1026,1022,1019,16,16,16,26,12,32,0.00,3,,189<br />
2015-2-4,5,-2,-9,-3,-6,-14,85,70,55,1033,1024,1017,16,11,1,32,19,39,1.52,6,Rain-Snow,331<br />
2015-2-5,-2,-8,-14,-12,-14,-18,73,56,39,1036,1033,1029,16,16,16,24,8,29,0.00,1,,215<br />
2015-2-6,12,4,-5,-1,-6,-13,60,49,38,1029,1022,1017,16,16,16,26,11,35,0.00,4,,178<br />
2015-2-7,22,12,1,3,1,-3,76,51,26,1017,1010,1006,16,16,14,32,15,45,0.00,1,,188<br />
2015-2-8,20,13,5,8,4,1,70,58,45,1014,1009,1005,16,13,6,29,19,39,T,5,Rain,296<br />
2015-2-9,5,2,-1,0,-3,-6,82,71,59,1025,1021,1015,16,12,5,27,18,34,T,8,Rain,358<br />
