
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,-1,-6,-5,-7,-9,84,66,48,1027,1025,1024,16,16,16,21,7,24,0.00,1,,355<br />
2015-1-2,8,1,-6,1,-3,-7,92,73,53,1025,1024,1022,16,16,14,19,5,19,0.00,3,,207<br />
2015-1-3,9,4,-2,3,0,-3,92,77,61,1026,1025,1024,16,16,16,16,7,18,0.00,6,,203<br />
2015-1-4,11,7,3,6,4,2,93,84,74,1028,1026,1025,16,15,8,24,15,31,0.76,8,Rain,166<br />
2015-1-5,13,9,4,7,6,4,96,81,66,1029,1028,1025,16,16,16,24,11,31,0.00,8,,164<br />
2015-1-6,12,7,1,7,4,1,100,86,71,1026,1025,1024,16,5,0,11,3,13,0.00,5,Fog-Snow,354<br />
2015-1-7,6,4,3,4,4,3,100,96,92,1026,1025,1023,1,0,0,10,1,13,0.00,,Fog,4<br />
2015-1-8,5,4,3,3,3,2,100,93,86,1023,1021,1020,3,1,0,11,3,14,0.00,8,Fog,2<br />
2015-1-9,7,4,1,4,3,0,100,91,82,1021,1019,1017,16,4,0,11,3,13,0.00,5,Fog,336<br />
2015-1-10,8,5,2,7,4,2,100,93,86,1019,1017,1017,10,2,0,11,2,13,0.25,8,Fog-Rain,267<br />
2015-1-11,10,8,7,8,7,6,93,90,86,1024,1020,1019,16,7,1,11,3,13,1.78,8,Fog-Rain,172<br />
2015-1-12,13,11,8,9,8,7,100,89,77,1029,1027,1023,16,10,1,21,10,26,5.33,7,Fog-Rain,75<br />
2015-1-13,8,4,1,7,5,0,100,92,83,1030,1028,1024,16,5,0,23,9,26,0.00,7,Fog,4<br />
2015-1-14,7,3,-2,3,-1,-3,100,91,82,1025,1024,1023,16,4,0,11,4,14,0.00,4,Fog,192<br />
2015-1-15,10,5,0,9,3,-1,100,93,86,1024,1020,1014,16,8,0,21,6,29,12.95,8,Fog-Rain,242<br />
2015-1-16,14,10,6,9,7,5,100,83,66,1025,1020,1014,16,16,10,19,8,23,1.78,6,Rain,207<br />
2015-1-17,15,11,6,13,10,6,100,93,86,1021,1015,1011,16,10,3,35,18,48,33.78,8,Rain,186<br />
2015-1-18,14,10,6,12,7,5,96,84,71,1029,1023,1013,16,14,2,42,17,61,3.30,6,Rain,199<br />
2015-1-19,13,8,3,7,4,3,96,76,55,1032,1030,1029,16,16,8,19,9,19,0.00,5,Fog,113<br />
2015-1-20,7,4,2,5,3,1,100,91,82,1029,1027,1026,16,8,0,19,9,,0.00,8,Fog,40<br />
2015-1-21,4,3,2,3,2,2,92,89,85,1027,1025,1024,11,6,1,13,5,16,0.00,8,Fog,353<br />
2015-1-22,13,8,3,7,4,2,96,84,71,1031,1028,1026,16,11,4,14,4,18,0.25,6,,300<br />
2015-1-23,13,9,6,9,7,5,96,84,72,1032,1031,1029,16,16,14,19,7,35,0.25,7,,202<br />
2015-1-24,20,12,4,11,6,3,100,76,52,1029,1027,1024,16,8,0,16,7,18,0.00,2,Fog,214<br />
2015-1-25,9,7,4,8,6,4,100,96,92,1024,1021,1016,2,0,0,11,3,14,0.00,,Fog,196<br />
2015-1-26,16,9,3,11,5,2,100,86,72,1017,1016,1014,16,3,0,14,5,16,0.00,7,Fog,292<br />
2015-1-27,13,9,6,9,8,5,100,89,77,1026,1020,1017,16,9,0,14,6,18,0.00,8,Fog,178<br />
2015-1-28,15,10,5,9,7,4,96,82,67,1028,1026,1025,16,10,0,19,5,21,0.00,6,Fog,185<br />
2015-1-29,12,8,3,9,7,3,100,89,77,1026,1025,1024,16,7,0,19,5,23,0.00,6,Fog,41<br />
2015-1-30,10,5,0,6,2,-1,100,90,80,1027,1025,1022,16,5,0,16,6,21,0.00,4,Fog,331<br />
2015-1-31,5,4,3,4,3,3,100,93,86,1024,1022,1020,11,1,0,14,5,18,0.00,8,Fog,336<br />
2015-2-1,11,8,4,9,6,3,100,92,83,1022,1021,1019,16,8,0,21,10,27,2.79,8,Fog-Rain,163<br />
2015-2-2,16,12,7,13,9,6,93,75,57,1019,1018,1015,16,12,1,26,12,32,8.38,7,Fog-Rain,211<br />
2015-2-3,12,9,7,8,7,6,100,86,71,1019,1018,1015,16,11,0,23,6,27,14.48,8,Fog-Rain,5<br />
2015-2-4,11,9,8,9,8,7,100,92,83,1017,1013,1007,16,6,0,14,6,16,0.00,8,Fog,332<br />
2015-2-5,18,14,9,11,9,9,100,80,60,1007,1003,998,16,14,2,34,12,42,2.54,8,Rain,191<br />
2015-2-6,14,12,11,11,9,9,96,87,77,1001,999,997,16,13,5,39,15,50,23.11,8,Rain,182<br />
2015-2-7,14,11,8,11,9,7,96,84,71,1014,1006,996,16,14,3,34,16,43,17.53,7,Rain,188<br />
2015-2-8,13,11,8,10,9,7,100,90,80,1014,1006,1001,16,14,5,39,9,52,8.13,7,Rain-Thunderstorm,7<br />
2015-2-9,11,10,8,9,8,8,93,88,83,1024,1013,1000,16,13,6,53,25,69,19.56,8,Rain,174<br />
2015-2-10,13,10,7,8,7,5,93,82,71,1027,1025,1023,16,16,11,23,9,29,0.76,7,Rain,179<br />
2015-2-11,13,9,5,9,7,4,96,87,77,1024,1023,1022,16,10,0,16,5,21,0.00,7,Fog,179<br />
2015-2-12,15,9,4,9,5,3,100,81,62,1026,1024,1023,16,4,0,13,3,16,0.00,6,Fog,222<br />
2015-2-13,13,9,5,9,7,5,100,89,77,1025,1023,1021,16,6,0,11,4,13,0.00,7,Fog,329<br />
2015-2-14,15,10,5,9,6,4,100,81,62,1029,1027,1025,16,6,0,26,9,31,0.00,4,Fog,14<br />
2015-2-15,14,9,4,8,6,3,93,80,67,1028,1025,1021,16,14,5,27,13,35,0.00,6,,30<br />
2015-2-16,18,9,0,5,2,-1,100,70,40,1021,1020,1018,16,13,1,32,12,37,0.00,1,Fog,19<br />
2015-2-17,17,8,0,7,3,-1,96,70,44,1022,1020,1019,16,16,16,14,6,18,0.00,1,,280<br />
2015-2-18,14,9,3,8,7,2,93,78,62,1026,1025,1022,16,16,11,23,8,27,0.00,6,,134<br />
2015-2-19,15,8,2,8,3,1,100,79,57,1027,1026,1025,16,5,0,19,4,23,0.00,3,Fog,216<br />
2015-2-20,14,8,2,7,4,2,100,78,55,1027,1026,1023,16,11,1,19,5,23,0.00,6,Fog,296<br />
2015-2-21,13,9,4,6,3,-2,92,67,41,1026,1024,1022,16,16,16,34,17,43,0.00,3,,12<br />
2015-2-22,14,7,-1,-2,-4,-6,75,50,24,1027,1025,1023,16,16,16,40,19,53,0.00,0,,5<br />
2015-2-23,14,6,-3,0,-4,-7,78,54,30,1029,1028,1025,16,16,16,23,11,26,0.00,1,,354<br />
2015-2-24,16,7,-3,4,-1,-4,92,63,33,1031,1029,1028,16,16,16,14,6,18,0.00,3,,240<br />
2015-2-25,12,6,-1,7,3,-2,93,76,59,1033,1030,1027,16,16,16,16,6,21,0.00,6,,202<br />
2015-2-26,11,9,7,8,8,6,93,88,83,1027,1021,1011,16,12,4,23,12,27,3.30,8,Rain,173<br />
2015-2-27,11,9,7,9,7,6,93,85,77,1011,1008,1006,16,15,10,24,14,29,5.08,8,Rain,200<br />
2015-2-28,14,7,0,5,2,-3,100,68,36,1023,1015,1009,16,13,1,37,17,43,0.00,1,,1<br />
2015-3-1,13,5,-3,3,-2,-5,85,56,27,1024,1020,1015,16,16,16,14,4,18,0.00,4,,7<br />
2015-3-2,12,7,2,6,3,1,89,72,54,1021,1015,1013,16,16,14,24,7,29,1.02,6,Rain,360<br />
2015-3-3,13,5,-3,3,-1,-4,100,73,46,1024,1022,1021,16,12,1,26,9,32,0.00,2,Fog,354<br />
2015-3-4,14,6,-3,3,-1,-4,92,68,43,1026,1024,1023,16,16,14,21,6,24,0.00,0,Fog,335<br />
2015-3-5,17,7,-3,7,2,-3,92,68,43,1029,1028,1026,16,16,16,14,4,16,0.00,3,Fog,342<br />
2015-3-6,18,9,0,8,3,-1,100,72,44,1030,1028,1026,16,7,0,14,5,19,0.00,3,Fog,275<br />
2015-3-7,18,9,1,8,3,-1,100,72,43,1027,1025,1021,16,6,0,24,6,29,0.00,3,Fog,296<br />
2015-3-8,19,9,-1,8,3,-1,100,72,44,1023,1022,1019,16,10,0,14,4,18,0.00,2,Fog,241<br />
2015-3-9,21,11,-1,9,4,1,100,70,40,1021,1019,1015,16,15,4,16,8,18,0.00,0,Fog,220<br />
2015-3-10,18,9,1,11,4,1,100,78,55,1015,1012,1010,16,7,0,14,4,19,0.00,5,Fog,244<br />
2015-3-11,16,13,10,12,10,8,93,84,75,1024,1017,1013,16,15,10,27,7,32,4.57,8,Rain,192<br />
2015-3-12,20,14,9,11,10,8,96,75,53,1031,1027,1024,16,16,4,19,7,21,0.00,6,Fog,327<br />
2015-3-13,17,12,7,12,9,6,93,80,67,1024,1020,1017,16,16,14,19,5,23,T,7,Rain,211<br />
2015-3-14,16,14,12,13,11,9,93,83,72,1017,1016,1014,16,13,6,29,12,37,25.91,8,Rain,170<br />
2015-3-15,16,11,7,12,9,7,93,82,71,1022,1015,1008,16,14,5,45,20,58,11.18,8,Rain,202<br />
2015-3-16,16,11,4,8,6,3,100,78,55,1023,1021,1017,16,12,0,21,9,24,0.00,5,Fog,3<br />
2015-3-17,16,11,5,8,7,4,100,79,57,1026,1021,1017,16,15,6,26,11,32,1.02,6,Rain,207<br />
2015-3-18,18,11,4,9,7,4,100,74,48,1026,1025,1023,16,10,0,13,8,,0.00,5,Fog,203<br />
2015-3-19,22,12,2,11,6,2,92,63,33,1023,1020,1017,16,15,3,14,6,19,0.00,3,Fog,217<br />
2015-3-20,17,11,5,10,7,3,89,66,43,1018,1016,1014,16,16,11,29,12,39,8.13,6,Rain,193<br />
2015-3-21,17,12,7,9,6,3,93,68,43,1022,1020,1018,16,16,4,23,13,27,T,4,,199<br />
2015-3-22,14,11,8,9,7,6,93,80,66,1018,1017,1016,16,15,6,24,12,31,3.30,8,Rain,185<br />
2015-3-23,12,9,7,8,6,6,93,82,71,1021,1016,1012,16,13,4,35,19,50,14.22,7,Rain,184<br />
2015-3-24,14,11,7,9,7,4,92,72,51,1026,1023,1015,16,16,11,37,9,45,0.00,7,Rain,225<br />
2015-3-25,19,15,10,12,9,8,89,73,56,1028,1026,1025,16,16,14,16,11,21,T,7,Rain,160<br />
2015-3-26,21,14,7,14,9,6,100,79,57,1026,1024,1020,16,6,0,14,5,24,0.00,4,Fog,328<br />
2015-3-27,20,14,7,11,9,7,96,76,56,1025,1020,1018,16,14,1,35,14,42,T,5,Fog-Rain,219<br />
2015-3-28,18,12,6,8,6,4,93,68,43,1031,1028,1025,16,16,8,21,10,24,0.00,5,Rain,191<br />
2015-3-29,20,12,3,9,6,2,93,67,40,1028,1025,1021,16,16,16,16,8,21,0.00,2,,194<br />
2015-3-30,22,13,4,9,7,4,93,64,35,1022,1018,1014,16,16,13,35,10,43,0.00,4,Fog,207<br />
2015-3-31,12,8,4,9,6,3,89,74,59,1027,1022,1016,16,16,11,35,14,43,1.78,7,Rain,243<br />
2015-4-1,13,9,6,6,4,3,89,72,54,1029,1028,1026,16,16,13,26,8,34,4.83,6,Rain-Thunderstorm,184<br />
2015-4-2,15,8,1,6,2,1,100,70,40,1031,1029,1027,16,14,2,13,6,18,0.00,4,,201<br />
2015-4-3,13,7,1,7,4,-1,96,76,55,1027,1025,1023,16,16,16,26,12,34,1.78,5,Rain,211<br />
2015-4-4,14,8,1,5,3,-1,92,64,36,1023,1019,1013,16,16,10,26,10,34,T,4,Fog-Rain,208<br />
2015-4-5,12,7,1,6,3,0,92,77,61,1013,1008,1006,16,16,13,34,8,39,2.03,6,Rain-Thunderstorm,200<br />
2015-4-6,11,7,3,6,4,1,92,74,56,1010,1009,1007,16,16,11,21,10,26,0.76,7,Rain,136<br />
2015-4-7,14,10,6,7,6,5,96,77,57,1015,1009,1006,16,14,4,16,6,23,6.35,7,Rain,250<br />
2015-4-8,15,11,7,8,7,6,86,72,57,1022,1020,1016,16,16,14,27,10,34,1.02,7,Rain,208<br />
2015-4-9,17,11,4,8,6,3,100,72,43,1022,1019,1015,16,7,0,14,6,21,0.00,5,Fog,20<br />
2015-4-10,17,10,3,7,4,1,96,66,36,1016,1015,1014,16,16,16,27,15,37,T,6,,212<br />
2015-4-11,14,12,9,8,4,1,93,70,46,1025,1019,1014,16,15,8,35,16,43,1.52,6,Rain,245<br />
2015-4-12,17,9,1,7,3,0,96,71,46,1025,1022,1017,16,16,16,21,9,23,0.00,2,,6<br />
2015-4-13,14,9,3,8,5,2,96,79,61,1021,1016,1013,16,15,2,34,15,47,4.06,7,Rain,209<br />
2015-4-14,13,8,3,6,3,1,92,73,54,1033,1028,1021,16,16,13,26,11,31,3.56,6,Rain,209<br />
2015-4-15,14,8,1,6,3,1,100,74,47,1035,1033,1029,16,10,0,27,10,34,0.00,6,Fog,80<br />
2015-4-16,19,11,1,9,5,1,92,70,48,1029,1024,1020,16,16,16,26,12,32,0.00,1,,15<br />
2015-4-17,22,13,3,11,7,2,93,69,44,1024,1023,1021,16,16,2,23,9,26,0.00,0,Fog,8<br />
2015-4-18,22,13,4,12,7,3,92,70,47,1026,1023,1019,16,16,16,32,15,37,0.00,1,,4<br />
2015-4-19,23,13,4,12,7,3,92,68,44,1021,1017,1013,16,16,16,21,9,27,0.00,2,,15<br />
2015-4-20,24,13,2,13,7,2,100,71,41,1014,1012,1009,16,14,3,14,5,21,0.00,0,Fog,324<br />
2015-4-21,19,13,6,11,7,3,92,74,56,1022,1016,1011,16,16,16,32,11,37,0.00,6,,309<br />
2015-4-22,16,8,1,5,2,-1,89,66,42,1024,1022,1019,16,16,16,29,13,39,0.00,3,,12<br />
2015-4-23,12,7,2,9,5,1,92,79,66,1019,1015,1013,16,16,6,26,8,32,0.25,6,Rain,199<br />
2015-4-24,14,9,4,7,6,4,92,79,66,1014,1013,1013,16,16,8,32,15,40,2.54,7,Rain,208<br />
2015-4-25,15,11,7,8,6,3,93,76,59,1020,1016,1013,16,16,10,24,8,29,1.52,6,Rain,198<br />
2015-4-26,17,9,2,11,7,2,100,73,46,1026,1024,1020,16,15,6,21,9,26,T,7,Rain,166<br />
2015-4-27,25,17,8,17,11,7,96,77,57,1025,1021,1013,16,8,0,14,6,23,0.00,5,Fog,9<br />
2015-4-28,20,16,12,11,9,6,89,72,55,1025,1021,1018,16,16,8,26,10,31,T,7,Rain,290<br />
2015-4-29,18,9,1,7,4,0,100,72,43,1027,1026,1024,16,13,1,23,7,31,0.00,2,Fog,32<br />
2015-4-30,20,12,3,9,6,2,100,74,48,1027,1023,1019,16,16,16,27,12,34,0.00,1,Fog,356<br />
2015-5-1,23,13,3,11,7,2,93,66,38,1018,1016,1013,16,16,4,23,9,27,0.00,2,,9<br />
2015-5-2,20,12,4,9,7,4,89,66,42,1017,1015,1013,16,16,16,27,18,39,0.00,2,,17<br />
2015-5-3,22,12,2,10,5,2,100,66,31,1015,1014,1011,16,11,0,21,6,26,0.00,2,Fog,11<br />
2015-5-4,19,13,6,7,6,4,92,68,44,1019,1016,1012,16,16,16,24,14,34,0.00,4,,231<br />
2015-5-5,19,12,6,7,5,4,89,66,43,1021,1020,1018,16,16,16,21,7,27,0.25,6,,147<br />
2015-5-6,17,10,2,7,5,2,92,70,47,1021,1020,1018,16,16,16,26,7,31,0.25,5,Rain,321<br />
2015-5-7,22,12,2,8,5,2,93,63,33,1021,1018,1015,16,16,14,35,13,42,0.00,3,Fog,5<br />
2015-5-8,26,15,4,9,6,3,89,57,25,1016,1015,1012,16,16,16,26,11,34,0.00,0,,20<br />
2015-5-9,27,16,4,11,7,3,92,61,30,1019,1017,1015,16,16,16,21,7,29,0.00,4,,359<br />
2015-5-10,22,16,9,9,8,6,86,62,38,1020,1019,1017,16,16,16,27,10,34,0.00,5,,238<br />
2015-5-11,13,12,10,10,8,7,89,81,72,1019,1016,1014,16,15,8,19,6,24,1.02,8,Rain,91<br />
2015-5-12,13,11,8,9,8,7,93,80,66,1015,1014,1013,16,14,11,26,13,31,7.62,8,Rain,226<br />
2015-5-13,19,14,9,10,7,5,86,65,43,1015,1013,1011,16,16,10,21,9,24,0.25,7,Rain,185<br />
2015-5-14,19,14,9,11,9,8,89,69,48,1012,1011,1009,16,16,14,19,10,24,0.00,7,,358<br />
2015-5-15,15,13,10,12,9,7,93,80,67,1016,1014,1011,16,16,11,14,5,19,0.76,8,Rain,256<br />
2015-5-16,17,14,11,10,9,8,89,75,60,1018,1017,1016,16,16,16,19,5,21,0.00,8,,265<br />
