
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-11,-20,-4,-11,-22,92,78,63,1024,1013,1006,16,10,2,47,17,58,1.27,7,Snow,322<br />
2015-1-2,-3,-9,-16,-6,-12,-19,92,81,69,1022,1015,1008,16,11,2,29,18,35,2.54,8,Snow,48<br />
2015-1-3,-8,-17,-27,-10,-22,-30,88,76,63,1036,1022,1008,16,7,0,64,37,76,0.51,5,Fog-Snow,352<br />
2015-1-4,-23,-26,-29,-29,-30,-32,78,68,57,1037,1036,1035,16,16,16,34,17,40,0.00,0,,293<br />
2015-1-5,-17,-22,-27,-23,-26,-30,79,71,62,1035,1030,1024,16,16,16,24,14,29,0.00,3,,239<br />
2015-1-6,-16,-21,-25,-21,-24,-27,79,69,58,1046,1034,1026,16,14,2,39,23,48,T,5,Snow,316<br />
2015-1-7,-17,-21,-26,-22,-26,-28,77,68,59,1051,1044,1024,16,16,10,27,18,34,0.00,2,,265<br />
2015-1-8,-12,-16,-20,-15,-19,-24,86,76,65,1028,1017,1007,16,7,0,61,29,74,1.52,7,Snow,318<br />
2015-1-9,-16,-18,-22,-22,-24,-25,72,67,62,1028,1027,1022,16,16,16,35,20,42,0.00,0,,288<br />
2015-1-10,-17,-21,-26,-23,-26,-28,83,68,53,1027,1022,1017,16,16,16,32,13,37,0.00,1,,278<br />
2015-1-11,-13,-18,-23,-19,-22,-26,79,68,57,1038,1029,1025,16,16,16,27,11,34,0.00,3,,284<br />
2015-1-12,-18,-23,-29,-24,-27,-31,81,70,58,1048,1044,1038,16,16,16,21,13,26,0.00,0,,232<br />
2015-1-13,-10,-17,-23,-14,-21,-27,87,77,66,1040,1030,1023,16,16,16,45,24,53,0.00,2,,188<br />
2015-1-14,0,-9,-18,-3,-10,-19,92,85,77,1024,1018,1011,16,14,2,32,14,37,0.76,6,Snow,221<br />
2015-1-15,0,-4,-9,-3,-8,-14,92,78,63,1021,1016,1011,16,16,14,27,16,35,0.00,7,,347<br />
2015-1-16,-2,-7,-13,-3,-10,-17,100,83,66,1022,1011,999,16,12,2,37,22,48,T,8,Rain,129<br />
2015-1-17,4,1,-3,0,-2,-6,92,79,66,1006,999,995,16,11,1,45,24,53,3.30,6,Rain-Snow,287<br />
2015-1-18,-2,-7,-13,-5,-9,-15,88,78,68,1016,1012,1005,16,16,16,24,11,29,0.00,4,,343<br />
2015-1-19,1,-4,-9,-2,-5,-11,88,82,75,1014,1011,1008,16,16,16,19,9,24,0.00,8,,71<br />
2015-1-20,-2,-3,-4,-4,-5,-7,92,85,78,1021,1016,1012,16,15,4,21,12,26,T,8,Snow,2<br />
2015-1-21,-3,-10,-17,-4,-12,-17,96,82,67,1030,1025,1019,16,13,3,34,17,40,T,6,Rain,347<br />
2015-1-22,3,-6,-16,-1,-8,-17,88,74,59,1029,1019,1010,16,16,16,45,24,60,0.51,5,Rain,193<br />
2015-1-23,7,3,-2,1,-1,-3,89,80,70,1013,1011,1009,16,16,16,32,16,37,0.25,1,Rain,281<br />
2015-1-24,1,-3,-6,-2,-4,-10,92,87,81,1013,1007,1003,16,16,14,35,14,42,0.00,7,,350<br />
2015-1-25,-1,-7,-12,-3,-9,-14,85,72,59,1020,1015,1005,16,16,16,39,12,50,0.00,6,,174<br />
2015-1-26,4,0,-5,-1,-3,-6,92,81,70,1018,1012,1004,16,13,1,40,18,52,0.00,5,,341<br />
2015-1-27,1,-2,-4,-1,-3,-4,100,93,85,1019,1016,1012,16,6,1,34,20,48,0.00,8,Fog,166<br />
2015-1-28,1,-2,-4,1,-1,-7,100,91,81,1021,1012,1008,16,8,2,42,22,52,T,8,Rain,293<br />
2015-1-29,-5,-10,-16,-7,-13,-18,86,75,64,1038,1031,1020,16,14,3,52,24,63,T,6,Snow,350<br />
2015-1-30,2,-6,-14,-5,-11,-18,81,70,59,1036,1026,1019,16,16,16,45,21,52,0.00,7,,199<br />
2015-1-31,-8,-15,-22,-11,-20,-27,80,71,62,1037,1031,1024,16,16,10,47,30,56,T,6,Snow,4<br />
2015-2-1,-16,-20,-24,-23,-26,-29,75,64,53,1039,1035,1026,16,16,16,32,16,37,0.00,2,,5<br />
2015-2-2,-8,-14,-19,-16,-19,-23,87,70,53,1025,1020,1016,16,16,16,26,12,34,0.00,3,,246<br />
2015-2-3,-9,-13,-17,-14,-17,-19,87,71,55,1023,1020,1017,16,13,3,23,8,29,T,7,Snow,321<br />
2015-2-4,-13,-16,-20,-18,-22,-23,79,65,50,1033,1029,1022,16,16,10,29,16,37,T,2,,292<br />
2015-2-5,1,-9,-19,-11,-15,-22,80,59,38,1024,1017,1015,16,16,16,40,19,52,0.00,4,,271<br />
2015-2-6,-8,-9,-11,-12,-13,-16,92,73,54,1020,1016,1010,16,14,3,26,16,32,0.51,7,Snow,45<br />
2015-2-7,-1,-6,-11,-6,-8,-12,92,80,68,1010,1005,1001,16,15,6,27,14,34,0.00,7,,61<br />
2015-2-8,-7,-11,-14,-9,-14,-17,92,83,73,1027,1019,1010,16,13,5,32,20,37,T,8,Snow,354<br />
2015-2-9,-10,-12,-14,-11,-15,-17,96,82,67,1030,1026,1022,16,13,5,21,12,24,T,8,Snow,11<br />
2015-2-10,-3,-7,-11,-4,-7,-14,96,86,75,1024,1015,1010,16,5,1,48,20,63,5.84,8,Fog-Snow,39<br />
2015-2-11,-11,-17,-23,-15,-21,-26,79,72,65,1043,1033,1024,16,12,1,52,31,63,T,4,Snow,338<br />
2015-2-12,-12,-21,-29,-15,-23,-31,86,79,71,1044,1033,1021,16,16,14,35,18,40,T,6,Snow,200<br />
2015-2-13,-8,-13,-19,-12,-15,-23,87,77,67,1031,1022,1016,16,14,2,53,24,61,T,6,Snow,335<br />
2015-2-14,-19,-22,-25,-23,-27,-29,79,69,59,1042,1038,1029,16,14,2,53,21,66,0.00,7,,18<br />
2015-2-15,-11,-15,-19,-14,-19,-24,87,73,58,1037,1029,1021,14,5,2,34,23,42,2.03,8,Snow,157<br />
2015-2-16,-9,-15,-21,-14,-17,-23,95,77,59,1025,1023,1021,16,14,3,32,18,37,T,6,Snow,337<br />
2015-2-17,-16,-21,-26,-21,-24,-28,83,74,65,1025,1021,1016,16,12,1,39,21,47,T,5,Snow,322<br />
2015-2-18,-19,-24,-30,-26,-29,-32,81,69,56,1032,1030,1025,16,16,16,29,13,37,0.00,0,,306<br />
2015-2-19,-12,-22,-33,-14,-24,-36,83,76,69,1032,1024,1011,16,13,2,35,18,47,0.51,3,Snow,167<br />
2015-2-20,-4,-9,-14,-9,-13,-17,88,81,73,1018,1011,1006,16,12,2,40,25,50,0.76,8,Snow,328<br />
2015-2-21,-13,-19,-26,-18,-24,-31,75,66,57,1038,1027,1016,16,16,16,35,24,42,0.00,4,,348<br />
2015-2-22,-20,-26,-32,-27,-31,-35,77,64,50,1046,1043,1036,16,16,16,27,15,35,0.00,0,,296<br />
2015-2-23,0,-14,-28,-4,-17,-32,74,66,57,1042,1021,1006,16,16,11,50,26,63,0.00,6,,226<br />
2015-2-24,0,-8,-16,-3,-12,-19,78,66,53,1017,1012,1005,16,11,1,63,24,77,0.51,6,Fog-Snow,350<br />
2015-2-25,-14,-19,-25,-19,-23,-27,79,69,59,1034,1027,1017,16,16,16,40,23,47,0.00,5,,350<br />
2015-2-26,-13,-20,-28,-19,-24,-31,83,69,55,1038,1036,1033,16,16,16,24,13,32,0.00,0,,308<br />
2015-2-27,-8,-17,-27,-16,-22,-29,81,65,49,1035,1032,1029,16,16,16,23,12,26,0.00,1,,216<br />
2015-2-28,-5,-11,-17,-8,-15,-21,80,74,67,1028,1023,1020,16,13,3,35,23,45,T,5,Snow,211<br />
2015-3-1,-6,-12,-19,-12,-16,-21,87,72,57,1031,1025,1021,16,15,10,27,15,37,T,3,Snow,280<br />
2015-3-2,-1,-11,-21,-8,-14,-23,86,72,58,1030,1022,1009,16,16,16,48,22,63,0.00,2,,179<br />
2015-3-3,-4,-11,-19,-8,-17,-23,74,66,58,1020,1013,1008,16,13,2,48,30,60,T,6,Snow,302<br />
2015-3-4,-16,-21,-26,-23,-25,-28,79,68,56,1032,1028,1020,16,16,16,37,18,48,0.00,2,,303<br />
2015-3-5,-4,-15,-26,-11,-19,-29,81,68,55,1032,1026,1016,16,16,16,42,22,50,0.00,1,,191<br />
2015-3-6,4,-5,-14,-2,-9,-16,83,62,40,1020,1016,1012,16,16,11,24,14,32,T,4,Snow,259<br />
2015-3-7,4,0,-4,-2,-6,-8,88,68,48,1023,1019,1014,16,16,16,39,15,47,0.00,4,,302<br />
2015-3-8,9,2,-4,-2,-3,-6,92,69,45,1018,1016,1012,16,16,16,32,16,40,0.00,3,,265<br />
2015-3-9,14,4,-6,1,-2,-6,88,62,36,1012,1009,1006,16,16,16,42,15,53,0.00,1,,230<br />
2015-3-10,12,4,-3,2,-1,-4,85,59,32,1020,1012,1005,16,16,16,39,19,48,0.00,2,,283<br />
2015-3-11,13,6,-2,2,-1,-2,92,65,38,1026,1023,1020,16,16,16,34,14,40,0.00,4,,121<br />
2015-3-12,15,8,1,4,2,-2,89,68,47,1019,1015,1013,16,16,16,23,9,26,0.00,5,,168<br />
2015-3-13,10,5,0,2,0,-1,96,74,52,1024,1021,1015,16,16,11,40,20,48,0.00,2,,297<br />
2015-3-14,18,7,-4,4,1,-4,92,63,34,1024,1019,1009,16,16,16,32,17,47,0.00,3,,196<br />
2015-3-15,21,14,7,4,1,-2,65,46,26,1012,1007,1003,16,16,16,42,21,52,T,6,Rain,253<br />
2015-3-16,8,1,-7,3,-3,-10,85,60,34,1032,1021,1011,16,16,10,47,22,58,0.25,6,Rain-Snow,353<br />
2015-3-17,8,1,-8,-6,-10,-12,84,54,23,1035,1032,1027,16,16,16,35,15,48,0.00,1,,274<br />
2015-3-18,8,2,-6,0,-5,-9,92,62,31,1027,1024,1021,16,16,16,24,9,34,0.00,6,,201<br />
2015-3-19,9,4,-1,0,-1,-3,92,73,53,1022,1017,1013,16,12,2,19,12,24,1.02,7,Snow,183<br />
2015-3-20,1,-3,-7,-1,-5,-14,92,71,49,1024,1017,1013,16,10,0,27,18,,2.03,6,Fog-Snow,347<br />
2015-3-21,-6,-9,-14,-12,-16,-19,76,63,49,1032,1030,1026,16,16,16,21,11,24,0.00,7,,40<br />
2015-3-22,2,-2,-6,-4,-9,-12,78,61,44,1030,1027,1025,16,16,16,26,11,32,0.00,7,,65<br />
2015-3-23,2,1,-1,-1,-3,-4,89,80,70,1024,1021,1018,16,15,13,32,19,39,T,8,Snow,173<br />
2015-3-24,6,3,0,0,-1,-2,89,76,62,1019,1011,1003,16,14,11,50,33,64,T,8,,165<br />
2015-3-25,5,0,-6,1,-2,-7,96,70,44,1023,1009,1001,16,10,1,60,35,76,1.27,8,Snow,309<br />
2015-3-26,1,-4,-9,-6,-8,-11,92,71,49,1028,1026,1022,16,16,13,39,17,47,T,4,Snow,353<br />
2015-3-27,2,-4,-11,-5,-9,-13,92,69,46,1028,1023,1019,16,16,4,32,14,35,T,6,Snow,175<br />
2015-3-28,10,2,-6,1,-3,-9,92,71,50,1021,1013,1001,16,16,16,56,31,69,1.78,5,Rain,167<br />
2015-3-29,13,6,-1,6,1,-4,86,59,32,1013,1007,996,16,16,10,60,31,74,0.76,5,Rain,314<br />
2015-3-30,12,6,-1,4,1,-3,89,74,59,1013,1012,1010,16,16,14,26,9,27,0.76,4,Rain,167<br />
2015-3-31,17,8,-2,3,-1,-4,92,59,25,1015,1011,1006,16,16,14,23,11,27,0.00,1,,137<br />
2015-4-1,19,12,4,7,1,-2,67,52,37,1006,1000,993,16,16,16,50,26,64,0.00,4,,184<br />
