
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-11,-20,-30,-13,-21,-32,86,75,63,1033,1026,1014,16,14,4,21,6,21,T,4,Snow,198<br />
2015-1-2,-3,-8,-13,-8,-11,-14,92,78,63,1023,1017,1013,16,15,4,35,13,43,T,5,Snow,213<br />
2015-1-3,-6,-13,-22,-8,-14,-23,95,81,67,1027,1016,1010,16,9,1,40,12,52,T,5,Fog-Snow,343<br />
2015-1-4,-1,-12,-22,-8,-12,-23,95,75,55,1028,1026,1021,16,15,3,66,30,80,0.00,4,,235<br />
2015-1-5,4,1,-3,-2,-4,-9,78,66,53,1024,1019,1015,16,13,3,84,46,101,0.00,2,,243<br />
2015-1-6,6,3,-1,-2,-2,-3,75,66,57,1029,1026,1024,16,16,16,48,25,61,0.00,1,,258<br />
2015-1-7,4,-2,-8,-4,-7,-9,100,74,48,1038,1032,1020,16,9,0,48,14,61,0.00,5,Fog,214<br />
2015-1-8,8,-1,-9,-1,-5,-10,92,70,48,1026,1021,1014,16,15,8,48,17,60,0.00,5,,334<br />
2015-1-9,1,-6,-12,-7,-10,-13,100,78,56,1029,1024,1016,16,11,0,37,8,43,T,4,Fog-Snow,44<br />
2015-1-10,5,2,-1,-3,-4,-8,78,63,47,1018,1013,1010,16,16,16,45,25,52,0.00,0,,228<br />
2015-1-11,1,-1,-3,-2,-2,-4,92,82,72,1022,1017,1010,16,9,2,29,14,35,T,8,Snow,66<br />
2015-1-12,2,-3,-8,-4,-6,-9,100,85,69,1024,1022,1020,16,16,13,32,16,40,T,6,,168<br />
2015-1-13,-2,-6,-9,-4,-7,-11,92,83,74,1028,1023,1020,16,15,3,23,9,24,T,6,Snow,4<br />
2015-1-14,-1,-6,-12,-6,-9,-13,100,79,58,1029,1024,1021,16,14,1,21,8,24,0.00,3,Fog,354<br />
2015-1-15,5,-4,-14,-5,-11,-15,92,65,38,1034,1028,1022,16,16,16,42,14,50,0.00,0,,146<br />
2015-1-16,8,4,-1,-5,-11,-13,72,49,25,1022,1015,1010,16,16,16,74,36,92,T,0,,243<br />
2015-1-17,4,-1,-6,-7,-12,-16,75,51,27,1024,1020,1012,16,16,16,60,33,74,0.00,0,,259<br />
2015-1-18,8,4,0,-3,-7,-17,61,42,23,1020,1017,1015,16,16,16,63,31,82,0.00,1,,232<br />
2015-1-19,5,1,-3,-4,-8,-12,61,46,30,1019,1016,1014,16,16,16,56,28,72,0.00,2,,283<br />
2015-1-20,-1,-6,-12,-10,-12,-13,88,64,39,1025,1022,1018,16,16,16,40,19,53,0.00,3,,310<br />
2015-1-21,-5,-11,-17,-11,-14,-18,92,70,47,1032,1027,1021,16,16,16,23,9,32,T,3,,338<br />
2015-1-22,-1,-10,-19,-13,-18,-21,95,61,27,1033,1030,1028,16,16,16,16,10,21,0.00,0,,109<br />
2015-1-23,1,-6,-14,-9,-13,-17,80,59,38,1030,1028,1026,16,16,16,26,9,32,0.00,6,,40<br />
2015-1-24,6,-3,-13,-4,-9,-14,84,59,33,1027,1022,1019,16,16,16,56,26,68,0.00,4,,256<br />
2015-1-25,8,2,-5,-3,-5,-7,81,62,42,1024,1022,1019,16,16,16,52,20,61,0.00,2,,267<br />
2015-1-26,16,5,-6,-3,-5,-8,85,55,24,1029,1025,1021,16,16,16,21,10,26,0.00,0,,127<br />
2015-1-27,15,6,-4,-4,-6,-8,69,46,23,1024,1019,1014,16,16,16,39,16,47,0.00,0,,211<br />
2015-1-28,7,3,-2,0,-2,-4,92,69,45,1027,1021,1013,16,16,14,56,27,66,0.51,6,Rain-Snow,298<br />
2015-1-29,4,-1,-6,-3,-4,-6,100,80,59,1033,1029,1025,16,16,14,32,13,40,0.76,5,Snow,154<br />
2015-1-30,3,0,-4,-2,-4,-6,88,76,64,1024,1021,1015,16,16,16,16,7,21,0.00,3,,38<br />
2015-1-31,3,-2,-7,-3,-6,-9,92,73,53,1016,1012,1008,16,16,14,40,12,53,T,7,Snow,330<br />
2015-2-1,-2,-6,-10,-8,-11,-14,91,69,46,1024,1019,1014,16,15,14,42,25,56,T,6,Snow,329<br />
2015-2-2,5,1,-3,-4,-6,-9,69,58,46,1017,1015,1011,16,16,16,60,30,74,0.00,4,,238<br />
2015-2-3,6,4,1,-1,-4,-7,82,61,39,1013,1011,1008,16,16,16,53,33,68,0.00,3,,251<br />
2015-2-4,4,-2,-8,-2,-7,-10,92,76,59,1022,1018,1008,16,15,14,58,20,77,2.79,8,Snow,133<br />
2015-2-5,10,3,-3,-6,-7,-9,59,45,31,1020,1017,1014,16,16,16,50,31,63,0.00,1,,250<br />
2015-2-6,14,8,3,-8,-10,-12,37,29,21,1017,1012,1009,16,16,16,53,28,71,0.00,0,,226<br />
2015-2-7,14,9,4,-6,-9,-12,40,31,21,1014,1009,1006,16,16,16,64,35,80,0.00,0,,245<br />
2015-2-8,11,4,-2,-4,-6,-7,64,46,28,1021,1017,1012,16,16,16,53,22,66,0.00,1,,271<br />
2015-2-9,13,4,-4,-2,-6,-8,75,51,26,1020,1015,1011,16,16,16,63,25,77,0.00,0,,218<br />
2015-2-10,7,2,-4,-4,-6,-8,84,60,36,1024,1017,1011,16,16,16,34,14,42,0.00,6,,294<br />
2015-2-11,7,1,-5,-4,-6,-8,100,67,33,1030,1028,1024,16,16,16,26,11,35,0.00,3,,319<br />
2015-2-12,11,3,-6,-6,-8,-11,81,52,22,1027,1022,1019,16,16,16,47,22,56,0.00,1,,255<br />
2015-2-13,13,4,-4,-5,-7,-9,81,52,22,1026,1024,1021,16,16,16,34,11,55,0.00,0,,274<br />
2015-2-14,15,6,-4,-8,-9,-13,68,41,14,1021,1016,1011,16,16,16,50,22,60,0.00,1,,233<br />
2015-2-15,6,-1,-9,-5,-6,-9,92,64,36,1021,1017,1009,16,15,14,24,10,29,1.78,7,Snow,48<br />
2015-2-16,-4,-11,-17,-8,-11,-17,96,85,73,1026,1021,1016,,,,27,10,34,1.02,6,Snow,340<br />
2015-2-17,-3,-9,-15,-12,-14,-16,87,67,46,1024,1021,1018,,,,53,28,68,T,6,,309<br />
2015-2-18,7,1,-5,-8,-10,-12,58,47,36,1022,1019,1016,,,,37,18,43,0.00,5,,282<br />
2015-2-19,11,6,-1,-7,-9,-11,56,39,21,1016,1012,1007,,,,47,22,55,0.00,1,,251<br />
2015-2-20,4,-2,-8,-4,-6,-10,92,65,37,1014,1009,1004,16,11,1,45,24,55,T,5,Snow,309<br />
