
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-10,-17,-8,-12,-20,80,62,43,1023,1014,1010,16,12,2,26,15,34,0.25,5,Snow,248<br />
2015-1-2,-4,-12,-21,-11,-16,-23,79,62,45,1026,1023,1018,16,16,16,16,8,23,0.00,5,,172<br />
2015-1-3,1,-4,-9,-4,-7,-12,88,78,68,1018,1013,1011,16,10,1,29,11,42,0.51,7,Snow,21<br />
2015-1-4,-9,-17,-26,-12,-21,-29,80,64,47,1035,1023,1014,16,10,2,35,19,50,0.25,5,Snow,324<br />
2015-1-5,-18,-23,-27,-22,-25,-30,81,69,56,1037,1032,1027,16,11,2,24,10,31,1.02,4,Snow,226<br />
2015-1-6,-14,-19,-24,-20,-24,-27,83,67,51,1034,1028,1026,16,14,4,40,17,55,T,2,,257<br />
2015-1-7,-18,-21,-23,-26,-28,-30,71,59,47,1047,1042,1035,16,16,16,32,19,47,0.00,0,,286<br />
2015-1-8,-12,-17,-23,-14,-19,-26,83,71,59,1033,1013,1003,16,8,0,40,19,52,3.30,6,Snow,234<br />
2015-1-9,-16,-18,-20,-22,-24,-26,72,63,53,1028,1026,1020,16,16,16,34,20,45,0.00,1,,273<br />
2015-1-10,-9,-16,-23,-14,-19,-26,83,72,61,1027,1023,1019,16,16,16,16,8,21,0.00,4,,181<br />
2015-1-11,-8,-13,-18,-14,-17,-21,87,67,47,1031,1026,1023,16,14,3,16,6,19,T,5,Snow,311<br />
2015-1-12,-13,-19,-26,-20,-23,-28,91,76,60,1045,1040,1031,16,16,16,21,6,26,0.00,0,,322<br />
2015-1-13,-11,-20,-30,-14,-23,-33,89,74,58,1045,1039,1029,16,15,11,21,5,27,0.00,1,,188<br />
2015-1-14,-6,-8,-11,-8,-11,-14,88,80,71,1028,1023,1016,16,11,3,19,11,23,0.25,8,Snow,222<br />
2015-1-15,1,-4,-10,-4,-7,-10,92,79,66,1018,1015,1012,16,14,4,26,13,32,T,6,Snow,245<br />
2015-1-16,-2,-4,-6,-5,-9,-10,84,73,62,1022,1017,1009,16,16,14,27,16,40,0.00,8,,94<br />
2015-1-17,3,-1,-5,-1,-4,-8,88,79,69,1007,1002,998,16,14,5,37,15,50,0.00,6,,239<br />
2015-1-18,3,1,-1,-3,-4,-7,78,67,56,1016,1009,1002,16,16,16,24,15,31,0.00,7,,286<br />
2015-1-19,-1,-3,-6,-3,-6,-9,92,75,58,1016,1013,1010,16,14,4,23,10,27,T,7,Snow,104<br />
2015-1-20,-2,-2,-3,-4,-6,-7,92,84,75,1017,1014,1010,16,13,2,19,11,23,0.51,8,Snow,59<br />
2015-1-21,-2,-2,-3,-4,-6,-7,92,84,75,1027,1021,1015,16,12,4,16,9,21,0.51,8,Snow,2<br />
2015-1-22,-3,-4,-7,-6,-8,-9,81,78,74,1031,1028,1022,16,16,16,26,14,34,0.00,7,,238<br />
2015-1-23,1,-1,-3,-4,-5,-6,81,71,61,1023,1014,1008,16,16,16,29,17,39,0.00,7,,226<br />
2015-1-24,4,1,-2,-1,-2,-4,92,81,70,1008,1005,1003,16,15,10,23,9,27,0.00,7,,255<br />
2015-1-25,1,-4,-9,-3,-11,-13,75,65,55,1020,1016,1007,16,16,16,32,13,39,0.00,5,,62<br />
2015-1-26,-3,-6,-8,-4,-7,-12,92,80,67,1016,1010,1006,16,8,1,23,9,29,2.79,8,Fog-Snow,155<br />
2015-1-27,-1,-2,-3,-4,-6,-7,92,78,63,1024,1022,1017,16,16,13,16,6,21,0.00,7,,116<br />
2015-1-28,-1,-3,-4,-4,-6,-7,88,80,72,1023,1015,1009,16,10,6,29,15,39,0.00,7,,136<br />
2015-1-29,1,-5,-11,-3,-7,-16,92,74,56,1034,1021,1010,16,14,5,39,20,53,T,7,,328<br />
2015-1-30,-7,-12,-17,-13,-16,-19,79,65,51,1036,1032,1024,16,16,16,26,7,31,0.00,3,,195<br />
2015-1-31,-2,-4,-7,-7,-10,-13,75,68,60,1025,1023,1020,16,16,16,29,9,39,0.00,8,,38<br />
2015-2-1,-7,-11,-16,-13,-16,-20,80,66,51,1025,1024,1022,16,11,3,35,20,42,T,6,Snow,34<br />
2015-2-2,-11,-16,-22,-19,-22,-24,87,67,46,1025,1023,1020,16,16,16,26,9,31,0.00,0,,235<br />
2015-2-3,-9,-13,-18,-13,-16,-21,88,74,59,1021,1019,1016,16,11,1,11,3,14,0.51,5,Snow,233<br />
2015-2-4,-9,-13,-18,-14,-18,-22,88,67,46,1031,1025,1018,16,14,2,34,12,40,0.25,4,Snow,300<br />
2015-2-5,-9,-15,-22,-17,-20,-24,87,67,46,1032,1026,1021,16,16,14,39,16,45,0.00,1,,214<br />
2015-2-6,-2,-8,-14,-9,-12,-17,80,69,57,1021,1017,1013,16,16,16,19,6,23,0.00,3,,102<br />
2015-2-7,2,-3,-8,-5,-8,-11,80,70,59,1011,1006,1002,16,13,10,24,12,31,0.00,2,,78<br />
2015-2-8,-1,-3,-5,-5,-7,-10,78,71,63,1022,1014,1005,16,14,10,26,15,31,0.00,7,,37<br />
2015-2-9,-3,-7,-12,-11,-12,-14,84,67,50,1027,1026,1023,16,16,14,21,7,23,0.00,3,,43<br />
2015-2-10,-4,-8,-13,-6,-9,-14,91,76,60,1026,1017,1011,16,8,0,32,13,39,3.56,6,Fog-Snow,135<br />
2015-2-11,-3,-9,-16,-5,-12,-21,92,71,49,1030,1020,1011,16,13,4,37,21,48,T,6,Snow,302<br />
2015-2-12,-14,-17,-20,-21,-23,-24,72,64,55,1038,1034,1028,16,16,16,29,12,43,0.00,0,,289<br />
2015-2-13,-3,-10,-17,-9,-14,-21,80,68,56,1028,1018,1013,16,16,5,29,15,37,T,6,Snow,249<br />
2015-2-14,-10,-17,-23,-17,-24,-28,72,57,41,1039,1027,1015,16,15,3,39,18,58,T,2,Snow,340<br />
2015-2-15,-13,-18,-23,-22,-24,-27,72,61,49,1040,1035,1029,16,16,16,21,8,29,0.00,5,,145<br />
2015-2-16,-9,-12,-14,-12,-16,-22,88,72,55,1028,1020,1015,16,14,5,26,10,34,0.25,8,Snow,229<br />
