
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,7,1,-7,-2,-4,-8,91,70,49,1026,1024,1021,16,12,6,11,2,11,0.00,0,,147<br />
2015-1-2,9,2,-5,1,-3,-7,96,77,58,1026,1024,1022,16,12,3,8,0,10,0.00,1,,100<br />
2015-1-3,6,1,-4,1,-2,-4,100,85,70,1027,1025,1024,16,5,0,10,0,11,0.00,4,Fog,350<br />
2015-1-4,10,5,0,3,2,-1,100,78,56,1030,1028,1025,16,12,4,11,2,14,T,5,Rain,84<br />
2015-1-5,11,7,2,5,3,2,92,78,63,1031,1029,1028,16,13,8,8,1,18,0.00,3,,332<br />
2015-1-6,13,7,-1,6,2,-1,100,81,61,1028,1026,1025,16,7,0,10,2,11,0.00,3,Fog,103<br />
2015-1-7,12,6,0,6,2,-1,100,83,66,1028,1025,1022,16,4,0,10,2,11,0.00,3,Fog,208<br />
2015-1-8,7,3,0,4,2,-1,100,92,83,1023,1021,1019,10,2,0,11,2,13,T,4,Fog-Snow,26<br />
2015-1-9,6,4,1,4,3,1,100,95,89,1021,1020,1017,10,3,0,16,2,19,T,5,Fog,218<br />
2015-1-10,9,6,2,6,3,2,100,90,80,1019,1017,1016,13,3,0,10,1,11,T,6,Fog,339<br />
2015-1-11,7,6,4,6,4,3,100,95,89,1025,1021,1018,10,3,0,10,2,11,3.81,8,Fog-Rain,155<br />
2015-1-12,9,8,6,7,6,6,100,90,80,1029,1026,1024,16,5,1,8,0,11,2.79,8,Rain,25<br />
2015-1-13,14,8,2,7,5,1,100,78,55,1029,1027,1024,16,11,0,16,5,18,0.00,5,Fog,12<br />
2015-1-14,12,5,-2,2,0,-3,100,71,41,1026,1024,1023,16,16,11,13,2,16,0.00,0,,75<br />
2015-1-15,7,4,1,6,2,1,96,86,76,1025,1022,1017,16,13,8,16,3,19,3.30,6,Rain,34<br />
2015-1-16,12,9,6,8,7,6,100,89,77,1025,1022,1017,16,7,0,13,3,14,11.94,6,Fog-Rain,34<br />
2015-1-17,12,9,7,9,8,6,100,95,89,1023,1019,1015,16,9,0,19,3,21,6.10,8,Fog-Rain,5<br />
2015-1-18,14,9,3,10,7,2,100,75,50,1030,1023,1017,16,13,2,21,7,24,3.81,6,Rain,352<br />
2015-1-19,9,4,-1,3,1,-2,100,83,66,1033,1030,1028,16,8,0,10,2,13,0.00,6,Fog,359<br />
2015-1-20,3,2,1,2,1,1,100,93,85,1028,1026,1024,13,4,0,10,2,13,0.00,8,Fog,42<br />
2015-1-21,6,3,-1,2,1,-1,100,84,67,1027,1025,1024,16,8,0,10,2,11,0.00,6,Fog,11<br />
2015-1-22,12,7,1,3,2,0,92,76,59,1033,1029,1026,16,14,10,16,3,23,0.00,3,,7<br />
2015-1-23,14,7,1,5,3,1,100,76,51,1035,1033,1030,16,15,10,11,1,11,0.00,3,,148<br />
2015-1-24,16,8,0,6,3,-1,100,77,53,1032,1029,1026,16,9,0,11,2,13,0.00,1,Fog,6<br />
2015-1-25,14,7,0,7,3,-1,100,79,57,1026,1023,1018,16,6,0,13,0,13,0.00,2,Fog,189<br />
2015-1-26,10,6,2,7,3,2,100,90,80,1020,1018,1016,16,4,0,11,1,14,0.00,4,Fog,321<br />
2015-1-27,11,6,2,6,3,1,100,86,71,1026,1020,1016,16,5,0,8,1,26,0.00,4,Fog,275<br />
2015-1-28,13,7,2,5,3,1,100,77,54,1029,1027,1025,16,5,0,8,0,14,0.00,3,Fog,230<br />
2015-1-29,16,9,2,6,3,1,100,76,51,1026,1025,1022,16,8,0,10,1,13,0.00,3,Fog,157<br />
2015-1-30,13,7,-1,6,2,-1,100,82,64,1026,1023,1020,16,6,0,14,3,19,0.00,2,Fog,343<br />
2015-1-31,13,6,-2,3,1,-2,100,75,50,1024,1022,1019,16,6,0,11,2,13,0.00,2,Fog,251<br />
2015-2-1,9,5,1,6,3,-1,92,82,71,1024,1023,1021,16,13,8,14,5,18,1.52,6,Rain,24<br />
2015-2-2,11,8,6,10,8,5,100,93,86,1023,1020,1019,11,4,0,10,1,,8.89,8,Fog-Rain-Thunderstorm,194<br />
2015-2-3,14,12,9,12,10,9,100,93,86,1019,1018,1016,16,7,1,13,2,14,15.24,8,Fog-Rain,199<br />
2015-2-4,16,11,7,10,9,7,100,82,64,1017,1013,1009,16,8,0,13,4,14,0.00,5,Fog,28<br />
2015-2-5,17,12,6,8,6,2,100,70,40,1010,1007,1002,16,10,0,48,20,69,5.84,7,Fog-Rain,139<br />
2015-2-6,13,12,9,9,7,6,100,83,66,1004,1002,999,16,14,6,64,26,87,19.05,8,Rain,161<br />
