
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-13,-19,-25,-17,-22,-27,92,83,73,1036,1033,1024,16,12,8,14,4,19,0.00,1,Fog,354<br />
2015-1-2,-11,-17,-23,-14,-20,-25,83,75,66,1035,1030,1024,16,13,4,21,9,26,0.00,4,,3<br />
2015-1-3,-8,-11,-14,-11,-14,-17,80,74,67,1031,1028,1019,16,16,14,16,5,19,0.00,6,,2<br />
2015-1-4,-4,-7,-9,-7,-10,-12,88,81,73,1033,1031,1024,16,14,6,13,6,16,T,8,Snow,358<br />
2015-1-5,4,0,-4,0,-2,-7,89,77,64,1034,1028,1022,16,16,11,66,34,84,T,7,,209<br />
2015-1-6,3,0,-3,-1,-2,-3,92,87,82,1037,1035,1032,16,14,1,19,7,21,0.00,3,Fog,353<br />
2015-1-7,3,-2,-7,-1,-4,-7,96,86,76,1038,1034,1029,16,11,0,19,9,24,0.00,3,Fog,2<br />
2015-1-8,0,-4,-8,-2,-7,-9,92,84,75,1030,1027,1024,16,7,0,24,10,29,0.00,4,Fog,6<br />
2015-1-9,1,-4,-9,-3,-7,-11,84,78,72,1028,1026,1022,16,16,16,26,10,31,0.00,1,,357<br />
2015-1-10,1,-3,-7,-1,-3,-7,92,85,78,1022,1020,1016,16,15,3,13,3,13,0.00,8,,262<br />
2015-1-11,1,0,-1,0,-1,-2,100,95,89,1024,1020,1016,10,4,0,14,5,16,3.56,8,Fog-Snow,221<br />
2015-1-12,3,1,-2,0,-1,-2,100,70,39,1025,1022,1019,16,8,0,23,13,26,T,7,Fog-Snow,345<br />
2015-1-13,-1,-3,-6,-2,-4,-7,100,89,78,1032,1028,1022,16,14,3,19,5,23,0.00,6,,317<br />
2015-1-14,-3,-4,-6,-5,-7,-7,92,84,75,1036,1033,1028,16,14,8,19,9,23,0.00,8,Fog,17<br />
2015-1-15,-4,-6,-8,-7,-9,-11,88,81,73,1037,1035,1031,16,15,6,21,11,26,0.00,6,,23<br />
2015-1-16,2,-3,-7,1,-4,-9,96,87,77,1030,1023,1017,16,11,1,37,14,48,1.78,8,Snow,229<br />
2015-1-17,-2,-6,-10,-3,-6,-9,96,90,84,1035,1029,1024,16,13,3,32,9,37,0.00,7,,295<br />
2015-1-18,7,3,-2,2,-1,-3,100,84,67,1027,1023,1021,16,13,4,45,16,56,0.25,7,Snow,232<br />
2015-1-19,3,0,-3,1,-2,-4,92,84,75,1028,1026,1023,16,16,16,40,15,48,0.00,7,,218<br />
2015-1-20,-1,-4,-8,-4,-6,-9,100,89,78,1031,1028,1025,16,11,0,19,10,23,0.00,5,Fog,354<br />
2015-1-21,-6,-10,-14,-8,-12,-17,92,86,80,1037,1031,1026,16,6,0,14,5,18,T,7,Fog-Snow,358<br />
2015-1-22,-3,-9,-14,-9,-13,-17,92,80,68,1038,1036,1030,16,15,3,21,11,29,0.00,1,,356<br />
2015-1-23,-1,-6,-12,-6,-9,-14,91,75,58,1041,1037,1032,16,16,13,23,6,26,0.00,5,,281<br />
2015-1-24,-2,-3,-4,-3,-4,-6,100,91,81,1037,1034,1030,16,7,2,16,7,24,0.00,8,,7<br />
2015-1-25,0,-2,-3,-1,-3,-4,100,96,92,1036,1033,1031,16,5,0,16,9,24,0.00,7,Fog,10<br />
2015-1-26,5,-1,-7,1,-4,-8,100,85,70,1035,1030,1025,16,9,0,19,9,24,0.00,3,Fog,23<br />
2015-1-27,7,1,-5,2,-2,-6,92,84,75,1025,1023,1022,16,15,5,19,8,26,0.51,4,Rain,331<br />
