
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-6,-8,-6,-9,-14,92,78,62,1016,1008,1004,16,6,0,40,26,53,0.76,7,Fog-Snow,274<br />
2015-1-2,-6,-10,-13,-12,-13,-16,88,67,57,1027,1023,1017,16,16,16,26,13,35,0.00,7,,280<br />
2015-1-3,-1,-7,-12,-2,-6,-14,100,89,74,1026,1015,1009,16,6,1,13,3,,2.29,8,Snow,123<br />
2015-1-4,-1,-7,-14,-1,-9,-18,100,83,67,1021,1011,1005,11,4,0,47,18,60,1.02,8,Fog-Snow,322<br />
2015-1-5,-12,-14,-16,-14,-18,-21,87,72,63,1029,1026,1021,16,6,1,37,24,48,0.00,8,Snow,271<br />
2015-1-6,-9,-11,-13,-12,-14,-17,86,75,64,1025,1016,1013,16,5,0,37,18,58,0.00,8,Fog-Snow,268<br />
2015-1-7,-12,-20,-27,-15,-19,-28,91,75,66,1033,1027,1015,16,6,1,47,21,61,0.00,7,Fog-Snow,315<br />
2015-1-8,-8,-11,-13,-12,-14,-16,92,78,65,1026,1012,1000,16,4,0,34,21,48,3.05,8,Fog-Snow,241<br />
2015-1-9,-11,-12,-14,-13,-17,-20,85,72,58,1020,1012,1000,16,6,1,35,21,55,0.25,7,Snow,291<br />
2015-1-10,-7,-10,-13,-9,-14,-18,88,73,52,1023,1020,1019,16,6,1,37,19,53,0.25,8,Snow,245<br />
2015-1-11,-6,-7,-8,-8,-9,-11,93,87,77,1025,1022,1021,16,6,2,10,3,,0.51,8,Snow,324<br />
2015-1-12,-8,-16,-28,-9,-16,-31,88,75,60,1044,1032,1023,16,12,2,37,16,47,0.00,4,Snow,325<br />
2015-1-13,-11,-20,-29,-17,-24,-32,86,74,41,1045,1041,1033,16,16,13,14,3,,0.00,4,,155<br />
2015-1-14,-5,-16,-27,-7,-13,-30,89,82,74,1032,1024,1020,16,14,8,19,5,,0.00,7,Snow,224<br />
2015-1-15,0,-3,-6,-3,-5,-10,89,83,69,1019,1010,1005,16,7,1,47,19,64,0.00,7,Fog-Snow,243<br />
2015-1-16,-6,-13,-21,-9,-16,-23,92,74,47,1026,1020,1011,16,14,8,27,14,45,0.00,3,Snow,341<br />
2015-1-17,4,-6,-15,1,-6,-18,89,78,68,1022,1004,996,16,15,10,24,16,37,0.00,7,Rain,170<br />
2015-1-18,3,-1,-4,1,-3,-8,100,83,76,1014,1004,996,16,14,5,26,16,35,0.00,8,Snow,297<br />
2015-1-19,-5,-11,-18,-8,-13,-19,91,75,54,1020,1017,1014,16,15,6,24,13,,0.00,5,Snow,354<br />
2015-1-20,-6,-14,-22,-11,-17,-24,92,82,68,1021,1019,1017,16,14,3,14,2,,0.00,2,Snow,61<br />
2015-1-21,-4,-13,-23,-9,-16,-26,92,77,58,1024,1021,1019,16,15,2,11,2,,0.00,3,,175<br />
2015-1-22,-3,-6,-8,-6,-8,-10,88,79,60,1028,1026,1022,16,15,4,29,8,34,0.00,6,Snow,265<br />
2015-1-23,1,-1,-3,-1,-3,-6,89,83,75,1022,1012,1005,16,9,1,34,23,58,0.76,7,Fog-Snow,235<br />
2015-1-24,2,-3,-11,0,-3,-14,96,84,68,1009,1003,999,16,13,3,35,14,48,0.25,7,Rain-Snow,288<br />
2015-1-25,-8,-16,-23,-16,-19,-26,83,73,54,1022,1018,1010,16,16,16,21,10,,0.00,0,,18<br />
2015-1-26,-6,-17,-27,-12,-19,-29,86,72,57,1020,1018,1016,16,16,16,19,5,,0.00,3,,113<br />
2015-1-27,-6,-12,-19,-10,-15,-21,91,73,46,1026,1024,1020,16,16,11,13,6,,0.00,1,,39<br />
2015-1-28,-2,-12,-23,-11,-18,-26,83,62,33,1028,1024,1016,16,16,16,19,3,,0.00,3,,135<br />
2015-1-29,-1,-6,-11,-3,-7,-14,92,80,49,1025,1012,1008,16,9,1,42,16,69,2.29,8,Snow,295<br />
2015-1-30,-9,-12,-16,-13,-16,-20,85,72,56,1034,1029,1023,16,14,3,34,16,50,0.00,7,Snow,351<br />
2015-1-31,-3,-7,-11,-7,-11,-16,92,79,64,1027,1023,1020,16,12,3,29,11,42,0.00,8,Snow,224<br />
2015-2-1,-11,-14,-17,-16,-19,-22,76,72,63,1029,1026,1021,16,14,2,24,18,34,0.00,6,Snow,42<br />
2015-2-2,-8,-18,-27,-11,-19,-29,88,74,44,1021,1019,1015,16,13,4,16,6,,0.00,4,Snow,226<br />
2015-2-3,-7,-10,-12,-9,-12,-16,92,74,59,1018,1016,1014,16,12,1,26,10,39,0.76,7,Snow,259<br />
2015-2-4,-8,-12,-16,-10,-14,-21,92,75,56,1025,1018,1014,16,10,2,37,10,50,0.00,6,Snow,303<br />
2015-2-5,-6,-16,-25,-11,-17,-27,86,69,54,1029,1022,1014,16,12,2,45,14,63,0.00,4,Snow,248<br />
