
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,3,-2,-7,-7,-9,-13,80,61,44,1022,1019,1016,16,16,8,19,10,26,0.00,1,,144<br />
2015-1-2,4,-2,-8,-9,-12,-14,68,54,36,1025,1022,1019,16,16,16,16,8,,0.00,0,,143<br />
2015-1-3,6,-1,-7,-8,-11,-13,74,50,33,1028,1024,1021,16,16,16,14,6,,0.00,0,,164<br />
2015-1-4,7,0,-6,-6,-8,-11,74,54,37,1032,1031,1028,16,16,16,13,3,,0.00,0,,167<br />
2015-1-5,11,3,-4,-4,-6,-8,74,58,35,1035,1032,1030,16,16,16,10,2,,0.00,0,,233<br />
2015-1-6,14,6,-2,-2,-4,-7,75,53,33,1034,1031,1028,16,16,16,10,3,,0.00,0,,214<br />
2015-1-7,17,8,0,1,-2,-5,75,51,32,1031,1028,1025,16,16,16,13,2,,0.00,0,,171<br />
2015-1-8,17,9,2,1,-1,-3,75,52,34,1025,1022,1019,16,16,16,14,5,,0.00,0,,236<br />
2015-1-9,16,8,1,1,-1,-3,75,55,36,1022,1019,1017,16,16,16,21,3,,0.00,0,,155<br />
2015-1-10,9,6,3,2,1,-3,76,66,50,1021,1019,1018,16,16,8,19,5,,0.00,5,,164<br />
2015-1-11,13,9,5,5,3,1,81,68,54,1022,1020,1019,16,16,16,13,2,,0.00,7,,190<br />
2015-1-12,13,10,7,7,6,3,93,80,63,1023,1021,1019,16,15,3,32,6,37,1.02,7,Thunderstorm,170<br />
2015-1-13,12,7,3,4,0,-3,87,64,38,1023,1021,1020,16,16,16,29,8,40,1.02,2,,164<br />
2015-1-14,12,6,0,-1,-2,-4,75,56,38,1029,1025,1022,16,16,16,16,6,32,0.00,0,,159<br />
2015-1-15,12,6,0,-1,-2,-5,75,59,38,1032,1029,1028,16,16,16,13,2,,0.00,0,,223<br />
2015-1-16,12,6,-1,-1,-2,-4,81,62,38,1029,1026,1023,16,16,16,11,3,,0.00,0,,244<br />
2015-1-17,13,6,-1,-1,-2,-4,80,59,36,1030,1027,1025,16,16,16,11,2,,0.00,0,,227<br />
2015-1-18,15,8,0,-1,-2,-4,75,58,34,1030,1027,1025,16,16,16,10,2,,0.00,0,,212<br />
2015-1-19,13,7,0,1,-1,-4,75,62,41,1026,1023,1021,16,16,16,11,2,,0.00,0,,245<br />
2015-1-20,11,4,-1,1,-1,-4,86,63,47,1024,1021,1018,16,16,16,11,3,,0.00,0,,212<br />
2015-1-21,13,8,3,-1,-6,-13,65,39,21,1026,1021,1019,16,16,16,34,11,48,0.00,0,,105<br />
2015-1-22,12,6,-1,-10,-12,-13,47,31,16,1031,1028,1026,16,16,16,24,6,29,0.00,0,,102<br />
2015-1-23,13,4,-3,-6,-10,-13,55,34,18,1031,1028,1025,16,16,16,45,6,53,0.00,0,,92<br />
2015-1-24,15,8,1,-5,-7,-9,52,34,23,1031,1028,1024,16,16,16,39,14,47,0.00,0,,339<br />
2015-1-25,19,11,3,0,-3,-6,60,41,28,1029,1026,1023,16,16,16,29,5,39,0.00,0,,49<br />
2015-1-26,18,11,4,-1,-2,-4,61,42,26,1026,1024,1021,16,16,16,16,6,,0.00,1,,183<br />
2015-1-27,16,11,7,8,5,-2,87,70,38,1027,1025,1022,16,16,16,21,6,,1.52,4,,276<br />
2015-1-28,15,9,4,6,4,1,87,70,51,1027,1025,1023,16,16,16,13,3,,0.00,1,,175<br />
2015-1-29,16,11,7,4,3,2,81,60,39,1025,1023,1020,16,16,16,19,5,,0.00,1,,146<br />
2015-1-30,11,9,8,7,6,4,93,84,62,1021,1015,1012,16,14,5,14,5,,3.05,8,,268<br />
2015-1-31,15,11,7,6,4,1,87,69,47,1019,1014,1012,16,16,14,19,3,27,0.00,4,,173<br />
2015-2-1,16,9,3,2,0,-2,75,56,31,1024,1022,1019,16,16,16,16,6,,0.00,0,,176<br />
2015-2-2,16,9,2,2,0,-2,81,56,31,1025,1022,1019,16,16,16,10,2,,0.00,0,,170<br />
2015-2-3,18,10,3,3,1,-1,75,56,32,1023,1021,1019,16,16,16,14,3,,0.00,0,,175<br />
2015-2-4,18,11,4,2,1,-1,71,53,32,1025,1022,1021,16,16,16,10,0,,0.00,0,,183<br />
2015-2-5,19,11,4,2,0,-2,70,48,26,1025,1023,1020,16,16,16,16,3,,0.00,0,,174<br />
2015-2-6,19,11,3,0,-2,-3,65,45,26,1024,1022,1019,16,16,16,14,3,,0.00,0,,192<br />
2015-2-7,21,12,4,1,-2,-3,65,41,21,1022,1020,1018,16,16,16,16,5,,0.00,0,,185<br />
2015-2-8,22,16,9,5,2,-2,58,43,31,1024,1021,1019,16,16,16,11,2,,0.00,2,,233<br />
2015-2-9,22,14,7,4,2,1,71,48,29,1022,1020,1016,16,16,16,16,6,,0.00,0,,208<br />
2015-2-10,21,13,6,1,-2,-7,62,37,18,1022,1019,1017,16,16,16,37,10,50,0.00,0,,116<br />
2015-2-11,19,13,7,-3,-4,-7,43,31,21,1028,1025,1022,16,16,16,35,10,42,0.00,0,,351<br />
2015-2-12,20,11,3,-2,-5,-6,52,33,18,1030,1027,1024,16,16,16,23,5,,0.00,0,,181<br />
