
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-3,-10,-16,-9,-13,-18,92,74,55,1017,1009,1005,16,15,2,26,14,37,0.00,4,,258<br />
2015-1-2,-5,-11,-16,-12,-16,-19,85,68,53,1024,1022,1017,16,16,16,19,8,,0.00,5,,257<br />
2015-1-3,1,-4,-8,-1,-4,-13,100,86,58,1022,1014,1010,16,7,1,16,3,,0.00,8,,156<br />
2015-1-4,-1,-11,-21,-2,-16,-27,93,69,52,1024,1015,1009,16,11,2,37,21,58,0.25,6,,318<br />
2015-1-5,-16,-21,-25,-24,-27,-30,77,59,39,1029,1027,1024,16,16,13,29,21,37,0.00,0,,257<br />
2015-1-6,-12,-17,-21,-14,-24,-31,100,57,23,1024,1019,1015,16,15,4,32,19,45,0.00,5,,274<br />
2015-1-7,-16,-18,-20,-23,-27,-29,56,46,39,1034,1030,1020,16,16,16,39,27,52,0.00,2,,293<br />
2015-1-8,-13,-17,-19,-17,-25,-32,92,53,25,1026,1012,1002,16,11,1,32,23,45,0.00,5,,246<br />
2015-1-9,-13,-16,-19,-17,-22,-26,78,61,47,1020,1014,1003,16,16,2,37,23,47,0.00,1,,273<br />
2015-1-10,-10,-16,-22,-16,-24,-33,77,53,29,1021,1020,1019,16,16,16,27,16,34,0.00,2,,238<br />
2015-1-11,-7,-10,-12,-11,-14,-17,86,70,53,1024,1022,1020,16,15,5,14,6,,0.00,7,,288<br />
2015-1-12,-9,-12,-15,-13,-17,-19,85,71,57,1042,1033,1024,16,15,3,27,14,42,0.00,5,,314<br />
2015-1-13,-8,-14,-21,-12,-17,-25,100,78,67,1042,1037,1029,16,16,16,27,11,37,0.00,5,,247<br />
2015-1-14,-7,-12,-16,-11,-13,-18,92,79,68,1029,1022,1017,16,15,6,16,10,,0.00,7,,232<br />
2015-1-15,1,-3,-7,-4,-8,-15,86,71,47,1017,1010,1005,16,14,8,34,16,40,0.00,6,,256<br />
2015-1-16,-5,-10,-13,-10,-15,-18,80,61,45,1023,1020,1013,16,16,16,24,14,37,0.00,4,,13<br />
2015-1-17,3,-2,-6,0,-4,-10,93,79,68,1017,1002,994,16,12,4,27,19,39,0.00,7,,174<br />
2015-1-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2015-1-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2015-1-20,-6,-11,-16,-11,-13,-18,100,76,58,1018,1017,1016,16,16,8,11,6,,0.00,0,,76<br />
2015-1-21,-4,-11,-18,-8,-13,-23,100,83,66,1023,1020,1017,16,14,0,10,2,,0.00,3,,126<br />
2015-1-22,0,-3,-5,-7,-8,-10,80,72,55,1028,1025,1020,16,16,16,23,6,32,0.00,3,,235<br />
2015-1-23,0,-2,-4,-3,-5,-8,93,80,69,1020,1011,1004,16,14,2,29,19,42,0.51,8,,223<br />
2015-1-24,4,-1,-5,0,-3,-9,93,77,56,1006,1002,983,16,16,10,24,10,34,0.00,7,,307<br />
2015-1-25,-7,-12,-18,-12,-14,-20,92,67,54,1019,1016,1011,16,16,13,21,13,35,0.00,4,,48<br />
2015-1-26,-4,-12,-19,-7,-13,-22,92,80,54,1017,1013,1011,16,13,2,24,5,34,0.00,6,,143<br />
2015-1-27,-4,-7,-9,-7,-9,-11,93,82,68,1024,1022,1016,16,15,4,11,5,,0.00,7,,76<br />
2015-1-28,-1,-4,-7,-3,-7,-10,86,78,69,1024,1020,1012,16,16,5,23,10,32,0.00,8,,188<br />
2015-1-29,0,-4,-8,-3,-7,-16,93,74,53,1027,1014,1008,16,13,2,39,13,58,0.00,8,,323<br />
2015-1-30,-8,-10,-12,-13,-16,-18,79,61,45,1033,1029,1025,16,16,13,26,14,39,0.00,6,,271<br />
2015-1-31,-3,-8,-12,-8,-13,-17,73,65,58,1027,1023,1020,16,16,5,21,11,34,0.00,7,,300<br />
2015-2-1,-11,-13,-15,-14,-17,-19,85,71,62,1027,1025,1020,16,16,14,23,11,32,0.00,4,,31<br />
2015-2-2,-8,-13,-17,-13,-18,-21,100,60,38,1020,1018,1015,16,16,11,24,8,32,0.00,5,,281<br />
2015-2-3,-6,-11,-15,-12,-17,-20,73,58,42,1017,1016,1015,16,16,16,23,16,29,0.00,5,,250<br />
2015-2-4,-8,-13,-19,-13,-18,-24,85,62,37,1025,1019,1015,16,15,5,35,13,50,0.00,4,,304<br />
2015-2-5,-8,-14,-21,-16,-18,-24,78,59,42,1028,1019,1012,16,16,16,40,19,53,0.00,1,,225<br />
2015-2-6,-4,-8,-12,-9,-13,-18,86,69,49,1017,1016,1014,16,16,5,23,14,,0.00,4,,298<br />
2015-2-7,-4,-7,-8,-7,-8,-11,93,84,74,1015,1010,1006,16,14,3,24,11,35,0.00,8,,54<br />
2015-2-8,-6,-9,-11,-8,-12,-14,93,82,68,1021,1013,1006,16,10,3,23,5,32,0.00,8,,33<br />
2015-2-9,-4,-11,-17,-10,-15,-19,92,73,58,1025,1023,1021,16,16,16,14,6,,0.00,1,,25<br />
2015-2-10,-2,-8,-13,-6,-9,-14,92,77,64,1025,1022,1014,16,16,2,21,6,,0.00,8,,123<br />
2015-2-11,-1,-7,-13,-5,-10,-20,86,70,46,1018,1012,1009,16,13,1,37,16,48,0.00,7,,285<br />
2015-2-12,-12,-18,-24,-14,-20,-29,100,66,48,1029,1026,1018,16,12,2,29,18,45,0.00,5,,332<br />
2015-2-13,-9,-17,-25,-12,-18,-29,100,77,57,1026,1015,1008,16,11,2,23,8,29,0.00,7,,246<br />
