
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-7,-14,-21,-9,-17,-24,84,63,41,1022,1010,1002,16,11,2,40,16,56,0.51,4,Snow,285<br />
2015-1-2,-12,-17,-22,-14,-18,-24,87,80,73,1023,1018,1014,16,8,0,19,9,23,4.83,8,Snow,110<br />
2015-1-3,-11,-18,-26,-13,-18,-28,84,76,68,1030,1017,1010,16,6,0,34,19,42,14.73,5,Fog-Snow,19<br />
2015-1-4,-26,-29,-32,-29,-32,-34,82,70,57,1033,1031,1026,16,16,11,29,14,37,T,2,,288<br />
2015-1-5,-18,-26,-33,-24,-29,-37,80,70,59,1032,1028,1025,16,16,16,26,12,37,T,1,,231<br />
2015-1-6,-17,-22,-27,-21,-24,-31,79,70,61,1039,1026,1021,16,9,0,37,19,52,0.25,7,Snow,301<br />
2015-1-7,-19,-24,-29,-24,-28,-32,78,67,56,1046,1040,1025,16,16,16,29,15,40,T,0,,270<br />
2015-1-8,-14,-18,-22,-19,-22,-27,79,72,64,1024,1011,1005,16,8,1,40,17,55,1.52,7,Snow,301<br />
2015-1-9,-18,-21,-23,-24,-26,-27,79,69,58,1022,1020,1016,16,14,4,32,17,43,T,4,,274<br />
2015-1-10,-16,-23,-30,-23,-27,-32,87,69,51,1024,1020,1012,16,16,16,19,8,23,0.00,0,,257<br />
2015-1-11,-14,-22,-31,-22,-27,-33,81,68,55,1033,1027,1025,16,16,16,16,8,24,0.00,1,,266<br />
2015-1-12,-18,-25,-32,-26,-29,-33,89,70,51,1046,1043,1034,16,16,8,21,6,27,T,0,,294<br />
2015-1-13,-9,-20,-31,-14,-23,-33,80,62,44,1041,1030,1020,16,16,16,26,12,37,T,4,,220<br />
2015-1-14,-5,-8,-12,-7,-13,-15,88,81,73,1023,1017,1007,16,9,1,21,10,31,1.78,8,Snow,226<br />
2015-1-15,-1,-10,-19,-4,-11,-21,92,74,56,1022,1012,1006,16,15,2,42,18,56,0.25,5,Snow,291<br />
2015-1-16,-8,-17,-26,-11,-19,-28,87,70,53,1024,1017,1006,16,16,16,27,12,40,0.00,4,,124<br />
2015-1-17,-2,-5,-8,-4,-6,-11,92,85,78,1004,996,993,16,9,1,32,15,43,2.29,8,Fog-Snow,268<br />
2015-1-18,-1,-11,-21,-3,-9,-22,95,84,73,1018,1009,1001,16,11,2,34,13,43,0.76,7,Snow,344<br />
2015-1-19,-4,-11,-18,-7,-11,-19,92,83,74,1018,1014,1011,16,16,13,19,9,23,T,8,,101<br />
