
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-6,-12,-18,-14,-17,-19,87,67,47,1030,1028,1027,16,16,16,26,9,32,0.00,0,,224<br />
2015-1-2,-3,-10,-17,-12,-15,-19,87,67,46,1030,1027,1025,16,16,16,14,5,19,0.00,0,,206<br />
2015-1-3,3,-4,-12,-7,-11,-14,88,66,44,1029,1027,1024,16,16,16,21,4,24,0.00,2,,220<br />
2015-1-4,5,-3,-12,-3,-7,-13,88,71,54,1034,1032,1028,16,16,16,13,3,14,0.00,4,,233<br />
2015-1-5,8,2,-5,-1,-3,-6,88,71,53,1035,1034,1032,16,16,14,13,4,18,0.00,3,,249<br />
2015-1-6,12,4,-3,1,-2,-4,92,70,48,1037,1034,1032,16,16,16,13,4,14,0.00,0,,73<br />
2015-1-7,11,4,-3,2,-2,-5,92,80,53,1035,1031,1027,16,16,16,13,5,,0.00,0,,81<br />
2015-1-8,10,3,-5,2,-2,-5,92,74,56,1028,1025,1022,16,16,13,11,3,13,0.00,0,,64<br />
2015-1-9,8,2,-5,2,-3,-6,100,80,60,1024,1021,1019,16,15,1,11,2,13,0.00,1,Fog,87<br />
2015-1-10,3,0,-4,1,-2,-5,100,91,82,1021,1018,1016,16,11,0,11,2,14,0.00,6,Fog,77<br />
2015-1-11,8,3,-2,3,-1,-2,100,80,60,1022,1020,1019,16,15,11,11,4,13,T,6,,31<br />
2015-1-12,6,3,0,2,-1,-3,92,77,62,1024,1022,1020,16,15,6,26,10,34,2.03,8,Rain,222<br />
2015-1-13,6,1,-4,-2,-3,-6,85,67,49,1029,1027,1023,16,16,16,21,5,26,0.00,5,,200<br />
