
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,12,4,-3,1,-2,-4,85,62,38,1028,1026,1024,16,16,13,21,7,27,0.00,4,,221<br />
2015-1-2,11,8,6,7,3,-1,93,70,46,1028,1026,1024,16,15,11,16,4,23,3.05,8,Rain,190<br />
2015-1-3,11,10,8,9,8,7,93,88,83,1029,1025,1021,16,7,1,13,5,29,6.35,8,Rain,35<br />
2015-1-4,18,13,8,16,10,1,100,76,51,1021,1018,1014,16,9,0,34,14,47,6.60,7,Fog-Rain,230<br />
2015-1-5,12,7,2,-1,-4,-9,70,47,24,1031,1028,1022,16,16,16,26,10,34,0.00,4,,307<br />
2015-1-6,14,5,-4,-4,-6,-7,75,50,24,1029,1023,1019,16,16,16,26,8,32,0.00,1,,274<br />
2015-1-7,5,-2,-9,-4,-11,-22,78,54,29,1034,1023,1019,16,16,16,40,16,56,0.00,4,,327<br />
2015-1-8,-2,-8,-13,-17,-20,-22,52,38,23,1038,1034,1028,16,16,16,24,9,34,0.00,1,,184<br />
2015-1-9,7,1,-6,-12,-16,-17,41,30,18,1027,1024,1022,16,16,16,27,13,39,0.00,3,,245<br />
2015-1-10,5,-1,-7,-12,-16,-19,62,40,17,1036,1033,1027,16,16,16,16,6,27,0.00,2,,57<br />
2015-1-11,8,-1,-9,1,-8,-14,76,48,19,1038,1035,1031,16,16,10,16,4,24,2.03,6,Rain,12<br />
2015-1-12,7,5,3,6,4,1,92,89,85,1031,1025,1021,14,5,0,19,7,24,24.89,8,Fog-Rain,354<br />
2015-1-13,8,5,2,6,3,-1,89,84,79,1029,1027,1021,16,10,2,32,16,45,1.02,8,Rain,39<br />
2015-1-14,4,2,-1,-1,-2,-3,92,81,70,1028,1025,1023,16,13,5,21,9,26,T,7,Rain,4<br />
2015-1-15,6,1,-3,2,0,-4,92,81,70,1023,1022,1019,16,13,6,13,3,16,T,6,,220<br />
2015-1-16,13,6,-1,2,-1,-4,100,65,30,1024,1020,1018,16,8,0,19,6,27,0.00,2,Fog,295<br />
2015-1-17,14,5,-4,1,-3,-6,92,62,32,1028,1024,1021,16,16,16,24,9,35,0.00,2,,149<br />
2015-1-18,16,9,3,5,0,-7,89,57,24,1020,1016,1011,16,16,14,34,11,42,0.51,4,Rain,258<br />
2015-1-19,18,9,1,-4,-6,-7,56,38,19,1019,1016,1014,16,16,16,26,11,32,0.00,1,,225<br />
2015-1-20,19,12,4,1,-3,-4,52,36,20,1015,1013,1011,16,16,16,24,9,32,0.00,6,,206<br />
2015-1-21,18,10,2,2,-1,-6,82,55,28,1022,1017,1013,16,16,16,16,6,26,0.00,3,,353<br />
2015-1-22,14,5,-4,1,-3,-5,85,56,27,1027,1025,1022,16,16,16,13,3,21,0.00,5,,72<br />
2015-1-23,7,5,2,2,0,-5,92,67,42,1027,1019,1008,16,9,3,24,14,37,22.35,7,Rain,35<br />
2015-1-24,12,6,1,5,-1,-8,92,62,31,1011,1006,1002,16,13,3,32,10,42,4.06,5,Rain,312<br />
2015-1-25,14,6,-2,0,-3,-6,78,56,33,1014,1011,1007,16,16,16,26,10,34,0.00,2,,182<br />
2015-1-26,12,7,3,3,-1,-6,79,64,48,1008,1005,1003,16,16,16,32,11,42,0.25,7,Rain,301<br />
2015-1-27,9,4,-2,-6,-8,-10,63,46,28,1017,1012,1008,16,16,16,29,13,39,0.00,2,,321<br />
2015-1-28,9,2,-5,-7,-10,-12,58,41,24,1028,1023,1018,16,16,16,14,7,21,0.00,0,,338<br />
2015-1-29,10,3,-4,-4,-6,-8,75,52,29,1028,1024,1017,16,16,16,27,11,34,T,4,Rain,193<br />
2015-1-30,9,3,-3,-2,-8,-12,54,39,23,1027,1021,1015,16,16,16,42,17,53,0.00,2,,313<br />
2015-1-31,11,2,-7,-8,-12,-15,74,45,16,1029,1027,1025,16,16,16,14,5,21,0.00,3,,233<br />
2015-2-1,14,8,2,9,-2,-7,52,43,33,1025,1020,1009,16,16,16,32,14,39,0.25,8,Rain,185<br />
2015-2-2,14,6,-3,12,3,-9,93,64,34,1023,1008,1001,16,16,4,48,24,64,9.91,6,Rain,244<br />
2015-2-3,8,1,-6,-6,-8,-9,74,53,31,1029,1026,1023,16,16,16,16,6,23,0.00,1,,205<br />
2015-2-4,12,5,-2,-4,-6,-8,75,51,26,1027,1023,1017,16,16,1,21,8,26,0.00,7,,194<br />
2015-2-5,11,4,-3,-4,-11,-18,54,35,15,1027,1019,1014,16,16,2,40,15,58,0.00,5,,347<br />
2015-2-6,7,0,-8,-12,-16,-18,56,37,18,1030,1028,1026,16,16,16,19,8,24,0.00,2,,193<br />
2015-2-7,18,8,-2,-8,-9,-12,53,34,15,1025,1022,1019,16,16,16,29,12,39,0.00,3,,208<br />
2015-2-8,21,15,8,-1,-4,-8,36,27,18,1018,1015,1012,16,16,16,40,22,50,0.00,1,,214<br />
2015-2-9,16,13,11,11,8,-2,96,65,33,1011,1009,1006,16,11,3,21,9,26,22.10,8,Rain,243<br />
2015-2-10,12,7,3,9,3,-3,89,68,46,1016,1011,1006,16,15,6,32,18,45,3.30,6,Rain,15<br />
2015-2-11,13,6,-2,-1,-3,-4,78,58,38,1019,1016,1014,16,16,16,19,8,27,0.00,0,,244<br />
2015-2-12,14,6,-3,0,-6,-15,89,56,23,1023,1014,1010,16,16,16,42,13,64,0.00,1,,328<br />
2015-2-13,4,-1,-6,-13,-15,-18,57,38,19,1027,1024,1021,16,16,16,24,8,29,0.00,3,,17<br />
