
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-4,-9,-12,-7,-10,-14,100,87,73,1013,1006,1002,16,13,2,34,21,53,0.00,6,,260<br />
2015-1-2,-7,-12,-17,-9,-13,-18,100,86,74,1025,1021,1014,16,13,1,19,11,29,0.00,7,,191<br />
2015-1-3,-1,-4,-7,-1,-4,-9,100,92,80,1024,1016,1009,16,11,2,24,13,37,0.00,8,,128<br />
2015-1-4,-2,-9,-17,-1,-8,-18,100,95,85,1017,1009,1005,16,5,0,47,16,53,0.76,8,,342<br />
2015-1-5,-13,-17,-21,-18,-21,-22,100,80,61,1024,1022,1017,16,10,1,34,13,42,1.02,3,,255<br />
2015-1-6,-9,-14,-19,-12,-17,-22,92,84,73,1023,1015,1010,16,11,1,29,14,42,0.00,6,,261<br />
2015-1-7,-15,-20,-26,-16,-23,-30,92,76,59,1029,1025,1015,16,9,0,34,16,48,0.25,7,,324<br />
2015-1-8,-9,-13,-18,-10,-15,-19,93,88,72,1021,1010,999,16,11,1,32,21,47,0.25,7,,238<br />
2015-1-9,-12,-14,-17,-13,-18,-21,100,84,72,1015,1009,999,16,8,0,34,14,48,0.51,6,,272<br />
2015-1-10,-11,-16,-20,-13,-17,-22,100,85,67,1021,1018,1015,16,16,13,35,16,52,0.00,3,,245<br />
2015-1-11,-6,-10,-14,-9,-13,-17,100,80,50,1023,1021,1020,16,14,4,13,6,,0.00,7,,229<br />
2015-1-12,-9,-15,-21,-9,-17,-23,100,81,57,1041,1031,1022,16,14,2,39,14,52,0.00,4,,322<br />
2015-1-13,-9,-15,-21,-12,-17,-23,92,81,71,1041,1037,1029,16,16,14,14,5,,0.00,6,,175<br />
2015-1-14,-6,-10,-14,-7,-9,-16,100,90,80,1028,1021,1017,16,16,6,21,11,,0.00,8,,212<br />
2015-1-15,-2,-4,-8,-3,-5,-8,100,94,80,1017,1008,1003,16,10,2,37,16,50,0.00,8,,242<br />
2015-1-16,-8,-14,-20,-8,-17,-22,100,80,57,1024,1020,1009,16,13,1,27,13,39,0.00,2,,8<br />
2015-1-17,1,-8,-16,1,-7,-19,100,90,72,1021,1004,994,16,13,3,47,24,53,0.00,7,,145<br />
