
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-2,-8,-13,-6,-14,-21,86,69,52,1019,1013,1006,16,16,11,35,23,42,0.00,8,,4<br />
2015-1-2,-1,-7,-12,-3,-11,-17,86,79,67,1015,1011,1007,16,13,2,29,21,42,0.00,8,,73<br />
2015-1-3,-13,-19,-26,-16,-27,-31,79,63,54,1030,1022,1007,16,9,2,52,34,64,0.00,4,,355<br />
2015-1-4,-23,-24,-27,-28,-31,-33,65,60,53,1031,1030,1029,16,16,13,39,21,50,0.00,1,,298<br />
2015-1-5,-19,-22,-26,-25,-28,-32,65,60,53,1030,1024,1021,16,16,16,29,19,,0.00,1,,261<br />
2015-1-6,-17,-20,-23,-23,-26,-29,66,61,51,1041,1030,1024,16,16,14,40,31,50,0.00,0,,303<br />
2015-1-7,-17,-21,-24,-22,-27,-30,70,62,55,1045,1038,1016,16,16,16,32,23,37,0.00,1,,262<br />
2015-1-8,-13,-17,-20,-17,-21,-26,73,67,55,1025,1015,1006,16,9,1,58,29,69,0.00,6,,309<br />
2015-1-9,-16,-18,-21,-23,-25,-26,71,62,51,1024,1023,1016,16,16,16,45,31,50,0.00,0,,283<br />
2015-1-10,-18,-22,-27,-23,-26,-33,77,63,54,1021,1016,1011,16,16,16,23,11,,0.00,0,,317<br />
2015-1-11,-15,-18,-22,-22,-23,-28,72,63,55,1034,1024,1020,16,16,16,27,11,,0.00,2,,294<br />
2015-1-12,-18,-23,-29,-25,-28,-34,71,64,54,1041,1037,1032,16,16,16,19,11,,0.00,0,,221<br />
2015-1-13,-10,-16,-22,-15,-21,-27,79,68,60,1031,1023,1020,16,16,16,27,18,34,0.00,1,,224<br />
2015-1-14,-1,-7,-13,-3,-8,-16,93,81,69,1020,1015,1010,16,16,5,27,18,,0.00,7,,259<br />
2015-1-15,0,-4,-10,-3,-7,-14,93,82,68,1017,1014,1010,16,16,16,29,23,34,0.00,5,,307<br />
2015-1-16,-1,-7,-13,-3,-11,-18,100,82,67,1017,1008,996,16,12,2,29,23,37,0.00,8,,145<br />
2015-1-17,2,-1,-3,-1,-3,-6,93,80,69,1006,1000,994,16,14,2,50,34,69,0.00,2,,289<br />
2015-1-18,-3,-7,-11,-6,-8,-14,93,83,74,1012,1009,1006,16,15,4,26,16,,0.00,3,,156<br />
2015-1-19,-3,-4,-6,-4,-6,-8,100,90,80,1011,1008,1006,16,5,0,26,13,,0.00,8,,112<br />
2015-1-20,-3,-4,-6,-4,-5,-7,100,91,86,1018,1014,1011,16,8,1,24,10,,0.00,8,,14<br />
2015-1-21,-6,-9,-12,-7,-12,-15,93,82,68,1026,1023,1018,16,15,6,24,16,27,0.00,6,,322<br />
2015-1-22,3,-4,-11,-1,-7,-13,93,77,69,1024,1015,1009,16,16,16,40,23,52,0.00,4,,228<br />
2015-1-23,3,1,-1,-1,-2,-4,87,80,75,1013,1011,1008,16,16,16,29,23,39,0.00,1,,281<br />
2015-1-24,1,-4,-8,-2,-5,-11,93,87,79,1011,1006,1003,16,12,2,26,14,26,0.00,5,,357<br />
2015-1-25,3,-3,-9,1,-8,-13,93,81,73,1016,1012,1002,16,16,14,37,11,45,0.00,8,,191<br />
2015-1-26,4,0,-5,0,-2,-7,93,81,70,1015,1010,1003,16,15,1,39,26,53,0.00,2,,296<br />
2015-1-27,3,-2,-7,1,-3,-9,100,89,81,1015,1012,1009,16,13,1,32,13,29,0.00,2,,152<br />
