
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,0,-2,-4,-5,-7,-11,78,67,55,1019,1014,1011,16,13,1,40,29,55,1.02,8,Snow,261<br />
2015-1-2,1,-2,-6,-7,-8,-9,81,65,49,1027,1024,1020,16,16,14,26,12,35,0.00,5,,286<br />
2015-1-3,1,-2,-5,-1,-2,-7,92,84,75,1024,1014,1008,14,4,1,21,11,26,8.64,8,Rain-Snow,81<br />
2015-1-4,1,-6,-12,-1,-7,-16,92,80,67,1028,1014,1005,16,4,0,40,23,56,5.59,8,Fog-Rain-Snow,324<br />
2015-1-5,-9,-12,-14,-13,-17,-19,76,70,63,1035,1031,1026,13,2,1,39,21,52,4.32,8,Fog-Snow,272<br />
2015-1-6,-7,-10,-13,-12,-14,-16,84,70,56,1028,1024,1019,16,5,1,45,17,60,6.10,8,Fog-Snow,297<br />
2015-1-7,-10,-12,-14,-14,-17,-19,80,73,66,1039,1031,1020,6,2,0,45,28,58,1.78,7,Fog-Snow,328<br />
2015-1-8,-7,-11,-16,-10,-13,-18,84,76,67,1033,1021,1005,11,3,0,72,33,89,8.64,8,Snow,246<br />
2015-1-9,-8,-11,-13,-12,-16,-19,80,73,66,1027,1018,1006,6,2,0,42,28,61,2.03,8,Snow,293<br />
2015-1-10,-2,-7,-12,-8,-13,-17,76,69,62,1029,1026,1024,16,10,1,40,27,53,0.25,8,Snow,251<br />
2015-1-11,1,-1,-2,-4,-7,-8,69,63,56,1025,1024,1024,16,16,16,37,19,47,0.00,6,,238<br />
2015-1-12,1,-6,-13,-6,-11,-19,75,65,54,1042,1031,1023,16,16,14,34,19,42,T,6,Snow,351<br />
2015-1-13,-8,-13,-19,-15,-19,-22,95,76,56,1044,1040,1034,16,16,13,23,9,31,0.00,0,,80<br />
2015-1-14,-3,-12,-21,-8,-13,-23,86,75,63,1033,1027,1022,16,14,5,26,13,31,T,7,Snow,188<br />
2015-1-15,3,-2,-6,-2,-4,-9,85,78,70,1022,1015,1012,16,13,8,37,22,45,0.00,8,,238<br />
2015-1-16,1,-3,-6,-4,-9,-12,72,64,55,1024,1020,1014,16,16,16,29,15,39,0.00,6,,28<br />
2015-1-17,4,-1,-7,1,-3,-12,85,74,62,1020,1007,1001,16,14,8,45,29,55,0.76,6,Rain,184<br />
2015-1-18,4,2,1,1,-2,-3,85,75,64,1014,1007,1001,16,16,10,32,16,40,0.25,8,Rain-Snow,283<br />
2015-1-19,3,1,-1,-2,-4,-6,82,72,61,1018,1016,1014,16,16,16,14,7,21,T,8,,17<br />
2015-1-20,0,-1,-3,-4,-5,-7,85,74,63,1018,1015,1013,16,13,2,21,13,24,2.03,8,Snow,66<br />
2015-1-21,-1,-2,-3,-5,-6,-6,84,77,69,1025,1019,1016,14,7,2,16,10,21,1.52,8,Snow,45<br />
2015-1-22,1,-2,-5,-4,-5,-6,88,76,63,1031,1029,1025,16,14,10,27,7,34,T,8,,235<br />
2015-1-23,1,0,-1,-2,-3,-4,85,79,72,1027,1018,1009,16,14,3,37,27,47,0.00,8,Snow,225<br />
2015-1-24,3,2,1,1,-1,-2,92,84,75,1008,1004,1002,16,13,6,26,12,34,T,8,Rain,273<br />
2015-1-25,2,-3,-9,1,-9,-14,92,69,46,1019,1012,1005,16,16,6,34,19,43,0.00,5,,51<br />
2015-1-26,-4,-8,-13,-12,-14,-16,83,65,47,1018,1016,1014,16,16,16,16,9,21,0.00,5,,83<br />
2015-1-27,-1,-5,-9,-11,-12,-13,80,61,42,1026,1022,1016,16,16,16,24,9,27,0.00,2,,37<br />
2015-1-28,0,-6,-12,-9,-12,-14,84,62,39,1028,1024,1015,16,16,13,35,14,43,0.00,5,,140<br />
2015-1-29,1,-2,-4,-2,-4,-10,85,72,58,1026,1014,1008,16,10,2,47,22,58,0.25,8,Rain-Snow,348<br />
2015-1-30,-4,-6,-8,-8,-12,-13,74,66,57,1034,1030,1025,16,14,4,40,16,53,T,7,Snow,341<br />
2015-1-31,1,-3,-7,-4,-6,-11,75,69,63,1028,1024,1021,16,16,16,26,14,34,0.00,7,,273<br />
2015-2-1,-2,-7,-12,-6,-11,-15,88,81,74,1024,1017,1012,16,2,0,47,28,63,11.18,8,Snow,51<br />
2015-2-2,-6,-11,-16,-12,-15,-20,76,64,51,1022,1019,1013,16,12,3,34,15,45,0.76,6,Snow,322<br />
2015-2-3,-2,-4,-7,-4,-8,-13,92,77,62,1022,1019,1016,16,7,1,29,17,39,1.78,7,Snow,252<br />
2015-2-4,-4,-7,-10,-6,-9,-17,88,69,49,1027,1019,1015,16,10,2,40,17,47,0.51,8,Snow,333<br />
2015-2-5,-5,-9,-13,-11,-14,-17,80,68,56,1032,1028,1022,16,14,6,47,19,58,T,6,Snow,223<br />
2015-2-6,-1,-3,-6,-5,-8,-13,75,65,55,1022,1020,1017,16,16,14,45,18,58,0.00,7,,226<br />
2015-2-7,4,0,-4,-1,-3,-7,85,75,64,1016,1010,1004,16,11,5,19,11,23,0.00,7,,145<br />
2015-2-8,3,-1,-6,0,-4,-10,82,72,62,1018,1009,1002,16,11,3,27,16,37,0.00,8,Snow,62<br />
2015-2-9,-1,-4,-8,-11,-12,-13,74,61,47,1026,1022,1018,16,16,16,26,14,32,0.00,6,,13<br />
2015-2-10,-2,-7,-13,-9,-13,-16,73,58,42,1027,1025,1019,16,16,16,32,12,37,0.00,4,,95<br />
2015-2-11,1,-3,-6,-1,-5,-11,89,71,53,1019,1015,1012,16,7,1,40,23,60,1.52,8,Fog-Rain-Snow,280<br />
2015-2-12,-6,-8,-11,-10,-14,-18,73,61,49,1031,1025,1017,16,10,1,40,23,55,0.51,7,Snow,346<br />
2015-2-13,-3,-7,-11,-7,-11,-14,84,73,62,1030,1019,1010,16,6,0,42,23,55,1.78,8,Fog-Snow,223<br />
2015-2-14,-3,-9,-14,-7,-13,-18,88,75,62,1030,1015,1006,14,3,0,56,31,72,6.86,8,Snow,333<br />
2015-2-15,-12,-16,-21,-18,-26,-30,76,50,23,1037,1034,1029,16,15,3,24,10,32,T,4,Snow,44<br />
2015-2-16,-10,-13,-17,-19,-23,-26,57,46,34,1033,1024,1015,16,16,16,23,12,26,0.00,8,,132<br />
2015-2-17,-7,-9,-12,-12,-14,-18,83,70,56,1015,1011,1009,16,4,1,39,16,53,3.81,8,Fog-Snow,279<br />
2015-2-18,-9,-12,-15,-12,-16,-19,84,74,63,1021,1012,1006,14,3,0,42,20,56,5.33,8,Snow,328<br />
2015-2-19,-15,-18,-22,-18,-21,-24,79,71,62,1029,1024,1019,16,5,1,32,15,40,2.54,8,Snow,14<br />
2015-2-20,-9,-16,-23,-14,-21,-26,79,66,52,1029,1024,1016,16,12,3,37,19,47,T,8,Snow,153<br />
2015-2-21,-3,-6,-9,-6,-8,-13,84,76,67,1021,1015,1012,16,10,3,19,9,26,T,8,Snow,180<br />
2015-2-22,-3,-8,-14,-7,-14,-17,91,76,61,1037,1030,1021,16,7,1,35,16,45,0.76,8,Snow,349<br />
2015-2-23,-9,-14,-19,-15,-19,-22,83,72,61,1040,1036,1024,16,5,1,29,14,42,1.27,7,Snow,165<br />
2015-2-24,-1,-5,-10,-6,-11,-16,81,62,42,1023,1008,1002,16,7,0,52,33,72,1.02,6,Fog-Snow,237<br />
2015-2-25,-7,-11,-16,-11,-15,-18,83,66,49,1020,1015,1008,16,14,6,35,13,45,T,6,Snow,349<br />
2015-2-26,-9,-13,-17,-17,-22,-23,66,51,36,1031,1025,1021,16,16,16,29,17,40,0.00,4,,16<br />
2015-2-27,-7,-14,-22,-13,-18,-25,80,67,54,1038,1035,1031,16,12,1,26,11,32,0.25,6,Snow,212<br />
2015-2-28,-7,-11,-16,-12,-14,-17,74,65,56,1041,1038,1034,16,15,5,26,13,31,T,5,Snow,216<br />
2015-3-1,-2,-6,-9,-7,-9,-13,88,75,61,1033,1028,1023,16,7,1,32,15,42,2.29,8,Snow,191<br />
2015-3-2,-2,-4,-6,-9,-11,-12,68,59,50,1033,1030,1026,16,16,16,32,13,42,0.00,4,,266<br />
2015-3-3,1,-2,-4,-1,-5,-9,92,80,68,1026,1010,1002,16,8,0,32,22,42,9.40,8,Fog-Rain-Snow,174<br />
2015-3-4,-1,-6,-11,-6,-12,-19,72,59,46,1028,1017,1010,16,15,11,37,22,52,T,6,Snow,303<br />
2015-3-5,-8,-12,-16,-14,-17,-19,76,63,49,1034,1031,1026,16,14,2,24,10,31,T,7,Snow,327<br />
2015-3-6,-2,-6,-11,-6,-12,-14,76,67,57,1033,1027,1020,16,14,3,42,24,58,T,7,Snow,203<br />
2015-3-7,3,-1,-6,-2,-4,-7,92,76,59,1020,1017,1015,16,11,5,29,12,35,0.00,6,,220<br />
2015-3-8,3,-1,-4,-1,-3,-7,100,74,48,1023,1020,1018,16,13,0,32,17,42,0.00,3,Fog,240<br />
2015-3-9,6,1,-5,0,-3,-6,100,78,55,1023,1021,1020,16,10,1,34,14,45,0.00,1,,197<br />
2015-3-10,6,3,-1,3,2,-3,100,80,59,1020,1016,1013,16,4,0,29,17,40,0.00,6,Fog,201<br />
2015-3-11,9,3,-3,1,-2,-4,100,73,45,1031,1023,1017,16,9,0,21,7,26,0.00,0,Fog,311<br />
2015-3-12,9,3,-3,-4,-7,-11,92,61,29,1035,1033,1030,16,16,16,32,16,37,0.00,5,,119<br />
2015-3-13,11,4,-2,2,-4,-8,65,52,39,1029,1022,1015,16,16,16,34,13,45,0.00,3,,159<br />
