
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-5,-11,-6,-9,-13,84,73,61,1022,1017,1013,16,16,16,39,17,48,0.00,7,,331<br />
2015-1-2,2,-2,-7,-5,-7,-9,88,72,56,1022,1016,1006,16,16,16,35,20,47,0.00,4,,190<br />
2015-1-3,-4,-12,-21,-7,-17,-26,84,71,58,1035,1020,1007,16,11,2,56,36,71,T,6,Snow,350<br />
2015-1-4,-16,-19,-23,-22,-25,-27,72,62,51,1041,1038,1033,16,16,14,35,20,45,0.00,2,,316<br />
2015-1-5,-16,-22,-28,-18,-24,-31,86,72,58,1040,1029,1020,16,8,0,26,14,29,5.33,4,Snow,73<br />
2015-1-6,-13,-21,-28,-19,-23,-30,81,72,62,1048,1038,1031,16,16,6,48,28,55,0.00,2,,305<br />
2015-1-7,-17,-22,-27,-22,-26,-29,72,63,53,1055,1040,956,16,16,16,37,18,43,0.00,0,,257<br />
2015-1-8,-7,-12,-17,-11,-16,-22,80,73,66,1032,1020,1008,16,8,0,72,40,93,0.51,6,Snow,319<br />
2015-1-9,-13,-19,-25,-22,-23,-27,79,67,55,1034,1031,1026,16,16,11,48,18,61,0.00,2,,276<br />
2015-1-10,-9,-16,-23,-17,-21,-25,78,65,51,1025,1021,1013,16,16,16,21,9,23,0.00,1,,4<br />
2015-1-11,-9,-14,-19,-15,-19,-23,87,74,61,1037,1029,1024,16,16,16,16,11,21,0.00,6,,356<br />
2015-1-12,-16,-22,-28,-23,-26,-31,81,70,59,1048,1044,1038,16,16,16,32,11,37,0.00,0,,39<br />
2015-1-13,-7,-17,-27,-11,-17,-28,84,77,70,1041,1031,1024,16,16,11,29,16,,T,4,,202<br />
2015-1-14,-1,-9,-17,-6,-12,-18,91,77,63,1027,1022,1016,16,16,13,23,11,35,0.00,2,,214<br />
2015-1-15,4,-3,-10,-2,-6,-11,92,78,64,1021,1019,1016,16,16,16,23,13,29,0.00,0,,237<br />
2015-1-16,1,-4,-10,-3,-7,-12,92,81,69,1016,1010,1002,16,9,0,23,11,27,0.76,4,Fog-Rain,149<br />
2015-1-17,6,2,-3,0,-2,-5,92,76,59,1011,1006,1002,16,16,16,47,28,64,T,4,,283<br />
2015-1-18,9,1,-8,-2,-4,-8,91,67,42,1014,1012,1010,16,16,16,23,9,27,0.00,1,,221<br />
2015-1-19,8,3,-3,2,-1,-4,92,73,53,1012,1011,1009,16,16,13,37,17,47,3.30,5,Rain,267<br />
2015-1-20,3,1,-2,0,-2,-3,92,87,82,1019,1015,1011,16,7,1,29,16,32,2.79,8,Snow,327<br />
2015-1-21,-2,-7,-12,-3,-6,-13,92,85,77,1031,1025,1017,16,14,5,27,12,32,0.25,7,Snow,4<br />
2015-1-22,1,-5,-11,-3,-8,-12,88,80,72,1030,1025,1018,16,16,11,32,17,37,0.00,1,,192<br />
2015-1-23,6,-1,-9,1,-4,-11,85,78,70,1017,1016,1014,16,16,16,26,13,32,0.00,1,,257<br />
2015-1-24,4,1,-4,3,-1,-6,92,86,79,1013,1006,1001,16,10,3,34,12,42,4.06,6,Rain-Snow,328<br />
2015-1-25,0,-1,-3,-2,-3,-5,92,85,78,1019,1015,1010,16,14,4,29,13,35,0.25,8,Snow,360<br />
2015-1-26,9,3,-2,3,-1,-3,92,79,65,1018,1014,1009,16,16,16,32,15,39,0.00,0,,298<br />
2015-1-27,7,2,-4,3,-1,-5,92,84,76,1018,1016,1012,16,14,2,34,15,42,0.00,0,,158<br />
2015-1-28,6,2,-2,2,-1,-4,92,81,70,1022,1012,1007,16,16,11,52,16,64,0.00,4,,354<br />
2015-1-29,0,-4,-8,-3,-7,-11,78,73,68,1036,1032,1022,16,16,16,47,24,56,0.00,7,,360<br />
2015-1-30,6,-2,-10,-1,-6,-12,92,76,60,1035,1026,1021,16,15,8,35,15,43,0.00,1,,185<br />
2015-1-31,-1,-8,-16,-4,-13,-21,92,71,49,1030,1026,1023,16,15,8,45,29,56,T,7,,34<br />
2015-2-1,-13,-18,-23,-21,-23,-26,75,65,55,1035,1031,1028,16,11,3,42,25,53,0.25,5,Snow,357<br />
2015-2-2,-7,-15,-23,-13,-19,-26,80,71,61,1028,1020,1014,16,16,16,29,15,37,0.00,2,,243<br />
2015-2-3,-9,-12,-16,-12,-14,-18,88,81,73,1024,1018,1014,16,9,1,19,9,23,1.52,7,Snow,42<br />
2015-2-4,-12,-18,-24,-18,-21,-27,86,72,57,1035,1032,1024,16,16,16,37,17,45,0.00,0,,288<br />
2015-2-5,-1,-9,-18,-6,-13,-22,84,74,63,1028,1020,1015,16,16,16,35,19,43,0.00,1,,173<br />
2015-2-6,2,-4,-11,-2,-6,-12,92,81,69,1015,1011,1003,16,11,1,19,7,23,0.00,1,Fog,101<br />
2015-2-7,8,1,-7,1,-3,-9,96,78,60,1005,1003,1001,16,10,3,24,7,31,T,2,,334<br />
2015-2-8,2,-2,-6,0,-6,-8,92,88,84,1024,1016,1006,16,12,5,29,17,37,1.52,8,Rain,27<br />
2015-2-9,-1,-4,-7,-2,-6,-8,100,92,84,1027,1023,1016,16,7,2,26,13,35,0.00,8,,50<br />
2015-2-10,3,-3,-8,1,-3,-13,96,79,62,1027,1013,1009,16,9,0,58,28,72,1.78,8,Fog-Rain,215<br />
2015-2-11,-7,-12,-18,-13,-17,-23,73,64,54,1043,1034,1027,16,15,3,53,33,64,T,5,Snow,344<br />
2015-2-12,-8,-14,-19,-12,-17,-24,83,71,58,1043,1030,1021,16,11,1,29,16,37,1.78,5,Snow,164<br />
2015-2-13,0,-7,-14,-5,-9,-17,88,77,66,1026,1023,1020,16,14,4,27,13,37,T,6,Snow,350<br />
2015-2-14,-7,-13,-20,-10,-21,-26,79,68,56,1039,1034,1024,16,15,4,42,22,53,T,6,Snow,46<br />
2015-2-15,-5,-10,-15,-9,-14,-19,83,70,57,1033,1027,1021,16,14,3,29,19,37,0.51,8,Snow,176<br />
2015-2-16,-5,-8,-12,-8,-12,-14,84,70,56,1024,1022,1020,16,13,2,34,15,40,0.25,7,Snow,338<br />
2015-2-17,-10,-15,-20,-15,-19,-24,79,67,55,1025,1022,1017,16,14,2,50,29,63,T,5,Snow,330<br />
2015-2-18,-13,-18,-23,-22,-23,-26,79,65,50,1032,1029,1022,16,16,8,29,15,37,0.00,2,,333<br />
2015-2-19,-5,-14,-24,-11,-19,-27,83,64,44,1031,1023,1012,16,16,16,32,18,40,0.00,6,,162<br />
2015-2-20,4,-2,-8,0,-6,-12,89,78,67,1015,1009,1006,16,15,4,29,15,37,T,8,Snow,292<br />
2015-2-21,-6,-12,-17,-10,-17,-21,80,67,53,1036,1026,1014,16,15,6,40,23,48,T,5,Snow,355<br />
2015-2-22,-15,-19,-24,-22,-26,-29,75,61,46,1046,1043,1037,16,16,14,34,18,40,0.00,0,,340<br />
2015-2-23,2,-10,-23,-8,-17,-26,75,54,33,1044,1027,1012,16,16,16,47,23,58,0.00,1,,221<br />
2015-2-24,2,-2,-6,-4,-7,-13,72,62,51,1015,1013,1011,16,15,5,39,23,52,T,7,Snow,357<br />
2015-2-25,-6,-14,-22,-11,-16,-24,88,76,63,1034,1019,1010,16,8,1,39,26,50,1.78,7,Snow,28<br />
2015-2-26,-14,-18,-23,-21,-24,-27,79,67,55,1040,1037,1032,16,16,16,29,17,37,0.00,0,,325<br />
2015-2-27,-9,-19,-29,-16,-22,-32,81,67,53,1037,1034,1029,16,16,16,27,14,34,0.00,0,,186<br />
2015-2-28,-2,-9,-17,-9,-14,-19,80,67,53,1029,1026,1023,16,16,16,37,22,47,T,2,,208<br />
2015-3-1,-2,-10,-18,-8,-14,-21,88,73,57,1034,1029,1025,16,16,16,39,15,43,0.00,2,,283<br />
2015-3-2,2,-9,-19,-6,-13,-21,87,70,52,1033,1024,1009,16,11,0,53,28,68,0.00,3,Fog,176<br />
2015-3-3,-1,-9,-18,-3,-14,-22,92,73,53,1023,1014,1006,16,6,1,60,32,69,1.78,5,Fog-Snow,330<br />
2015-3-4,-16,-20,-25,-18,-23,-28,87,69,51,1035,1028,1021,16,12,2,42,21,52,0.25,4,Snow,305<br />
2015-3-5,-2,-15,-28,-11,-20,-31,88,69,50,1034,1028,1022,16,16,16,34,16,40,0.00,0,,184<br />
2015-3-6,6,-4,-14,-3,-8,-16,85,64,43,1023,1020,1018,16,16,16,23,11,26,0.00,3,,236<br />
2015-3-7,9,2,-4,-1,-2,-5,85,64,42,1025,1022,1018,16,16,16,24,13,31,0.00,3,,296<br />
2015-3-8,11,4,-3,3,-1,-4,92,71,50,1022,1019,1016,16,16,16,29,15,37,0.00,0,,256<br />
2015-3-9,14,6,-2,2,-2,-5,85,63,40,1016,1013,1011,16,16,16,24,11,27,0.00,1,,195<br />
2015-3-10,14,6,-3,4,-1,-4,85,63,40,1022,1015,1010,16,16,16,34,14,39,0.00,0,,317<br />
2015-3-11,16,6,-4,4,0,-5,92,69,46,1025,1021,1016,16,16,16,42,22,56,0.00,0,,160<br />
2015-3-12,19,11,3,4,2,1,71,50,29,1019,1015,1014,16,16,16,35,18,47,0.00,0,,213<br />
