
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,12,6,-1,3,0,-2,100,80,50,1025,1022,1020,16,16,14,19,7,26,0.00,0,,25<br />
2015-1-2,11,6,0,6,3,-1,100,88,66,1025,1023,1022,16,16,11,23,9,,0.00,1,,137<br />
2015-1-3,12,8,3,8,5,2,100,92,67,1026,1025,1024,16,16,16,14,9,,0.00,2,,145<br />
2015-1-4,12,10,7,11,9,7,100,91,83,1028,1027,1025,16,15,5,19,13,34,0.25,8,,173<br />
2015-1-5,14,11,8,11,9,7,100,90,77,1029,1027,1024,16,16,16,19,7,,0.00,3,,159<br />
2015-1-6,17,11,5,11,7,5,100,90,55,1025,1024,1023,16,15,4,13,7,,0.00,0,,136<br />
2015-1-7,18,12,5,12,8,5,100,90,63,1023,1022,1019,16,15,10,16,8,,0.00,0,,132<br />
2015-1-8,16,12,7,11,8,7,0,91,0,1019,1018,1017,16,16,16,13,9,,0.00,0,,134<br />
2015-1-9,17,13,8,12,9,7,100,92,72,1019,1017,1016,16,16,13,19,7,,0.00,3,,172<br />
2015-1-10,12,9,6,12,10,6,0,98,0,1020,1018,1017,16,10,0,16,7,,1.52,8,,73<br />
2015-1-11,11,8,5,11,8,5,0,99,0,1023,1021,1019,16,12,0,11,6,,1.02,8,,143<br />
2015-1-12,13,11,9,13,11,8,100,100,94,1029,1026,1023,16,10,0,11,3,,4.32,8,,169<br />
2015-1-13,16,11,6,10,7,5,0,87,0,1029,1025,1020,16,13,0,21,8,,0.00,1,,93<br />
2015-1-14,15,11,6,11,7,4,100,88,59,1023,1021,1020,16,16,13,16,10,,0.00,0,,155<br />
2015-1-15,15,11,7,13,9,6,100,91,67,1022,1018,1013,16,15,5,39,15,50,14.99,7,,164<br />
2015-1-16,14,12,9,13,11,9,100,94,77,1025,1021,1016,16,13,0,21,7,35,1.27,4,,153<br />
2015-1-17,17,14,10,16,13,10,100,93,78,1020,1016,1011,16,14,4,40,23,61,20.32,8,,189<br />
2015-1-18,15,12,9,14,11,8,100,90,77,1030,1025,1016,16,14,8,29,13,48,3.30,6,,194<br />
2015-1-19,13,10,7,9,8,6,100,94,77,1031,1030,1028,16,16,11,21,9,,1.02,3,,70<br />
2015-1-20,12,7,2,7,5,2,0,91,0,1028,1026,1024,16,15,1,19,4,,0.00,0,,45<br />
2015-1-21,12,7,1,8,5,1,100,90,67,1025,1023,1023,16,16,6,10,3,,0.00,2,,149<br />
2015-1-22,16,12,7,11,8,6,100,90,59,1031,1027,1024,16,16,5,14,7,,0.00,3,,143<br />
2015-1-23,16,12,8,11,9,7,100,90,63,1032,1030,1029,16,14,5,14,8,,0.00,5,,149<br />
2015-1-24,17,12,7,13,9,7,0,94,0,1029,1026,1023,16,10,0,14,6,,0.00,1,,122<br />
2015-1-25,21,14,6,12,9,7,0,90,0,1023,1018,1015,16,13,0,19,8,,0.00,0,,135<br />
2015-1-26,15,11,7,13,10,7,0,96,0,1017,1016,1014,16,15,5,13,6,,0.00,2,,177<br />
2015-1-27,13,11,9,12,11,8,0,96,0,1025,1021,1017,16,15,5,13,4,,0.00,8,,172<br />
2015-1-28,16,12,8,11,10,7,100,92,72,1027,1026,1025,16,16,6,11,6,,0.00,3,,145<br />
2015-1-29,15,11,6,12,9,6,100,95,80,1026,1024,1023,16,13,0,24,7,34,0.00,1,,18<br />
2015-1-30,14,8,2,11,7,2,100,93,72,1025,1023,1021,16,13,1,29,7,40,0.00,0,,15<br />
2015-1-31,18,10,2,10,7,3,100,83,45,1022,1019,1017,16,14,1,13,5,,0.00,0,,141<br />
2015-2-1,14,12,9,12,10,8,100,94,82,1022,1020,1018,16,16,13,24,8,,2.03,6,,157<br />
2015-2-2,14,12,9,14,12,9,100,98,86,1020,1019,1016,16,11,1,23,9,35,4.32,7,,221<br />
