
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,1,-3,-8,-9,-13,-15,62,49,36,1023,1020,1016,16,16,16,45,29,60,0.00,4,,234<br />
2015-1-2,2,-1,-4,-6,-8,-9,81,67,53,1030,1027,1022,16,16,14,32,12,37,0.00,7,,228<br />
2015-1-3,12,4,-3,12,3,-7,96,80,63,1028,1016,1008,16,11,3,37,19,53,18.80,7,Rain,167<br />
2015-1-4,14,5,-4,12,4,-9,100,88,75,1023,1010,1003,16,9,1,61,27,79,25.91,8,Rain-Snow,254<br />
2015-1-5,-4,-8,-13,-7,-14,-18,81,71,61,1035,1030,1023,16,11,1,42,24,56,0.76,8,Snow,259<br />
2015-1-6,-9,-10,-12,-13,-14,-16,83,71,59,1031,1025,1019,16,11,1,45,17,52,1.02,7,Snow,229<br />
2015-1-7,-11,-12,-14,-14,-17,-22,83,67,50,1036,1027,1020,16,8,0,48,29,58,0.51,8,Fog-Snow,288<br />
2015-1-8,-8,-14,-19,-13,-19,-25,84,65,46,1035,1025,1012,16,11,1,39,27,61,0.51,7,Snow,211<br />
2015-1-9,-7,-12,-17,-10,-14,-22,88,75,61,1031,1019,1010,16,8,1,52,32,63,1.52,6,Snow,244<br />
2015-1-10,-8,-13,-18,-17,-21,-22,72,57,42,1036,1033,1031,16,16,16,34,20,40,0.00,4,,209<br />
2015-1-11,2,-3,-8,-3,-10,-17,92,67,41,1032,1030,1027,16,11,1,34,17,45,4.06,8,Snow,191<br />
2015-1-12,0,-3,-7,-1,-3,-10,92,82,71,1036,1027,1024,16,5,1,39,18,47,6.10,8,Fog-Snow,324<br />
2015-1-13,-7,-10,-13,-10,-13,-16,84,76,67,1042,1037,1033,16,14,5,37,17,45,T,4,Snow,36<br />
2015-1-14,-6,-13,-21,-12,-17,-22,88,75,62,1032,1029,1027,16,12,2,14,5,16,T,3,Snow,229<br />
2015-1-15,-1,-7,-14,-7,-12,-15,88,69,50,1027,1021,1015,16,13,6,37,19,48,0.00,5,,214<br />
2015-1-16,-1,-4,-7,-4,-7,-12,78,69,60,1027,1021,1015,16,14,10,37,19,47,T,8,Snow,308<br />
2015-1-17,7,-1,-8,-2,-6,-12,74,62,49,1026,1016,1008,16,16,13,35,23,52,0.00,4,,174<br />
2015-1-18,7,4,1,1,-1,-3,92,71,49,1014,1010,1007,16,14,5,40,21,50,1.52,8,Rain-Snow,239<br />
2015-1-19,2,1,-1,-1,-3,-5,92,82,72,1018,1016,1014,16,14,4,32,12,40,T,8,Snow,310<br />
2015-1-20,1,-1,-2,-2,-3,-4,92,85,78,1019,1015,1013,16,13,1,19,8,23,0.51,8,Snow,39<br />
2015-1-21,1,-2,-4,-1,-3,-5,92,85,78,1023,1018,1016,14,6,0,24,10,32,5.33,8,Fog-Snow,181<br />
2015-1-22,-3,-3,-4,-4,-6,-7,92,84,75,1032,1029,1023,16,11,1,19,7,21,0.51,8,Snow,269<br />
2015-1-23,0,-2,-4,-6,-6,-7,81,75,69,1031,1023,1012,16,14,8,21,11,26,0.00,7,,209<br />
2015-1-24,1,-2,-5,-1,-4,-7,92,85,78,1011,1006,1002,11,8,2,27,16,35,T,8,Rain-Snow,240<br />
2015-1-25,1,-3,-7,0,-6,-10,92,85,77,1014,1011,1006,16,6,1,39,22,50,1.52,8,Snow,29<br />
2015-1-26,-6,-6,-7,-8,-9,-11,84,79,73,1015,1012,1010,16,7,2,34,22,42,0.25,8,Snow,20<br />
2015-1-27,-7,-7,-8,-9,-11,-13,84,76,67,1024,1019,1014,16,10,2,24,15,31,0.51,7,Snow,357<br />
2015-1-28,-3,-10,-17,-9,-13,-19,92,71,50,1031,1028,1024,16,15,10,26,9,34,0.00,4,,214<br />
2015-1-29,3,-1,-4,1,-4,-13,92,67,42,1023,1013,1008,16,9,1,39,24,52,4.83,8,Rain-Snow,243<br />
2015-1-30,0,-7,-14,-4,-11,-16,85,72,59,1033,1026,1017,16,12,2,45,24,58,0.51,7,Snow,323<br />
2015-1-31,-1,-8,-15,-7,-11,-17,80,69,58,1032,1028,1024,16,16,16,27,14,37,0.00,5,,206<br />
2015-2-1,0,-1,-2,-1,-2,-6,100,82,63,1024,1014,999,16,3,0,21,11,27,18.29,8,Fog-Rain-Snow,101<br />
2015-2-2,-2,-8,-16,-3,-12,-18,92,80,67,1025,1011,998,16,6,1,45,21,56,1.02,7,Rain-Snow,325<br />
2015-2-3,-3,-9,-16,-5,-12,-19,86,77,68,1027,1024,1021,16,13,2,32,17,42,1.02,7,Snow,207<br />
2015-2-4,2,-2,-7,-1,-4,-9,92,78,64,1022,1019,1015,16,5,0,34,18,43,8.89,8,Fog-Snow,250<br />
2015-2-5,-7,-11,-16,-12,-18,-21,84,66,48,1032,1029,1022,16,16,13,35,16,47,T,3,Snow,304<br />
2015-2-6,-2,-8,-14,-9,-13,-19,69,62,55,1028,1024,1022,16,16,16,32,20,40,0.00,7,,221<br />
2015-2-7,7,2,-4,-2,-6,-10,64,58,52,1021,1015,1009,16,16,16,27,14,34,0.00,7,,189<br />
2015-2-8,8,2,-4,3,-1,-6,85,69,53,1012,1008,1006,16,14,6,35,15,45,T,8,,208<br />
2015-2-9,-4,-7,-9,-8,-11,-12,88,81,74,1023,1018,1012,16,11,2,40,24,52,T,8,Snow,13<br />
2015-2-10,-6,-7,-9,-9,-11,-12,84,76,68,1027,1025,1022,16,10,2,24,14,31,T,7,Snow,20<br />
2015-2-11,1,-5,-11,-1,-5,-13,92,79,66,1023,1016,1013,14,9,2,34,15,42,0.51,8,Snow,234<br />
2015-2-12,-2,-9,-16,-4,-12,-21,85,71,57,1030,1020,1013,16,10,1,45,25,56,0.51,7,Snow,321<br />
2015-2-13,-7,-13,-19,-11,-17,-22,79,64,49,1030,1024,1015,16,13,3,29,14,40,T,5,Snow,214<br />
2015-2-14,-3,-10,-17,-5,-13,-22,88,77,66,1024,1012,1002,16,3,0,53,26,69,4.32,7,Fog-Snow,308<br />
2015-2-15,-16,-18,-21,-22,-23,-24,72,69,65,1035,1031,1023,16,13,3,39,18,52,T,4,Snow,328<br />
2015-2-16,-13,-19,-24,-18,-22,-26,87,71,55,1034,1027,1016,16,16,11,14,7,19,0.00,7,,71<br />
2015-2-17,-7,-14,-22,-12,-19,-24,83,62,40,1017,1015,1011,16,14,4,27,13,40,0.25,6,Snow,217<br />
2015-2-18,-8,-11,-13,-12,-15,-18,80,72,63,1018,1012,1008,16,9,1,40,24,53,0.25,8,Snow,248<br />
2015-2-19,-13,-16,-20,-18,-21,-26,86,65,44,1028,1022,1017,16,8,1,39,20,48,0.51,7,Fog-Snow,300<br />
2015-2-20,-11,-19,-27,-19,-24,-28,83,62,41,1033,1029,1023,16,16,14,29,13,39,0.00,3,,197<br />
2015-2-21,-3,-7,-11,-5,-9,-19,92,69,45,1022,1017,1013,16,6,0,32,12,39,9.65,8,Fog-Snow,211<br />
2015-2-22,-2,-6,-11,-6,-9,-12,92,81,69,1033,1026,1020,16,5,0,26,12,32,1.02,8,Fog-Snow,277<br />
2015-2-23,-9,-15,-21,-12,-22,-26,88,66,44,1040,1036,1031,16,11,1,37,14,45,0.76,3,Snow,335<br />
2015-2-24,-6,-12,-19,-11,-19,-24,65,52,39,1030,1016,1007,16,15,11,40,23,55,T,6,Snow,208<br />
2015-2-25,-5,-8,-12,-9,-14,-18,74,62,49,1020,1015,1009,16,16,11,32,16,43,T,5,Snow,360<br />
2015-2-26,-10,-12,-14,-14,-16,-18,80,69,58,1029,1022,1017,16,7,1,34,23,40,0.25,8,Snow,17<br />
2015-2-27,-9,-15,-21,-18,-19,-22,87,70,53,1042,1036,1030,16,16,16,14,10,14,0.00,2,,249<br />
2015-2-28,-4,-13,-23,-13,-19,-26,82,59,35,1045,1042,1036,16,15,11,16,5,16,T,2,,88<br />
2015-3-1,-2,-4,-8,-4,-7,-13,92,80,67,1036,1028,1024,10,3,0,19,9,19,10.16,8,Fog-Snow,232<br />
2015-3-2,-2,-6,-9,-8,-10,-13,84,65,46,1033,1030,1025,16,13,4,27,15,29,T,6,Snow,255<br />
2015-3-3,6,-1,-7,3,-4,-12,86,73,60,1030,1015,1004,16,12,3,50,21,64,4.06,8,Rain-Snow,181<br />
2015-3-4,2,-2,-6,0,-4,-13,89,70,50,1025,1015,1010,16,14,6,40,19,45,T,8,Rain,282<br />
2015-3-5,-6,-11,-15,-14,-17,-19,69,60,51,1036,1030,1025,16,16,6,39,18,48,T,6,Snow,357<br />
2015-3-6,-4,-11,-17,-14,-16,-19,86,66,46,1036,1032,1026,16,16,16,29,18,40,0.00,2,,206<br />
2015-3-7,5,-1,-7,-2,-7,-13,70,62,54,1026,1021,1017,16,16,16,40,22,53,0.00,5,,213<br />
2015-3-8,5,2,-2,-1,-3,-5,85,70,54,1024,1022,1019,16,14,8,29,15,35,T,5,Rain,233<br />
2015-3-9,8,4,-1,-1,-2,-4,85,65,45,1025,1024,1022,16,16,11,26,9,34,T,4,Rain,247<br />
2015-3-10,7,3,-1,5,2,-4,100,85,69,1024,1019,1015,16,8,0,19,9,24,0.51,8,Fog-Rain,187<br />
2015-3-11,8,3,-1,4,1,-6,100,70,40,1030,1023,1017,16,7,0,19,9,23,0.25,3,Fog-Rain,269<br />
2015-3-12,9,4,-1,-3,-7,-11,69,51,33,1038,1035,1031,16,16,16,24,11,27,0.00,1,,41<br />
2015-3-13,13,8,2,6,-1,-11,92,62,32,1033,1025,1019,16,14,3,32,19,39,5.59,7,Rain,167<br />
2015-3-14,10,7,4,7,5,-1,93,82,70,1019,1014,1012,16,10,0,32,16,42,8.38,8,Rain,240<br />
2015-3-15,8,5,1,0,-2,-2,82,68,53,1025,1022,1017,16,16,16,29,15,40,0.00,7,,307<br />
2015-3-16,16,10,3,7,4,1,85,66,47,1020,1014,1008,16,16,16,29,16,39,0.00,8,,221<br />
2015-3-17,16,7,-1,9,-3,-12,85,59,32,1025,1017,1007,16,16,10,52,23,63,0.00,5,,329<br />
2015-3-18,7,1,-5,-6,-8,-10,69,50,30,1027,1026,1024,16,16,16,39,13,48,0.00,3,,282<br />
2015-3-19,5,1,-3,-5,-7,-9,81,59,37,1029,1026,1023,16,16,16,27,13,32,0.00,7,,32<br />
2015-3-20,8,4,0,1,-3,-9,79,60,40,1022,1020,1019,16,16,16,26,7,32,0.00,8,,272<br />
2015-3-21,11,5,-1,4,1,-2,82,74,66,1023,1019,1017,16,14,10,37,19,45,0.00,7,,261<br />
2015-3-22,-1,-4,-7,-3,-9,-11,75,64,53,1028,1026,1023,16,16,16,32,14,35,0.00,3,,32<br />
2015-3-23,0,-3,-7,-9,-11,-13,77,62,46,1029,1028,1027,16,16,14,32,15,42,T,5,Snow,42<br />
2015-3-24,3,-2,-7,-7,-9,-13,73,58,43,1029,1027,1024,16,16,16,21,13,27,0.00,2,,25<br />
2015-3-25,13,7,0,8,3,-6,89,74,59,1023,1017,1012,16,14,4,50,21,66,4.32,7,Rain,184<br />
2015-3-26,7,4,1,5,2,-2,100,85,70,1017,1013,1011,16,7,2,23,11,27,13.97,8,Rain-Snow,328<br />
2015-3-27,2,-3,-8,-3,-7,-13,88,75,62,1022,1016,1013,16,8,1,37,22,43,0.51,8,Fog-Snow,344<br />
2015-3-28,-3,-6,-9,-11,-13,-15,67,57,46,1029,1025,1021,16,16,16,39,17,48,0.00,3,,342<br />
2015-3-29,7,0,-7,0,-9,-11,82,55,27,1029,1023,1011,16,16,11,42,22,61,T,4,Rain,197<br />
2015-3-30,12,8,3,2,-1,-6,76,54,32,1016,1013,1010,16,16,13,48,25,61,0.25,6,Rain,267<br />
2015-3-31,11,5,-2,3,0,-3,92,76,59,1018,1011,1005,16,16,14,37,16,43,2.03,7,Rain,7<br />
2015-4-1,16,7,-2,2,-1,-3,92,66,40,1022,1020,1017,16,15,11,27,12,32,0.00,4,,199<br />
2015-4-2,17,13,9,14,7,-5,86,57,27,1018,1011,1007,16,14,2,39,23,52,10.67,7,Rain,215<br />
2015-4-3,17,10,3,11,7,3,93,73,52,1013,1011,1009,16,12,3,32,10,40,7.62,8,Rain,333<br />
2015-4-4,9,4,-2,3,-3,-10,89,61,32,1026,1021,1013,16,15,1,34,20,45,1.02,5,Snow,296<br />
2015-4-5,17,12,6,-1,-2,-3,62,45,27,1023,1021,1019,16,16,16,47,24,55,0.00,5,,236<br />
2015-4-6,15,10,5,9,2,-4,77,55,32,1021,1020,1019,16,16,10,24,11,31,0.76,6,Rain,175<br />
2015-4-7,12,8,4,11,7,3,100,88,76,1022,1020,1019,16,6,2,27,12,37,11.68,8,Rain,31<br />
2015-4-8,19,11,3,16,6,2,100,84,67,1020,1017,1014,16,5,0,23,9,39,T,8,Fog-Rain,348<br />
