
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-5,-13,-21,-6,-16,-24,93,70,40,1019,1011,1004,16,14,2,26,18,37,0.00,4,Snow,293<br />
2015-1-2,-3,-13,-23,-4,-12,-26,92,84,74,1019,1014,1009,16,14,5,23,6,27,0.00,7,Snow,174<br />
2015-1-3,-3,-14,-26,-6,-16,-29,96,78,63,1027,1015,1007,16,12,1,37,19,47,0.25,4,Snow,339<br />
2015-1-4,-24,-28,-31,-29,-31,-33,79,72,63,1029,1028,1027,16,15,8,24,14,32,0.00,0,,290<br />
2015-1-5,-18,-23,-28,-23,-27,-31,79,71,61,1029,1025,1022,16,16,11,19,13,29,0.00,0,,242<br />
2015-1-6,-18,-21,-25,-22,-24,-28,77,73,67,1036,1026,1022,16,11,3,37,19,50,0.00,4,Snow,284<br />
2015-1-7,-19,-23,-28,-23,-27,-31,77,72,61,1044,1037,1023,16,15,6,26,19,45,0.00,0,,270<br />
2015-1-8,-16,-18,-21,-18,-21,-24,84,74,57,1022,1012,1004,16,9,1,42,18,58,0.25,5,Snow,270<br />
2015-1-9,-18,-20,-23,-23,-24,-26,79,73,62,1022,1020,1017,16,14,5,34,23,42,0.00,1,,272<br />
2015-1-10,-13,-19,-24,-22,-25,-27,83,68,48,1020,1016,1013,16,16,16,19,11,,0.00,0,,259<br />
2015-1-11,-14,-20,-26,-22,-24,-28,85,71,51,1030,1023,1020,16,16,16,21,8,,0.00,1,,271<br />
2015-1-12,-18,-24,-31,-26,-28,-33,82,72,48,1041,1038,1030,16,16,16,16,8,,0.00,0,,308<br />
2015-1-13,-10,-18,-26,-14,-22,-29,85,69,46,1037,1027,1020,16,16,16,24,10,32,0.00,3,Snow,193<br />
2015-1-14,-6,-12,-19,-7,-13,-21,93,86,77,1020,1016,1009,16,15,3,19,6,,0.00,6,Snow,213<br />
2015-1-15,-2,-6,-11,-4,-7,-14,92,82,71,1017,1012,1009,16,15,6,35,14,42,0.00,8,Snow,298<br />
2015-1-16,-7,-11,-15,-7,-14,-18,96,78,64,1018,1013,1002,16,15,4,26,16,37,0.00,7,,118<br />
2015-1-17,-1,-3,-7,-1,-4,-7,96,91,83,1003,998,993,16,9,1,40,18,58,0.00,8,Snow,256<br />
2015-1-18,-1,-4,-7,-3,-7,-9,91,82,68,1013,1009,1003,16,16,11,23,14,32,0.00,7,,300<br />
2015-1-19,-2,-5,-8,-4,-7,-10,90,83,80,1013,1010,1008,16,16,8,19,10,,0.00,7,Snow,115<br />
2015-1-20,-3,-4,-5,-5,-6,-6,94,89,84,1016,1014,1011,16,16,11,11,5,,0.00,8,,108<br />
2015-1-21,-4,-9,-14,-4,-8,-16,97,92,84,1026,1021,1016,16,13,5,19,10,,0.00,8,Snow,315<br />
2015-1-22,1,-9,-18,-4,-12,-20,94,79,66,1026,1019,1011,16,16,11,27,10,40,0.00,2,,205<br />
2015-1-23,4,1,-2,0,-2,-4,96,83,66,1011,1009,1007,16,14,8,26,18,37,0.00,4,Rain,268<br />
2015-1-24,1,-3,-7,-1,-4,-12,99,89,68,1009,1005,1002,16,11,2,21,8,,0.00,7,,352<br />
2015-1-25,-3,-7,-10,-7,-10,-13,80,74,65,1016,1013,1007,16,16,5,14,10,26,0.00,6,Snow,136<br />
2015-1-26,2,-1,-4,0,-3,-8,96,86,73,1015,1007,1001,16,16,3,34,18,40,0.00,8,Snow,290<br />
2015-1-27,0,-2,-5,-3,-4,-5,99,90,78,1019,1017,1014,16,14,2,21,11,27,0.00,7,,159<br />
2015-1-28,0,-1,-2,0,-2,-3,100,95,86,1014,1010,1007,16,8,1,27,14,37,0.00,8,Rain-Snow,167<br />
2015-1-29,-1,-11,-20,-2,-13,-22,96,84,68,1033,1026,1013,16,15,5,39,26,48,0.00,5,Snow,308<br />
2015-1-30,-5,-12,-18,-7,-14,-21,88,81,73,1033,1025,1019,16,16,11,24,6,29,0.00,5,,179<br />
2015-1-31,-5,-13,-21,-6,-18,-24,89,72,57,1029,1025,1019,16,16,16,24,16,34,0.00,2,Snow,356<br />
2015-2-1,-17,-21,-26,-25,-27,-28,79,68,49,1031,1028,1022,16,16,16,16,10,,0.00,0,,355<br />
2015-2-2,-9,-17,-24,-18,-23,-27,83,68,34,1022,1016,1013,16,16,16,21,6,26,0.00,1,,247<br />
2015-2-3,-12,-16,-21,-16,-19,-23,87,78,63,1017,1016,1014,16,15,6,14,6,,0.00,3,Snow,289<br />
2015-2-4,-15,-19,-22,-17,-22,-26,87,75,58,1027,1024,1018,16,15,2,34,14,42,0.00,3,Snow,278<br />
2015-2-5,-4,-13,-22,-11,-17,-24,91,71,58,1023,1015,1011,16,16,16,29,13,35,0.00,2,,231<br />
2015-2-6,-7,-10,-12,-11,-13,-16,87,77,66,1016,1013,1008,16,14,2,16,8,,0.00,7,Snow,77<br />
2015-2-7,-1,-4,-9,-7,-9,-11,86,77,63,1008,1004,1000,16,15,11,27,14,39,0.00,3,,112<br />
2015-2-8,-5,-7,-9,-7,-9,-10,96,88,80,1022,1014,1005,16,13,3,13,8,,0.00,8,,62<br />
2015-2-9,-5,-7,-9,-6,-8,-10,98,91,84,1024,1023,1020,16,12,2,13,2,,0.00,8,,81<br />
2015-2-10,-5,-6,-7,-6,-8,-10,97,85,70,1020,1013,1010,16,9,1,29,16,40,1.02,7,Snow,123<br />
2015-2-11,-6,-14,-24,-7,-20,-26,91,79,71,1034,1025,1015,16,10,1,39,31,53,0.00,3,Snow,308<br />
2015-2-12,-13,-21,-28,-17,-24,-31,84,72,49,1036,1029,1019,16,14,1,16,8,,0.00,2,Snow,209<br />
2015-2-13,-11,-14,-19,-12,-16,-23,92,80,69,1021,1016,1014,16,11,2,37,19,47,0.00,5,Snow,289<br />
2015-2-14,-19,-23,-26,-23,-28,-30,77,64,46,1034,1031,1022,16,15,6,32,18,45,0.00,1,,354<br />
2015-2-15,-16,-19,-22,-19,-23,-28,78,69,58,1034,1027,1020,16,12,2,24,14,29,0.00,7,Snow,148<br />
2015-2-16,-12,-16,-20,-16,-18,-22,87,78,66,1020,1017,1016,16,12,3,32,13,35,0.00,7,Snow,285<br />
2015-2-17,-18,-21,-25,-22,-25,-30,84,76,66,1016,1014,1011,16,12,4,32,18,39,0.00,3,,293<br />
2015-2-18,-21,-26,-30,-27,-30,-33,79,71,58,1025,1022,1016,16,15,3,29,16,37,0.00,1,Snow,299<br />
2015-2-19,-13,-24,-35,-20,-28,-39,80,63,40,1026,1022,1012,16,16,2,21,6,,0.00,1,,187<br />
2015-2-20,-7,-11,-16,-8,-13,-19,88,83,72,1012,1007,1004,16,11,4,26,16,27,0.00,7,Snow,245<br />
2015-2-21,-16,-21,-27,-18,-23,-29,88,76,59,1028,1020,1012,16,15,8,29,14,35,0.00,1,Snow,304<br />
2015-2-22,-23,-28,-33,-29,-32,-37,80,69,56,1038,1035,1029,16,16,16,24,14,34,0.00,0,,287<br />
2015-2-23,-4,-16,-28,-7,-21,-31,84,65,47,1036,1020,1003,16,16,11,35,14,52,0.00,2,Snow,224<br />
2015-2-24,-4,-11,-19,-5,-16,-23,92,72,60,1012,1008,1002,16,11,1,52,26,66,0.00,2,Snow,300<br />
2015-2-25,-15,-19,-23,-22,-24,-27,74,65,48,1026,1019,1012,16,16,16,24,10,29,0.00,0,,340<br />
2015-2-26,-17,-23,-30,-23,-27,-33,84,70,54,1031,1029,1027,16,16,16,21,11,,0.00,0,,294<br />
2015-2-27,-9,-18,-26,-20,-23,-28,83,64,38,1029,1028,1027,16,16,16,21,6,26,0.00,0,,239<br />
2015-2-28,-4,-12,-20,-10,-16,-23,89,71,42,1027,1023,1019,16,14,3,32,11,39,0.00,2,Snow,183<br />
2015-3-1,-8,-13,-19,-11,-16,-21,89,79,64,1026,1021,1019,16,16,5,29,16,34,0.00,2,Snow,257<br />
2015-3-2,-3,-12,-22,-10,-15,-24,91,69,41,1027,1021,1009,16,16,11,32,11,40,0.00,2,,194<br />
2015-3-3,-4,-12,-20,-6,-14,-23,93,76,60,1013,1007,1003,16,10,1,50,24,58,0.00,6,Snow,271<br />
2015-3-4,-18,-21,-24,-23,-26,-28,82,73,61,1027,1021,1013,16,14,3,35,18,39,0.00,1,Snow,286<br />
2015-3-5,-9,-18,-28,-16,-23,-31,82,64,42,1027,1024,1016,16,16,16,26,8,35,0.00,0,,210<br />
2015-3-6,-1,-8,-14,-4,-12,-16,85,64,50,1016,1014,1010,16,16,4,32,14,42,0.00,2,Snow,245<br />
2015-3-7,-1,-3,-6,-3,-8,-11,90,73,53,1019,1016,1010,16,16,16,32,14,39,0.00,5,Snow,283<br />
2015-3-8,5,1,-3,-2,-3,-4,92,75,56,1016,1014,1013,16,14,2,32,16,42,0.00,4,Snow,262<br />
2015-3-9,10,4,-1,0,-3,-5,81,62,37,1013,1009,1007,16,14,8,24,11,32,0.00,2,,226<br />
2015-3-10,8,3,-1,2,-1,-2,90,72,52,1019,1010,1004,16,14,11,37,14,45,0.00,0,,264<br />
2015-3-11,8,3,-2,-1,-3,-5,93,69,45,1026,1023,1019,16,14,8,19,10,,0.00,1,,109<br />
2015-3-12,14,8,1,4,1,-4,85,64,45,1022,1017,1014,16,14,8,21,13,27,0.00,0,,140<br />
2015-3-13,7,3,0,3,1,-1,97,83,64,1021,1017,1014,16,14,8,34,13,45,0.00,3,,279<br />
2015-3-14,15,6,-3,1,-1,-3,100,68,28,1022,1019,1014,16,14,3,14,10,,0.00,0,,259<br />
2015-3-15,20,14,8,4,1,-4,61,43,32,1013,1008,1005,16,15,11,37,21,52,0.00,0,,235<br />
2015-3-16,11,2,-7,1,-6,-16,92,55,29,1028,1017,1011,16,16,11,29,13,42,0.00,4,Rain-Snow,345<br />
2015-3-17,5,-2,-9,-9,-11,-14,80,51,30,1031,1028,1025,16,16,16,37,14,50,0.00,0,,277<br />
2015-3-18,7,0,-8,-2,-10,-13,89,51,24,1025,1023,1021,16,16,16,14,6,,0.00,0,,223<br />
2015-3-19,9,3,-3,-1,-2,-4,98,77,39,1021,1016,1011,16,14,2,23,8,34,0.00,4,Snow,191<br />
2015-3-20,2,-2,-7,1,-3,-12,99,88,62,1021,1014,1012,16,12,2,16,11,,0.00,4,Snow,295<br />
2015-3-21,-5,-9,-14,-12,-16,-19,74,56,41,1027,1025,1021,16,16,11,13,8,,0.00,2,,346<br />
2015-3-22,2,-2,-7,-8,-13,-14,67,47,29,1027,1025,1023,16,16,16,19,6,29,0.00,1,,80<br />
2015-3-23,1,-1,-3,-1,-5,-11,96,73,51,1024,1022,1019,16,15,2,21,10,27,0.00,8,Snow,149<br />
2015-3-24,8,3,-2,-1,-3,-3,92,75,47,1019,1014,1007,16,16,8,29,19,42,0.00,6,Rain-Snow,161<br />
2015-3-25,0,-2,-4,-1,-3,-7,97,89,74,1018,1008,1001,16,11,1,50,26,64,0.00,8,Snow,264<br />
2015-3-26,-2,-6,-12,-7,-13,-19,79,55,28,1024,1021,1018,16,16,16,29,18,50,0.00,4,Snow,347<br />
2015-3-27,1,-8,-16,-12,-16,-18,86,52,27,1025,1022,1018,16,16,16,19,3,,0.00,0,,210<br />
2015-3-28,7,-3,-13,-3,-8,-14,89,62,40,1021,1015,1004,16,16,16,35,10,50,0.00,0,,174<br />
2015-3-29,9,4,-1,3,-1,-4,97,70,45,1011,1005,996,16,15,3,53,27,66,1.52,5,Rain,271<br />
2015-3-30,6,1,-3,2,-1,-5,100,87,65,1012,1011,1010,16,14,0,13,5,,3.05,4,Fog-Rain,167<br />
2015-3-31,13,6,-1,3,-1,-4,100,70,32,1013,1011,1009,16,15,1,24,10,32,0.00,1,Fog,289<br />
2015-4-1,20,12,3,6,1,-3,73,54,33,1009,1000,994,16,15,8,39,21,52,0.00,1,,172<br />
2015-4-2,9,2,-6,3,-3,-9,85,67,42,1017,1005,1001,16,16,16,48,24,66,0.00,4,Rain,265<br />
2015-4-3,1,-5,-11,-7,-12,-16,82,61,29,1023,1020,1017,16,15,6,27,18,39,0.00,5,Snow,330<br />
2015-4-4,4,-3,-10,-4,-8,-11,96,69,42,1021,1019,1018,16,15,1,19,6,34,0.00,4,Fog,318<br />
2015-4-5,4,-2,-8,-9,-16,-18,74,40,19,1020,1018,1015,16,16,16,21,8,,0.00,3,,33<br />
