
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-4,-9,-16,-7,-12,-23,93,72,37,1023,1012,1006,16,10,2,29,19,37,0.00,6,Snow,291<br />
2015-1-2,-2,-10,-17,-6,-12,-22,89,72,58,1024,1019,1014,16,16,14,23,11,,0.00,6,Snow,193<br />
2015-1-3,-4,-12,-20,-6,-11,-24,92,81,69,1027,1014,1009,16,9,1,39,18,55,0.00,7,Fog-Snow,333<br />
2015-1-4,-21,-23,-25,-25,-28,-31,71,63,53,1036,1032,1027,16,16,16,27,21,37,0.00,1,,310<br />
2015-1-5,-18,-22,-26,-23,-26,-29,79,70,62,1035,1031,1027,16,16,16,23,13,,0.00,2,,235<br />
2015-1-6,-15,-18,-22,-20,-23,-28,83,68,57,1039,1030,1024,16,14,4,35,19,52,0.00,4,Snow,299<br />
2015-1-7,-18,-22,-26,-23,-27,-30,80,66,54,1049,1043,1031,16,16,13,35,23,50,0.00,1,,292<br />
2015-1-8,-13,-17,-20,-17,-20,-25,88,73,60,1028,1011,1004,16,7,1,45,21,61,0.25,7,Fog-Snow,271<br />
2015-1-9,-16,-19,-22,-23,-24,-26,80,66,50,1027,1025,1019,16,16,16,32,21,45,0.00,1,,278<br />
2015-1-10,-9,-17,-25,-19,-23,-28,83,67,41,1024,1021,1017,16,16,16,14,8,,0.00,1,,241<br />
2015-1-11,-12,-15,-18,-17,-20,-24,85,74,58,1032,1026,1023,16,9,2,16,6,,0.00,5,Snow,289<br />
2015-1-12,-17,-22,-29,-22,-26,-31,82,69,49,1046,1043,1033,16,15,8,21,11,,0.00,0,,352<br />
2015-1-13,-11,-20,-29,-13,-22,-33,84,71,56,1044,1034,1024,16,14,10,26,11,35,0.00,4,,191<br />
2015-1-14,-6,-11,-15,-8,-12,-17,95,84,74,1025,1019,1012,13,8,2,19,11,,0.00,7,Snow,214<br />
2015-1-15,-1,-4,-8,-4,-6,-9,96,83,72,1019,1014,1011,16,14,10,27,14,37,0.00,7,,293<br />
2015-1-16,-4,-8,-11,-7,-11,-15,81,72,65,1021,1015,1006,16,16,13,19,13,32,0.00,7,,93<br />
2015-1-17,1,-2,-4,-1,-3,-7,96,86,75,1005,1000,996,16,9,2,40,16,58,0.25,8,Rain-Snow,258<br />
2015-1-18,1,-3,-6,-4,-6,-8,88,78,66,1016,1011,1005,16,16,16,21,11,,0.00,6,,303<br />
2015-1-19,-2,-4,-7,-4,-6,-9,92,84,75,1016,1012,1009,16,13,0,14,6,26,0.25,7,Fog-Snow,107<br />
2015-1-20,-2,-3,-4,-5,-6,-7,88,84,78,1019,1015,1012,16,15,13,13,8,,0.00,8,,69<br />
2015-1-21,-3,-6,-8,-4,-6,-10,96,90,81,1028,1022,1017,16,12,3,19,5,,0.00,8,,351<br />
2015-1-22,-2,-7,-11,-4,-9,-12,96,88,69,1030,1026,1017,16,12,4,32,14,42,0.00,6,,215<br />
2015-1-23,6,2,-2,0,-2,-6,92,76,62,1016,1012,1009,16,16,16,34,19,42,0.00,4,,270<br />
2015-1-24,2,-2,-5,-1,-2,-6,100,91,79,1009,1005,1002,16,9,0,21,10,,0.00,6,Fog,278<br />
2015-1-25,-3,-5,-7,-6,-9,-11,81,73,60,1019,1016,1009,16,16,13,21,11,,0.00,5,,101<br />
2015-1-26,5,0,-4,0,-3,-7,96,82,67,1017,1008,1003,16,14,10,29,18,45,0.00,8,Snow,269<br />
2015-1-27,0,-1,-2,-3,-4,-4,85,81,79,1022,1020,1017,16,15,10,21,10,,0.00,8,,157<br />
2015-1-28,-1,-2,-2,-2,-3,-3,100,93,85,1019,1013,1009,11,5,1,21,14,34,0.00,8,,190<br />
2015-1-29,0,-7,-14,-1,-8,-17,96,81,60,1037,1023,1012,16,13,3,37,21,50,0.00,6,Snow,328<br />
2015-1-30,-4,-10,-16,-7,-13,-18,84,74,60,1037,1029,1022,16,16,16,24,10,29,0.00,5,,197<br />
2015-1-31,-4,-8,-14,-7,-12,-20,85,66,42,1029,1025,1019,16,15,13,24,13,,0.00,5,,4<br />
2015-2-1,-13,-16,-21,-21,-23,-26,72,60,35,1031,1029,1027,16,16,11,24,18,,0.00,1,,11<br />
2015-2-2,-9,-16,-22,-19,-22,-25,79,61,38,1027,1021,1017,16,16,16,21,6,,0.00,0,,214<br />
2015-2-3,-11,-14,-17,-13,-16,-19,88,76,61,1021,1019,1015,16,11,2,10,5,,0.00,6,Snow,321<br />
2015-2-4,-12,-17,-21,-14,-19,-24,83,68,48,1032,1027,1020,16,15,8,27,14,35,0.00,4,Snow,301<br />
2015-2-5,-4,-12,-20,-12,-17,-23,88,71,51,1030,1021,1016,16,16,13,34,16,47,0.00,1,,215<br />
2015-2-6,-2,-6,-10,-10,-11,-13,88,67,45,1019,1016,1010,16,15,13,16,6,,0.00,3,,94<br />
2015-2-7,0,-4,-8,-7,-9,-11,81,73,59,1011,1006,1003,16,14,10,21,10,32,0.00,0,,86<br />
2015-2-8,-4,-6,-7,-6,-8,-11,96,85,77,1024,1015,1007,16,14,3,19,10,,0.00,7,,58<br />
2015-2-9,-1,-6,-9,-9,-10,-11,91,70,54,1027,1025,1022,16,16,14,10,2,,0.00,5,,133<br />
2015-2-10,-4,-6,-7,-5,-7,-11,96,87,71,1024,1014,1010,16,5,0,19,11,29,3.56,7,Fog-Snow,143<br />
