
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-6,-12,-19,-12,-15,-21,91,72,52,1027,1019,1014,16,8,2,11,4,14,0.51,6,Snow,92<br />
2015-1-2,-3,-12,-21,-13,-18,-23,87,62,37,1029,1026,1024,16,16,16,13,3,14,0.00,0,,87<br />
2015-1-3,3,-7,-17,-8,-13,-19,91,69,47,1030,1026,1024,16,16,16,13,5,14,0.00,0,,88<br />
2015-1-4,7,-3,-14,-5,-9,-16,88,65,41,1034,1031,1029,16,16,5,16,5,19,0.00,1,,112<br />
2015-1-5,10,1,-9,-4,-7,-12,88,61,34,1035,1033,1030,16,16,16,13,5,21,0.00,0,,113<br />
2015-1-6,10,3,-5,-2,-3,-6,88,67,46,1035,1033,1030,16,16,16,14,4,16,0.00,0,,114<br />
2015-1-7,11,3,-6,-1,-3,-6,96,71,46,1034,1030,1026,16,16,16,14,3,14,0.00,0,,118<br />
2015-1-8,12,3,-6,0,-3,-6,92,67,41,1026,1023,1019,16,16,16,16,5,21,0.00,0,,162<br />
2015-1-9,11,3,-5,-1,-3,-6,92,66,39,1022,1020,1017,16,16,16,13,4,14,0.00,0,,109<br />
2015-1-10,7,3,-2,3,0,-3,92,79,65,1019,1017,1016,16,16,16,26,11,71,0.51,5,Rain,189<br />
2015-1-11,10,6,1,4,2,1,92,77,61,1021,1018,1016,16,15,8,23,9,27,T,5,,203<br />
2015-1-12,8,4,-1,3,1,-2,96,83,70,1021,1019,1017,16,14,2,29,13,39,4.83,7,Rain-Snow,192<br />
2015-1-13,1,-1,-2,-1,-2,-3,92,87,82,1024,1021,1018,16,14,1,24,13,31,1.52,8,Fog-Snow,8<br />
2015-1-14,4,2,-1,-2,-3,-6,92,78,64,1031,1026,1024,16,16,16,21,13,27,0.00,5,,7<br />
2015-1-15,7,-1,-8,-3,-6,-10,92,69,45,1034,1031,1028,16,16,13,13,3,14,0.00,0,,60<br />
2015-1-16,11,3,-6,-3,-6,-7,88,60,32,1029,1025,1021,16,16,16,34,10,40,0.00,1,,201<br />
2015-1-17,9,3,-4,-2,-4,-7,88,65,42,1029,1027,1024,16,16,16,13,4,14,0.00,0,,140<br />
2015-1-18,14,6,-3,0,-3,-5,85,62,38,1029,1026,1024,16,16,16,23,9,27,0.00,0,,196<br />
2015-1-19,12,5,-2,-1,-3,-4,85,62,38,1024,1022,1020,16,16,16,16,5,19,0.00,0,,67<br />
2015-1-20,6,1,-5,-1,-2,-6,100,81,62,1025,1022,1020,16,13,0,19,5,23,0.00,5,Fog,45<br />
2015-1-21,3,-2,-7,-3,-7,-11,81,64,47,1029,1024,1020,16,16,16,27,15,39,0.00,3,,1<br />
2015-1-22,5,-3,-12,-9,-12,-16,88,55,22,1032,1030,1028,16,16,16,14,5,19,0.00,0,,38<br />
2015-1-23,8,0,-8,-7,-9,-12,80,51,22,1032,1030,1027,16,16,16,27,6,37,0.00,1,,25<br />
2015-1-24,9,1,-8,-6,-7,-10,84,58,31,1034,1031,1028,16,16,16,24,9,37,0.00,0,,18<br />
2015-1-25,13,4,-6,-1,-3,-7,88,65,41,1031,1029,1026,16,16,16,21,8,26,0.00,0,,68<br />
2015-1-26,13,4,-5,0,-2,-6,92,67,41,1029,1025,1022,16,16,16,14,5,42,0.00,0,,164<br />
