
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-6,-13,-21,-8,-16,-31,100,81,38,1017,1016,1014,16,16,14,27,5,,0.00,5,,143<br />
2015-1-2,7,-2,-11,-5,-9,-18,100,67,39,1014,1009,1006,16,16,16,27,6,60,0.00,1,,293<br />
2015-1-3,1,-9,-18,-8,-16,-23,100,80,51,1021,1017,1007,16,16,14,42,16,55,0.00,4,,24<br />
2015-1-4,-15,-17,-18,-16,-21,-27,100,71,43,1025,1022,1019,16,16,11,19,8,,0.00,4,,30<br />
2015-1-5,8,-4,-16,0,-6,-22,100,75,39,1023,1016,1010,16,15,1,47,14,72,0.00,4,,317<br />
2015-1-6,10,-2,-15,2,-7,-17,100,74,46,1037,1027,1022,16,16,16,42,19,55,0.00,3,,12<br />
2015-1-7,-4,-10,-15,-6,-12,-17,100,86,68,1040,1030,1018,16,16,16,21,13,29,0.00,2,,93<br />
2015-1-8,1,-7,-15,-1,-9,-17,100,87,54,1032,1025,1018,16,15,5,40,13,52,0.00,4,,4<br />
2015-1-9,-6,-12,-17,-9,-14,-24,100,82,56,1030,1021,1013,16,16,16,13,3,,0.00,0,,147<br />
2015-1-10,5,-3,-12,-4,-9,-16,100,76,45,1013,1011,1010,16,16,16,21,3,34,0.00,1,,23<br />
2015-1-11,6,-1,-8,-1,-6,-10,100,89,49,1023,1017,1011,16,14,4,24,10,27,0.00,8,,43<br />
2015-1-12,-2,-7,-11,-4,-9,-17,100,91,62,1024,1022,1020,16,15,8,10,3,,0.00,2,,53<br />
2015-1-13,-1,-7,-13,-4,-9,-18,100,90,53,1026,1024,1021,16,13,0,10,2,,0.00,4,,91<br />
2015-1-14,-3,-9,-14,-6,-11,-19,100,87,53,1024,1022,1020,16,16,11,19,6,,0.00,0,,132<br />
2015-1-15,10,-2,-14,-6,-12,-17,100,72,16,1023,1021,1017,16,16,2,35,5,45,0.00,0,,11<br />
2015-1-16,11,6,2,-4,-6,-13,56,42,23,1017,1012,1008,16,16,16,48,24,72,0.00,2,,254<br />
2015-1-17,8,4,2,-7,-12,-17,45,30,17,1021,1017,1014,16,16,16,45,24,69,0.00,0,,255<br />
2015-1-18,13,8,4,1,-2,-7,66,49,36,1014,1013,1010,16,16,16,45,21,69,0.00,1,,255<br />
2015-1-19,7,3,0,-6,-9,-12,60,40,25,1020,1018,1014,16,16,16,32,16,50,0.00,1,,269<br />
2015-1-20,3,-2,-6,-6,-9,-14,93,58,30,1024,1022,1019,16,16,16,21,8,29,0.00,6,,326<br />
2015-1-21,1,-4,-9,-6,-9,-12,100,74,38,1026,1024,1022,16,16,16,23,6,27,0.00,3,,186<br />
2015-1-22,1,-6,-11,-6,-9,-13,100,82,56,1022,1021,1020,16,16,16,13,5,,0.00,1,,34<br />
2015-1-23,7,0,-7,-3,-6,-10,86,71,39,1024,1023,1020,16,16,16,19,6,32,0.00,2,,54<br />
2015-1-24,9,2,-5,-3,-5,-9,93,46,37,1022,1019,1017,16,16,16,40,21,61,0.00,2,,273<br />
2015-1-25,16,11,6,-2,-3,-5,53,37,25,1022,1020,1019,16,16,16,39,21,61,0.00,0,,267<br />
2015-1-26,14,7,-1,1,-2,-6,100,69,26,1023,1021,1020,16,16,13,19,8,,0.00,0,,29<br />
2015-1-27,18,9,1,1,-3,-7,75,47,18,1020,1016,1013,16,16,16,39,11,53,0.00,2,,270<br />
2015-1-28,11,6,2,4,0,-4,93,66,41,1029,1021,1014,16,16,16,29,11,40,0.25,8,,319<br />
2015-1-29,7,2,-3,0,-3,-6,100,77,49,1029,1027,1024,16,16,16,23,8,29,0.00,0,,179<br />
2015-1-30,6,0,-5,-1,-6,-9,100,71,45,1024,1022,1017,16,16,16,11,3,,0.00,0,,137<br />
2015-1-31,6,-2,-10,-4,-8,-11,100,73,31,1021,1015,1013,16,16,11,39,16,52,0.25,3,,14<br />
2015-2-1,-2,-7,-12,-6,-9,-13,100,85,64,1024,1019,1012,16,16,16,26,13,32,0.00,5,,90<br />
2015-2-2,8,1,-5,-2,-6,-12,86,48,32,1014,1011,1008,16,16,16,37,19,64,0.00,1,,264<br />
2015-2-3,9,0,-8,-2,-5,-9,100,54,30,1018,1011,1008,16,14,2,39,21,64,0.00,4,,277<br />
2015-2-4,-2,-6,-8,-5,-7,-10,100,85,74,1021,1019,1015,16,16,11,26,13,37,0.00,4,,131<br />
2015-2-5,14,4,-6,-1,-5,-7,100,59,23,1016,1013,1010,16,16,16,39,11,66,0.00,0,,284<br />
2015-2-6,18,13,8,-3,-7,-9,40,23,16,1013,1009,1005,16,16,16,50,18,72,0.00,0,,239<br />
2015-2-7,14,11,8,0,-3,-7,50,36,23,1011,1007,1004,16,16,16,52,27,84,0.25,1,,243<br />
2015-2-8,13,9,6,-1,-4,-7,61,38,25,1020,1017,1011,16,16,16,40,23,58,0.25,1,,244<br />
2015-2-9,14,7,1,2,-3,-6,70,46,30,1018,1012,1009,16,16,16,35,14,69,0.00,2,,237<br />
2015-2-10,9,4,1,2,-2,-6,100,63,34,1026,1019,1012,16,16,16,35,18,45,0.25,7,,305<br />
2015-2-11,10,3,-3,2,-2,-6,100,75,40,1028,1026,1024,16,14,0,26,8,29,0.00,2,,132<br />
2015-2-12,14,10,6,-3,-5,-7,49,35,26,1023,1022,1021,16,16,16,34,18,58,0.00,4,,279<br />
2015-2-13,16,9,3,-1,-4,-8,65,37,23,1025,1023,1021,16,16,16,23,10,35,0.00,0,,272<br />
2015-2-14,17,10,2,-1,-6,-13,75,38,14,1021,1017,1015,16,16,16,27,13,42,0.00,1,,305<br />
2015-2-15,3,0,-2,1,-2,-5,100,86,60,1023,1021,1019,16,11,1,26,14,35,0.51,8,,344<br />
2015-2-16,-1,-4,-7,-3,-7,-12,100,80,44,1025,1023,1021,16,14,2,29,14,39,0.25,6,,339<br />
2015-2-17,-1,-4,-8,-6,-8,-13,93,70,50,1023,1020,1017,16,16,16,23,8,,0.00,5,,215<br />
2015-2-18,9,2,-4,-2,-5,-8,93,59,32,1020,1018,1015,16,16,16,26,6,47,0.25,3,,150<br />
2015-2-19,14,8,3,-3,-8,-12,65,31,16,1015,1013,1011,16,16,16,32,18,53,0.00,1,,287<br />
2015-2-20,3,1,-1,0,-1,-3,100,90,65,1014,1013,1011,16,13,2,26,10,32,1.52,8,,348<br />
2015-2-21,-1,-7,-12,-1,-9,-16,100,84,73,1027,1021,1014,16,13,3,34,19,47,0.00,8,,350<br />
2015-2-22,-9,-13,-17,-13,-16,-21,100,80,58,1028,1027,1026,16,16,16,24,11,34,0.00,3,,143<br />
2015-2-23,-1,-9,-17,-6,-13,-22,100,69,46,1028,1024,1021,16,16,16,24,11,29,0.00,2,,140<br />
2015-2-24,9,0,-8,-2,-6,-11,93,67,34,1022,1015,1010,16,16,16,32,6,47,0.00,3,,354<br />
2015-2-25,4,-4,-12,-1,-7,-13,100,86,42,1023,1019,1011,16,12,1,40,16,50,0.00,7,,8<br />
2015-2-26,-11,-14,-17,-13,-14,-19,100,88,73,1022,1021,1016,16,15,4,23,13,,0.00,6,,31<br />
2015-2-27,-5,-12,-19,-11,-15,-22,100,76,58,1016,1012,1010,16,16,16,14,6,,0.00,2,,93<br />
2015-2-28,-7,-11,-14,-11,-13,-16,100,83,63,1020,1016,1013,16,16,11,19,10,,0.00,5,,23<br />
2015-3-1,-3,-9,-14,-10,-13,-17,100,74,54,1024,1020,1015,16,16,16,26,8,29,0.00,0,,150<br />
2015-3-2,4,-4,-13,-6,-10,-16,100,68,36,1015,1009,1005,16,15,5,39,8,60,0.00,3,,2<br />
