
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,8,7,5,8,5,1,100,83,65,1027,1023,1019,16,11,2,24,18,32,3.81,8,Rain,37<br />
2015-1-2,12,11,8,13,11,8,100,97,93,1020,1017,1012,16,5,0,16,10,23,16.00,8,Fog-Rain,30<br />
2015-1-3,12,8,5,13,8,6,100,89,77,1020,1015,1012,16,13,1,29,11,37,16.00,7,Rain-Thunderstorm,292<br />
2015-1-4,13,8,2,6,2,-3,100,75,50,1037,1029,1021,16,16,16,37,13,45,0.00,6,,341<br />
2015-1-5,12,6,-1,0,-2,-4,85,60,35,1039,1035,1032,16,16,16,19,14,23,0.00,4,,31<br />
2015-1-6,18,10,1,7,2,-2,96,61,26,1032,1030,1028,16,16,16,13,3,14,0.00,4,,207<br />
2015-1-7,17,11,4,9,4,-4,100,73,46,1039,1032,1028,16,15,11,42,11,52,0.00,5,,10<br />
2015-1-8,6,2,-2,-1,-7,-11,59,45,30,1039,1034,1028,16,16,16,27,16,35,0.25,4,,80<br />
2015-1-9,4,4,3,3,1,-1,92,81,70,1034,1031,1028,16,13,3,29,13,37,1.52,8,Rain,31<br />
2015-1-10,5,4,3,3,-1,-4,92,72,51,1033,1030,1025,16,15,5,23,19,,2.03,8,Rain,47<br />
2015-1-11,9,7,4,9,7,3,100,93,86,1024,1022,1020,16,5,0,26,13,34,16.76,8,Fog-Rain-Thunderstorm,346<br />
2015-1-12,9,8,6,8,7,5,100,90,80,1028,1025,1021,16,10,2,35,14,42,T,8,,345<br />
2015-1-13,8,7,6,6,5,3,96,86,76,1030,1028,1027,16,16,16,27,19,34,1.27,8,Rain,8<br />
2015-1-14,7,6,4,3,2,1,85,72,58,1028,1026,1023,16,16,13,23,14,26,T,8,Rain,11<br />
2015-1-15,12,8,4,3,3,2,92,71,50,1028,1026,1024,16,14,4,19,14,24,T,7,Rain,343<br />
2015-1-16,16,8,1,4,2,-1,92,61,29,1029,1026,1024,16,16,16,13,2,16,0.00,6,,175<br />
2015-1-17,21,12,3,9,7,4,100,70,40,1023,1021,1018,16,16,14,23,6,34,0.00,5,Fog,208<br />
2015-1-18,22,14,6,8,3,-2,93,55,17,1028,1025,1023,16,16,16,21,8,23,0.00,3,,72<br />
2015-1-19,22,12,1,12,9,3,100,72,44,1023,1019,1016,16,16,14,23,8,26,0.00,2,Fog,176<br />
2015-1-20,24,16,7,15,12,9,100,72,43,1017,1015,1013,16,9,0,21,2,27,0.00,2,Fog,180<br />
2015-1-21,19,17,14,15,14,8,100,77,53,1021,1018,1016,16,7,0,47,8,60,T,8,Fog-Rain,75<br />
2015-1-22,16,11,7,14,9,6,93,73,53,1020,1016,1014,16,11,1,45,24,53,22.10,8,Rain,53<br />
2015-1-23,7,6,4,6,4,3,92,87,82,1025,1022,1019,16,14,5,35,23,42,0.76,7,Rain,329<br />
2015-1-24,17,9,2,6,3,2,100,70,39,1025,1022,1019,16,16,16,21,11,26,0.00,3,,240<br />
2015-1-25,21,13,4,6,3,-3,82,57,32,1021,1018,1017,16,16,16,26,11,32,0.00,2,,264<br />
2015-1-26,19,13,7,7,1,-3,68,49,30,1026,1023,1021,16,16,16,27,11,37,0.00,5,,278<br />
2015-1-27,27,18,8,9,6,4,83,55,26,1022,1021,1020,16,16,16,19,8,23,0.00,1,,249<br />
2015-1-28,26,16,6,15,9,4,100,64,27,1024,1022,1020,16,16,11,27,3,32,0.00,1,Fog,168<br />
2015-1-29,24,17,9,17,13,10,100,77,54,1027,1023,1021,16,7,0,29,3,35,0.00,5,Fog,239<br />
