
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,4,-1,-6,-7,-11,-14,60,46,32,1022,1018,1015,16,16,16,42,21,53,0.00,1,,246<br />
2015-1-2,7,3,-1,-6,-8,-8,61,47,33,1031,1023,1016,16,16,16,35,17,48,0.00,4,,277<br />
2015-1-3,9,3,-4,8,-1,-8,93,70,47,1036,1030,1018,16,10,3,32,15,39,17.27,6,Rain,87<br />
2015-1-4,12,9,7,11,8,3,100,95,89,1018,1010,1005,16,5,0,42,18,60,11.43,8,Fog-Rain,224<br />
2015-1-5,11,2,-7,0,-10,-19,59,44,29,1029,1019,1008,16,16,16,47,29,63,0.00,3,,293<br />
2015-1-6,-6,-8,-10,-9,-13,-19,88,64,39,1030,1023,1015,16,10,2,35,8,43,0.76,6,Snow,275<br />
2015-1-7,-4,-8,-13,-11,-17,-24,88,59,30,1023,1016,1011,16,16,16,52,26,68,T,3,,283<br />
2015-1-8,-6,-9,-13,-15,-19,-23,56,46,36,1030,1027,1024,16,16,16,39,19,55,0.00,3,,272<br />
2015-1-9,1,-3,-8,-7,-11,-16,81,60,39,1022,1018,1015,16,13,0,47,24,63,1.78,5,Fog-Snow,247<br />
2015-1-10,-5,-7,-10,-17,-17,-18,53,30,7,1035,1030,1023,16,16,16,34,19,43,0.00,0,,273<br />
2015-1-11,3,-4,-11,-4,-10,-17,64,49,33,1039,1036,1033,16,16,16,27,15,39,0.00,6,,226<br />
2015-1-12,3,3,2,2,0,-7,100,74,48,1029,1022,1019,16,7,2,16,9,,17.78,8,Rain,289<br />
2015-1-13,2,-2,-7,-2,-11,-15,75,59,42,1036,1033,1023,16,16,16,35,21,50,0.00,4,,13<br />
