
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,0,-3,-7,-9,-13,-15,60,49,35,1017,1015,1011,16,16,16,26,18,37,0.00,5,,235<br />
2015-1-2,-1,-3,-5,-4,-6,-8,85,71,59,1031,1023,1015,16,14,2,27,21,39,0.00,8,Snow,291<br />
2015-1-3,4,-2,-7,3,-3,-8,97,87,61,1032,1025,1014,16,13,1,45,18,58,11.18,6,Rain-Snow,148<br />
2015-1-4,12,7,2,11,5,-3,94,86,68,1014,1007,1001,16,16,16,34,23,48,2.03,7,,204<br />
2015-1-5,2,-6,-12,-2,-12,-18,81,67,54,1031,1022,1010,16,14,2,48,29,64,0.00,7,Rain-Snow,305<br />
2015-1-6,-9,-11,-13,-12,-14,-17,81,74,67,1029,1022,1013,16,11,2,16,8,,0.00,7,Snow,219<br />
2015-1-7,-9,-13,-17,-13,-18,-22,85,66,44,1027,1017,1010,16,13,1,40,23,60,0.00,7,Snow,295<br />
2015-1-8,-8,-13,-17,-16,-19,-21,78,61,45,1028,1024,1014,16,16,16,32,18,47,0.00,3,,223<br />
2015-1-9,-5,-8,-11,-8,-12,-19,86,73,47,1022,1013,1008,16,10,2,34,19,50,0.00,7,Snow,236<br />
2015-1-10,-8,-12,-15,-17,-19,-21,67,56,47,1033,1029,1023,16,16,16,27,18,29,0.00,2,,243<br />
2015-1-11,0,-6,-11,-8,-15,-19,56,45,38,1034,1032,1028,16,16,16,24,11,,0.00,8,,161<br />
2015-1-12,1,-3,-7,0,-3,-9,96,88,56,1030,1025,1022,16,7,2,23,14,32,3.05,8,Rain-Snow,205<br />
2015-1-13,-8,-16,-22,-10,-18,-25,86,77,63,1042,1037,1029,16,15,4,24,16,32,0.00,4,Snow,354<br />
2015-1-14,-4,-13,-22,-9,-16,-25,88,79,66,1036,1028,1023,16,16,14,23,10,,0.00,1,,120<br />
2015-1-15,-3,-9,-16,-9,-13,-18,92,78,47,1024,1020,1010,16,11,0,16,5,,0.00,5,Fog-Snow,172<br />
2015-1-16,-2,-7,-12,-4,-9,-17,88,73,54,1025,1014,1008,16,11,0,42,19,53,0.00,7,Fog-Snow,302<br />
2015-1-17,-3,-12,-21,-9,-17,-23,85,73,51,1029,1024,1015,16,16,16,37,11,48,0.00,3,,135<br />
2015-1-18,4,0,-3,1,-2,-8,100,83,69,1014,1009,1006,16,15,10,39,23,48,0.00,3,,191<br />
2015-1-19,1,-1,-4,-1,-4,-9,93,83,69,1014,1011,1006,16,14,2,27,18,39,0.00,8,Rain-Snow,309<br />
2015-1-20,-4,-9,-16,-7,-10,-18,89,80,66,1021,1015,1012,16,16,11,19,13,29,0.00,6,Snow,346<br />
2015-1-21,-3,-10,-17,-6,-13,-19,88,75,45,1023,1021,1018,16,15,6,11,6,,0.00,3,Snow,122<br />
2015-1-22,-3,-8,-12,-6,-8,-14,93,85,63,1030,1025,1019,16,13,1,26,6,,0.00,6,Fog-Snow,330<br />
2015-1-23,1,-4,-10,-6,-8,-12,88,75,57,1029,1022,1012,16,16,16,21,11,,0.00,3,Snow,214<br />
